"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtrs"
"4th Sep'26 3:29:00","AGI",60.24,60.24,60.39,60.39,0.155
"4th Sep'26 3:29:00","PICCADIL",68.42,68.62,68.57,68.57,0.152
"4th Sep'26 3:29:00","VAIBHAVGBL",57.18,57.11,57.43,57.33,0.151
"4th Sep'26 3:29:00","WESTLIFE",56.25,56.26,56.36,56.4,0.149
"4th Sep'26 3:29:00","GPTINFRA",69.22,69.37,69.37,69.37,0.148
"4th Sep'26 3:29:00","INOXGREEN",55.97,54.82,56.12,56.12,0.148
"4th Sep'26 3:29:00","KECL",49.59,49.59,49.74,49.74,0.146
"4th Sep'26 3:29:00","SMARTWORKS",58.18,58.18,58.32,58.32,0.145
"4th Sep'26 3:29:00","FOCUS",55.28,55.31,55.42,55.42,0.143
"4th Sep'26 3:29:00","ADANIPORTS",65.89,68.02,68.02,66.03,0.139
"4th Sep'26 3:29:00","MOLDTKPAC",33.08,33.07,33.19,33.21,0.136
"4th Sep'26 3:29:00","GREENPANEL",53.13,53.13,53.13,53.26,0.134
"4th Sep'26 3:29:00","KCP",44.25,44.25,44.25,44.39,0.133
"4th Sep'26 3:29:00","APLLTD",69.74,69.74,69.74,69.87,0.133
"4th Sep'26 3:29:00","DBOL",50.65,50.65,50.65,50.78,0.133
"4th Sep'26 3:29:00","ASTRAL",54.1,54.21,54.22,54.22,0.122
"4th Sep'26 3:29:00","PARACABLES",49.06,49.12,49.18,49.18,0.121
"4th Sep'26 3:29:00","ATUL",45.21,45.22,45.22,45.33,0.121
"4th Sep'26 3:29:00","WELSPUNLIV",66.24,66.24,66.24,66.36,0.119
"4th Sep'26 3:29:00","LANDMARK",49.81,49.76,49.8,49.93,0.117
"4th Sep'26 3:29:00","SURAKSHA",48.98,49,49.1,49.1,0.115
"4th Sep'26 3:29:00","MODISONLTD",52.11,52.11,52.16,52.23,0.114
"4th Sep'26 3:29:00","SGIL",69.39,69.45,69.5,69.5,0.109
"4th Sep'26 3:29:00","ARKADE",71.09,71.14,71.14,71.19,0.108
"4th Sep'26 3:29:00","ABCAPITAL",68.7,68.58,68.51,68.81,0.106
"4th Sep'26 3:29:00","DTIL",68.9,68.9,68.9,69,0.105
"4th Sep'26 3:29:00","SOLARWORLD",65.67,65.67,65.77,65.77,0.104
"4th Sep'26 3:29:00","HINDCON",68.71,68.71,68.76,68.81,0.104
"4th Sep'26 3:29:00","SUKHJITS",66.04,66.07,66.07,66.15,0.103
"4th Sep'26 3:29:00","ZAGGLE",44.2,44.13,44.15,44.3,0.102
"4th Sep'26 3:29:00","ULTRACEMCO",59.23,59.23,59.29,59.33,0.101
"4th Sep'26 3:29:00","DHANUKA",69.71,69.71,69.71,69.81,0.101
"4th Sep'26 3:29:00","LAXMIDENTL",41.7,41.7,41.77,41.8,0.1
"4th Sep'26 3:29:00","EIEL",70.09,70.13,70.19,70.19,0.099
"4th Sep'26 3:29:00","VIKRAN",56.17,56.17,56.27,56.27,0.096
"4th Sep'26 3:29:00","SHYAMCENT",49.56,49.44,49.44,49.65,0.093
"4th Sep'26 3:29:00","PPL",44.41,44.41,44.5,44.5,0.092
"4th Sep'26 3:29:00","AHLWEST",72.03,72.07,72.12,72.12,0.09
"4th Sep'26 3:29:00","MAZDA",48.58,48.58,48.58,48.67,0.09
"4th Sep'26 3:29:00","NITINSPIN",56.62,56.62,56.71,56.71,0.089
"4th Sep'26 3:29:00","KALYANKJIL",62.78,62.76,62.87,62.86,0.088
"4th Sep'26 3:29:00","CREST",69.75,69.75,69.75,69.84,0.088
"4th Sep'26 3:29:00","REPL",68.55,68.64,68.64,68.64,0.088
"4th Sep'26 3:29:00","POWERMECH",58.33,58.33,58.42,58.42,0.087
"4th Sep'26 3:29:00","RAJTV",70.88,70.88,70.91,70.96,0.085
"4th Sep'26 3:29:00","CEATLTD",47.21,47.21,47.29,47.29,0.083
"4th Sep'26 3:29:00","PRITIKAUTO",57.52,57.52,57.6,57.6,0.083
"4th Sep'26 3:29:00","KAJARIACER",47.61,47.69,47.69,47.69,0.082
"4th Sep'26 3:29:00","RANEHOLDIN",46.55,46.55,46.63,46.63,0.081
"4th Sep'26 3:29:00","THANGAMAYL",61.53,61.56,61.61,61.61,0.08
"4th Sep'26 3:29:00","TEXRAIL",48.26,48.34,48.34,48.34,0.078
"4th Sep'26 3:29:00","SENCO",64.4,64.46,64.48,64.47,0.077
"4th Sep'26 3:29:00","COASTCORP",42.23,42.22,42.29,42.3,0.075
"4th Sep'26 3:29:00","PARKHOTELS",68.14,68.14,68.22,68.22,0.073
"4th Sep'26 3:29:00","ZODIAC",69.89,69.91,69.97,69.97,0.072
"4th Sep'26 3:29:00","IDEA",25.57,25.57,25.64,25.64,0.072
"4th Sep'26 3:29:00","PALREDTEC",30.06,30.06,30.13,30.13,0.068
"4th Sep'26 3:29:00","UNITEDTEA",49.79,49.79,49.86,49.86,0.067
"4th Sep'26 3:29:00","AUROPHARMA",51.82,51.82,51.82,51.88,0.067
"4th Sep'26 3:29:00","HCLTECH",60.81,60.81,60.86,60.88,0.067
"4th Sep'26 3:29:00","BOROLTD",64.62,64.62,64.69,64.68,0.066
"4th Sep'26 3:29:00","RAJRATAN",65.14,65.14,65.2,65.2,0.066
"4th Sep'26 3:29:00","SETL",60.41,60.47,60.47,60.47,0.064
"4th Sep'26 3:29:00","STLTECH",44.45,44.44,44.44,44.51,0.063
"4th Sep'26 3:29:00","SUPREMEIND",48.9,48.96,48.96,48.96,0.063
"4th Sep'26 3:29:00","VERTOZ",64.74,64.74,64.81,64.81,0.062
"4th Sep'26 3:29:00","KHAICHEM",72.58,72.65,72.65,72.65,0.062
"4th Sep'26 3:29:00","FILATEX",65.41,65.38,65.47,65.47,0.06
"4th Sep'26 3:29:00","RGL",61.89,61.7,61.7,61.95,0.059
"4th Sep'26 3:29:00","DEEPAKNTR",49.28,49.33,49.33,49.34,0.058
"4th Sep'26 3:29:00","SHAKTIPUMP",50.3,50.34,50.35,50.36,0.058
"4th Sep'26 3:29:00","CINEVISTA",67.43,67.43,67.49,67.49,0.058
"4th Sep'26 3:29:00","FAZE3Q",57.95,57.95,58.01,58.01,0.058
"4th Sep'26 3:29:00","DIFFNKG",69.7,69.7,69.76,69.76,0.054
"4th Sep'26 3:29:00","GLOSTERLTD",72.63,72.63,72.65,72.68,0.054
"4th Sep'26 3:29:00","CPCAP",63.75,63.77,63.8,63.8,0.052
"4th Sep'26 3:29:00","STAR",27.86,27.86,27.91,27.91,0.052
"4th Sep'26 3:29:00","IKIO",72.5,72.5,72.55,72.55,0.052
"4th Sep'26 3:29:00","SDBL",39.39,39.39,39.44,39.44,0.048
"4th Sep'26 3:29:00","MACPOWER",73.17,73.17,73.17,73.22,0.047
"4th Sep'26 3:29:00","SILVERTUC",74.61,74.61,74.62,74.66,0.047
"4th Sep'26 3:29:00","MAPMYINDIA",51.36,51.36,51.41,51.41,0.047
"4th Sep'26 3:29:00","SURYODAY",22.44,22.44,22.48,22.48,0.047
"4th Sep'26 3:29:00","CCL",46.09,46.11,46.11,46.14,0.047
"4th Sep'26 3:29:00","RAMCOIND",54.79,54.79,54.79,54.83,0.046
"4th Sep'26 3:29:00","DWARKESH",42.1,42.1,42.14,42.14,0.045
"4th Sep'26 3:29:00","CEWATER",51.39,51.39,51.43,51.43,0.043
"4th Sep'26 3:29:00","SOFTTECH",18.84,18.84,18.88,18.88,0.043
"4th Sep'26 3:29:00","NIITMTS",34.21,34.19,34.1,34.25,0.042
"4th Sep'26 3:29:00","BEDMUTHA",57.05,57.05,57.05,57.09,0.041
"4th Sep'26 3:29:00","GHCLTEXTIL",19.16,19.16,19.2,19.2,0.041
"4th Sep'26 3:29:00","PAR",73.37,73.41,73.41,73.41,0.041
"4th Sep'26 3:29:00","WORTHPERI",68.16,68.16,68.16,68.2,0.041
"4th Sep'26 3:29:00","FIVESTAR",18.57,18.56,18.61,18.61,0.04
"4th Sep'26 3:29:00","SAKSOFT",66.68,66.68,66.71,66.72,0.04
"4th Sep'26 3:29:00","LEMONTREE",22.28,22.28,22.32,22.32,0.036
"4th Sep'26 3:29:00","KHADIM",59.85,59.85,59.87,59.89,0.037
"4th Sep'26 3:29:00","ADOR",53.72,53.73,53.76,53.76,0.035
"4th Sep'26 3:29:00","SVLL",73.64,73.64,73.65,73.67,0.034
"4th Sep'26 3:29:00","LANCORHOL",51.27,51.27,51.31,51.31,0.032
"4th Sep'26 3:29:00","AARTECH",52.72,52.75,52.75,52.75,0.032
"4th Sep'26 3:29:00","GLOBECIVIL",63.41,63.41,63.41,63.44,0.031
"4th Sep'26 3:29:00","REDTAPE",71.8,71.79,71.83,71.83,0.03
"4th Sep'26 3:29:00","RADIANTCMS",56.92,56.92,56.92,56.95,0.028
"4th Sep'26 3:29:00","NOVAAGRI",59.39,59.39,59.41,59.41,0.027
"4th Sep'26 3:29:00","RACLGEAR",42.68,42.68,42.69,42.7,0.027
"4th Sep'26 3:29:00","TSFINV",54.97,55.01,54.99,54.99,0.026
"4th Sep'26 3:29:00","WSTCSTPAPR",56.55,56.55,56.58,56.58,0.025
"4th Sep'26 3:29:00","MASFIN",66.63,66.63,66.65,66.65,0.024
"4th Sep'26 3:29:00","BLKASHYAP",61.7,61.71,61.72,61.73,0.023
"4th Sep'26 3:29:00","PACEDIGITK",69.5,69.52,69.52,69.52,0.023
"4th Sep'26 3:29:00","BHAGERIA",71.75,71.75,71.77,71.77,0.023
"4th Sep'26 3:29:00","RKDL",23.59,23.59,23.62,23.62,0.023
"4th Sep'26 3:29:00","SOTL",68.91,68.91,68.93,68.93,0.023
"4th Sep'26 3:29:00","DABUR",66.22,66.23,66.25,66.24,0.022
"4th Sep'26 3:29:00","SENORES",45.8,45.8,45.82,45.82,0.022
"4th Sep'26 3:29:00","MRF",27.75,27.73,27.77,27.77,0.021
"4th Sep'26 3:29:00","PUNJABCHEM",39.22,39.22,39.24,39.24,0.02
"4th Sep'26 3:29:00","MAXESTATES",45.24,44.91,45.27,45.26,0.02
"4th Sep'26 3:29:00","AIIL",68.79,68.79,68.81,68.81,0.02
"4th Sep'26 3:29:00","ZYDUSLIFE",74.99,74.99,75,75.01,0.02
"4th Sep'26 3:29:00","HINDALCO",34.64,34.64,34.64,34.66,0.02
"4th Sep'26 3:29:00","SKIPPER",66.48,66.48,66.5,66.5,0.019
"4th Sep'26 3:29:00","BANG",67.87,67.87,67.87,67.89,0.018
"4th Sep'26 3:29:00","ODIGMA",27.43,27.45,27.45,27.45,0.017
"4th Sep'26 3:29:00","ALKYLAMINE",72.03,72.03,72.05,72.04,0.017
"4th Sep'26 3:29:00","KRISHIVAL",37.21,37.21,37.23,37.23,0.016
"4th Sep'26 3:29:00","CHOLAHLDNG",46.42,46.38,46.38,46.43,0.015
"4th Sep'26 3:29:00","LGBBROSLTD",34.82,34.82,34.83,34.83,0.015
"4th Sep'26 3:29:00","KKCL",74.27,74.27,74.29,74.29,0.015
"4th Sep'26 3:29:00","AARON",73.06,73.06,73.07,73.07,0.014
"4th Sep'26 3:29:00","SHRADHA",74.97,74.97,74.97,74.98,0.014
"4th Sep'26 3:29:00","CCAVENUE",27.27,27.29,27.29,27.29,0.013
"4th Sep'26 3:29:00","JSLL",63.61,63.62,63.62,63.62,0.013
"4th Sep'26 3:29:00","MOTHERSON",48.58,48.6,48.6,48.6,0.013
"4th Sep'26 3:29:00","BLUESTARCO",36.49,36.49,36.49,36.5,0.012
"4th Sep'26 3:29:00","EMMBI",62.94,62.94,62.95,62.95,0.011
"4th Sep'26 3:29:00","KPIL",33.57,33.57,33.58,33.58,0.011
"4th Sep'26 3:29:00","UPL",33.5,33.5,33.51,33.51,0.01
"4th Sep'26 3:29:00","GRAUWEIL",69.03,69.03,69.03,69.04,0.01
"4th Sep'26 3:29:00","FOODSIN",25.38,25.4,25.39,25.39,0.009
"4th Sep'26 3:29:00","ACE",65.41,65.42,65.42,65.42,0.009
"4th Sep'26 3:29:00","GLENMARK",46.65,46.65,46.65,46.65,0.009
"4th Sep'26 3:29:00","DPABHUSHAN",74.88,74.88,74.89,74.89,0.008
"4th Sep'26 3:29:00","DIVGIITTS",60.55,60.56,60.56,60.56,0.008
"4th Sep'26 3:29:00","ONEPOINT",52.3,52.29,52.29,52.31,0.008
"4th Sep'26 3:29:00","PENIND",39.66,39.67,39.67,39.67,0.008
"4th Sep'26 3:29:00","DBSTOCKBRO",41.17,41.17,41.17,41.18,0.007
"4th Sep'26 3:29:00","RTNINDIA",74.86,74.86,74.87,74.87,0.007
"4th Sep'26 3:29:00","PROSTARM",72.82,72.82,72.82,72.83,0.007
"4th Sep'26 3:29:00","BHARATGEAR",55.32,55.33,55.33,55.33,0.007
"4th Sep'26 3:29:00","SALZERELEC",37.47,37.48,37.48,37.48,0.006
"4th Sep'26 3:29:00","PRINCEPIPE",60.94,60.94,60.95,60.95,0.005
"4th Sep'26 3:29:00","GFSTEELS",70.18,70.18,70.18,70.18,0.004
"4th Sep'26 3:29:00","SOLEX",66.15,66.15,66.15,66.15,0.005
"4th Sep'26 3:29:00","LOTUSDEV",81.86,81.86,81.87,81.87,0.004
"4th Sep'26 3:29:00","MANORAMA",54.32,54.32,54.32,54.32,0.003
"4th Sep'26 3:29:00","SHAREINDIA",48.61,48.62,48.62,48.62,0.003
"4th Sep'26 3:29:00","ALLTIME",70.14,70.14,70.15,70.15,0.003
"4th Sep'26 3:29:00","BECTORFOOD",49.04,49.04,49.04,49.04,0.003
"4th Sep'26 3:29:00","BOSCHLTD",70.54,70.54,70.54,70.54,0.003
"4th Sep'26 3:29:00","MFML",64.8,64.8,64.8,64.8,0.002
"4th Sep'26 3:29:00","BLS",70.39,70.39,70.39,70.39,0.002
"4th Sep'26 3:29:00","MHLXMIRU",64.8,64.8,64.8,64.8,0.002
"4th Sep'26 3:29:00","ASTERDM",40.39,40.39,40.39,40.39,0.002
"4th Sep'26 3:29:00","JAYAGROGN",67.13,67.13,67.13,67.13,0.002
"4th Sep'26 3:29:00","KOVAI",56.52,56.52,56.52,56.52,0.002
"4th Sep'26 3:29:00","ABFRL",46.61,46.61,46.61,46.61,0.002
"4th Sep'26 3:29:00","ABLBL",46.6,46.59,46.6,46.6,0.002
"4th Sep'26 3:29:00","ASAHIINDIA",51.57,51.57,51.57,51.57,0.001
"4th Sep'26 3:29:00","SAGCEM",48.33,48.33,48.33,48.33,0.001
"4th Sep'26 3:29:00","RMDRIP",21.06,21.06,21.06,21.06,0.001
"4th Sep'26 3:29:00","JAINREC",73.59,73.59,73.59,73.59,0.001
"4th Sep'26 3:29:00","ZYDUSWELL",69.63,69.63,69.63,69.64,0.001
"4th Sep'26 3:29:00","LTFOODS",51,51.01,51.01,51.01,0.001
"4th Sep'26 3:29:00","TATVA",72.02,72.02,72.02,72.02,0
"4th Sep'26 3:29:00","ATLANTAELE",87.27,87.27,87.27,87.27,0
"4th Sep'26 3:29:00","OSWALSEEDS",66.63,66.63,66.63,66.63,0
"4th Sep'26 3:29:00","CRIZAC",79.94,79.94,79.94,79.94,0
"4th Sep'26 3:29:00","SOBHA",52.88,52.88,52.88,52.88,0
"4th Sep'26 3:29:00","FORTIS",31.17,31.17,31.17,31.17,0
"4th Sep'26 3:29:00","PRUDENT",55.31,55.31,55.31,55.31,0
"4th Sep'26 3:29:00","BBTC",74.05,74.05,74.05,74.05,0
"4th Sep'26 3:29:00","ADANIGREEN",62.43,62.43,62.43,62.43,0
"4th Sep'26 3:29:00","BALRAMCHIN",42.86,42.85,42.85,42.86,0
"4th Sep'26 3:29:00","SARDAEN",73.16,73.16,73.16,73.16,0
"4th Sep'26 3:29:00","ZUARI",65.21,65.21,65.21,65.21,0
"4th Sep'26 3:29:00","WEL",71.79,71.79,71.79,71.79,0
"4th Sep'26 3:29:00","HITECHCORP",74.43,74.43,74.43,74.43,0
"4th Sep'26 3:29:00","AEGISLOG",58.1,58.1,58.1,58.1,0
"4th Sep'26 3:29:00","MEGASTAR",61.47,61.47,61.47,61.47,0
"4th Sep'26 3:29:00","ASIANHOTNR",0,0,0,0,0
"4th Sep'26 3:29:00","VEEDOL",64.58,64.58,64.58,64.58,0
"4th Sep'26 3:29:00","ACCURACY",63.69,63.69,63.69,63.69,0
"4th Sep'26 3:29:00","FORCEMOT",61.63,61.63,61.63,61.63,0
"4th Sep'26 3:29:00","ABREL",50.21,50.21,50.21,50.21,0
"4th Sep'26 3:29:00","GINNIFILA",69.72,69.72,69.72,69.72,0
"4th Sep'26 3:29:00","BEML",54.03,54.03,54.03,54.03,0
"4th Sep'26 3:29:00","CENTEXT",52.04,52.04,52.04,52.04,0
"4th Sep'26 3:29:00","KHAITANLTD",60.24,60.24,60.24,60.24,0
"4th Sep'26 3:29:00","WHEELS",58.31,58.31,58.31,58.31,0
"4th Sep'26 3:29:00","ORISSAMINE",50.01,50.01,50.01,50.01,0
"4th Sep'26 3:29:00","MRPL",88.58,88.58,88.58,88.58,0
"4th Sep'26 3:29:00","LAGNAM",68.5,68.5,68.5,68.5,0
"4th Sep'26 3:29:00","SAIL",65,65,65,65,0
"4th Sep'26 3:29:00","ESABINDIA",73.72,73.72,73.72,73.72,0
"4th Sep'26 3:29:00","KSHITIJPOL",0,0,0,0,0
"4th Sep'26 3:29:00","GANESHBE",39.02,39.02,39.02,39.02,0
"4th Sep'26 3:29:00","TBOTEK",44.41,44.41,44.41,44.41,0
"4th Sep'26 3:29:00","GFLLIMITED",68.72,68.72,68.72,68.72,0
"4th Sep'26 3:29:00","HINDOILEXP",0,0,0,0,0
"4th Sep'26 3:29:00","VIKASECO",10.65,10.65,10.65,10.65,0
"4th Sep'26 3:29:00","HMT",93.69,93.69,93.69,93.69,0
"4th Sep'26 3:29:00","KIRLOSBROS",65.95,65.95,65.95,65.95,0
"4th Sep'26 3:29:00","IXIGO",0,0,0,0,0
"4th Sep'26 3:29:00","CONSOFINVT",74.89,74.89,74.89,74.89,0
"4th Sep'26 3:29:00","MEDICAMEQ",40.46,40.46,40.46,40.46,0
"4th Sep'26 3:29:00","RETAIL",44.52,44.52,44.52,44.52,0
"4th Sep'26 3:29:00","MANALIPETC",44.86,44.86,44.86,44.86,0
"4th Sep'26 3:29:00","CENTENKA",24.86,24.86,24.86,24.86,0
"4th Sep'26 3:29:00","ABDL",80.91,80.91,80.91,80.91,0
"4th Sep'26 3:29:00","PRIMESECU",0,0,0,0,0
"4th Sep'26 3:29:00","RAMANEWS",74.76,74.76,74.76,74.76,0
"4th Sep'26 3:29:00","JKLAKSHMI",45.12,45.12,45.12,45.12,0
"4th Sep'26 3:29:00","SUNDRMFAST",46.95,46.95,46.95,46.95,0
"4th Sep'26 3:29:00","CEIGALL",82.06,82.06,82.06,82.06,0
"4th Sep'26 3:29:00","VHL",74.9,74.9,74.9,74.9,0
"4th Sep'26 3:29:00","MUKANDLTD",74.7,74.7,74.7,74.7,0
"4th Sep'26 3:29:00","FEDERALBNK",0,0,0,0,0
"4th Sep'26 3:29:00","ARIHANT",37.29,37.29,37.29,37.29,0
"4th Sep'26 3:29:00","CUMMINSIND",51,51,51,51,0
"4th Sep'26 3:29:00","BHARATFORG",44.07,44.07,44.07,44.07,0
"4th Sep'26 3:29:00","M&M",18.14,18.14,18.14,18.14,0
"4th Sep'26 3:29:00","SIEMENS",75,75,75,75,0
"4th Sep'26 3:29:00","DEEPAKFERT",45.63,45.63,45.63,45.63,0
"4th Sep'26 3:29:00","GNFC",41.3,41.3,41.3,41.3,0
"4th Sep'26 3:29:00","PFIZER",63.92,63.92,63.92,63.92,0
"4th Sep'26 3:29:00","NOCIL",33.76,33.76,33.76,33.76,0
"4th Sep'26 3:29:00","ECOSMOBLTY",67.79,67.79,67.79,67.79,0
"4th Sep'26 3:29:00","NESTLEIND",62.76,62.76,62.76,62.76,0
"4th Sep'26 3:29:00","COLPAL",51,51,51,51,0
"4th Sep'26 3:29:00","ITC",0,0,0,0,0
"4th Sep'26 3:29:00","FINPIPE",52.47,52.47,52.47,52.47,0
"4th Sep'26 3:29:00","RAJESHEXPO",54.55,54.55,54.55,54.55,0
"4th Sep'26 3:29:00","TOLINS",68.53,68.53,68.53,68.53,0
"4th Sep'26 3:29:00","DGCONTENT",66.81,66.81,66.81,66.81,0
"4th Sep'26 3:29:00","MANGLMCEM",40,40,40,40,0
"4th Sep'26 3:29:00","NORTHARC",0,0,0,0,0
"4th Sep'26 3:29:00","ORIENTPPR",38.74,38.74,38.74,38.74,0
"4th Sep'26 3:29:00","MANBA",74.98,74.98,74.98,74.98,0
"4th Sep'26 3:29:00","LINCOLN",49.78,49.78,49.78,49.78,0
"4th Sep'26 3:29:00","RUBYMILLS",74.9,74.9,74.9,74.9,0
"4th Sep'26 3:29:00","SPANDANA",48.16,48.16,48.16,48.16,0
"4th Sep'26 3:29:00","GARUDA",67.56,67.56,67.56,67.56,0
"4th Sep'26 3:29:00","BANSWRAS",54.19,54.19,54.19,54.19,0
"4th Sep'26 3:29:00","SRF",50.26,50.26,50.26,50.26,0
"4th Sep'26 3:29:00","VISHWARAJ",29.05,29.05,29.05,29.05,0
"4th Sep'26 3:29:00","BBL",33.65,33.65,33.65,33.65,0
"4th Sep'26 3:29:00","OCCLLTD",51.76,51.76,51.76,51.76,0
"4th Sep'26 3:29:00","NELCO",50.09,50.09,50.09,50.09,0
"4th Sep'26 3:29:00","ATULAUTO",42.7,42.7,42.7,42.7,0
"4th Sep'26 3:29:00","CSBBANK",40,40,40,40,0
"4th Sep'26 3:29:00","UNIVCABLES",61.89,61.89,61.89,61.89,0
"4th Sep'26 3:29:00","HINDWAREAP",52.74,52.74,52.74,52.74,0
"4th Sep'26 3:29:00","COHANCE",57.49,57.49,57.49,57.49,0
"4th Sep'26 3:29:00","LGHL",74.97,74.97,74.97,74.97,0
"4th Sep'26 3:29:00","MANUGRAPH",57.67,57.67,57.67,57.67,0
"4th Sep'26 3:29:00","INDRAMEDCO",51,51,51,51,0
"4th Sep'26 3:29:00","GRINDWELL",58.03,58.03,58.03,58.03,0
"4th Sep'26 3:29:00","DAMCAPITAL",40,40,40,40,0
"4th Sep'26 3:29:00","ICICIBANK",0,0,0,0,0
"4th Sep'26 3:29:00","UTIAMC",0,0,0,0,0
"4th Sep'26 3:29:00","DHANBANK",0,0,0,0,0
"4th Sep'26 3:29:00","ITDC",87.03,87.03,87.03,87.03,0
"4th Sep'26 3:29:00","CUB",0,0,0,0,0
"4th Sep'26 3:29:00","STYRENIX",46.24,46.24,46.24,46.24,0
"4th Sep'26 3:29:00","NSIL",55.62,55.62,55.62,55.62,0
"4th Sep'26 3:29:00","QUADFUTURE",70,70,70,70,0
"4th Sep'26 3:29:00","GOCLCORP",67.82,67.82,67.82,67.82,0
"4th Sep'26 3:29:00","GVPIL",68.58,68.58,68.58,68.58,0
"4th Sep'26 3:29:00","MODTHREAD",65.16,65.16,65.16,65.16,0
"4th Sep'26 3:29:00","DENTA",71.91,71.91,71.91,71.91,0
"4th Sep'26 3:29:00","MUKTAARTS",70.71,70.71,70.71,70.71,0
"4th Sep'26 3:29:00","GMBREW",74.43,74.43,74.43,74.43,0
"4th Sep'26 3:29:00","TECILCHEM",47.71,47.71,47.71,47.71,0
"4th Sep'26 3:29:00","CEREBRAINT",0.839,0.839,0.839,0.839,0
"4th Sep'26 3:29:00","SMARTLINK",72.85,72.85,72.85,72.85,0
"4th Sep'26 3:29:00","UNITDSPR",56.67,56.67,56.67,56.67,0
"4th Sep'26 3:29:00","PONNIERODE",47.34,47.34,47.34,47.34,0
"4th Sep'26 3:29:00","UBL",70.83,70.83,70.83,70.83,0
"4th Sep'26 3:29:00","INFOMEDIA",50.69,50.69,50.69,50.69,0
"4th Sep'26 3:29:00","JBMA",67.53,67.53,67.53,67.53,0
"4th Sep'26 3:29:00","VIPCLOTHNG",46.55,46.55,46.55,46.55,0
"4th Sep'26 3:29:00","MORARJEE",59.71,59.71,59.71,59.71,0
"4th Sep'26 3:29:00","GRAPHITE",65.34,65.34,65.34,65.34,0
"4th Sep'26 3:29:00","JAYSREETEA",50.68,50.68,50.68,50.68,0
"4th Sep'26 3:29:00","AEGISVOPAK",86.93,86.93,86.93,86.93,0
"4th Sep'26 3:29:00","HTMEDIA",69.5,69.5,69.5,69.5,0
"4th Sep'26 3:29:00","SCODATUBES",66.43,66.43,66.43,66.43,0
"4th Sep'26 3:29:00","VSTIND",32.16,32.16,32.16,32.16,0
"4th Sep'26 3:29:00","KMSUGAR",56.51,56.51,56.51,56.51,0
"4th Sep'26 3:29:00","SHIVATEX",74.04,74.04,74.04,74.04,0
"4th Sep'26 3:29:00","EDUCOMP",44.78,44.78,44.78,44.78,0
"4th Sep'26 3:29:00","DYNPRO",29.42,29.42,29.42,29.42,0
"4th Sep'26 3:29:00","RCOM",0.775,0.775,0.775,0.775,0
"4th Sep'26 3:29:00","GILLANDERS",69.05,69.05,69.05,69.05,0
"4th Sep'26 3:29:00","KALPATARU",81.34,81.34,81.34,81.34,0
"4th Sep'26 3:29:00","M&MFIN",52.49,52.49,52.49,52.49,0
"4th Sep'26 3:29:00","SOLARINDS",73.15,73.15,73.15,73.15,0
"4th Sep'26 3:29:00","INDBANK",64.84,64.84,64.84,64.84,0
"4th Sep'26 3:29:00","SUNTV",75,75,75,75,0
"4th Sep'26 3:29:00","CIEINDIA",65.7,65.7,65.7,65.7,0
"4th Sep'26 3:29:00","GTLINFRA",3.28,3.28,3.28,3.28,0
"4th Sep'26 3:29:00","TRAVELFOOD",86.19,86.19,86.19,86.19,0
"4th Sep'26 3:29:00","GICHSGFIN",42.41,42.41,42.41,42.41,0
"4th Sep'26 3:29:00","TORNTPOWER",51.09,51.09,51.09,51.09,0
"4th Sep'26 3:29:00","SITINET",6.1,6.1,6.1,6.1,0
"4th Sep'26 3:29:00","VIPULLTD",18.25,18.25,18.25,18.25,0
"4th Sep'26 3:29:00","ABCOTS",52.5,52.5,52.5,52.5,0
"4th Sep'26 3:29:00","TIIL",74.75,74.75,74.75,74.75,0
"4th Sep'26 3:29:00","AMDIND",66.73,66.73,66.73,66.73,0
"4th Sep'26 3:29:00","NELCAST",74.87,74.87,74.87,74.87,0
"4th Sep'26 3:29:00","DLF",74.08,74.08,74.08,74.08,0
"4th Sep'26 3:29:00","JAICORPLTD",73.92,73.92,73.92,73.92,0
"4th Sep'26 3:29:00","SPARC",65.67,65.67,65.67,65.67,0
"4th Sep'26 3:29:00","MSUMI",61.73,61.73,61.73,61.73,0
"4th Sep'26 3:29:00","SELMC",75,75,75,75,0
"4th Sep'26 3:29:00","KSCL",60.5,60.5,60.5,60.5,0
"4th Sep'26 3:29:00","BRIGHOTEL",74.09,74.09,74.09,74.09,0
"4th Sep'26 3:29:00","SHANTIGOLD",74.89,74.89,74.89,74.89,0
"4th Sep'26 3:29:00","KOLTEPATIL",73.81,73.81,73.81,73.81,0
"4th Sep'26 3:29:00","MANAKSIA",74.93,74.93,74.93,74.93,0
"4th Sep'26 3:29:00","KOHINOOR",37.67,37.67,37.67,37.67,0
"4th Sep'26 3:29:00","KUANTUM",70.31,70.31,70.31,70.31,0
"4th Sep'26 3:29:00","S&SPOWER",74.97,74.97,74.97,74.97,0
"4th Sep'26 3:29:00","JAIBALAJI",64.84,64.84,64.84,64.84,0
"4th Sep'26 3:29:00","ORICONENT",65.7,65.7,65.7,65.7,0
"4th Sep'26 3:29:00","EMUDHRA",54.4,54.4,54.4,54.4,0
"4th Sep'26 3:29:00","JYOTISTRUC",0,0,0,0,0
"4th Sep'26 3:29:00","MANINDS",43.21,43.21,43.21,43.21,0
"4th Sep'26 3:29:00","SICAGEN",61.13,61.13,61.13,61.13,0
"4th Sep'26 3:29:00","20MICRONS",45.04,45.04,45.04,45.04,0
