"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtrs"
"4th Sep'26 3:29:00","SUMIT",58.31,58.31,60.78,60.85,2.54
"4th Sep'26 3:29:00","RAYMONDLSL",57.15,58.22,59.53,59.62,2.47
"4th Sep'26 3:29:00","SURANASOL",43.31,43.71,44.34,45.75,2.44
"4th Sep'26 3:29:00","JINDRILL",64.4,66.44,66.78,66.78,2.38
"4th Sep'26 3:29:00","GEMAROMA",55.06,55.06,57.01,57.45,2.38
"4th Sep'26 3:29:00","PANACHE",51.68,51.68,54.05,54.05,2.37
"4th Sep'26 3:29:00","RAMCOSYS",53.17,53.1,53.03,55.51,2.34
"4th Sep'26 3:29:00","NIBL",72.49,74.49,74.79,74.79,2.3
"4th Sep'26 3:29:00","DIAMINESQ",55.2,55.34,57.4,57.5,2.29
"4th Sep'26 3:29:00","TREEHOUSE",22.29,23.54,24.56,24.56,2.27
"4th Sep'26 3:29:00","MANAKCOAT",55.55,57.46,57.46,57.78,2.23
"4th Sep'26 3:29:00","KAMOPAINTS",50.33,50.33,52.54,52.54,2.21
"4th Sep'26 3:29:00","MONEYBOXX",44.59,44.59,46.79,46.79,2.2
"4th Sep'26 3:29:00","FAIRCHEMOR",61.19,61.19,63.26,63.26,2.06
"4th Sep'26 3:29:00","RAYMONDREL",48.87,49.02,50.71,50.93,2.06
"4th Sep'26 3:29:00","BAJAJCON",40.95,42.97,42.97,42.97,2.02
"4th Sep'26 3:29:00","WEBELSOLAR",27.71,27.71,29.72,29.72,2.01
"4th Sep'26 3:29:00","MANAKALUCO",72.86,74.87,74.87,74.87,2.01
"4th Sep'26 3:29:00","JIOFIN",47.12,47.12,47.12,49.13,2
"4th Sep'26 3:29:00","PCBL",51.41,53.38,53.38,53.38,1.98
"4th Sep'26 3:29:00","NECCLTD",54.19,54.19,54.19,56.16,1.97
"4th Sep'26 3:29:00","VIRINCHI",37.51,37.51,40.1,39.46,1.95
"4th Sep'26 3:29:00","DIAMONDYD",54.86,54.81,55.59,56.77,1.91
"4th Sep'26 3:29:00","OMAXAUTO",52.75,53.22,54.86,54.63,1.87
"4th Sep'26 3:29:00","SUYOG",49.77,52.02,52.02,51.64,1.87
"4th Sep'26 3:29:00","NEOGEN",51.23,51.23,51.23,53.01,1.78
"4th Sep'26 3:29:00","GEEKAYWIRE",58.69,58.71,59.77,60.47,1.77
"4th Sep'26 3:29:00","SHEMAROO",65.54,65.54,67.24,67.24,1.69
"4th Sep'26 3:29:00","TIRUPATIFL",48.1,48.93,49.01,49.75,1.65
"4th Sep'26 3:29:00","MIRZAINT",71.37,72.99,72.99,72.99,1.63
"4th Sep'26 3:29:00","CYBERTECH",36.43,36.52,36.97,38.04,1.61
"4th Sep'26 3:29:00","GATEWAY",32.32,32.32,33.92,33.92,1.6
"4th Sep'26 3:29:00","GANDHAR",65.01,66.18,66.47,66.6,1.59
"4th Sep'26 3:29:00","MADHAV",44.19,44.59,45.2,45.77,1.58
"4th Sep'26 3:29:00","GANESHCP",64.08,64.08,64.08,65.65,1.57
"4th Sep'26 3:29:00","DCBBANK",14.66,16.24,16.23,16.23,1.57
"4th Sep'26 3:29:00","PKTEA",64.78,65.7,66.33,66.33,1.55
"4th Sep'26 3:29:00","ZODIACLOTH",71.4,71.4,72.93,72.93,1.52
"4th Sep'26 3:29:00","KCPSUGIND",40.63,40.97,41.54,42.16,1.52
"4th Sep'26 3:29:00","TOTAL",48.23,48.23,49.74,49.74,1.51
"4th Sep'26 3:29:00","JAGSNPHARM",67.54,67.39,67.89,69.05,1.51
"4th Sep'26 3:29:00","GLOBE",32.84,34.35,34.35,34.35,1.5
"4th Sep'26 3:29:00","CONFIPET",55.89,55.89,55.89,57.38,1.5
"4th Sep'26 3:29:00","OSWALGREEN",69.19,70.01,70.66,70.66,1.46
"4th Sep'26 3:29:00","USK",65.95,65.95,67.35,67.35,1.4
"4th Sep'26 3:29:00","IMPAL",33.81,33.81,33.81,35.21,1.39
"4th Sep'26 3:29:00","SINCLAIR",62.66,62.66,63.6,64.01,1.35
"4th Sep'26 3:29:00","ATL",65.82,67.17,67.17,67.17,1.35
"4th Sep'26 3:29:00","SALONA",67.09,68.42,68.42,68.42,1.33
"4th Sep'26 3:29:00","WINDLAS",61.99,61.99,61.9,63.31,1.32
"4th Sep'26 3:29:00","UMIYA-MRO",64.18,64.43,65.02,65.44,1.26
"4th Sep'26 3:29:00","GARFIBRES",53,53.36,53.36,54.25,1.25
"4th Sep'26 3:29:00","MAHSEAMLES",69.05,69.81,70.28,70.28,1.23
"4th Sep'26 3:29:00","LIBAS",30.7,30.7,31.55,31.93,1.23
"4th Sep'26 3:29:00","SKMEGGPROD",56.25,57.43,57.47,57.47,1.22
"4th Sep'26 3:29:00","PROZONER",52.43,53.56,53.56,53.63,1.2
"4th Sep'26 3:29:00","TTL",49.91,50.3,51.02,51.11,1.2
"4th Sep'26 3:29:00","MOTOGENFIN",69.6,69.6,69.6,70.79,1.19
"4th Sep'26 3:29:00","INDOFARM",69.44,69.81,70.46,70.63,1.19
"4th Sep'26 3:29:00","SAREGAMA",59.65,60.39,60.84,60.84,1.19
"4th Sep'26 3:29:00","JKTYRE",50.55,51.72,51.72,51.72,1.17
"4th Sep'26 3:29:00","EMKAY",71.68,71.91,72.21,72.83,1.15
