"Date","Symbol","Market cap","Category","Sector","Industry","% change","Volume"
"4th Sep'26 3:29:00","OMPOWER",601.62,"smallcap","realty","transmisson line towers / equipment",2.68,75803
"4th Sep'26 3:29:00","VALIANTLAB",575.55,"smallcap","healthcare","pharmaceuticals - indian - bulk drugs & formln",4.99,71202
"4th Sep'26 3:29:00","DICIND",567.81,"smallcap","chemicals","chemicals",5.92,45846
"4th Sep'26 3:29:00","IRIS",546.95,"smallcap","i.t","computers - software - medium / small",4.72,92277
"4th Sep'26 3:29:00","SAHYADRI",429.26,"smallcap","building materials","cement products",9.11,111187
"4th Sep'26 3:29:00","FOODSIN",421.85,"smallcap","fmcg","food - processing - indian",2.34,89638
"4th Sep'26 3:29:00","MANAKSIA",413.19,"smallcap","services","trading",6.65,235473
"4th Sep'26 3:29:00","MONEYBOXX",410.48,"smallcap","financials","finance & investments",2.76,92042
"4th Sep'26 3:29:00","KAVDEFENCE",403.67,"smallcap","aerospace & defence","telecommunications - equipment",19.57,1505543
"4th Sep'26 3:29:00","MENNPIS",395.96,"smallcap","auto","auto ancillaries",3.77,261863
"4th Sep'26 3:29:00","CINELINE",362.95,"smallcap","media","entertainment / electronic media software",6.01,308404
"4th Sep'26 3:29:00","MARALOVER",256.64,"smallcap","textiles","textiles - cotton/blended",11.89,313426
"4th Sep'26 3:29:00","GENCON",254.33,"smallcap","realty","construction",5.36,345096
"4th Sep'26 3:29:00","PKTEA",248.49,"smallcap","fmcg","tea",6.77,6257
"4th Sep'26 3:29:00","CPCAP",233.47,"smallcap","financials","finance & investments",8.48,85391
"4th Sep'26 3:29:00","NITIRAJ",224.69,"smallcap","consumer discretionary","electronics - components",6.85,38842
"4th Sep'26 3:29:00","AIRAN",193.03,"smallcap","i.t","computers - software - medium / small",4.32,208770
"4th Sep'26 3:29:00","JOCIL",137.04,"smallcap","chemicals","chemicals",0.922,8078
"4th Sep'26 3:29:00","VITAL",133.46,"smallcap","chemicals","chemicals",2.26,15658
"4th Sep'26 3:29:00","PREMCO",129.2,"smallcap","textiles","textiles - products",1.4,2051
"4th Sep'26 3:29:00","SURYALAXMI",114.32,"smallcap","textiles","textiles - cotton/blended",1.27,1013
"4th Sep'26 3:29:00","BVCL",96.35,"smallcap","building materials","cement - north india",0.788,85128
"4th Sep'26 3:29:00","ZENITHSTL",83.95,"smallcap","metals & mining","steel - medium / small",9.87,845763
"4th Sep'26 3:29:00","HGM",66.29,"smallcap","i.t","computers - software - medium / small",2.11,31154
"4th Sep'26 3:29:00","LIBAS",27.56,"smallcap","fmcg","food - processing - indian",-0.191,19725
"4th Sep'26 3:29:00","HEADSUP",15.92,"smallcap","consumer discretionary","trading",7.77,52608
