"Date","Breakouts","Breakdowns","Up close %","Down close %","New 52-wk high","New 52-wk low","Net nh-nl","15% 52wh","15% 52wl","Net 15% h-l","30% 52wh","30% 52 wl","Net 30% h-l"
"10th Nov'25",14.59,14.4,35.46,46.28,2.19,4.52,-2.33,17.89,28.52,-10.62,46.88,51.54,-4.66
"7th Nov'25",11.82,12.2,42.06,30.38,1.5,5.25,-3.75,18.06,28,-9.94,47.23,51.59,-4.36
"6th Nov'25",7.88,21.63,35.12,51.41,1.5,4.32,-2.82,18.3,27.64,-9.34,47.02,50.92,-3.89
"4th Nov'25",9.62,8.73,30.24,31.72,1.88,1.88,0,20.23,24.64,-4.41,50.35,48.8,1.55
"3rd Nov'25",14.75,7.42,45.25,41.51,3.13,1.4,1.73,20.96,23.72,-2.75,50.89,47.29,3.59
"31st Oct'25",10.25,7.1,35.78,31.79,2.12,1.27,0.847,20.32,23.66,-3.34,50.52,48.17,2.35
"30th Oct'25",9.08,5.97,38.86,30.71,1.88,0.894,0.988,20.7,22.91,-2.21,50.42,47.27,3.15
"29th Oct'25",13.5,6.4,36.93,32.35,2.4,0.988,1.41,21.73,22.3,-0.564,50.61,47.6,3.01
"28th Oct'25",11.07,6.62,38.98,36.17,2.21,1.03,1.17,20.74,23.7,-2.96,49.93,48.66,1.27
"27th Oct'25",13.44,7.33,40.28,41.4,2.52,0.933,1.59,20.35,23.52,-3.17,49.74,48.2,1.54
"24th Oct'25",9.06,7.32,35.75,32.69,1.45,0.516,0.939,18.77,23.28,-4.5,49.46,48.15,1.31
"23rd Oct'25",14.51,7.75,38.84,42.42,2.58,0.329,2.25,19.39,22.72,-3.33,49.72,47.89,1.83
"21st Oct'25",15.98,2.77,29.12,10.17,1.88,0.987,0.893,19.98,23.41,-3.43,49.51,48.05,1.46
"20th Oct'25",16.07,7.24,42.15,32.9,2.15,2.43,-0.28,18.17,25.22,-7.05,47.22,49.56,-2.34
"17th Oct'25",10.95,10.24,29.61,35.78,1.55,2.02,-0.47,17.29,26.13,-8.83,46.19,50.47,-4.28
"16th Oct'25",16.68,4.93,34.08,33.33,1.6,1.32,0.282,17.72,25.28,-7.57,47.46,49.11,-1.64
"15th Oct'25",15.89,6.35,40.24,34.81,1.32,2.44,-1.13,17.35,26.38,-9.03,46.5,49.51,-3.01
"14th Oct'25",7.76,15.8,32.73,37.8,1.18,3.2,-2.02,16.46,27.61,-11.15,45.91,51.46,-5.55
"13th Oct'25",8.43,10.31,34.44,37.73,1.22,1.69,-0.469,17.9,24.93,-7.03,47.52,48.83,-1.31
"10th Oct'25",16.22,5.52,35.17,30.77,1.46,0.99,0.471,18.58,23.39,-4.81,48.04,47.62,0.424
"9th Oct'25",12.48,7.11,44.15,46.36,1.32,1.93,-0.612,18.46,24.78,-6.31,47.29,48.23,-0.942
"8th Oct'25",13.33,6.78,36.4,31.25,1.55,1.98,-0.424,18.09,24.73,-6.64,47.53,48.37,-0.848
"7th Oct'25",12.02,7.59,38.82,37.27,1.79,1.93,-0.141,18.15,23.57,-5.42,47.48,48.33,-0.849
"6th Oct'25",13.55,8.89,38.89,33.86,2.21,1.18,1.03,17.97,23.52,-5.55,47.13,47.98,-0.847
"3rd Oct'25",19.46,4.68,43.45,23.23,1.94,0.709,1.23,17.71,22.58,-4.87,47.52,47.52,0
"1st Oct'25",19.91,4.21,45.61,16.85,1.32,1.32,0,16.75,24.27,-7.52,45.93,49.15,-3.22
"30th Sep'25",12.81,8.49,25.56,32.4,1.09,2.04,-0.949,14.75,26.38,-11.62,44.21,51.33,-7.12
"29th Sep'25",15.83,11.58,26.27,42.04,1.37,2.79,-1.42,14.98,26.28,-11.29,44.28,51.23,-6.95
"26th Sep'25",5.81,24.18,23.77,46.06,1.05,3.57,-2.52,14.9,25.56,-10.66,44.65,50.98,-6.33
"25th Sep'25",8.77,9.63,32.61,39.11,1.24,1.76,-0.524,17.64,21.5,-3.86,46.9,47.43,-0.524
"24th Sep'25",9.96,7.91,35.41,37.95,2.29,1.05,1.24,18.73,19.64,-0.906,48.57,46.09,2.48
"23rd Sep'25",12.12,6.2,40.94,34.62,2,0.859,1.15,19.75,17.7,2.05,49.28,44.51,4.77
"22nd Sep'25",13.05,9.4,37.45,37.88,2.04,0.807,1.23,20.46,16.99,3.46,49.36,44.14,5.22
"19th Sep'25",12.74,6.25,40.45,29.01,1.58,0.621,0.955,20.24,16.37,3.87,50.17,42.91,7.26
"18th Sep'25",12.7,4.96,33.08,33.65,1.67,0.239,1.43,20.19,16.47,3.72,49.21,43.1,6.11
"17th Sep'25",15.43,4.16,34.67,37.93,1.77,0.191,1.58,20.16,16.44,3.73,48.59,43.72,4.87
"16th Sep'25",14.46,3.06,41.72,31.25,2.01,0.192,1.82,19.48,17.66,1.82,48.06,44.33,3.73
"15th Sep'25",14.81,5,44.37,28.57,2.14,0.429,1.71,18.95,18.62,0.333,47.33,45.57,1.76
"12th Sep'25",11.34,5.69,35.87,27.73,1.63,0.287,1.34,18.42,19.23,-0.813,46.32,46.84,-0.526
"11th Sep'25",13.06,6.36,34.07,35.34,0.957,0.239,0.718,18.04,19,-0.957,45.65,46.27,-0.622
"10th Sep'25",18.18,6.08,37.63,33.86,1.05,0.048,1,17.89,19.19,-1.29,45.12,46.79,-1.67
"9th Sep'25",13.83,7.08,34.6,40.54,2.2,0.622,1.58,17.61,21.15,-3.54,44.16,47.56,-3.4
"8th Sep'25",20.2,6.62,40.8,33.09,2.81,0.429,2.38,17.53,20.58,-3.05,43.83,48.02,-4.19
"5th Sep'25",14.07,6.36,39.8,26.32,1.77,0.622,1.15,16.79,21.48,-4.69,43.68,49.23,-5.55
"4th Sep'25",16.04,7.47,24.48,33.97,2.39,0.479,1.91,16.56,21.11,-4.55,42.84,49.5,-6.65
"3rd Sep'25",18.4,4.12,46.88,25.58,1.92,0.527,1.39,17.2,19.84,-2.64,43.94,48.49,-4.55
"2nd Sep'25",22.11,5.13,40.13,34.58,1.39,0.671,0.719,15.97,21.25,-5.28,42.59,50.36,-7.77
"1st Sep'25",21.98,5.3,42.39,27.03,1.43,1.15,0.287,15.34,23.41,-8.07,41.95,51.12,-9.17
"29th Aug'25",11.97,7.35,31.33,30.07,0.673,2.16,-1.49,13.65,25.8,-12.16,40.56,53.39,-12.83
"28th Aug'25",8.69,13.35,27.62,43.17,0.768,2.21,-1.44,13.93,24.64,-10.71,40.2,53.12,-12.92
"26th Aug'25",7.3,16.43,26.97,37.13,0.817,1.54,-0.721,14.94,23.34,-8.41,41.45,51.83,-10.37
"25th Aug'25",14.56,7.76,38.16,41.36,2.01,0.431,1.58,16.57,20.4,-3.83,43.15,48.47,-5.32
"22nd Aug'25",10.68,6.79,37.39,24.82,1.88,0.481,1.4,16.51,20.16,-3.66,43.6,47.88,-4.28
"21st Aug'25",14.39,5.63,33.44,29.91,1.97,0.337,1.64,16.94,18.72,-1.78,43.74,47.02,-3.27
"20th Aug'25",17.71,4.81,46.74,22,2.07,0.289,1.78,16.99,18.43,-1.44,43.89,47.16,-3.27
"19th Aug'25",19.03,5.06,48.61,26.67,1.78,0.674,1.11,16.47,19.8,-3.32,43.02,48.65,-5.64
"18th Aug'25",27.67,8.44,38.13,33.52,2.35,1.29,1.06,15.4,22.45,-7.05,41.73,49.64,-7.91
"14th Aug'25",12.63,13.31,28.24,44.2,1.21,2.12,-0.916,14.08,24.25,-10.17,40.12,51.54,-11.43
"13th Aug'25",18.05,9.46,40.11,39.29,1.4,1.83,-0.434,14.62,23.02,-8.4,41.07,50.14,-9.07
"12th Aug'25",17.41,8.78,31.3,45.05,0.916,1.4,-0.482,14.04,22.96,-8.92,40.28,50.75,-10.47
"11th Aug'25",16,12.97,40.54,37.41,1.11,2.4,-1.3,14.08,23.11,-9.03,40.51,50.74,-10.24
"8th Aug'25",13.27,13.84,26.91,39.37,0.965,1.98,-1.01,13.89,22.91,-9.02,40.04,51.09,-11.05
"7th Aug'25",11.14,17.41,34.63,24.93,1.01,2.99,-1.98,14.95,21.27,-6.32,41.49,48.72,-7.24
"6th Aug'25",9.36,17.27,28.35,39.11,0.916,2.03,-1.11,15.05,20.79,-5.74,42.21,47.9,-5.69
"5th Aug'25",10.91,8.64,32.74,36.31,1.45,0.965,0.483,16.17,18.05,-1.88,43.87,45.75,-1.88
"4th Aug'25",17.29,9.54,41.78,34.34,1.4,1.25,0.144,16.57,17.39,-0.819,43.93,45.13,-1.2
"1st Aug'25",11.27,18.18,24.03,48.14,1.98,0.919,1.06,15.86,17.7,-1.84,43.23,46.03,-2.8
"31st Jul'25",10.87,16.7,36.16,23.84,1.94,1.12,0.825,17.72,15.78,1.94,44.71,42.86,1.84
"30th Jul'25",15.01,6.56,42.07,34.81,2.58,0.68,1.9,18.17,14.43,3.74,45.92,41.4,4.52
"29th Jul'25",18.23,6.85,48.27,23.4,1.65,1.26,0.389,17.79,14.73,3.06,45.75,41.13,4.62
"28th Jul'25",9.22,22.4,25.13,45.91,1.74,1.11,0.628,16.56,15.55,1.01,44.28,43.22,1.06
"25th Jul'25",6.37,19.01,30.53,41.18,1.22,0.681,0.535,18.04,12.64,5.4,46.77,38.89,7.88
"24th Jul'25",9.38,7.78,37.82,38.13,2.09,0.438,1.65,19.54,10.35,9.19,48.42,35.2,13.22
"23rd Jul'25",9.63,7,35.86,34.03,1.65,0.389,1.26,20.43,9.39,11.04,49.56,34.14,15.42
"22nd Jul'25",11.04,5.74,36.12,44.07,1.9,0.195,1.7,20.43,9.73,10.7,48.78,33.75,15.03
"21st Jul'25",11.21,7.64,37.07,41.14,2.22,0.193,2.03,20.88,8.94,11.94,48.91,33.64,15.27
"18th Jul'25",8.76,4.77,41.11,33.67,1.95,0.049,1.9,20.3,8.52,11.78,49.42,33.11,16.31
"17th Jul'25",12.27,4.19,36.51,29.07,1.95,0.049,1.9,20.74,8.28,12.46,50.24,32.04,18.21
"16th Jul'25",14.13,4,45.17,31.71,2,0.098,1.9,20.86,8.58,12.28,49.46,32.16,17.3
"15th Jul'25",16.43,2.78,43.32,42.11,2.44,0.292,2.15,20.77,9.12,11.65,48.66,33.59,15.07
"14th Jul'25",11.39,6.83,44.68,31.91,1.79,0.484,1.31,19.33,9.84,9.5,47.04,34.69,12.35
"11th Jul'25",8.44,6.59,34.68,28.15,1.22,0.342,0.878,18.94,9.86,9.08,47.14,34.65,12.49
"10th Jul'25",11.14,3.57,46.49,26.03,1.32,0.244,1.08,19.89,9.09,10.8,47.95,33.33,14.61
"9th Jul'25",12.21,3.96,42.8,25.93,1.27,0.244,1.03,19.39,9.28,10.11,47.53,34.15,13.39
"8th Jul'25",11.38,6.69,37.34,29.93,1.37,0.488,0.879,19.14,9.33,9.81,47.31,34.08,13.23
"7th Jul'25",12,7.77,42.91,38.75,1.51,0.437,1.07,19.28,9.13,10.15,47.4,33.8,13.6
"4th Jul'25",12.79,4.69,40.84,28.13,1.51,0.293,1.22,19.52,8.93,10.59,47.93,33.82,14.1
"3rd Jul'25",12.2,4.25,42.4,35.63,1.81,0.293,1.51,19.08,9.32,9.76,47.78,35.14,12.64
"2nd Jul'25",10.45,6.06,45.33,35.48,1.71,0.293,1.42,18.81,9.87,8.94,47.14,34.49,12.65
"1st Jul'25",13.74,4.89,43.77,41,2.69,0.293,2.4,18.97,9.63,9.34,47.19,34.62,12.57
"30th Jun'25",18.18,5.41,49.33,29.73,2.49,0.536,1.95,19.15,8.92,10.23,46.83,34.45,12.38
"27th Jun'25",15.59,4.95,44.34,25.74,2.35,0.441,1.91,18.04,9.66,8.38,45.78,35.69,10.1
"26th Jun'25",12.11,4.81,38.06,31.63,2.16,0.343,1.81,17.26,9.71,7.55,45.12,36.34,8.78
"25th Jun'25",22.55,2.84,47.83,36.21,1.37,0.294,1.08,16.72,10,6.72,44.95,36.72,8.24
"24th Jun'25",24.51,4.36,27.8,42.7,1.18,0.588,0.588,15.2,11.67,3.53,42.79,39.56,3.24
"23rd Jun'25",12.13,10.04,41.37,26.21,1.22,0.536,0.682,14.43,12.82,1.61,41.62,42.5,-0.877
"20th Jun'25",15.48,6.52,40.51,27.82,0.784,0.735,0.049,13.96,12.84,1.13,41.16,42.23,-1.08
"19th Jun'25",6.57,22.27,22.39,39.43,0.785,0.785,0,13.24,14.12,-0.883,40.17,44.68,-4.51
"18th Jun'25",9.48,7.42,34.2,35.1,1.18,0.344,0.835,14.83,11.05,3.78,42.93,39.73,3.19
"17th Jun'25",10.95,9.14,33.63,46.24,1.47,0.295,1.18,14.98,9.77,5.21,44.11,39,5.11
"16th Jun'25",11.43,10.7,47.44,15.98,1.51,0.391,1.12,15.58,9.14,6.45,44.85,36.44,8.4
"13th Jun'25",8.3,20.79,39.05,14.42,1.03,0.59,0.442,15.14,8.94,6.19,44.18,37.25,6.93
"12th Jun'25",11.55,13.02,30.21,37.36,1.62,0.147,1.47,15.68,7.42,8.26,45.45,34.1,11.35
"11th Jun'25",23.06,5.25,38.3,28.04,2.11,0.147,1.96,16.78,6.58,10.21,47.45,30.18,17.27
"10th Jun'25",17.04,4.17,44.09,31.76,2.65,0.197,2.46,17.29,7.22,10.07,46.81,30.75,16.06
"9th Jun'25",25.51,4.02,42.42,29.27,2.4,0.245,2.15,17.04,7.44,9.6,46.23,30.9,15.33
"6th Jun'25",18.06,6.18,44.84,26.98,2.36,0.147,2.21,15.75,8.93,6.82,44.21,34.05,10.16
"5th Jun'25",18.16,3.39,43.78,18.84,2.16,0.245,1.91,15.01,9.81,5.2,42.93,35.62,7.31
"4th Jun'25",14.77,6.23,46.84,33.07,1.72,0.393,1.32,14.33,9.81,4.51,42.3,37,5.3
"3rd Jun'25",14.68,6.43,34.45,38.17,1.47,0.295,1.18,14.48,10.31,4.17,41.58,37.46,4.12
"2nd Jun'25",18.81,10.63,47.14,32.72,2.25,0.196,2.06,14.75,9.75,5,41.94,37.09,4.85
"30th May'25",15.83,10.6,38.01,39.53,2.22,0.395,1.82,14,9.81,4.19,41.17,37.52,3.65
"29th May'25",15.09,8.28,44.12,44.64,1.73,0.345,1.38,14.2,8.93,5.28,41.81,37.28,4.54
"28th May'25",15.25,7.65,46.6,35.48,1.63,0.247,1.38,14.07,8.69,5.38,41.12,37.22,3.9
"27th May'25",13.57,5.92,43.27,40,1.14,0.148,0.987,13.77,8.44,5.33,41.16,38.4,2.76
"26th May'25",18.86,7.71,41.15,36.94,1.77,0.098,1.67,13.75,8.25,5.5,40.62,37.92,2.7
"23rd May'25",16.6,6.52,40.18,36.36,1.63,0.148,1.48,13.14,8.75,4.4,40.17,39.23,0.939
"22nd May'25",11.8,7.06,46.44,39.16,1.19,0.148,1.04,12.89,9.93,2.96,38.91,41.28,-2.37
"21st May'25",14.07,7.31,39.65,37.16,1.04,0.247,0.79,13.04,9.19,3.85,39.11,41.19,-2.07
"20th May'25",13.44,13.74,30.51,46.76,1.33,0.198,1.14,12.75,9.24,3.51,38.29,42.09,-3.8
"19th May'25",30.75,5.89,41.37,39.17,1.96,0.147,1.82,13.61,6.93,6.68,39,38.8,0.197
"16th May'25",24.59,5.43,53.41,31.82,1.48,0.049,1.43,12.4,8.59,3.8,38.07,42.22,-4.15
"15th May'25",23.32,4.74,49.15,38.54,1.53,0.049,1.48,12.01,10.92,1.09,36.36,44.37,-8
"14th May'25",29.99,3.11,49.75,22.22,1.63,0.099,1.53,11.12,12.85,-1.73,34.34,47.73,-13.39
"13th May'25",27.31,4.64,45.39,26.6,0.938,0.148,0.79,10.12,17.63,-7.51,32.35,52.59,-20.25
"12th May'25",81.92,2.65,73.85,27.78,1.23,0.295,0.934,9.68,20.59,-10.91,30.76,54.69,-23.93
"9th May'25",8.1,37.43,32.93,15.04,0.346,3.95,-3.6,7.01,35.9,-28.89,25.48,62.91,-37.43
"8th May'25",21.48,14.91,16.55,32.12,0.79,1.53,-0.741,7.31,32.99,-25.68,25.98,62.37,-36.4
"7th May'25",15.59,16.13,37.03,16.51,0.543,2.71,-2.17,7.79,31.23,-23.43,26.94,60.78,-33.84
