"Date","Symbol","Ltp","Vwap"
"4th Sep'26 3:29:00","HAWKINCOOK",8406.5,8337.22
"4th Sep'26 3:29:00","DRAGARWQ",5422.5,5389.74
"4th Sep'26 3:29:00","YASHO",4134.1,4077.62
"4th Sep'26 3:29:00","TCPLPACK",4091.9,4087.7
"4th Sep'26 3:29:00","KIRLOSIND",3731.5,3719.34
"4th Sep'26 3:29:00","RPGLIFE",2721.6,2690.23
"4th Sep'26 3:29:00","SPECTRUM",2368.4,2349.99
"4th Sep'26 3:29:00","THEJO",2125.3,2116.17
"4th Sep'26 3:29:00","NILKAMAL",2116.5,2107.79
"4th Sep'26 3:29:00","ARMANFIN",2069.3,2057.88
"4th Sep'26 3:29:00","GRPLTD",2013,2005.15
"4th Sep'26 3:29:00","BOSCH-HCIL",1818.8,1796.07
"4th Sep'26 3:29:00","SEAMECLTD",1793.6,1790.55
"4th Sep'26 3:29:00","AKCAPIT",1736.9,1725.85
"4th Sep'26 3:29:00","WHEELS",1724.9,1716.28
"4th Sep'26 3:29:00","TATVA",1678.5,1652.26
"4th Sep'26 3:29:00","VENUSPIPES",1631,1624.63
"4th Sep'26 3:29:00","XPROINDIA",1325.1,1312.28
"4th Sep'26 3:29:00","BUILDPRO",1298.2,1297.27
"4th Sep'26 3:29:00","RML",1295.9,1294.58
"4th Sep'26 3:29:00","MAHASTEEL",1282.5,1231.66
"4th Sep'26 3:29:00","DIVGIITTS",1235.8,1230.57
"4th Sep'26 3:29:00","POLYPLEX",1191,1189.51
"4th Sep'26 3:29:00","CHEVIOT",1159.4,1154.1
"4th Sep'26 3:29:00","DIAMONDYD",1158.3,1152.98
"4th Sep'26 3:29:00","INDNIPPON",1158.2,1139.63
"4th Sep'26 3:29:00","ROSSTECH",1150.5,1147.11
"4th Sep'26 3:29:00","IMPAL",1114.6,1103.69
"4th Sep'26 3:29:00","TTKHLTCARE",1100.2,1098.24
"4th Sep'26 3:29:00","SPAL",1071.1,1050.29
"4th Sep'26 3:29:00","SAKAR",1013.9,1004.71
"4th Sep'26 3:29:00","ARIHANT",953.15,949.45
"4th Sep'26 3:29:00","STOVEKRAFT",832.55,832.5
"4th Sep'26 3:29:00","ARROWGREEN",814.1,803.43
"4th Sep'26 3:29:00","RISHABH",738.45,730.29
"4th Sep'26 3:29:00","MOLDTKPAC",706.65,705.17
"4th Sep'26 3:29:00","SGFIN",675.7,674.84
"4th Sep'26 3:29:00","DOLPHIN",674,661.88
"4th Sep'26 3:29:00","JINDRILL",663.05,662.85
"4th Sep'26 3:29:00","SCPL",646.45,643.93
"4th Sep'26 3:29:00","SOLARA",639.15,636.56
"4th Sep'26 3:29:00","NITINSPIN",639.05,638.97
"4th Sep'26 3:29:00","SHANTIGEAR",621.75,621.18
"4th Sep'26 3:29:00","STEL",607.9,606.92
"4th Sep'26 3:29:00","SGIL",606.2,603.19
"4th Sep'26 3:29:00","GCSL",595.15,588.07
"4th Sep'26 3:29:00","KAPSTON",584.05,583.31
"4th Sep'26 3:29:00","NRAIL",584,570.86
"4th Sep'26 3:29:00","KABRAEXTRU",579.15,576.3
"4th Sep'26 3:29:00","SANGAMIND",578.8,577.95
"4th Sep'26 3:29:00","IGPL",567.4,563.99
"4th Sep'26 3:29:00","VOEPL",553.2,549.45
"4th Sep'26 3:29:00","GNA",551.05,547.88
"4th Sep'26 3:29:00","MATRIMONY",529.05,528.88
"4th Sep'26 3:29:00","PNGSREVA",516.35,514.11
"4th Sep'26 3:29:00","KKCL",514.3,507.59
"4th Sep'26 3:29:00","LANDMARK",510.15,507.96
"4th Sep'26 3:29:00","ARIES",500.1,496.61
"4th Sep'26 3:29:00","RAJRATAN",498.35,493.66
"4th Sep'26 3:29:00","PANAMAPET",495.45,489.95
"4th Sep'26 3:29:00","UNIVPHOTO",490.4,486.09
"4th Sep'26 3:29:00","TBZ",480.85,472.33
"4th Sep'26 3:29:00","HARSHA",454.35,453.1
"4th Sep'26 3:29:00","JNKINDIA",445.05,445.01
"4th Sep'26 3:29:00","GUFICBIO",444.9,442.63
"4th Sep'26 3:29:00","RUBYMILLS",428.3,423.27
"4th Sep'26 3:29:00","GOCLCORP",427.45,427.13
"4th Sep'26 3:29:00","SOFTTECH",423.15,422.15
"4th Sep'26 3:29:00","ORIENTBELL",420.1,417.71
"4th Sep'26 3:29:00","TALBROAUTO",407.75,406.81
"4th Sep'26 3:29:00","MAHLOG",405.35,404.7
"4th Sep'26 3:29:00","MMP",404.15,397.07
"4th Sep'26 3:29:00","STYLEBAAZA",400.25,399.17
"4th Sep'26 3:29:00","SMSPHARMA",392.5,389.38
"4th Sep'26 3:29:00","MODIS",380.85,380.23
"4th Sep'26 3:29:00","MONARCH",377.9,377.41
"4th Sep'26 3:29:00","BIRLACABLE",376.55,376.54
"4th Sep'26 3:29:00","VSSL",364.15,360.69
"4th Sep'26 3:29:00","HITECHCORP",337,334.79
"4th Sep'26 3:29:00","STEELCAS",328.05,324.58
"4th Sep'26 3:29:00","SAYAJIHOTL",319.35,318.36
"4th Sep'26 3:29:00","RATNAVEER",304.75,300.94
"4th Sep'26 3:29:00","GREENPLY",304.7,302.64
"4th Sep'26 3:29:00","BHAGERIA",304.65,301.85
"4th Sep'26 3:29:00","CLSEL",301.9,301.31
"4th Sep'26 3:29:00","COMSYN",301.3,300.01
"4th Sep'26 3:29:00","PRIMESECU",284.5,284.42
"4th Sep'26 3:29:00","SIMPLEXINF",270.5,269.28
"4th Sep'26 3:29:00","DHARMAJ",270.05,268.67
"4th Sep'26 3:29:00","MAZDA",270,267.68
"4th Sep'26 3:29:00","RAMBHAJO",268.68,261.47
"4th Sep'26 3:29:00","GANDHAR",267.6,265.75
"4th Sep'26 3:29:00","SREEL",265.52,264.42
"4th Sep'26 3:29:00","PPL",262,260.34
"4th Sep'26 3:29:00","INDOSTAR",258.66,258.62
"4th Sep'26 3:29:00","SHANTIGOLD",256.34,255.08
"4th Sep'26 3:29:00","HUHTAMAKI",255,254.91
"4th Sep'26 3:29:00","VERANDA",242.63,241.4
"4th Sep'26 3:29:00","JAGSNPHARM",242.06,240.93
"4th Sep'26 3:29:00","UEL",241.6,239.8
"4th Sep'26 3:29:00","UDS",239.03,236.34
"4th Sep'26 3:29:00","XTRANET",234.24,225.98
"4th Sep'26 3:29:00","20MICRONS",222.49,221.03
"4th Sep'26 3:29:00","MOLDTECH",208.96,208.43
"4th Sep'26 3:29:00","RBZJEWEL",200.69,199.8
"4th Sep'26 3:29:00","HINDOILEXP",185,182.75
"4th Sep'26 3:29:00","KRONOX",184.69,184.51
"4th Sep'26 3:29:00","KILITCH",180.95,178.62
"4th Sep'26 3:29:00","EXICOM",177.85,175.89
"4th Sep'26 3:29:00","UNIVASTU",168.34,167.82
"4th Sep'26 3:29:00","MBAPL",166.12,163.98
"4th Sep'26 3:29:00","SHINDL",162.42,161.03
"4th Sep'26 3:29:00","RELTD",161.37,159.53
"4th Sep'26 3:29:00","GPTHEALTH",158.17,156.14
