"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtr"
"4th Sep'26 3:29:00","HFCL",7.48,7.48,7.08,15.74,8.26
"4th Sep'26 3:29:00","TEMBO",0.31,8.62,8.58,8.48,8.17
"4th Sep'26 3:29:00","FEDFINA",1.17,0.909,0.658,9.31,8.14
"4th Sep'26 3:29:00","PFOCUS",20.64,28.92,28.25,28.29,7.65
"4th Sep'26 3:29:00","SOUTHBANK",17.91,20.94,24.21,25.39,7.48
"4th Sep'26 3:29:00","SUPREMEINF",8.55,8.55,15.65,15.77,7.22
"4th Sep'26 3:29:00","BIOCON",6.61,7.39,13.2,13.78,7.17
"4th Sep'26 3:29:00","GUJENERGY",3.71,3.82,3.98,10.86,7.15
"4th Sep'26 3:29:00","AWL",14.11,21.15,21.86,21.09,6.98
"4th Sep'26 3:29:00","STLTECH",11.28,10.93,11.47,18.22,6.94
"4th Sep'26 3:29:00","GVT&D",16.15,18.46,20.39,22.89,6.74
"4th Sep'26 3:29:00","JAMNAAUTO",2.36,5.2,9.25,9.01,6.65
"4th Sep'26 3:29:00","GOLDTECH",0.001,0.009,6.43,6.42,6.42
"4th Sep'26 3:29:00","CHENNPETRO",8.8,12.87,12.59,14.99,6.19
"4th Sep'26 3:29:00","GESHIP",24.88,25.71,28.45,31.03,6.15
"4th Sep'26 3:29:00","BAJAJCON",10.12,9.7,16.59,16.11,5.99
"4th Sep'26 3:29:00","NIBE",4.78,5.98,8.66,10.59,5.82
"4th Sep'26 3:29:00","NATIONALUM",16.22,19.67,22.28,21.99,5.77
"4th Sep'26 3:29:00","PCJEWELLER",6.46,6.3,9.52,12.15,5.69
"4th Sep'26 3:29:00","INTENTECH",1.38,6.96,6.89,6.87,5.5
"4th Sep'26 3:29:00","EASEMYTRIP",0.646,0.595,1.57,6.09,5.45
"4th Sep'26 3:29:00","MICEL",0.164,0.161,1.84,5.58,5.42
"4th Sep'26 3:29:00","VARDMNPOLY",0.329,0.461,5.63,5.63,5.3
"4th Sep'26 3:29:00","SHRIRAMFIN",49.61,47.22,45.15,54.77,5.16
"4th Sep'26 3:29:00","BSE",16.25,17.45,19.42,21.32,5.07
"4th Sep'26 3:29:00","VMM",15.39,15.52,22.01,20.43,5.04
"4th Sep'26 3:29:00","POLYCAB",13.97,14.82,18.21,19,5.03
"4th Sep'26 3:29:00","ACUTAAS",16.85,16.67,19.48,21.61,4.76
"4th Sep'26 3:29:00","DECCANCE",9.93,12.86,14.3,14.65,4.72
"4th Sep'26 3:29:00","VEDL",11.12,12.19,13.97,15.82,4.69
"4th Sep'26 3:29:00","NRBBEARING",14.28,14.12,14.69,18.93,4.64
"4th Sep'26 3:29:00","AFSL",16.15,17.03,19.02,20.71,4.56
"4th Sep'26 3:29:00","BAJAJINDEF",1.56,1.56,1.57,6.11,4.55
"4th Sep'26 3:29:00","MEGASTAR",1.08,1.06,1.72,5.52,4.44
"4th Sep'26 3:29:00","ZOTA",3.49,8.09,8.21,7.92,4.43
"4th Sep'26 3:29:00","SAGILITY",5.59,10.25,10.02,9.99,4.39
"4th Sep'26 3:29:00","ASTRAMICRO",8.23,8.03,9.32,12.5,4.27
"4th Sep'26 3:29:00","ELECTHERM",20.76,21.58,21.56,24.98,4.22
"4th Sep'26 3:29:00","SHAILY",14.21,12,16.74,18.18,3.97
"4th Sep'26 3:29:00","SHRIRAMPPS",2.89,3.56,6.06,6.85,3.95
"4th Sep'26 3:29:00","GRMOVER",3.36,4.92,9.5,7.28,3.92
"4th Sep'26 3:29:00","JSWINFRA",7.31,7.13,6.92,11.21,3.9
"4th Sep'26 3:29:00","HOMEFIRST",43.45,44.27,49.16,47.33,3.88
"4th Sep'26 3:29:00","UPL",39.9,40.99,43.1,43.71,3.8
"4th Sep'26 3:29:00","ZEEMEDIA",16.01,15.01,16.04,19.75,3.75
"4th Sep'26 3:29:00","AAREYDRUGS",1.13,3.86,4.18,4.8,3.67
"4th Sep'26 3:29:00","IDEAFORGE",1.52,0.663,1.2,5.15,3.62
"4th Sep'26 3:29:00","KIRLPNU",6.81,6.73,9.56,10.4,3.58
"4th Sep'26 3:29:00","HINDALCO",33.55,33.78,35.58,37.05,3.5
"4th Sep'26 3:29:00","MAHABANK",2.34,4.93,5.55,5.81,3.47
"4th Sep'26 3:29:00","GRANULES",14.09,13.55,15.31,17.5,3.41
"4th Sep'26 3:29:00","KRN",5.46,5.3,6.67,8.86,3.4
"4th Sep'26 3:29:00","CGCL",4.83,4.5,5.62,8.21,3.38
"4th Sep'26 3:29:00","SAIL",3.76,4.53,5.01,7.09,3.32
"4th Sep'26 3:29:00","RNBDENIMS",0.558,0.628,2.07,3.85,3.29
"4th Sep'26 3:29:00","BHEL",6.23,6.29,7.23,9.51,3.28
