"Date","Symbol","% 3 qtr ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtr"
"4th Sep'26 3:29:00","SWANDEF",0.025,0.007,0.605,0.676,0.651
"4th Sep'26 3:29:00","GRWRHITECH",3.58,3.96,3.98,4.22,0.647
"4th Sep'26 3:29:00","MMFL",1.8,1.74,1.86,2.44,0.639
"4th Sep'26 3:29:00","GENCON",0.005,0.009,0.34,0.639,0.635
"4th Sep'26 3:29:00","RAMKY",1.3,1.23,1.85,1.92,0.626
"4th Sep'26 3:29:00","HAPPSTMNDS",5.39,5.89,5.94,6,0.62
"4th Sep'26 3:29:00","KRSNAA",3.67,4.17,3.91,4.28,0.618
"4th Sep'26 3:29:00","PRIVISCL",1.33,1.64,1.38,1.94,0.614
"4th Sep'26 3:29:00","GRASIM",16.56,16.79,17.18,17.17,0.611
"4th Sep'26 3:29:00","PREMEXPLN",1.07,0.905,1.18,1.67,0.604
"4th Sep'26 3:29:00","WAAREERTL",1.38,1.7,1.85,1.98,0.6
"4th Sep'26 3:29:00","FINKURVE",6.7,6.7,7.03,7.3,0.592
"4th Sep'26 3:29:00","AARTIIND",6.4,6.69,7.38,6.99,0.591
"4th Sep'26 3:29:00","THYROCARE",4.85,4.95,5.37,5.44,0.589
"4th Sep'26 3:29:00","SASKEN",18.53,18.87,18.54,19.11,0.586
"4th Sep'26 3:29:00","JAICORPLTD",0.91,0.706,0.795,1.49,0.583
"4th Sep'26 3:29:00","VGL",0,0.004,0.009,0.579,0.579
"4th Sep'26 3:29:00","MINDACORP",8.73,9.09,8.8,9.3,0.575
"4th Sep'26 3:29:00","COUNCODOS",0.108,0.108,0.108,0.678,0.571
"4th Sep'26 3:29:00","LGBBROSLTD",5.85,7,6.61,6.42,0.568
"4th Sep'26 3:29:00","MBAPL",0.107,0.428,0.187,0.667,0.561
"4th Sep'26 3:29:00","IREDA",1.92,2.07,2.14,2.48,0.561
"4th Sep'26 3:29:00","KPRMILL",6.61,6.63,6.77,7.16,0.556
"4th Sep'26 3:29:00","MARKSANS",16.92,16.74,16.76,17.47,0.551
"4th Sep'26 3:29:00","NMDC",13.04,13.47,13.6,13.59,0.551
"4th Sep'26 3:29:00","RICOAUTO",3.03,2.01,2.14,3.58,0.55
"4th Sep'26 3:29:00","SAMMAANCAP",19.05,24.94,17.8,19.6,0.549
"4th Sep'26 3:29:00","MANINDS",2.32,3.35,2.41,2.87,0.546
"4th Sep'26 3:29:00","AVROIND",6.29,6.46,6.9,6.84,0.545
"4th Sep'26 3:29:00","TATVA",3.39,4.17,3.82,3.93,0.541
"4th Sep'26 3:29:00","TALBROAUTO",0.723,0.616,0.487,1.26,0.54
"4th Sep'26 3:29:00","PTCIL",3.41,3.86,3.96,3.95,0.536
"4th Sep'26 3:29:00","SWELECTES",0.044,0.216,0.226,0.578,0.534
"4th Sep'26 3:29:00","JUBLINGREA",5.96,6.15,6.49,6.49,0.532
"4th Sep'26 3:29:00","JSWDULUX",7.97,8.66,8.44,8.5,0.521
"4th Sep'26 3:29:00","ZENTEC",5.95,5.55,5.99,6.46,0.518
"4th Sep'26 3:29:00","BIRLANU",3.85,4.26,4.49,4.36,0.513
"4th Sep'26 3:29:00","HEG",7.96,8.53,10.24,8.47,0.51
"4th Sep'26 3:29:00","MASFIN",3.18,3.13,3.46,3.68,0.506
"4th Sep'26 3:29:00","VINEETLAB",0,0,0.359,0.498,0.498
"4th Sep'26 3:29:00","GOKUL",0.29,0.284,0.272,0.784,0.494
"4th Sep'26 3:29:00","SILGO",0.001,0,0.012,0.493,0.492
"4th Sep'26 3:29:00","DMART",8.73,8.71,9,9.23,0.491
"4th Sep'26 3:29:00","CLSEL",2.81,3.08,3.09,3.3,0.49
"4th Sep'26 3:29:00","PRIMESECU",4.48,4.47,4.93,4.97,0.485
"4th Sep'26 3:29:00","NEULANDLAB",20.6,20.9,20.46,21.08,0.479
"4th Sep'26 3:29:00","NESTLEIND",9.82,9.81,9.74,10.29,0.477
"4th Sep'26 3:29:00","TPLPLASTEH",0.002,0.449,0.496,0.471,0.469
"4th Sep'26 3:29:00","BBOX",4.22,3.44,3.26,4.69,0.468
"4th Sep'26 3:29:00","AURIONPRO",16.57,17.79,17.31,17.04,0.465
"4th Sep'26 3:29:00","SHILPAMED",10.92,10.97,11.08,11.38,0.462
"4th Sep'26 3:29:00","ASIANENE",0.939,1.09,1.34,1.4,0.46
"4th Sep'26 3:29:00","HUDCO",1.94,1.97,2.22,2.4,0.457
"4th Sep'26 3:29:00","NAVKARCORP",0.216,0.217,0.171,0.67,0.454
"4th Sep'26 3:29:00","AERONEU",3.67,3.69,4.12,4.12,0.452
"4th Sep'26 3:29:00","CENTUM",2.86,2.39,2.37,3.31,0.449
"4th Sep'26 3:29:00","AUTOIND",7.61,7.75,7.8,8.05,0.448
"4th Sep'26 3:29:00","REPCOHOME",11.91,12.68,13.37,12.35,0.446
"4th Sep'26 3:29:00","HEMIPROP",0.631,0.788,1.66,1.08,0.445
"4th Sep'26 3:29:00","VADILALIND",0.574,0.569,0.582,1.02,0.444
"4th Sep'26 3:29:00","MODISONLTD",0.481,0.481,0.483,0.924,0.444
"4th Sep'26 3:29:00","63MOONS",1.17,1.08,1.3,1.61,0.441
"4th Sep'26 3:29:00","BLSE",0.207,0.993,0.453,0.644,0.436
"4th Sep'26 3:29:00","RAILTEL",3.55,3.68,3.72,3.98,0.434
"4th Sep'26 3:29:00","TIRUPATIFL",0.02,0.02,0.78,0.452,0.432
"4th Sep'26 3:29:00","JPPOWER",6.33,6.51,6.59,6.76,0.426
"4th Sep'26 3:29:00","SEPC",0.614,0.599,0.957,1.04,0.425
"4th Sep'26 3:29:00","INTLCONV",0.195,0.369,0.854,0.616,0.421
"4th Sep'26 3:29:00","PNB",5.52,5.67,5.94,5.93,0.417
"4th Sep'26 3:29:00","FCL",2.51,2.34,2.52,2.92,0.415
"4th Sep'26 3:29:00","HPL",0.338,0.275,0.51,0.75,0.412
"4th Sep'26 3:29:00","VSTIND",1.38,1.23,1.34,1.79,0.41
"4th Sep'26 3:29:00","VETO",0.005,0.006,0.015,0.414,0.409
"4th Sep'26 3:29:00","MARKOLINES",0.181,0.181,0.183,0.59,0.408
"4th Sep'26 3:29:00","RELTD",5.33,4.83,4.73,5.74,0.407
"4th Sep'26 3:29:00","STEELXIND",0.291,0.305,0.297,0.697,0.405
"4th Sep'26 3:29:00","PASUPTAC",0.468,0.816,0.936,0.873,0.405
"4th Sep'26 3:29:00","JTLIND",4.44,3.34,3.4,4.84,0.399
"4th Sep'26 3:29:00","SOMANYCERA",0.981,0.899,1.34,1.38,0.399
"4th Sep'26 3:29:00","KIRLOSBROS",6.02,6.05,6.24,6.41,0.398
"4th Sep'26 3:29:00","INNOVANA",0.654,1.11,1.18,1.04,0.391
"4th Sep'26 3:29:00","TEAMGTY",1.69,2.03,2.08,2.08,0.389
"4th Sep'26 3:29:00","OMAXAUTO",0.003,0,0.363,0.39,0.387
"4th Sep'26 3:29:00","CESC",11.15,11.95,11.68,11.54,0.383
"4th Sep'26 3:29:00","SILVERTUC",0.1,0.755,1.15,0.479,0.38
"4th Sep'26 3:29:00","IGARASHI",0.117,0.098,0.133,0.496,0.379
"4th Sep'26 3:29:00","HDBFS",3.17,3.32,3.01,3.55,0.374
"4th Sep'26 3:29:00","RAMRAT",0.102,0.093,0.164,0.472,0.37
"4th Sep'26 3:29:00","SMSPHARMA",0.28,0.037,0.307,0.649,0.369
"4th Sep'26 3:29:00","JSWSTEEL",25.81,25.64,25.64,26.18,0.366
"4th Sep'26 3:29:00","NSIL",5.83,5.69,6.19,6.19,0.356
"4th Sep'26 3:29:00","MTNL",0.037,0.048,0.506,0.392,0.355
"4th Sep'26 3:29:00","SPORTKING",0.007,0.025,0.238,0.352,0.345
"4th Sep'26 3:29:00","SCHNEIDER",3.08,3.02,3.19,3.42,0.342
"4th Sep'26 3:29:00","NRL",0.066,0.056,0,0.405,0.34
"4th Sep'26 3:29:00","DIACABS",1.42,0.448,0.357,1.76,0.339
"4th Sep'26 3:29:00","RHETAN",0,0.633,0.865,0.337,0.337
"4th Sep'26 3:29:00","AYMSYNTEX",3.28,3.16,3.42,3.62,0.337
"4th Sep'26 3:29:00","SYRMA",7.41,6.83,6.93,7.75,0.336
"4th Sep'26 3:29:00","EIEL",0.328,0.402,0.583,0.662,0.334
"4th Sep'26 3:29:00","WIPRO",10.81,10.49,10.8,11.14,0.334
"4th Sep'26 3:29:00","RELIABLE",0,0.317,0.446,0.333,0.333
"4th Sep'26 3:29:00","GMDCLTD",3.32,2.29,3.75,3.65,0.333
"4th Sep'26 3:29:00","DDEVPLSTIK",1.13,0.898,0.902,1.46,0.333
"4th Sep'26 3:29:00","RACLGEAR",14.36,14.52,14.97,14.69,0.331
"4th Sep'26 3:29:00","JAYBARMARU",0.986,0.917,1.33,1.32,0.33
"4th Sep'26 3:29:00","VTL",5.75,5.72,5.69,6.07,0.328
"4th Sep'26 3:29:00","ANDHRSUGAR",2.54,2.69,2.53,2.86,0.327
"4th Sep'26 3:29:00","PPL",0.536,0.453,0.434,0.861,0.325
"4th Sep'26 3:29:00","CEWATER",15.08,15.07,14.38,15.41,0.324
"4th Sep'26 3:29:00","GICRE",2.11,2.12,2.12,2.43,0.319
"4th Sep'26 3:29:00","SONATSOFTW",8.85,8.79,8.74,9.17,0.319
"4th Sep'26 3:29:00","SUMEETINDS",0,0,0.013,0.318,0.318
"4th Sep'26 3:29:00","LICI",0.122,0.2,0.313,0.439,0.317
"4th Sep'26 3:29:00","ASHIANA",7.87,7.89,8.28,8.18,0.315
"4th Sep'26 3:29:00","JLHL",9.47,8.89,8.89,9.78,0.313
"4th Sep'26 3:29:00","TVSELECT",0.035,0.218,0.008,0.346,0.311
"4th Sep'26 3:29:00","PGIL",6.5,6.27,6.49,6.82,0.311
"4th Sep'26 3:29:00","BPCL",16.53,18.46,19.58,16.84,0.309
"4th Sep'26 3:29:00","NARMADA",0,0.03,0.543,0.307,0.307
"4th Sep'26 3:29:00","ICEMAKE",0.008,0.113,0.225,0.307,0.298
"4th Sep'26 3:29:00","ADFFOODS",15.85,15.86,16.1,16.15,0.296
"4th Sep'26 3:29:00","RML",0.037,0.046,0.065,0.332,0.295
"4th Sep'26 3:29:00","PNCINFRA",6.99,6.95,7.17,7.28,0.295
"4th Sep'26 3:29:00","INDIACEM",3.11,3.41,3.48,3.4,0.288
"4th Sep'26 3:29:00","SCODATUBES",8.09,8.04,8.16,8.38,0.288
"4th Sep'26 3:29:00","QUADFUTURE",1.56,0.018,0.023,1.84,0.288
"4th Sep'26 3:29:00","LLOYDSENGG",2.16,1.94,1.97,2.44,0.282
"4th Sep'26 3:29:00","ISGEC",3.48,3.61,3.85,3.76,0.281
"4th Sep'26 3:29:00","ABDL",2.96,3.35,3.23,3.24,0.279
"4th Sep'26 3:29:00","VISHNU",2.24,2.2,2.3,2.51,0.277
"4th Sep'26 3:29:00","PIONEEREMB",0,0,0.274,0.274,0.274
"4th Sep'26 3:29:00","TEAMLEASE",6.68,6.35,6.76,6.95,0.274
"4th Sep'26 3:29:00","STOVEKRAFT",0.951,0.876,0.811,1.22,0.271
"4th Sep'26 3:29:00","RATEGAIN",5.49,4.97,5.35,5.76,0.27
"4th Sep'26 3:29:00","LGEINDIA",2.86,3,2.73,3.13,0.27
"4th Sep'26 3:29:00","AWHCL",12.81,11.78,14.78,13.08,0.269
"4th Sep'26 3:29:00","ASIANTILES",1.1,1.73,1.05,1.37,0.268
"4th Sep'26 3:29:00","ROHLTD",8.3,8.32,8.54,8.57,0.267
"4th Sep'26 3:29:00","UFO",1.47,1.63,1.65,1.73,0.265
"4th Sep'26 3:29:00","MWL",0,0,0.006,0.264,0.264
"4th Sep'26 3:29:00","RAJRATAN",0.568,0.501,0.575,0.83,0.262
"4th Sep'26 3:29:00","INNOVACAP",0.078,0.107,0.23,0.338,0.26
"4th Sep'26 3:29:00","HEALTHX",2.04,2.25,2.17,2.29,0.256
"4th Sep'26 3:29:00","VESUVIUS",4.31,4.42,4.44,4.56,0.256
"4th Sep'26 3:29:00","CARBORUNIV",10.88,10.98,10.73,11.13,0.255
"4th Sep'26 3:29:00","MANAKALUCO",0,0,0.006,0.254,0.254
"4th Sep'26 3:29:00","JAYNECOIND",1.07,1.29,0.898,1.32,0.25
"4th Sep'26 3:29:00","DLINKINDIA",1.11,1.13,1.26,1.36,0.249
"4th Sep'26 3:29:00","TVSHLTD",3,3.12,3.29,3.25,0.249
"4th Sep'26 3:29:00","SINDHUTRAD",2.93,3.18,3.18,3.17,0.246
"4th Sep'26 3:29:00","PRIMO",0.117,0.111,0.12,0.358,0.241
"4th Sep'26 3:29:00","SJVN",2.55,2.7,2.75,2.79,0.24
"4th Sep'26 3:29:00","DCXINDIA",1.48,1.06,0.834,1.72,0.239
"4th Sep'26 3:29:00","MAHLOG",3.86,4.4,4.83,4.1,0.237
"4th Sep'26 3:29:00","WELSPUNLIV",4.97,5.03,4.99,5.21,0.236
"4th Sep'26 3:29:00","EVEREADY",5.21,5.05,5.28,5.44,0.23
"4th Sep'26 3:29:00","RSYSTEMS",3.6,3.55,3.76,3.82,0.228
"4th Sep'26 3:29:00","ABBOTINDIA",0.156,0.182,0.265,0.38,0.224
"4th Sep'26 3:29:00","LUMAXIND",1.14,1.38,1.63,1.36,0.223
"4th Sep'26 3:29:00","UNIMECH",3.09,3.24,3.26,3.32,0.223
"4th Sep'26 3:29:00","ABSLAMC",5.53,6.18,6.05,5.75,0.222
"4th Sep'26 3:29:00","CAPACITE",13.95,14.09,14.96,14.16,0.218
"4th Sep'26 3:29:00","SUNFLAG",10.65,10.47,10.54,10.86,0.216
"4th Sep'26 3:29:00","GOCLCORP",5.12,5.12,5.08,5.34,0.212
"4th Sep'26 3:29:00","AVANTIFEED",31.19,32.2,31.84,31.4,0.21
"4th Sep'26 3:29:00","HARDWYN",0.01,0.636,0.638,0.22,0.21
"4th Sep'26 3:29:00","TAKE",0,0.557,0.287,0.206,0.206
"4th Sep'26 3:29:00","ASALCBR",0.479,0.317,0.335,0.685,0.206
"4th Sep'26 3:29:00","ARVINDFASN",11.95,12.1,11.97,12.15,0.204
"4th Sep'26 3:29:00","IRFC",0.972,0.981,1.17,1.18,0.204
"4th Sep'26 3:29:00","AIAENG",16.66,16.58,16.79,16.87,0.204
"4th Sep'26 3:29:00","GANESHHOU",0.433,0.569,0.701,0.635,0.202
"4th Sep'26 3:29:00","RADICO",18,19.82,17.63,18.2,0.201
"4th Sep'26 3:29:00","POONAWALLA",10.76,10.56,10.61,10.96,0.2
"4th Sep'26 3:29:00","AFFORDABLE",0.892,1.17,1.42,1.09,0.199
"4th Sep'26 3:29:00","NAZARA",13.78,14.31,15.57,13.98,0.197
"4th Sep'26 3:29:00","KROSS",2.31,2.4,2.62,2.51,0.196
"4th Sep'26 3:29:00","SIGNPOST",0.048,0.087,0.094,0.237,0.19
"4th Sep'26 3:29:00","SOTL",0.834,0.874,0.884,1.02,0.19
"4th Sep'26 3:29:00","THEJO",0.656,0.788,0.844,0.845,0.19
"4th Sep'26 3:29:00","GSLSU",0.567,0.758,1.6,0.756,0.189
"4th Sep'26 3:29:00","ROSSTECH",1.5,1.5,1.6,1.68,0.183
"4th Sep'26 3:29:00","IDEA",5.99,6,5.56,6.17,0.179
"4th Sep'26 3:29:00","PPAP",7.25,7.29,7.26,7.43,0.179
"4th Sep'26 3:29:00","JAGSNPHARM",2.12,2.12,2.44,2.3,0.178
"4th Sep'26 3:29:00","AIIL",14.11,14.45,14.24,14.28,0.175
"4th Sep'26 3:29:00","BAYERCROP",3.79,3.84,3.89,3.97,0.173
"4th Sep'26 3:29:00","GALAPREC",1.13,1.12,1.33,1.3,0.171
"4th Sep'26 3:29:00","AJMERA",0.778,0.53,0.771,0.946,0.168
"4th Sep'26 3:29:00","GMBREW",0.443,1.21,1.18,0.611,0.168
"4th Sep'26 3:29:00","IOB",0.307,0.351,0.432,0.473,0.166
"4th Sep'26 3:29:00","FAIRCHEMOR",6.18,6.34,6.35,6.34,0.165
"4th Sep'26 3:29:00","BBTC",9.3,9.42,9.49,9.46,0.161
"4th Sep'26 3:29:00","BOROSCI",0.071,0.069,0.086,0.23,0.158
"4th Sep'26 3:29:00","GLENMARK",20.73,19.2,20.34,20.89,0.158
"4th Sep'26 3:29:00","HINDOILEXP",1.72,1.38,1.49,1.88,0.158
"4th Sep'26 3:29:00","ICIL",9.99,9.86,9.85,10.14,0.155
"4th Sep'26 3:29:00","SURANASOL",0,0.026,0,0.154,0.154
"4th Sep'26 3:29:00","AARTIPHARM",8.02,7.68,8.39,8.17,0.154
"4th Sep'26 3:29:00","ESAFSFB",0.165,0.005,0.005,0.317,0.152
"4th Sep'26 3:29:00","DIFFNKG",0.569,0.141,0.408,0.72,0.151
"4th Sep'26 3:29:00","ATULAUTO",0.379,0.375,0.838,0.53,0.151
"4th Sep'26 3:29:00","GATECH",0.197,0.197,0.222,0.347,0.15
"4th Sep'26 3:29:00","20MICRONS",0.264,0.257,0.413,0.414,0.15
"4th Sep'26 3:29:00","ABREL",9.11,8.96,9.04,9.26,0.149
"4th Sep'26 3:29:00","TTKPRESTIG",7.7,7.71,7.85,7.85,0.149
"4th Sep'26 3:29:00","SONACOMS",23.46,23.89,23.7,23.61,0.145
"4th Sep'26 3:29:00","ASMS",1.35,1.68,1.67,1.49,0.139
"4th Sep'26 3:29:00","TATACOMM",13.61,14.46,14.43,13.75,0.138
"4th Sep'26 3:29:00","ZFCVINDIA",5.79,5.37,5.78,5.93,0.138
"4th Sep'26 3:29:00","PTC",28.75,28.92,27.81,28.88,0.132
"4th Sep'26 3:29:00","APLLTD",4.05,4.24,4.25,4.18,0.132
"4th Sep'26 3:29:00","JBMA",1.9,1.92,1.97,2.03,0.131
"4th Sep'26 3:29:00","RTNPOWER",5.13,5.22,5.13,5.26,0.13
"4th Sep'26 3:29:00","GUFICBIO",0.336,0.443,0.423,0.464,0.127
"4th Sep'26 3:29:00","WOCKPHARMA",7.1,6.99,7.09,7.22,0.126
"4th Sep'26 3:29:00","BALMLAWRIE",2.25,2.16,2.21,2.38,0.126
"4th Sep'26 3:29:00","ORTINGLOBE",1.68,1.68,1.68,1.8,0.123
"4th Sep'26 3:29:00","SANOFI",5.57,5.55,5.64,5.69,0.121
"4th Sep'26 3:29:00","TRIDENT",3.06,3.16,3.07,3.17,0.119
"4th Sep'26 3:29:00","KILITCH",0,0,0.003,0.117,0.117
"4th Sep'26 3:29:00","INDOTECH",0.168,0.189,0.274,0.285,0.116
"4th Sep'26 3:29:00","DYCL",0.556,0.53,0.896,0.672,0.116
"4th Sep'26 3:29:00","RCF",2.31,2.5,2.6,2.43,0.116
"4th Sep'26 3:29:00","BETA",0.905,1.14,0.905,1.02,0.116
"4th Sep'26 3:29:00","BHARATGEAR",1.23,1.39,1.41,1.35,0.115
"4th Sep'26 3:29:00","CARYSIL",1.52,1.55,1.59,1.63,0.114
"4th Sep'26 3:29:00","MOKSH",4.53,4.53,4.53,4.65,0.113
"4th Sep'26 3:29:00","UNIENTER",15.71,15.71,15.82,15.82,0.111
"4th Sep'26 3:29:00","INDOTHAI",1.17,1.28,1.22,1.28,0.109
"4th Sep'26 3:29:00","VASWANI",0.024,0.109,0,0.131,0.107
"4th Sep'26 3:29:00","VINCOFE",5.28,4.38,4.83,5.38,0.106
"4th Sep'26 3:29:00","SPLPETRO",3.7,3.7,3.69,3.8,0.106
"4th Sep'26 3:29:00","GTL",0.001,0.034,0.009,0.105,0.104
"4th Sep'26 3:29:00","KHADIM",0.014,0.311,1.06,0.118,0.104
"4th Sep'26 3:29:00","MANCREDIT",0.014,0.051,0.002,0.116,0.103
"4th Sep'26 3:29:00","TICL",0,0.015,0.008,0.102,0.102
"4th Sep'26 3:29:00","MAHEPC",0.023,0.01,0.024,0.125,0.102
"4th Sep'26 3:29:00","SFL",4.07,4.18,4.15,4.17,0.102
"4th Sep'26 3:29:00","3IINFOLTD",0.824,0.745,0.733,0.925,0.101
"4th Sep'26 3:29:00","SANGHVIMOV",1.71,1.46,1.48,1.81,0.099
"4th Sep'26 3:29:00","KIMS",16.99,16.29,16.53,17.09,0.099
"4th Sep'26 3:29:00","APCOTEXIND",0.594,0.623,0.633,0.693,0.099
"4th Sep'26 3:29:00","ASHIMASYN",0.039,0.098,0.143,0.137,0.098
"4th Sep'26 3:29:00","STEELCAS",2.17,2.2,2.23,2.27,0.097
"4th Sep'26 3:29:00","TCPLPACK",0.922,0.964,1.04,1.02,0.094
"4th Sep'26 3:29:00","KICL",0.549,0.572,0.645,0.643,0.094
"4th Sep'26 3:29:00","ASAL",0,0.002,0.002,0.093,0.093
"4th Sep'26 3:29:00","ESABINDIA",1.53,1.51,1.55,1.62,0.093
"4th Sep'26 3:29:00","PREMIERPOL",0.001,0.002,0.073,0.094,0.093
"4th Sep'26 3:29:00","MONTECARLO",1.12,1.18,1.29,1.21,0.092
"4th Sep'26 3:29:00","A2ZINFRA",0.848,0.817,0.864,0.94,0.092
"4th Sep'26 3:29:00","NORBTEAEXP",0,0,0,0.09,0.09
"4th Sep'26 3:29:00","IKIO",0.601,0.615,0.904,0.69,0.089
"4th Sep'26 3:29:00","SIS",13.18,11.78,12.56,13.27,0.089
"4th Sep'26 3:29:00","VSTL",0.062,0.026,0.309,0.151,0.089
"4th Sep'26 3:29:00","ANURAS",7.63,7.6,6.91,7.71,0.086
"4th Sep'26 3:29:00","VIMTALABS",4.33,4.59,4.89,4.42,0.084
"4th Sep'26 3:29:00","DREAMFOLKS",0.018,0.01,0.598,0.102,0.084
"4th Sep'26 3:29:00","AARTISURF",0.001,0.002,0.136,0.084,0.082
"4th Sep'26 3:29:00","RAMAPHO",0.074,0.252,0.256,0.155,0.082
"4th Sep'26 3:29:00","SHREDIGCEM",0.415,1.04,0.372,0.496,0.081
"4th Sep'26 3:29:00","ARROWGREEN",1.05,1.07,0.999,1.13,0.08
"4th Sep'26 3:29:00","KAYA",0.629,0.629,0.683,0.709,0.08
"4th Sep'26 3:29:00","RELAXO",3.03,3.01,3.04,3.11,0.08
"4th Sep'26 3:29:00","GLOBALVECT",0.001,0.079,0.079,0.079,0.077
"4th Sep'26 3:29:00","INDOAMIN",0.002,0.001,0.024,0.079,0.077
"4th Sep'26 3:29:00","CREST",1.63,1.63,1.71,1.71,0.076
"4th Sep'26 3:29:00","ITI",0.008,0.004,0.006,0.083,0.075
"4th Sep'26 3:29:00","GSFC",12.29,11.91,12.35,12.36,0.073
"4th Sep'26 3:29:00","3MINDIA",3.43,3.5,3.52,3.5,0.072
"4th Sep'26 3:29:00","WANBURY",1.09,0.988,0.858,1.17,0.07
"4th Sep'26 3:29:00","LLOYDSME",2.3,2.11,2.47,2.37,0.069
"4th Sep'26 3:29:00","XELPMOC",0.004,0,0.057,0.072,0.068
"4th Sep'26 3:29:00","MMTC",0.093,0.022,0.129,0.159,0.066
"4th Sep'26 3:29:00","MUKANDLTD",0.189,0.286,0.262,0.254,0.065
"4th Sep'26 3:29:00","BFUTILITIE",1.55,1.62,1.57,1.61,0.064
"4th Sep'26 3:29:00","SPMLINFRA",0.263,0.149,0.36,0.327,0.064
"4th Sep'26 3:29:00","APTECHT",0.395,0.583,0.657,0.459,0.063
"4th Sep'26 3:29:00","PRECAM",0.201,0.128,0.126,0.264,0.063
"4th Sep'26 3:29:00","MINDTECK",8.57,8.65,8.58,8.64,0.062
"4th Sep'26 3:29:00","MUNJALAU",0.007,0.035,0.001,0.069,0.061
"4th Sep'26 3:29:00","SETL",14.62,14.44,14.33,14.68,0.061
"4th Sep'26 3:29:00","ALKYLAMINE",3.43,3.46,3.45,3.49,0.061
"4th Sep'26 3:29:00","SPECIALITY",0.398,0.474,0.567,0.459,0.06
"4th Sep'26 3:29:00","RKSWAMY",0.18,0.178,0.337,0.24,0.06
"4th Sep'26 3:29:00","LLOYDSENT",0.589,0.58,0.502,0.648,0.06
"4th Sep'26 3:29:00","TARACHAND",0.07,0.114,0.127,0.129,0.059
"4th Sep'26 3:29:00","ECLERX",10.95,11.43,11.82,11,0.059
"4th Sep'26 3:29:00","INDOCO",1.22,1.25,1.1,1.27,0.058
"4th Sep'26 3:29:00","CENTRALBK",0.872,0.844,0.75,0.93,0.058
"4th Sep'26 3:29:00","IPCALAB",10.67,10.63,10.63,10.73,0.057
"4th Sep'26 3:29:00","SICAGEN",2.42,2.47,2.47,2.47,0.057
"4th Sep'26 3:29:00","AMRUTANJAN",2.38,2.27,2.17,2.44,0.056
"4th Sep'26 3:29:00","FLUOROCHEM",4.36,4.31,4.28,4.41,0.054
"4th Sep'26 3:29:00","AMBIKCO",0.415,0.384,0.334,0.469,0.053
"4th Sep'26 3:29:00","OCCLLTD",0.218,0.043,0.139,0.271,0.052
"4th Sep'26 3:29:00","NFL",0.495,0.91,1.07,0.546,0.051
"4th Sep'26 3:29:00","ESSARSHPNG",0.003,0.003,0.004,0.054,0.051
"4th Sep'26 3:29:00","AURUM",5.9,5.66,5.66,5.95,0.05
"4th Sep'26 3:29:00","KITEX",1.16,0.907,0.879,1.21,0.05
"4th Sep'26 3:29:00","ROTO",0.14,0.121,0.139,0.19,0.05
"4th Sep'26 3:29:00","SAURASHCEM",0.035,0.201,0.156,0.084,0.049
"4th Sep'26 3:29:00","NGLFINE",0,0,0.027,0.049,0.048
"4th Sep'26 3:29:00","BFINVEST",0.658,0.659,0.658,0.705,0.047
"4th Sep'26 3:29:00","DIVGIITTS",1.81,1.72,1.97,1.86,0.047
"4th Sep'26 3:29:00","MANBA",0.878,0.923,0.868,0.925,0.046
"4th Sep'26 3:29:00","BHAGCHEM",0.05,0.196,0.143,0.096,0.046
"4th Sep'26 3:29:00","THOMASCOTT",0,0.022,0.053,0.044,0.044
"4th Sep'26 3:29:00","INDRAMEDCO",2.72,2.73,2.44,2.77,0.043
"4th Sep'26 3:29:00","KECL",1.17,3.87,1.17,1.21,0.042
"4th Sep'26 3:29:00","MVGJL",0.602,0.602,0.602,0.644,0.042
"4th Sep'26 3:29:00","STCINDIA",0,0,0.005,0.042,0.042
"4th Sep'26 3:29:00","IZMO",3.31,3.26,3.27,3.35,0.041
"4th Sep'26 3:29:00","TASTYBITE",3.68,3.66,3.67,3.73,0.041
"4th Sep'26 3:29:00","KIOCL",0.003,0.007,0.006,0.043,0.041
"4th Sep'26 3:29:00","CAMPUS",5.99,6.15,6.07,6.03,0.041
"4th Sep'26 3:29:00","RISHABH",0.055,0.349,0.242,0.095,0.04
"4th Sep'26 3:29:00","MUKKA",1.7,1.7,1.7,1.73,0.039
"4th Sep'26 3:29:00","JTEKTINDIA",0.56,0.459,0.471,0.599,0.039
"4th Sep'26 3:29:00","DEEPAKNTR",6.21,6.05,6.19,6.25,0.039
"4th Sep'26 3:29:00","PARACABLES",0.475,0.315,0.543,0.513,0.038
"4th Sep'26 3:29:00","YUKEN",0.066,0.071,0.069,0.103,0.037
"4th Sep'26 3:29:00","DJML",0.146,0.001,0.048,0.183,0.037
"4th Sep'26 3:29:00","COASTCORP",1.01,1.03,1.04,1.05,0.037
"4th Sep'26 3:29:00","DHARMAJ",3.09,3.49,3.13,3.13,0.036
"4th Sep'26 3:29:00","AUTOAXLES",0.71,0.682,0.827,0.745,0.035
"4th Sep'26 3:29:00","SHALPAINTS",0.01,0.036,0.077,0.044,0.034
"4th Sep'26 3:29:00","CHEMFAB",0.002,0.081,0.04,0.036,0.034
"4th Sep'26 3:29:00","JAYKAY",0.131,0.128,0.182,0.165,0.034
"4th Sep'26 3:29:00","CALSOFT",0,0,0,0.033,0.033
"4th Sep'26 3:29:00","KUANTUM",0.004,0.016,0.053,0.037,0.033
