"Date","Symbol","Close","Yearhigh","Market cap","Market cap category","Industry","Sector","Weekly return","Current vol multiple of yearly avg"
"4th Sep'26 3:29:00","JINDWORLD",57.51,57.51,5765.96,"midcap","textiles - products","textiles",51.9,31.43
"4th Sep'26 3:29:00","RBZJEWEL",200.69,200.69,802.76,"smallcap","diamond cutting / jewellery","consumer discretionary",37.27,26.27
"4th Sep'26 3:29:00","NIACL",229.91,229.91,37889.17,"largecap","finance & investments","financials",23.38,20.7
"4th Sep'26 3:29:00","LANCORHOL",40.35,40.35,296.78,"smallcap","construction","realty",18.92,17.02
"4th Sep'26 3:29:00","SKIPPER",591.1,591.1,7218.95,"midcap","engineering","industrials",8.21,16.82
"4th Sep'26 3:29:00","SHANTIGEAR",621.75,621.75,4769.81,"smallcap","engineering","industrials",20.09,15.35
"4th Sep'26 3:29:00","CINELINE",95.23,95.23,362.95,"smallcap","entertainment / electronic media software","media",8.24,13.88
"4th Sep'26 3:29:00","MUKKA",31.34,31.34,940.2,"smallcap","food - processing - indian","fmcg",25.06,12.95
"4th Sep'26 3:29:00","SAHYADRI",392.15,392.15,429.26,"smallcap","cement products","building materials",14.13,12.09
"4th Sep'26 3:29:00","DICIND",618.6,618.6,567.81,"smallcap","chemicals","chemicals",2.15,11.88
"4th Sep'26 3:29:00","IFCI",101.38,101.38,27314.96,"largecap","finance - term-lending institutions","financials",12.69,11.64
"4th Sep'26 3:29:00","ALEMBICLTD",111.41,111.41,2860.81,"smallcap","construction","realty",11.37,11.4
"4th Sep'26 3:29:00","MARALOVER",61.83,61.92,256.64,"smallcap","textiles - cotton/blended","textiles",9.14,10.91
"4th Sep'26 3:29:00","WELENT",813.6,813.6,11261.35,"midcap","construction","realty",21.38,9.89
"4th Sep'26 3:29:00","BODALCHEM",155.62,155.62,1959.94,"smallcap","dyes and pigments","chemicals",57.06,9.66
"4th Sep'26 3:29:00","NRAIL",584,584,993.92,"smallcap","paper","building materials",17.39,9.35
"4th Sep'26 3:29:00","AKSHARCHEM",444.85,444.85,357.35,"smallcap","dyes and pigments","chemicals",27.5,8.18
"4th Sep'26 3:29:00","MAHSEAMLES",688.1,688.1,9220.49,"midcap","steel - medium / small","metals & mining",3.99,6.39
"4th Sep'26 3:29:00","SYNCOMF",20.58,21.39,1934.52,"smallcap","pharmaceuticals - indian - bulk drugs & formln","healthcare",5.76,6.05
"4th Sep'26 3:29:00","OAL",519.9,519.9,1749.65,"smallcap","chemicals","chemicals",6.58,5.84
"4th Sep'26 3:29:00","VISHNU",702,702,4725.53,"smallcap","chemicals","chemicals",7.64,5.42
"4th Sep'26 3:29:00","GLOBAL",120.45,120.45,613.11,"smallcap","miscellaneous","services",10.51,5.03
"4th Sep'26 3:29:00","INOXINDIA",2247.8,2247.8,20401.82,"largecap","packaging","industrials",5.72,4.82
"4th Sep'26 3:29:00","IGPL",567.4,567.4,1747.3,"smallcap","chemicals","chemicals",6.57,4.81
"4th Sep'26 3:29:00","INDORAMA",72.96,73.88,1905.08,"smallcap","textiles - manmade","textiles",14.63,4.77
"4th Sep'26 3:29:00","INNOVACAP",1175.4,1175.4,6726.22,"midcap","pharmaceuticals - indian - bulk drugs & formln","healthcare",11.4,4.73
"4th Sep'26 3:29:00","CORDSCABLE",317,317,409.81,"smallcap","cables - power","industrials",26.18,4.65
"4th Sep'26 3:29:00","IRISDOREME",63.58,63.58,1210.13,"smallcap","textiles - products","consumer discretionary",8.31,4.51
"4th Sep'26 3:29:00","SMLMAH",6298.5,6298.5,9114.97,"midcap","automobiles - lcvs / hcvs","auto",21.44,4.12
"4th Sep'26 3:29:00","PREMIERPOL",95.36,95.36,998.82,"smallcap","plastics products","plastic products",1.6,4.11
"4th Sep'26 3:29:00","ARTEMISMED",332.8,332.8,5268.43,"midcap","healthcare","healthcare",4.24,3.84
"4th Sep'26 3:29:00","OMAXE",136.38,136.38,2494.4,"smallcap","construction","realty",3.52,3.82
"4th Sep'26 3:29:00","ACMESOLAR",418,418,29547.35,"largecap","engineering - turnkey services","realty",6.17,3.74
"4th Sep'26 3:29:00","PVP",67.94,68.48,1769.18,"smallcap","construction","realty",4.17,3.73
"4th Sep'26 3:29:00","IL&FSENGG",36.75,37.57,481.87,"smallcap","construction","realty",3.78,3.64
"4th Sep'26 3:29:00","DEEPINDS",786.45,786.45,5033.28,"midcap","oil drilling / allied services","energy",16.61,3.56
"4th Sep'26 3:29:00","IVC",10.24,10.24,321.57,"smallcap","finance & investments","financials",20.61,3.51
"4th Sep'26 3:29:00","ORIENTBELL",420.1,420.1,617.99,"smallcap","ceramics - tiles / sanitaryware","building materials",10.77,3.34
"4th Sep'26 3:29:00","PTCIL",23830,23830,35727.24,"largecap","castings & forgings","industrials",7.78,3.01
"4th Sep'26 3:29:00","PAISALO",74.1,74.1,6739.56,"midcap","finance & investments","financials",9.68,2.92
"4th Sep'26 3:29:00","WINDLAS",1126.35,1127.1,2324.36,"smallcap","pharmaceuticals - indian - formulations","healthcare",12.8,2.87
"4th Sep'26 3:29:00","TBZ",480.85,480.85,3208.74,"smallcap","diamond cutting / jewellery","consumer discretionary",59.38,2.81
"4th Sep'26 3:29:00","CGCL",279.9,279.9,26930.69,"largecap","finance & investments","financials",8.5,2.69
"4th Sep'26 3:29:00","SETL",408.95,408.95,8158.21,"midcap","engineering","industrials",12.29,2.61
"4th Sep'26 3:29:00","EXICOM",177.85,178.01,2473.53,"smallcap","electric equipment","industrials",5.91,2.58
"4th Sep'26 3:29:00","MANORAMA",1993.4,1993.4,11902.3,"midcap","food - processing - indian","fmcg",5.5,2.51
"4th Sep'26 3:29:00","BIRLACABLE",376.55,376.55,1129.65,"smallcap","cables - telephone","industrials",27.6,2.35
"4th Sep'26 3:29:00","SHREEJISPG",680.15,680.15,11080.89,"midcap","shipping","transportation",4.24,2.17
"4th Sep'26 3:29:00","EDELWEISS",136.08,136.08,12880.4,"midcap","finance & investments","financials",8.5,2.04
"4th Sep'26 3:29:00","BALAMINES",2525.2,2525.2,8181.9,"midcap","chemicals","chemicals",5.63,1.98
"4th Sep'26 3:29:00","BOSCH-HCIL",1818.8,1818.8,4945.48,"smallcap","air-conditioners","consumer discretionary",7.29,1.94
"4th Sep'26 3:29:00","HINDOILEXP",185,185,2446.5,"smallcap","oil drilling / allied services","energy",13.73,1.93
"4th Sep'26 3:29:00","MENONBE",321.4,321.4,1801.13,"smallcap","auto ancillaries","auto",12.92,1.91
"4th Sep'26 3:29:00","CYIENTDLM",856.95,857.2,6802.76,"midcap","electronics - components","aerospace & defence",4.62,1.9
"4th Sep'26 3:29:00","WELSPUNLIV",208.51,208.51,19699.03,"midcap","textiles - products","textiles",9.48,1.76
"4th Sep'26 3:29:00","SREEL",265.52,265.52,614.81,"smallcap","trading","consumer discretionary",6.43,1.76
"4th Sep'26 3:29:00","FCL",51.51,51.51,5998.34,"midcap","chemicals","chemicals",2.96,1.72
"4th Sep'26 3:29:00","SEAMECLTD",1793.6,1793.6,4560.23,"smallcap","miscellaneous","miscellaneous",6.98,1.67
"4th Sep'26 3:29:00","KOPRAN",232.54,232.54,1122.83,"smallcap","pharmaceuticals - indian - bulk drugs & formln","healthcare",15.26,1.63
"4th Sep'26 3:29:00","SSWL",361.85,361.85,5687.57,"midcap","auto ancillaries","auto",22.45,1.59
"4th Sep'26 3:29:00","IOLCP",199.95,199.95,5869.08,"midcap","pharmaceuticals - indian - bulk drugs & formln","healthcare",2.56,1.53
"4th Sep'26 3:29:00","DOLPHIN",674,674,2696.31,"smallcap","oil drilling / allied services","energy",10.03,1.45
"4th Sep'26 3:29:00","NRL",126.92,126.92,876.62,"smallcap","trading","services",1.54,1.42
"4th Sep'26 3:29:00","SUTLEJTEX",40.89,40.89,669.9,"smallcap","textiles - cotton/blended","textiles",4.05,1.41
"4th Sep'26 3:29:00","MARINE",432.15,432.6,6047.7,"midcap","electric equipment","industrials",6.23,1.26
"4th Sep'26 3:29:00","ELGIEQUIP",642.1,642.1,20348.73,"largecap","compressors / drilling equipment","industrials",2.11,1.18
"4th Sep'26 3:29:00","SBC",45.76,45.76,2179.05,"smallcap","textiles - products","textiles",9.13,1.16
"4th Sep'26 3:29:00","KENNAMET",4688.5,4688.5,10304.5,"midcap","castings & forgings","industrials",2.36,1.16
"4th Sep'26 3:29:00","BLUSPRING",138.96,138.96,2076.63,"smallcap","diversified - large","miscellaneous",9.05,1.12
"4th Sep'26 3:29:00","ROLLT",4.37,4.37,109.31,"smallcap","packaging","industrials",5.05,1.12
"4th Sep'26 3:29:00","ROSSTECH",1150.5,1150.5,4336.98,"smallcap","engineering","aerospace & defence",4.16,1.11
"4th Sep'26 3:29:00","RBLBANK",414.35,414.35,64164.5,"largecap","banks - private sector","bank",8.47,1.11
"4th Sep'26 3:29:00","RCOM",0.81,1.48,224.01,"smallcap","telecommunications - service provider","telecom-service",0,1.08
"4th Sep'26 3:29:00","BHAGERIA",304.65,304.65,1329.62,"smallcap","dyes and pigments","chemicals",27.6,1.05
"4th Sep'26 3:29:00","ARMANFIN",2069.3,2069.3,2175.82,"smallcap","finance & investments","financials",1.73,1.02
"4th Sep'26 3:29:00","ESSENTIA",1.05,1.93,184.3,"smallcap","trading","services",-2.78,1.02
"4th Sep'26 3:29:00","KAMDHENU",39.24,39.24,1106.11,"smallcap","steel - medium / small","metals & mining",8.49,0.878
"4th Sep'26 3:29:00","LOKESHMACH",364.6,364.6,794.71,"smallcap","engineering","industrials",16.69,0.812
"4th Sep'26 3:29:00","SAKAR",1013.9,1013.9,2255.92,"smallcap","pharmaceuticals - indian - bulk drugs & formln","healthcare",15.78,0.793
"4th Sep'26 3:29:00","GUFICBIO",444.9,444.9,4461.57,"smallcap","pharmaceuticals - indian - bulk drugs & formln","healthcare",9.5,0.783
"4th Sep'26 3:29:00","SHILPAMED",964.15,964.15,18857.02,"midcap","pharmaceuticals - indian - formulations","healthcare",6.68,0.739
"4th Sep'26 3:29:00","IDEA",15.02,15.19,162731.24,"largecap","telecommunications - service provider","telecom-service",2.32,0.724
"4th Sep'26 3:29:00","ARROWGREEN",814.1,814.1,1228.31,"smallcap","plastics products","plastic products",17.64,0.721
"4th Sep'26 3:29:00","NDL",2.83,3.62,407.94,"smallcap","textiles - products","textiles",-6.29,0.709
"4th Sep'26 3:29:00","JTLIND",91.67,92.4,3603.38,"smallcap","steel - medium / small","metals & mining",2,0.708
"4th Sep'26 3:29:00","GTLINFRA",1.16,1.61,1485.86,"smallcap","transmisson line towers / equipment","telecom",-3.33,0.647
"4th Sep'26 3:29:00","BTML",8.51,9.45,154.62,"smallcap","entertainment / electronic media software","media",-1.16,0.63
"4th Sep'26 3:29:00","NILKAMAL",2116.5,2116.5,3158.35,"smallcap","plastics products","plastic products",2.15,0.543
"4th Sep'26 3:29:00","RUBYMILLS",428.3,428.3,1432.24,"smallcap","textiles - composite","textiles",9.71,0.524
"4th Sep'26 3:29:00","KTKBANK",340.1,340.1,12862.7,"midcap","banks - private sector","bank",2.95,0.521
