"Date","Symbol","% 3 quarter ago","% 2 quarter ago","% 1 quarter ago","% current quarter","Change in % in 3 qtrs","Change in % in 1 qtr"
"4th Sep'26 3:29:00","NIFTYMICROCAP250","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY100ESG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AUTOIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","DECNGOLD","NaN","NaN",0.235,0.531,"NaN",0.296
"4th Sep'26 3:29:00","SWARAJ","NaN","NaN","NaN",0.592,"NaN","NaN"
"4th Sep'26 3:29:00","BLACKROSE","NaN","NaN",0.152,0.177,"NaN",0.025
"4th Sep'26 3:29:00","MANUFGBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ELM250","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SML100CASE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCNIF100","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYQLITY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HALDYNGL","NaN","NaN",1.8,2.03,"NaN",0.227
"4th Sep'26 3:29:00","MOVALUE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SBIETFPB","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ANNAPURNA","NaN","NaN","NaN",0.356,"NaN","NaN"
"4th Sep'26 3:29:00","ESG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCGROWTH","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","IT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCNIFIT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","FLEXIADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWSC250","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HEALTHIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIF100IETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYCHEMICALS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PHARMABEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BFSI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOIPO","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOSERVICE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ENIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWCAPM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQUID1","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MASPTOP50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","KLBRENG-B","NaN","NaN",7.49,7.64,"NaN",0.148
"4th Sep'26 3:29:00","HDFCSML250","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HEALTHY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ABSLLIQUID","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SENSEXAXIS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MIDQ50ADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SILVERAG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","DEFENCE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AONESILVER","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWPSUBK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","KOTARISUG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PVTBANKADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GKWLIMITED","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SBINMID150","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYGROWSECT15","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYPVTBANK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CNXENERGY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CNXREALTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SENSEXBETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SENSEXETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","FMCGADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ALPHAETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SBISMLETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MSCI360","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LICNETFSEN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ESILVER","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VISL","NaN","NaN","NaN",12.16,"NaN","NaN"
"4th Sep'26 3:29:00","CORDELIA","NaN","NaN","NaN",1.09,"NaN","NaN"
"4th Sep'26 3:29:00","KUSUMGAR","NaN","NaN","NaN",10.03,"NaN","NaN"
"4th Sep'26 3:29:00","RIR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CPL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ASHIKAG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LCL","NaN","NaN","NaN",20.23,"NaN","NaN"
"4th Sep'26 3:29:00","HDFCNIMEG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TATAGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BANKBETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MADHAVIPL","NaN","NaN",0,0.042,"NaN",0.042
"4th Sep'26 3:29:00","INSUREIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","JNPR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOOILGAS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ARDEE","NaN","NaN","NaN",0,"NaN","NaN"
"4th Sep'26 3:29:00","HDFCPSUBK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GENESYS-RE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","KPL","NaN","NaN",0.36,0.563,"NaN",0.203
"4th Sep'26 3:29:00","PHOENXINTL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AVANCE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SILVERADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ASSAMENT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","INDOKEM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ENKEIWHEL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SUNSHIEL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SUMEDHA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SAYAJIIND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VEDAVAAG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VTMLTD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","YOGI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NICCOPAR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NTCIND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SWARNSAR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TRANSCOR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SUPTANERY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ONIXSOLAR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HAMPTON","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ECORECO","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","DHATRE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SENSEXIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","WHBRADY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CRAVATEX","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SEKURITIND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TERAI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ARYAMAN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MPDL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","KMCSHIL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQUIDADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MKEXIM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ACGL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PANCHMAHQ","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYTATA25CAP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SUNRAKSHAK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CGVAK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYM150MOMNTM50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GKB","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PBMPOLY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PSUBANK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","JYOTIRES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ANSALBU","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BLEL","NaN","NaN","NaN",11.49,"NaN","NaN"
"4th Sep'26 3:29:00","GSEC10ADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CNXPSE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY50TR1XINV","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LOWVOLIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMIDCAP50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MID150CASE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MON100","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SBISILVER","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SBIETFQLTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","INFRABEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AXISNIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EVINDIA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","OILIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LICNETFGSC","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BSLNIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HNGSNGBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TIMEX","NaN","NaN",0.511,1.38,"NaN",0.87
"4th Sep'26 3:29:00","SNXT50BETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MULTICAP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWLIQID","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PVTBANIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BANKPSU","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWDEFNC","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMIDLIQ15","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ELPROINTL","NaN","NaN",0.01,0.06,"NaN",0.05
"4th Sep'26 3:29:00","MID150BEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LTGILTBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NEXT50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BHARATBOND-APR32","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYINDTOURISM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMIDSMALLCAP400","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYGS10YR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYSMALLCAP250","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYGS48YR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYRURAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EBBETF0431","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYLOWVOL50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ITIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMOBILITY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","HDFCNIFBAN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYHOUSING","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMSINDCONS","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYHIGHBETA50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY100ALPHA30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY500SHARIAH","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY100EW","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AONETOTAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EQUAL200","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GYFTR","NaN","NaN","NaN",4.42,"NaN","NaN"
"4th Sep'26 3:29:00","HAWKINCOOK","NaN","NaN",15.83,16.02,"NaN",0.187
"4th Sep'26 3:29:00","SBIBPB","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AONELIQUID","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SILVER360","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWSLVR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AONENIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWLOVOL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ELLEN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYFINSRV2550","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYLARGEMID250","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYTOTALMKT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMIDSELECT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MIDCAPETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MMWL","NaN","NaN",0.001,0.001,"NaN",0
"4th Sep'26 3:29:00","MOLOWVOL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TNIDETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","WEWIN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PRADPME","NaN","NaN",0.084,0.327,"NaN",0.243
"4th Sep'26 3:29:00","GROWWNXT50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOM30IETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VIVIANA","NaN","NaN",0.032,0.413,"NaN",0.381
"4th Sep'26 3:29:00","HDFCQUAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","INA","NaN",0.55,0.736,1.28,"NaN",0.539
"4th Sep'26 3:29:00","HDFCMOMENT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MONIFTY100","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","FINIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GILT5YBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MAFANG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PIRAMALFIN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TMCV","NaN",17.23,17.89,18.51,"NaN",0.615
"4th Sep'26 3:29:00","ENERGY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GROWWMC150","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AONETMMQ50","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CPSEETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","FMCGIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SILVERBND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CORONA","NaN","NaN",6.76,7.02,"NaN",0.253
"4th Sep'26 3:29:00","HDFCBSE500","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MIDCAPADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","TOP20","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EQUAL50ADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LOWVOL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NEXT50ADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ALPHA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MKPL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","INFRA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SBIMIDMOM","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BANK10ADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BANKETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","INNOVISION","NaN",0,5.02,5.21,"NaN",0.181
"4th Sep'26 3:29:00","VALUE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GULPOLY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","QUAL30IETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MOBANK10","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYFINSERVICE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYMETAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GOLDBEES","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CNXNIFTYJUNIOR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CNXIT","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BANKNIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","FERMENTA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NAVINIFTY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EGOLD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VEDPOWER","NaN","NaN","NaN",13.07,"NaN","NaN"
"4th Sep'26 3:29:00","SMALLGROWW","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","RAMBHAJO","NaN","NaN","NaN",9.22,"NaN","NaN"
"4th Sep'26 3:29:00","CSM","NaN","NaN","NaN",5.1,"NaN","NaN"
"4th Sep'26 3:29:00","GSEC10IETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTYIETF","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ELCIDIN","NaN","NaN",0.05,0.055,"NaN",0.005
"4th Sep'26 3:29:00","SBIFUNDS","NaN","NaN","NaN",1.81,"NaN","NaN"
"4th Sep'26 3:29:00","LIQUIDBETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","PVTBANK","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CMLL","NaN","NaN","NaN",5.09,"NaN","NaN"
"4th Sep'26 3:29:00","EMETAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LICNFNHGP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LIQUIDCASE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MANIPALHOS","NaN","NaN","NaN",18.57,"NaN","NaN"
"4th Sep'26 3:29:00","EBANK10","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ITBETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MVELECTRO","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","GILT5BETA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LEAPIND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SHUKRAPHAR","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MILKYMIST","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ITADD","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MIIL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SHERVANI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","KANCOTEA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","COMPEAU","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SHIVAAGRO","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SUNLOC","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LOTUSCHO","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SVGLOBAL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ALFREDHE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SMALLCAP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SWISSMLTRY","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","LAKSHMIMIL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VIRTUALG","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","EMPIND","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CFEL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SIMPLXREA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SAB","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","KJMCFIN","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","KSE","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CHEMCRUX","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","BANKNIFTY1","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","CRSL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","DHABRIYA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MEDICAPQ","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","VGCL","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ODYCORP","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","APOORVA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","ADVIKCA","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SAICAPI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","SHILGRAVQ","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","AMARJOTHI","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","NIFTY200ALPHA30","NaN","NaN","NaN","NaN","NaN","NaN"
"4th Sep'26 3:29:00","MSL","NaN","NaN","NaN","NaN","NaN","NaN"
