"Date","Symbol","% 3 quarter ago","% 2 quarter ago","% 1 quarter ago","% current quarter","Change in % in 3 qtrs","Change in % in 1 qtr"
"4th Sep'26 3:29:00","DRREDDY",27.98,30.44,30.72,31.74,3.75,1.02
"4th Sep'26 3:29:00","POLICYBZR",26.62,29.54,36.73,40.42,13.8,3.69
"4th Sep'26 3:29:00","MEDPLUS",26.52,26.57,27.82,29.95,3.43,2.13
"4th Sep'26 3:29:00","ETERNAL",26.49,32.71,35.99,39.32,12.83,3.33
"4th Sep'26 3:29:00","APTUS",25.88,27.29,29.44,29.91,4.04,0.471
"4th Sep'26 3:29:00","VIJAYA",25.34,28.59,29.93,31.61,6.27,1.67
"4th Sep'26 3:29:00","BLUESTARCO",25.32,26.76,27.79,28.25,2.93,0.463
"4th Sep'26 3:29:00","EMAMILTD",25.01,26.73,26.92,27.02,2,0.094
"4th Sep'26 3:29:00","KFINTECH",24.8,24.87,25.23,27.31,2.5,2.08
"4th Sep'26 3:29:00","WESTLIFE",24.79,25.5,27.26,28.31,3.52,1.05
"4th Sep'26 3:29:00","INDIGO",24.66,28.13,31.18,31.89,7.23,0.709
"4th Sep'26 3:29:00","SYNGENE",24.62,25.84,26.44,28.02,3.4,1.58
"4th Sep'26 3:29:00","CRAFTSMAN",24.37,25.24,28.29,32.9,8.52,4.61
"4th Sep'26 3:29:00","SUDARSCHEM",24.19,24.61,24.9,26.42,2.24,1.52
"4th Sep'26 3:29:00","FSL",23.94,24.62,25.2,25.41,1.47,0.216
"4th Sep'26 3:29:00","NIITMTS",23.75,24.28,24.47,25.39,1.65,0.923
"4th Sep'26 3:29:00","JUBLINGREA",23.06,24.02,24.78,25.01,1.95,0.227
"4th Sep'26 3:29:00","CHOLAHLDNG",22.98,24.01,26.56,27.35,4.37,0.796
"4th Sep'26 3:29:00","DEEPAKNTR",22.7,23.2,23.47,23.76,1.06,0.29
"4th Sep'26 3:29:00","TATACONSUM",22.21,23.48,24.2,25.02,2.8,0.819
"4th Sep'26 3:29:00","NAUKRI",21.67,22.49,24.09,27.82,6.14,3.73
"4th Sep'26 3:29:00","DODLA",21.5,23.76,25.34,25.85,4.35,0.505
"4th Sep'26 3:29:00","CAMS",20.76,22,22.07,23.55,2.79,1.48
"4th Sep'26 3:29:00","PRUDENT",20.75,21.47,23.58,23.95,3.19,0.363
"4th Sep'26 3:29:00","SUNPHARMA",20.24,20.82,21.11,22.18,1.94,1.07
"4th Sep'26 3:29:00","AMBER",20.2,23.86,27.92,30.55,10.35,2.63
"4th Sep'26 3:29:00","UJJIVANSFB",20.13,28.68,31.13,33.45,13.32,2.32
"4th Sep'26 3:29:00","BECTORFOOD",20.08,22.05,25.21,25.95,5.88,0.743
"4th Sep'26 3:29:00","MAXHEALTH",20.03,21.2,26.32,29.96,9.93,3.64
"4th Sep'26 3:29:00","TRENT",19.99,21.51,22.37,23.28,3.29,0.906
"4th Sep'26 3:29:00","ETHOSLTD",19.96,21.25,23.59,23.91,3.95,0.319
"4th Sep'26 3:29:00","PAYTM",19.95,20.32,23.08,24.87,4.92,1.79
"4th Sep'26 3:29:00","MOLDTKPAC",19.8,20.12,20.95,21.81,2,0.857
"4th Sep'26 3:29:00","INDIGOPNTS",19.68,21.13,23,25.25,5.57,2.24
"4th Sep'26 3:29:00","PRESTIGE",19.64,20.69,20.97,23.52,3.88,2.55
"4th Sep'26 3:29:00","SRF",19.57,20.22,21.21,22.48,2.91,1.27
"4th Sep'26 3:29:00","INDHOTEL",19.55,20.79,22.7,24.59,5.04,1.89
"4th Sep'26 3:29:00","BHARTIARTL",19.51,19.66,20.65,20.76,1.25,0.112
"4th Sep'26 3:29:00","ERIS",19.36,20.32,20.35,20.71,1.35,0.363
"4th Sep'26 3:29:00","WEWORK",19.06,24.84,25.61,25.9,6.84,0.284
"4th Sep'26 3:29:00","JINDALSTEL",18.74,19.09,19.13,19.52,0.786,0.394
"4th Sep'26 3:29:00","SBILIFE",18.7,18.72,19.13,19.66,0.966,0.53
"4th Sep'26 3:29:00","POWERGRID",18.56,19.39,20.26,20.7,2.15,0.438
