"Date","Symbol","Current price","Market cap","Category","Sector","Industry","% change","Volume"
"4th Sep'26 3:29:00","APCL",101.42,297.92,"smallcap","building materials","cement - south india",1.32,4976
"4th Sep'26 3:29:00","JAICORPLTD",99.52,1746.63,"smallcap","plastic products","plastics products",0.373,246316
"4th Sep'26 3:29:00","GMRAIRPORT",97.45,102897.22,"largecap","miscellaneous","miscellaneous",0.599,9286457
"4th Sep'26 3:29:00","DIGITIDE",97.01,1446.52,"smallcap","i.t","computers - software - medium / small",1.56,263762
"4th Sep'26 3:29:00","GMRP&UI",95.3,7443.1,"midcap","realty","engineering - turnkey services",3.94,1966833
"4th Sep'26 3:29:00","RKSWAMY",94.25,475.75,"smallcap","media","miscellaneous",2.45,16462
"4th Sep'26 3:29:00","INA",90.24,1988.84,"smallcap","industrials","electric equipment",1.36,481868
"4th Sep'26 3:29:00","GRMOVER",87.53,1813.71,"smallcap","fmcg","food - processing - indian",2,1151167
"4th Sep'26 3:29:00","NBCC",86.6,23382,"largecap","miscellaneous","miscellaneous",0.116,2548390
"4th Sep'26 3:29:00","ABLBL",86.07,10505.03,"midcap","consumer discretionary","textiles - products",3.09,852050
"4th Sep'26 3:29:00","OMINFRAL",84.43,813.09,"smallcap","realty","engineering - turnkey services",2.12,68243
"4th Sep'26 3:29:00","SINTERCOM",80.8,222.42,"smallcap","auto","auto ancillaries",1.49,10325
"4th Sep'26 3:29:00","KOKUYOCMLN",80.61,808.55,"smallcap","miscellaneous","printing & stationery",2.77,40527
"4th Sep'26 3:29:00","AERONEU",80.57,207.84,"smallcap","industrials","packaging",2,80348
"4th Sep'26 3:29:00","BANKA",79,86.36,"smallcap","miscellaneous","miscellaneous",4.96,5253
"4th Sep'26 3:29:00","NDTV",74.27,837.95,"smallcap","media","entertainment / electronic media software",5.11,236637
"4th Sep'26 3:29:00","LLOYDSENT",74.23,11331.6,"midcap","services","trading",3.14,3684805
"4th Sep'26 3:29:00","CURAA",72.46,71.74,"smallcap","i.t","computers - software - medium / small",9.46,2020
"4th Sep'26 3:29:00","RUBFILA",70.69,383.62,"smallcap","fmcg","miscellaneous",6.43,76949
