"Date","Symbol","Changeinpercentage"
"4th Sep'26 3:29:00","UEL",5
"4th Sep'26 3:29:00","BHAGERIA",5
"4th Sep'26 3:29:00","VIVIANA",5
"4th Sep'26 3:29:00","GSLSU",5
"4th Sep'26 3:29:00","SPECTRUM",5
"4th Sep'26 3:29:00","DSSL",5
"4th Sep'26 3:29:00","BI",5
"4th Sep'26 3:29:00","VALIANTLAB",4.99
"4th Sep'26 3:29:00","NECCLTD",4.99
"4th Sep'26 3:29:00","MUKTAARTS",4.99
"4th Sep'26 3:29:00","BIRLACABLE",4.99
"4th Sep'26 3:29:00","FMNL",4.99
"4th Sep'26 3:29:00","KAYA",4.99
"4th Sep'26 3:29:00","CONSOFINVT",4.99
"4th Sep'26 3:29:00","RAJOOENG",4.99
"4th Sep'26 3:29:00","SYSTMTXC",4.99
"4th Sep'26 3:29:00","COFFEEDAY",4.98
"4th Sep'26 3:29:00","STLNETWORK",4.98
"4th Sep'26 3:29:00","KOTYARK",4.98
"4th Sep'26 3:29:00","PRAXIS",4.97
"4th Sep'26 3:29:00","BURNPUR",4.97
"4th Sep'26 3:29:00","BANKA",4.96
"4th Sep'26 3:29:00","UNIVPHOTO",4.95
"4th Sep'26 3:29:00","SUTLEJTEX",4.95
"4th Sep'26 3:29:00","SATIA",4.95
"4th Sep'26 3:29:00","TIJARIA",4.95
"4th Sep'26 3:29:00","BLISSGVS",4.95
"4th Sep'26 3:29:00","PALREDTEC",4.94
"4th Sep'26 3:29:00","AKSHOPTFBR",4.94
"4th Sep'26 3:29:00","TAKE",4.94
"4th Sep'26 3:29:00","AKSHARCHEM",4.92
"4th Sep'26 3:29:00","SABEVENTS",4.91
"4th Sep'26 3:29:00","SMSPHARMA",4.9
"4th Sep'26 3:29:00","MINALIND",4.9
"4th Sep'26 3:29:00","KILITCH",4.89
"4th Sep'26 3:29:00","CARBORUNIV",4.88
"4th Sep'26 3:29:00","PIONRINV",4.86
"4th Sep'26 3:29:00","SAB",4.86
"4th Sep'26 3:29:00","KRN",4.83
"4th Sep'26 3:29:00","PWL",4.83
"4th Sep'26 3:29:00","ANGELONE",4.83
"4th Sep'26 3:29:00","MEDICAPQ",4.82
"4th Sep'26 3:29:00","LAKPRE",4.81
"4th Sep'26 3:29:00","SHALPAINTS",4.81
"4th Sep'26 3:29:00","ROLLT",4.8
"4th Sep'26 3:29:00","RADIANTCMS",4.79
"4th Sep'26 3:29:00","THACKER",4.79
"4th Sep'26 3:29:00","KSHITIJPOL",4.76
"4th Sep'26 3:29:00","AURUS",4.76
"4th Sep'26 3:29:00","ACEINTEG",4.76
"4th Sep'26 3:29:00","MTEDUCARE",4.73
"4th Sep'26 3:29:00","DBEIL",4.72
"4th Sep'26 3:29:00","IRIS",4.72
"4th Sep'26 3:29:00","ARROWGREEN",4.72
"4th Sep'26 3:29:00","RUBYMILLS",4.71
"4th Sep'26 3:29:00","BLUESTONE",4.7
"4th Sep'26 3:29:00","RBZJEWEL",4.7
"4th Sep'26 3:29:00","PVP",4.68
"4th Sep'26 3:29:00","SPMLINFRA",4.67
"4th Sep'26 3:29:00","LOTUSDEV",4.66
"4th Sep'26 3:29:00","PRAKASHSTL",4.66
"4th Sep'26 3:29:00","CORDSCABLE",4.66
"4th Sep'26 3:29:00","MVGJL",4.61
"4th Sep'26 3:29:00","SHANTIGOLD",4.61
"4th Sep'26 3:29:00","CRSL",4.6
"4th Sep'26 3:29:00","MANYAVAR",4.58
"4th Sep'26 3:29:00","SETL",4.55
"4th Sep'26 3:29:00","POLYSPIN",4.55
"4th Sep'26 3:29:00","HBLENGINE",4.54
"4th Sep'26 3:29:00","REMSONSIND",4.52
"4th Sep'26 3:29:00","TEMBO",4.52
"4th Sep'26 3:29:00","STYLAMIND",4.52
"4th Sep'26 3:29:00","KNRCON",4.52
"4th Sep'26 3:29:00","SHIVALIK",4.47
"4th Sep'26 3:29:00","INNOVACAP",4.44
"4th Sep'26 3:29:00","BALAMINES",4.44
"4th Sep'26 3:29:00","INDNIPPON",4.4
"4th Sep'26 3:29:00","BAGFILMS",4.4
"4th Sep'26 3:29:00","ONEPOINT",4.38
"4th Sep'26 3:29:00","PRABHA",4.36
"4th Sep'26 3:29:00","SRHHYPOLTD",4.35
"4th Sep'26 3:29:00","KAMANWALA",4.34
"4th Sep'26 3:29:00","ATL",4.33
"4th Sep'26 3:29:00","ORTINGLOBE",4.33
"4th Sep'26 3:29:00","AIRAN",4.32
"4th Sep'26 3:29:00","JISLDVREQS",4.28
"4th Sep'26 3:29:00","WHEELS",4.26
"4th Sep'26 3:29:00","HLEGLAS",4.25
"4th Sep'26 3:29:00","KITEX",4.21
"4th Sep'26 3:29:00","RAMCOSYS",4.2
"4th Sep'26 3:29:00","APLAPOLLO",4.2
"4th Sep'26 3:29:00","MEDICAMEQ",4.18
"4th Sep'26 3:29:00","PREMIER",4.17
"4th Sep'26 3:29:00","DONEAR",4.17
"4th Sep'26 3:29:00","MENONBE",4.16
"4th Sep'26 3:29:00","NUVOCO",4.16
"4th Sep'26 3:29:00","BOROLTD",4.15
"4th Sep'26 3:29:00","TREJHARA",4.12
"4th Sep'26 3:29:00","TRANSPEK",4.06
"4th Sep'26 3:29:00","ARTEMISMED",4.05
"4th Sep'26 3:29:00","DPABHUSHAN",4.03
"4th Sep'26 3:29:00","AQYLON",4.03
"4th Sep'26 3:29:00","ORIRAIL",4.01
"4th Sep'26 3:29:00","ACMESOLAR",4.01
"4th Sep'26 3:29:00","VIVIDHA",4
"4th Sep'26 3:29:00","GREENPLY",3.99
"4th Sep'26 3:29:00","ALOKINDS",3.98
"4th Sep'26 3:29:00","PBMPOLY",3.97
"4th Sep'26 3:29:00","WELSPUNLIV",3.94
"4th Sep'26 3:29:00","GMRP&UI",3.94
"4th Sep'26 3:29:00","EMCURE",3.93
"4th Sep'26 3:29:00","ARMANFIN",3.89
"4th Sep'26 3:29:00","TAMBOLIIN",3.88
"4th Sep'26 3:29:00","PROSTARM",3.85
"4th Sep'26 3:29:00","ASTRAMICRO",3.84
"4th Sep'26 3:29:00","CLEANMAX",3.79
"4th Sep'26 3:29:00","MENNPIS",3.77
"4th Sep'26 3:29:00","IDEA",3.73
"4th Sep'26 3:29:00","KRITINUT",3.71
"4th Sep'26 3:29:00","GENESYS",3.71
"4th Sep'26 3:29:00","MEDANTA",3.7
"4th Sep'26 3:29:00","EMKAY",3.69
"4th Sep'26 3:29:00","AHLWEST",3.67
"4th Sep'26 3:29:00","SETUINFRA",3.64
"4th Sep'26 3:29:00","GNA",3.62
"4th Sep'26 3:29:00","DEVX",3.61
"4th Sep'26 3:29:00","KAMATHOTEL",3.61
"4th Sep'26 3:29:00","GLOBAL",3.6
"4th Sep'26 3:29:00","MANOMAY",3.59
"4th Sep'26 3:29:00","SGRL",3.57
"4th Sep'26 3:29:00","LORDSCHLO",3.57
"4th Sep'26 3:29:00","MASKINVEST",3.55
"4th Sep'26 3:29:00","ARIHANT",3.53
"4th Sep'26 3:29:00","TATACOMM",3.52
"4th Sep'26 3:29:00","UDAYJEW",3.52
"4th Sep'26 3:29:00","CAPACITE",3.51
"4th Sep'26 3:29:00","BLUSPRING",3.51
"4th Sep'26 3:29:00","OAL",3.5
"4th Sep'26 3:29:00","XPROINDIA",3.5
"4th Sep'26 3:29:00","SBILIFE",3.5
"4th Sep'26 3:29:00","LAXMIINDIA",3.49
"4th Sep'26 3:29:00","SCHNEIDER",3.48
"4th Sep'26 3:29:00","CEREBRAINT",3.46
"4th Sep'26 3:29:00","ADDIND",3.46
"4th Sep'26 3:29:00","KENNAMET",3.45
"4th Sep'26 3:29:00","PANORAMA",3.45
"4th Sep'26 3:29:00","TCPLPACK",3.42
"4th Sep'26 3:29:00","MSL",3.41
"4th Sep'26 3:29:00","INTENTECH",3.41
"4th Sep'26 3:29:00","IGPL",3.38
"4th Sep'26 3:29:00","RMC",3.35
"4th Sep'26 3:29:00","AMBICAAGAR",3.34
"4th Sep'26 3:29:00","GANESHCP",3.34
"4th Sep'26 3:29:00","WILLAMAGOR",3.34
"4th Sep'26 3:29:00","MKEXIM",3.32
"4th Sep'26 3:29:00","MCX",3.32
"4th Sep'26 3:29:00","NAVINIFTY",3.31
"4th Sep'26 3:29:00","AEROPLANE",3.31
"4th Sep'26 3:29:00","INOXINDIA",3.29
"4th Sep'26 3:29:00","INFOMEDIA",3.28
"4th Sep'26 3:29:00","BGRENERGY",3.28
"4th Sep'26 3:29:00","TITAGARH",3.28
"4th Sep'26 3:29:00","SIEL",3.27
"4th Sep'26 3:29:00","MMWL",3.27
"4th Sep'26 3:29:00","PREMIERPOL",3.26
"4th Sep'26 3:29:00","CSLFINANCE",3.24
"4th Sep'26 3:29:00","KAYNES",3.24
"4th Sep'26 3:29:00","MUFTI",3.24
"4th Sep'26 3:29:00","BODALCHEM",3.22
"4th Sep'26 3:29:00","KLBRENG-B",3.22
"4th Sep'26 3:29:00","CLCIND",3.22
"4th Sep'26 3:29:00","TIL",3.22
"4th Sep'26 3:29:00","STEELCAS",3.21
"4th Sep'26 3:29:00","RPPL",3.19
"4th Sep'26 3:29:00","VISAKAIND",3.17
"4th Sep'26 3:29:00","ALLTIME",3.15
"4th Sep'26 3:29:00","JNKINDIA",3.15
"4th Sep'26 3:29:00","LLOYDSENT",3.14
"4th Sep'26 3:29:00","RICOAUTO",3.14
"4th Sep'26 3:29:00","BSE",3.14
"4th Sep'26 3:29:00","TIMEX",3.13
"4th Sep'26 3:29:00","NORBTEAEXP",3.12
"4th Sep'26 3:29:00","STARCEMENT",3.1
"4th Sep'26 3:29:00","AMDIND",3.09
"4th Sep'26 3:29:00","UNITEDPOLY",3.09
"4th Sep'26 3:29:00","JASH",3.09
"4th Sep'26 3:29:00","ABLBL",3.09
"4th Sep'26 3:29:00","SANSTAR",3.06
"4th Sep'26 3:29:00","ROSSTECH",3.06
"4th Sep'26 3:29:00","ENIL",3.05
"4th Sep'26 3:29:00","SAMMAANCAP",3.05
"4th Sep'26 3:29:00","PENINLAND",3.05
"4th Sep'26 3:29:00","SRPL",3.03
"4th Sep'26 3:29:00","BLKASHYAP",3.02
"4th Sep'26 3:29:00","HALDER",3.02
"4th Sep'26 3:29:00","CGCL",3.02
"4th Sep'26 3:29:00","NETWORK18",3.01
"4th Sep'26 3:29:00","PNGJL",3.01
"4th Sep'26 3:29:00","BROOKS",2.99
"4th Sep'26 3:29:00","YATHARTH",2.99
"4th Sep'26 3:29:00","MMTC",2.98
"4th Sep'26 3:29:00","LOYALTEX",2.98
"4th Sep'26 3:29:00","63MOONS",2.97
"4th Sep'26 3:29:00","FINKURVE",2.96
"4th Sep'26 3:29:00","JSLL",2.96
"4th Sep'26 3:29:00","HEG",2.94
"4th Sep'26 3:29:00","TAINWALCHM",2.93
"4th Sep'26 3:29:00","PFC",2.92
"4th Sep'26 3:29:00","GPTHEALTH",2.92
"4th Sep'26 3:29:00","HERITGFOOD",2.91
"4th Sep'26 3:29:00","ONEGLOBAL",2.89
"4th Sep'26 3:29:00","SPECIALITY",2.89
"4th Sep'26 3:29:00","NATIONSTD",2.85
"4th Sep'26 3:29:00","PRIMO",2.85
"4th Sep'26 3:29:00","ICIL",2.85
"4th Sep'26 3:29:00","IXIGO",2.84
"4th Sep'26 3:29:00","BOHRAIND",2.83
