"Date","Symbol","Current price","Market cap","Category","Sector","Industry","% change","Volume"
"4th Sep'26 3:29:00","INTERARCH",1707,2862.96,"smallcap","metals & mining","steel - medium / small",0.341,33231
"4th Sep'26 3:29:00","GMBREW",919.85,2101.57,"smallcap","fmcg","breweries & distilleries",1.02,40347
"4th Sep'26 3:29:00","ISGEC",787.35,5789.35,"midcap","realty","engineering - turnkey services",2.11,30774
"4th Sep'26 3:29:00","UPL",582.15,49143.32,"largecap","chemicals","pesticides / agrochemicals - indian",-0.547,1730115
"4th Sep'26 3:29:00","COALINDIA",415.35,255968.92,"largecap","metals & mining","mining / minerals / metals",-1.12,6126850
"4th Sep'26 3:29:00","TATAPOWER",368,117588.5,"largecap","power & utilities","power generation and supply",0.629,3826383
"4th Sep'26 3:29:00","GUJAPOLLO",355.95,461.67,"smallcap","industrials","engineering",2.3,12193
"4th Sep'26 3:29:00","ONGC",234.65,295196.25,"largecap","energy","oil drilling / allied services",-0.572,5338085
"4th Sep'26 3:29:00","GENESYS",230.88,964.86,"smallcap","i.t","computers - software - medium / small",3.71,475906
"4th Sep'26 3:29:00","HUBTOWN",189.26,2689.4,"smallcap","realty","construction",-1.53,598031
"4th Sep'26 3:29:00","IGL",158.04,22125.63,"largecap","energy","miscellaneous",5.77,8174532
"4th Sep'26 3:29:00","ECOSMOBLTY",113.54,681.24,"smallcap","miscellaneous","miscellaneous",-0.342,79330
"4th Sep'26 3:29:00","CROWN",112.84,130.78,"smallcap","miscellaneous","miscellaneous",0.93,37657
"4th Sep'26 3:29:00","KUANTUM",74.18,647.32,"smallcap","building materials","paper",-1.3,61468
"4th Sep'26 3:29:00","GTPL",58.67,659.82,"smallcap","media","entertainment / electronic media software",1.28,87796
"4th Sep'26 3:29:00","HGM",52.63,66.29,"smallcap","i.t","computers - software - medium / small",2.11,31154
"4th Sep'26 3:29:00","RAJOOENG",51.59,921.79,"smallcap","industrials","engineering",4.99,412844
"4th Sep'26 3:29:00","IOB",33.55,64605.86,"largecap","bank","banks - public sector",0.963,2673908
"4th Sep'26 3:29:00","MBLINFRA",24.3,378.79,"smallcap","realty","construction",-0.573,25935
"4th Sep'26 3:29:00","DRCSYSTEMS",13.64,196.53,"smallcap","i.t","computers - software - medium / small",1.64,37863
"4th Sep'26 3:29:00","BAIDFIN",10.12,164.04,"smallcap","financials","finance & investments",0.198,43775
"4th Sep'26 3:29:00","TECILCHEM",9.72,18.43,"smallcap","chemicals","chemicals",-2.61,21289
"4th Sep'26 3:29:00","AKI",7.22,74.51,"smallcap","consumer discretionary","leather / leather products",9.89,258805
"4th Sep'26 3:29:00","ORIENTALTL",5.31,39.03,"smallcap","services","trading",5.78,322042
"4th Sep'26 3:29:00","LAKPRE",5.01,5.48,"smallcap","industrials","fasteners",4.81,3002
"4th Sep'26 3:29:00","GAYAHWS",1.93,46.25,"smallcap","realty","construction",-1.53,206145
"4th Sep'26 3:29:00","PARSVNATH",1.57,68.32,"smallcap","realty","construction",1.95,127768
"4th Sep'26 3:29:00","FLFL",1.25,25.22,"smallcap","consumer discretionary","trading",2.46,107261
