"Date","Abv 10ma","Abv 20ma","Abv 50ma","Abv 200ma"
"26th Feb'26",33.68,32.95,29.71,24.83
"25th Feb'26",28.81,31.05,28.86,24.57
"24th Feb'26",24.86,28.25,26.51,24.18
"23rd Feb'26",31.76,34.53,30.98,25.61
"20th Feb'26",31.51,35.43,30.91,25.11
"19th Feb'26",30.12,35.1,31.08,25.41
"18th Feb'26",46.59,46.41,36.63,27.94
"17th Feb'26",43.46,43.69,34.68,26.99
"16th Feb'26",34.75,38.49,31.37,26.17
"13th Feb'26",39,42.53,32.86,25.99
"12th Feb'26",57.79,57.01,40.93,28.64
"11th Feb'26",71.54,66.09,45.23,29.84
"10th Feb'26",79.31,69.91,46.93,30.14
"9th Feb'26",77.2,66.65,42.85,29.28
"6th Feb'26",58.09,47.78,31.06,24.23
"5th Feb'26",62.79,49.68,30.98,24.56
"4th Feb'26",75.4,57.76,32.94,26.11
"3rd Feb'26",66.97,47.05,27.99,24.64
"2nd Feb'26",31.28,21.4,15.23,18.88
"1st Feb'26",30.95,20.7,14.1,17.81
"30th Jan'26",42.71,27.84,18.58,20.5
"29th Jan'26",30.47,20.38,15.37,18.72
"28th Jan'26",32.45,20.7,15.24,18.54
"27th Jan'26",14.9,11.33,11.33,16.45
"23rd Jan'26",11.48,10.2,10.52,16.17
"22nd Jan'26",17.68,13.59,13.22,18.5
"21st Jan'26",7.62,8.54,10.56,16.48
"20th Jan'26",7.4,9.28,11.07,17.32
"19th Jan'26",16.7,16.88,17.47,21.09
"16th Jan'26",22,21.03,20.29,23.52
"14th Jan'26",21.68,20.94,21.08,23.93
"13th Jan'26",17.66,18.81,19.5,23.32
"12th Jan'26",14.02,16.73,18.56,23.24
"9th Jan'26",13.45,17.6,20.31,23.86
"8th Jan'26",24.14,27.36,25.98,27.78
"7th Jan'26",44.18,42.57,34.84,31.52
"6th Jan'26",41.33,41.33,32.95,30.83
"5th Jan'26",51.31,47.5,36.41,31.91
"2nd Jan'26",67.1,55.81,37.23,32.03
"1st Jan'26",50.9,43.99,31.48,29.87
"31st Dec'25",53,43.18,30.41,29.82
"30th Dec'25",34.33,33,25.67,27.65
"29th Dec'25",35.02,32.49,26.8,27.9
"26th Dec'25",45.55,38.5,28.95,29.05
"24th Dec'25",55.69,44.81,30.52,29.97
"23rd Dec'25",62.47,46.57,30.89,29.92
"22nd Dec'25",59.05,40.9,27.67,29.5
"19th Dec'25",40.24,29.21,23.49,27.73
"18th Dec'25",24.25,21.39,19.63,25.91
"17th Dec'25",25.58,21.75,20.96,26.27
"16th Dec'25",35.91,27.77,22.5,27.63
"15th Dec'25",44.01,29.54,24.52,28.62
"12th Dec'25",39.72,27.22,23.8,27.55
"11th Dec'25",28.27,21.33,20.82,26.24
"10th Dec'25",20.92,16.75,17.63,25.68
"9th Dec'25",20.17,17.29,18.73,25.68
"8th Dec'25",10.17,11.65,16.14,24.64
"5th Dec'25",22.75,19.92,21.68,28.41
"4th Dec'25",22.24,20.57,22.61,28.74
"3rd Dec'25",22.01,21.17,23.03,29.67
"2nd Dec'25",26.29,24.43,25.82,30.56
"1st Dec'25",32.05,27.38,27.66,31.82
"28th Nov'25",33.67,28.64,28.55,32
"27th Nov'25",32.68,28.07,27.7,31.61
"26th Nov'25",34.19,28.09,27.85,32.32
"25th Nov'25",20.04,21.53,23.39,29.82
"24th Nov'25",16.84,20.09,22.51,29.19
"21st Nov'25",21.19,23.61,25.43,31.78
"20th Nov'25",28.51,29.26,30.28,33.64
