"Date","4% advance","4% decline","Net breadth","3% range","5d range","Volume","+15% in 5d","-10% in 5d","10% + 10ema","10% - 10ema"
"12th May'26",2.03,32.56,-30.52,13.06,1.12,0.606,1.9,3.2,1.34,0.692
"11th May'26",4.9,10.27,-5.37,27.36,2.58,0.544,4.38,1.72,3.48,0.215
"8th May'26",7.77,3.15,4.62,37.72,3.97,0.668,6.3,0.906,4.96,0.086
"7th May'26",13.01,1.17,11.84,37.73,3.33,0.944,4.84,0.994,4.58,0.216
"6th May'26",12.83,1.73,11.11,32.24,3.11,0.707,3.28,1.08,3.28,0.302
"5th May'26",6.74,2.85,3.89,39.84,3.98,0.364,2.81,1.56,3.11,0.216
"4th May'26",11.83,2.71,9.12,31.53,4,0.484,3.61,1.38,2.88,0.344
"30th Apr'26",3.85,3.42,0.433,35.19,3.81,0.289,1.6,1.69,1.6,0.216
"29th Apr'26",5.71,3.07,2.64,36.74,4.2,0.36,1.95,1.6,2.21,0.26
"28th Apr'26",5.97,2.59,3.37,40.73,3.76,0.297,2.72,1.12,3.42,0.173
"27th Apr'26",15.28,1.55,13.73,32.72,3.57,0.323,2.63,1.12,3.36,0.344
"24th Apr'26",2.69,7.75,-5.07,20.66,2.77,0.22,2.21,2.64,2.9,0.303
"23rd Apr'26",6.06,3.33,2.72,36.59,4.93,0.322,3.63,0.865,4.41,0.216
"22nd Apr'26",9,2.03,6.96,42.26,4.97,0.337,3.76,0.692,5.28,0.216
"21st Apr'26",7.61,2.34,5.28,39.71,4.37,0.337,6.49,0.606,5.28,0.216
"20th Apr'26",5.6,5.01,0.582,25.96,1.07,0.445,5.91,0.671,6.4,0.269
"17th Apr'26",12.39,0.633,11.76,36.63,0.95,0.865,10.67,0.452,10.81,0.09
"16th Apr'26",9.36,1.22,8.14,31.71,0.95,0.764,8.1,0.543,10.49,0.09
"15th Apr'26",25.81,0.814,25,32.69,1.13,1.06,17.18,0.407,11.93,0.09
"13th Apr'26",6.79,4.14,2.65,16.69,0.585,0.402,11.43,0.45,7.11,0.18
"10th Apr'26",17.23,0.543,16.69,35.82,0.543,0.578,17.64,0.181,11.08,0.136
"9th Apr'26",7.45,2.44,5.01,24.02,0.406,0.405,15.94,0.226,7.49,0.226
"8th Apr'26",51.17,0.858,50.32,18.07,0.361,1.72,42.64,0.271,10.16,0.181
"7th Apr'26",10.61,1.31,9.3,32.55,0.452,0.273,9.44,0.587,4.15,0.271
"6th Apr'26",16.11,1.17,14.94,15.44,0.36,0.372,3.29,1.35,3.29,0.495
"2nd Apr'26",13.51,1.9,11.61,8.09,0.316,0.273,2.67,1.63,1.81,0.497
"1st Apr'26",64.64,0.724,63.92,11.09,0.317,0.603,2.26,2.58,0.77,0.996
"30th Mar'26",2.21,48.17,-45.96,9.88,0.631,3.75,0.586,34.24,0.677,16.96
"27th Mar'26",2.09,41.95,-39.86,12.29,0.544,5.69,0.816,11.84,0.59,4.81
"25th Mar'26",14.34,1.95,12.39,16.92,0.771,2.33,0.681,5.72,0.544,1.04
"24th Mar'26",17.79,2.81,14.98,12.07,0.454,1.94,1.09,4.63,0.635,1.63
"23rd Mar'26",0.904,58.23,-57.32,8.36,0.407,2.1,0.859,7.37,0.452,5.15
"20th Mar'26",7.04,2.32,4.73,27.08,0.954,0.875,1.82,2.73,0.863,0.909
