"Date","4% advance","4% decline","Net breadth","3% range","5d range","Volume","+15% in 5d","-10% in 5d","10% + 10ema","10% - 10ema"
"14th Jul'25",5.09,2.18,2.91,51.11,12.69,0.404,2.03,1.16,1.84,0.242
"11th Jul'25",2.93,1.85,1.07,53,13.37,0.362,1.56,0.976,1.76,0.195
"10th Jul'25",5.18,0.929,4.25,59.68,16.03,0.371,2.05,0.929,1.91,0.147
"9th Jul'25",5.23,1.03,4.2,58.28,16.02,0.351,1.71,0.782,1.56,0.244
"8th Jul'25",4.25,2,2.25,52.15,14.65,0.377,2,0.977,1.56,0.244
"7th Jul'25",5.15,3.01,2.14,49.68,13.79,0.319,2.23,1.17,1.89,0.34
"4th Jul'25",5.22,1.32,3.9,58.22,14.59,0.324,2.68,0.927,2,0.195
"3rd Jul'25",5.17,1.51,3.66,58.66,13.47,0.352,2.68,0.586,1.85,0.195
"2nd Jul'25",4.74,2.15,2.59,51.44,12.85,0.432,2.69,0.537,2.15,0.195
"1st Jul'25",6.01,2,4.01,51.15,12.22,0.483,3.47,0.636,2.35,0.196
"30th Jun'25",8.97,1.61,7.36,50.78,10.09,0.628,3.22,0.731,2.19,0.292
"27th Jun'25",6.91,1.27,5.64,52.4,6.18,0.778,2.7,0.637,1.86,0.294
"26th Jun'25",4.61,1.52,3.09,52.33,5.64,0.431,2.55,0.49,1.57,0.441
"25th Jun'25",10.78,1.03,9.75,49.22,5.69,0.529,1.57,0.931,1.37,0.392
"24th Jun'25",6.81,1.86,4.95,46.37,5.83,0.427,1.03,1.62,0.833,0.343
"23rd Jun'25",5.02,2.63,2.39,49.46,5.51,0.252,1.17,2.78,1.07,0.536
"20th Jun'25",6.27,1.81,4.46,41.3,5.68,0.434,0.833,2.01,0.784,0.343
"19th Jun'25",1.47,8.78,-7.31,26.24,5.64,0.257,0.883,4.07,0.736,0.441
"18th Jun'25",3.24,2.6,0.638,50.69,3.09,0.223,1.03,3.09,1.13,0.197
"17th Jun'25",3.68,4.22,-0.54,40.18,2.9,0.267,1.18,2.11,1.13,0.246
"16th Jun'25",5.42,1.71,3.71,30.83,2.69,0.315,2.3,0.928,1.51,0.195
"13th Jun'25",3.24,3,0.246,36.46,3.1,0.402,3.05,0.786,1.52,0.295
"12th Jun'25",3.49,4.86,-1.38,29.34,6.24,0.649,3.78,0.884,2.75,0.098
"11th Jun'25",8.83,1.47,7.36,38.42,8.49,1.26,4.91,0.638,3.43,0.049
"10th Jun'25",7.51,1.33,6.19,49.51,8.01,0.815,4.27,0.737,3.54,0.098
"9th Jun'25",10.82,1.18,9.65,45.1,8.57,0.902,3.53,0.93,3.18,0
"6th Jun'25",8.1,1.67,6.43,48.48,9.32,0.577,3.34,1.23,2.5,0
"5th Jun'25",7.95,0.638,7.31,49.21,8.34,0.575,2.45,1.23,2.7,0.098
"4th Jun'25",6.92,2.06,4.86,49.56,8.44,0.409,1.91,1.96,2.06,0.294
"3rd Jun'25",5.06,2.45,2.6,43.35,8.79,0.517,2.41,2.01,2.06,0.098
"2nd Jun'25",8.87,3.48,5.39,38.12,8.92,0.77,2.79,1.76,2.89,0.098
"30th May'25",6.02,4.19,1.82,42.7,10.85,1.13,3.35,1.43,2.86,0.148
"29th May'25",6.66,3.7,2.96,51.48,11.64,0.672,3.55,1.33,3.4,0.197
"28th May'25",7.11,2.71,4.39,49.95,11.15,0.679,3.26,0.938,3.21,0.099
"27th May'25",5.87,2.37,3.5,54.89,10.37,0.523,3.55,0.987,3.36,0.148
"26th May'25",7.76,2.85,4.91,46.66,6.88,0.831,2.8,1.92,3.63,0.098
"23rd May'25",6.67,2.37,4.3,47.63,5.39,0.61,2.77,1.19,3.16,0.099
"22nd May'25",5.48,2.77,2.72,49.68,4.3,0.415,3.31,1.04,3.11,0.099
"21st May'25",5.58,2.72,2.86,42.62,4.2,0.629,4.54,0.889,3.85,0.049
"20th May'25",4.1,6.42,-2.32,25.15,3.36,1.1,6.47,0.395,4.25,0.099
"19th May'25",12.72,2.31,10.41,30.11,3.39,2.35,9.87,0.737,7.22,0.098
"16th May'25",13.14,1.73,11.41,41.73,2.67,1.59,21.04,0.296,7.26,0.198
"15th May'25",11.46,1.83,9.63,42.93,0.741,1.35,12.5,0.346,5.48,0.148
"14th May'25",14.92,0.692,14.23,38.49,0.692,1.31,6.27,0.395,4,0.198
"13th May'25",12.4,1.23,11.16,36.1,0.84,0.845,3.51,0.395,2.17,0.198
"12th May'25",60.49,0.737,59.75,26,0.934,1.23,1.47,0.983,1.47,0.295
"9th May'25",2.67,5.63,-2.96,22.91,1.38,0.377,0.938,3.16,0.691,0.79
"8th May'25",3.56,4.79,-1.23,13.43,2.07,0.412,1.14,3.26,0.741,0.741
"7th May'25",5.77,2.66,3.11,18.75,1.83,0.366,0.74,3.95,0.641,0.691
"6th May'25",0.937,24.72,-23.78,17.07,2.71,0.338,0.691,4.98,0.493,0.839
"5th May'25",9.34,2.46,6.88,38.43,3.44,0.289,1.23,2.75,0.934,0.246
"2nd May'25",3.4,3.4,0,32.81,1.48,0.3,0.987,10.41,0.888,0.296
"30th Apr'25",1.43,9.93,-8.5,28.56,1.73,0.303,0.889,9.44,0.988,0.543
"29th Apr'25",4.1,2.77,1.33,38.44,1.58,0.199,1.48,4.15,1.38,0.247
"28th Apr'25",4.72,3.88,0.836,35.55,1.77,0.221,1.97,3.05,1.28,0.295
"25th Apr'25",1.53,30.65,-29.12,7.61,1.63,0.894,2.62,1.78,1.63,0.198
"24th Apr'25",6.17,2.32,3.85,43.41,3.31,0.468,4.94,0.691,4.4,0.148
"23rd Apr'25",7.3,1.53,5.77,26.26,3.46,0.577,6.47,0.494,5.23,0.148
"22nd Apr'25",10.36,1.83,8.53,37.59,2.61,0.642,11.49,0.444,5.87,0.197
"21st Apr'25",14.12,1.18,12.94,34.5,1.67,0.6,14.96,0.246,5.41,0.197
"17th Apr'25",7.84,1.23,6.6,41.84,1.28,0.332,7.84,0.345,4.58,0.197
"16th Apr'25",10.31,1.09,9.23,43.27,1.23,0.331,10.51,0.197,4.49,0.148
"15th Apr'25",30.22,0.443,29.77,31.55,0.886,0.394,2.61,0.886,3.3,0.197
"11th Apr'25",21.66,0.543,21.11,31.23,0.641,0.258,1.18,6.96,1.48,0.345
"9th Apr'25",3.31,7.41,-4.1,30.43,0.445,0.107,1.24,12.9,0.889,1.98
"8th Apr'25",20.15,1.19,18.96,19.51,0.395,0.175,1.73,6.37,0.84,1.23
"7th Apr'25",0.987,54.42,-53.43,9.08,0.345,0.876,2.32,10.95,0.493,4.64
"4th Apr'25",2.86,30.22,-27.36,13.09,1.78,0.389,4.35,2.77,1.88,1.14
"3rd Apr'25",15.16,1.53,13.63,26.96,2.02,0.366,4.69,0.988,3.01,0.494
"2nd Apr'25",12.94,0.889,12.05,26.52,1.78,0.191,1.63,1.28,1.83,0.346
"1st Apr'25",22.86,2.91,19.95,21.67,1.67,0.193,1.08,5.67,1.48,0.591
"28th Mar'25",4.1,6.86,-2.76,16.88,2.07,1.32,1.14,12.34,1.09,2.62
"27th Mar'25",7.95,10.08,-2.12,20.7,1.63,4.54,1.73,6.67,1.33,2.08
"26th Mar'25",1.98,18.32,-16.35,21.53,1.53,1.59,2.07,3.8,1.28,1.23
"25th Mar'25",3.06,19.47,-16.4,15.41,1.33,2.59,6.13,0.692,2.22,0.543
"24th Mar'25",11.93,1.82,10.1,27.01,1.63,3.47,15.72,0.542,5.77,0.394
"21st Mar'25",16.12,1.43,14.69,26.66,1.24,3.56,7.81,0.89,3.91,0.495
"20th Mar'25",9.69,1.98,7.72,26.81,1.53,2.28,3.56,1.48,1.98,0.692
"19th Mar'25",24.83,0.594,24.23,25.52,1.83,2.89,2.32,1.78,1.88,0.791
"18th Mar'25",21.77,2.33,19.45,27.41,2.57,1.7,1.14,6.04,0.792,1.48
"17th Mar'25",4.2,11.6,-7.4,25.57,1.73,1.03,0.494,23.15,0.494,3.31
"13th Mar'25",2.58,5.5,-2.92,31.6,1.78,0.571,1.14,10.3,0.495,1.73
"12th Mar'25",2.87,6.78,-3.91,23.55,1.68,0.55,1.68,3.61,0.693,1.48
"11th Mar'25",3.22,10.49,-7.28,22.28,1.09,0.64,3.22,1.29,0.743,1.29
"10th Mar'25",2.96,28.85,-25.89,13.14,1.28,0.787,5.78,0.741,0.939,0.741
"7th Mar'25",13.76,1.88,11.88,29.05,1.04,1.05,5.59,1.19,1.58,0.544
"6th Mar'25",18.64,0.989,17.66,27.7,0.594,1.38,1.78,2.97,1.14,0.89
"5th Mar'25",33.14,0.742,32.39,14.89,0.594,1.51,0.544,9.25,0.396,2.03
"4th Mar'25",11.03,4.11,6.93,11.58,0.544,1.14,0.297,22.71,0.445,6.58
"3rd Mar'25",4,23.12,-19.12,7.46,0.445,2.69,0.296,37.65,0.247,15.07
"28th Feb'25",1.59,32.36,-30.77,11.41,0.794,2.46,0.298,27.1,0.199,8.83
