"Date","Symbol","Market cap","Category","Sector","Industry","% change","Volume"
"4th Sep'26 3:29:00","KOTAKBANK",422237.8,"largecap","bank","banks - private sector",0.795,9408316
"4th Sep'26 3:29:00","KPRMILL",40549.39,"largecap","consumer discretionary","textiles - products",0.927,199902
"4th Sep'26 3:29:00","CUB",23383.57,"largecap","bank","banks - private sector",0.704,2621193
"4th Sep'26 3:29:00","CAPLIPOINT",21365.37,"largecap","healthcare","pharmaceuticals - indian - formulations",-1.2,208526
"4th Sep'26 3:29:00","CASTROLIND",18820.03,"midcap","chemicals","chemicals",2.07,4231930
"4th Sep'26 3:29:00","POLYMED",17256.45,"midcap","healthcare","healthcare",-3.74,171700
"4th Sep'26 3:29:00","ENGINERSIN",15706.27,"midcap","realty","engineering - turnkey services",-0.887,3490446
"4th Sep'26 3:29:00","MAHSCOOTER",15545.14,"midcap","financials","finance & investments",-0.271,1009
"4th Sep'26 3:29:00","VGUARD",14653.33,"midcap","industrials","electric equipment",-1.13,751013
"4th Sep'26 3:29:00","GODREJAGRO",12404.33,"midcap","fmcg","food - processing - indian",-2.14,306292
"4th Sep'26 3:29:00","CYIENT",11540.45,"midcap","i.t","computers - software - medium / small",-0.855,327209
"4th Sep'26 3:29:00","SBFC",11081.93,"midcap","financials","finance & investments",0.18,817043
"4th Sep'26 3:29:00","TEJASNET",10930.27,"midcap","telecom","telecommunications - equipment",8.23,26085952
"4th Sep'26 3:29:00","CLEAN",8886.81,"midcap","chemicals","chemicals",-1.97,297191
"4th Sep'26 3:29:00","PAISALO",6739.56,"midcap","financials","finance & investments",5.44,31201929
"4th Sep'26 3:29:00","CARERATING",5225.1,"midcap","financials","miscellaneous",1.74,354155
"4th Sep'26 3:29:00","ELECTCAST",5174.82,"midcap","industrials","castings & forgings",-0.167,1762760
"4th Sep'26 3:29:00","MANINFRA",5037.76,"midcap","realty","construction",0.169,1748780
"4th Sep'26 3:29:00","WHEELS",4214.45,"smallcap","auto","auto ancillaries",4.26,336451
"4th Sep'26 3:29:00","KSL",4105.57,"smallcap","metals & mining","steel - medium / small",-1.02,67652
"4th Sep'26 3:29:00","RML",3581.5,"smallcap","auto","auto ancillaries",14.95,2195205
"4th Sep'26 3:29:00","ANTELOPUS",3365.57,"smallcap","energy","oil drilling / allied services",-5.54,4816181
"4th Sep'26 3:29:00","UEL",3222.89,"smallcap","power & utilities","power generation and supply",5,18811
"4th Sep'26 3:29:00","MAITHANALL",3174.76,"smallcap","metals & mining","mining / minerals / metals",5.01,400161
"4th Sep'26 3:29:00","PARAGMILK",3135.21,"smallcap","fmcg","food - processing - indian",-1.81,613677
"4th Sep'26 3:29:00","CONFIPET",2740.32,"smallcap","miscellaneous","miscellaneous",-2.14,2371168
"4th Sep'26 3:29:00","SPAL",2692.63,"smallcap","consumer discretionary","textiles - products",0.781,64434
"4th Sep'26 3:29:00","INDNIPPON",2620.01,"smallcap","auto","auto ancillaries",4.4,63581
"4th Sep'26 3:29:00","HINDOILEXP",2446.5,"smallcap","energy","oil drilling / allied services",0.336,1959249
"4th Sep'26 3:29:00","INDOCO",2423.06,"smallcap","healthcare","pharmaceuticals - indian - bulk drugs & formln",-3.69,368891
"4th Sep'26 3:29:00","VENKEYS",2337.93,"smallcap","fmcg","miscellaneous",-1.04,25085
"4th Sep'26 3:29:00","SAKAR",2255.92,"smallcap","healthcare","pharmaceuticals - indian - bulk drugs & formln",0.69,87982
"4th Sep'26 3:29:00","SBC",2179.05,"smallcap","textiles","textiles - products",5.8,13241116
"4th Sep'26 3:29:00","TIL",2084.84,"smallcap","industrials","engineering",3.22,296756
"4th Sep'26 3:29:00","AYMSYNTEX",1824.87,"smallcap","textiles","textiles - processing",-2.06,124761
"4th Sep'26 3:29:00","ASIANHOTNR",1640.31,"smallcap","services","hotels",0.234,10682
"4th Sep'26 3:29:00","BLKASHYAP",1337.76,"smallcap","realty","construction",3.02,2983058
"4th Sep'26 3:29:00","CENTENKA",1330.48,"smallcap","textiles","textiles - manmade",-1.26,126471
"4th Sep'26 3:29:00","KOPRAN",1122.83,"smallcap","healthcare","pharmaceuticals - indian - bulk drugs & formln",0.129,661197
"4th Sep'26 3:29:00","RSWM",1039.2,"smallcap","textiles","textiles - cotton/blended",1.54,67600
"4th Sep'26 3:29:00","RADHIKAJWE",981.29,"smallcap","consumer discretionary","diamond cutting / jewellery",16.6,14544177
"4th Sep'26 3:29:00","SGIL",942.22,"smallcap","industrials","castings & forgings",0.398,4698
"4th Sep'26 3:29:00","RBZJEWEL",802.76,"smallcap","consumer discretionary","diamond cutting / jewellery",4.7,6929954
"4th Sep'26 3:29:00","LOKESHMACH",794.71,"smallcap","industrials","engineering",1.19,56473
"4th Sep'26 3:29:00","LAXMIINDIA",694.73,"smallcap","financials","finance & investments",3.49,360742
"4th Sep'26 3:29:00","TREL",674.19,"smallcap","transportation","miscellaneous",1.86,215792
"4th Sep'26 3:29:00","GLOBAL",613.11,"smallcap","services","miscellaneous",3.6,570402
"4th Sep'26 3:29:00","PASUPTAC",602.9,"smallcap","textiles","textiles - manmade",1.27,108786
"4th Sep'26 3:29:00","SHIVALIK",515.67,"smallcap","chemicals","pesticides / agrochemicals - indian",4.47,46428
"4th Sep'26 3:29:00","SINCLAIR",428.02,"smallcap","services","hotels",-0.417,26997
"4th Sep'26 3:29:00","ALMONDZ",342.09,"smallcap","financials","finance & investments",1.3,302678
"4th Sep'26 3:29:00","OILCOUNTUB",337.93,"smallcap","metals & mining","steel - medium / small",-1.99,15996
"4th Sep'26 3:29:00","IVC",321.57,"smallcap","financials","finance & investments",1.49,1022586
"4th Sep'26 3:29:00","GEEKAYWIRE",309.48,"smallcap","metals & mining","steel - medium / small",0.749,127142
"4th Sep'26 3:29:00","AAREYDRUGS",271.61,"smallcap","healthcare","pharmaceuticals - indian - bulk drugs",1.43,109417
"4th Sep'26 3:29:00","MARALOVER",256.64,"smallcap","textiles","textiles - cotton/blended",11.89,313426
"4th Sep'26 3:29:00","SHIVATEX",237.04,"smallcap","textiles","textiles - cotton/blended",0.351,15793
"4th Sep'26 3:29:00","STARPAPER",236.34,"smallcap","building materials","paper",-1.97,11085
