"Date","Symbol","% 3 qtrs ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtrs"
"4th Sep'26 3:29:00","ARKADE",27.64,28.58,28.59,28.59,0.952
"4th Sep'26 3:29:00","BSL",38.08,38.97,38.99,39.03,0.95
"4th Sep'26 3:29:00","DBL",27.82,28.16,28.79,28.75,0.935
"4th Sep'26 3:29:00","ADOR",31.79,31.54,31.23,32.73,0.934
"4th Sep'26 3:29:00","INDIGO",5.29,5.28,5.6,6.22,0.93
"4th Sep'26 3:29:00","GREAVESCOT",36.85,36.96,37.78,37.78,0.929
"4th Sep'26 3:29:00","RAYMONDLSL",25.41,25.91,25.66,26.34,0.928
"4th Sep'26 3:29:00","INDSWFTLAB",44.45,44.93,42.45,45.38,0.925
"4th Sep'26 3:29:00","RATNAVEER",48.05,47.86,46.45,48.98,0.925
"4th Sep'26 3:29:00","GTLINFRA",63,63.67,64.54,63.92,0.925
"4th Sep'26 3:29:00","TRITURBINE",6.65,7.16,6.81,7.58,0.921
"4th Sep'26 3:29:00","RISHABH",17.71,17.83,17.51,18.63,0.919
"4th Sep'26 3:29:00","SPECIALITY",47.73,47.55,48.79,48.65,0.917
"4th Sep'26 3:29:00","ESTER",27.84,27.75,27.72,28.75,0.911
"4th Sep'26 3:29:00","ANURAS",31.89,32.87,33.63,32.8,0.904
"4th Sep'26 3:29:00","VAIBHAVGBL",22.88,23.13,23.88,23.77,0.898
"4th Sep'26 3:29:00","JASH",53.37,53.43,53.94,54.26,0.893
"4th Sep'26 3:29:00","REDINGTON",20.71,21.16,20.73,21.6,0.893
"4th Sep'26 3:29:00","PVP",37.51,37.6,38.03,38.4,0.892
"4th Sep'26 3:29:00","VAKRANGEE",54.43,54.78,55.13,55.32,0.891
"4th Sep'26 3:29:00","MAZDOCK",11.15,11.61,11.95,12.04,0.886
"4th Sep'26 3:29:00","ACMESOLAR",4.22,4.62,5.8,5.11,0.885
"4th Sep'26 3:29:00","PRAXIS",90.26,91.14,91.14,91.14,0.881
"4th Sep'26 3:29:00","PONNIERODE",40.21,40.91,40.95,41.09,0.879
"4th Sep'26 3:29:00","SUBROS",18.45,18.27,18.86,19.32,0.873
"4th Sep'26 3:29:00","OMAXE",18.16,19.09,18.02,19.03,0.873
"4th Sep'26 3:29:00","UTIAMC",9.93,10.04,10.12,10.8,0.871
"4th Sep'26 3:29:00","COFORGE",10.83,11.6,12.96,11.7,0.87
"4th Sep'26 3:29:00","BRIGADE",16.91,17.16,17.38,17.77,0.869
"4th Sep'26 3:29:00","PAUSHAKLTD",27.7,27.74,28.21,28.57,0.869
"4th Sep'26 3:29:00","SPENCERS",31.64,32.5,32.45,32.5,0.866
"4th Sep'26 3:29:00","M&MFIN",5.62,6.05,6.01,6.48,0.863
"4th Sep'26 3:29:00","TATAINVEST",21.69,22.7,22.6,22.55,0.859
"4th Sep'26 3:29:00","GREENPANEL",16.43,15.85,17.37,17.27,0.834
"4th Sep'26 3:29:00","AKUMS",8.56,9.19,9.02,9.39,0.831
"4th Sep'26 3:29:00","BHARATRAS",19.98,20.17,20.47,20.81,0.83
"4th Sep'26 3:29:00","ENIL",18.26,18.59,18.77,19.08,0.827
"4th Sep'26 3:29:00","PVSL",17.67,18.18,18.32,18.49,0.819
"4th Sep'26 3:29:00","PARAGMILK",40.86,39.35,40.75,41.68,0.817
"4th Sep'26 3:29:00","NATHBIOGEN",53.32,54.08,54.16,54.12,0.806
"4th Sep'26 3:29:00","ORCHASP",50.24,50.87,51.55,51.03,0.791
"4th Sep'26 3:29:00","FORCEMOT",26.18,25.67,25.25,26.97,0.788
"4th Sep'26 3:29:00","POWERMECH",13.65,14.58,14.93,14.44,0.785
"4th Sep'26 3:29:00","SETL",23.87,24.33,24.84,24.65,0.777
"4th Sep'26 3:29:00","RTNINDIA",18.89,18.87,19.5,19.67,0.775
"4th Sep'26 3:29:00","FAIRCHEMOR",26.72,26.93,26.3,27.49,0.775
"4th Sep'26 3:29:00","IRFC",11.18,11.11,11.29,11.95,0.771
"4th Sep'26 3:29:00","PICCADIL",24.31,24.3,24.86,25.08,0.77
"4th Sep'26 3:29:00","AARTISURF",48.92,49.45,49.62,49.69,0.769
"4th Sep'26 3:29:00","HINDALCO",7.09,7.79,7.82,7.86,0.763
"4th Sep'26 3:29:00","KAMATHOTEL",37.26,38.12,37.98,38.02,0.76
"4th Sep'26 3:29:00","DBREALTY",46.86,47.09,47.43,47.62,0.759
"4th Sep'26 3:29:00","ANSALAPI",49.06,49.07,49.78,49.81,0.757
"4th Sep'26 3:29:00","BLUESTONE",15.83,16.11,15.63,16.58,0.749
"4th Sep'26 3:29:00","COHANCE",15.08,14.83,15.03,15.83,0.747
"4th Sep'26 3:29:00","INDIQUBE",3.03,3.85,3.89,3.78,0.746
"4th Sep'26 3:29:00","MGL",11.02,11.78,12.35,11.75,0.738
"4th Sep'26 3:29:00","APOLLOTYRE",11.23,10.91,11.37,11.96,0.733
"4th Sep'26 3:29:00","GULFOILLUB",14.86,14.49,14.84,15.59,0.733
"4th Sep'26 3:29:00","HCLTECH",4.69,4.54,4.63,5.42,0.729
"4th Sep'26 3:29:00","RAINBOW",10.82,11.43,11.77,11.55,0.726
"4th Sep'26 3:29:00","JAIBALAJI",31.49,31.27,31.99,32.21,0.724
"4th Sep'26 3:29:00","THERMAX",10.5,10.69,11.16,11.22,0.723
"4th Sep'26 3:29:00","KOVAI",35.82,35.88,36.3,36.54,0.723
"4th Sep'26 3:29:00","HATHWAY",23.91,24.15,24.27,24.63,0.719
"4th Sep'26 3:29:00","RACE",53.9,53.92,53.92,54.62,0.716
"4th Sep'26 3:29:00","KIRLOSIND",24.37,25.05,25.07,25.09,0.714
"4th Sep'26 3:29:00","AEROFLEX",28.74,28.46,29.24,29.45,0.71
"4th Sep'26 3:29:00","UNIMECH",10.57,10.45,10.93,11.28,0.71
"4th Sep'26 3:29:00","CONCORDBIO",38.33,38.76,38.9,39.03,0.701
"4th Sep'26 3:29:00","COFFEEDAY",85.37,84.56,84.17,86.07,0.7
"4th Sep'26 3:29:00","LTTS",7.6,7.61,7.91,8.3,0.699
"4th Sep'26 3:29:00","JYOTISTRUC",97.93,98.46,98.5,98.63,0.699
"4th Sep'26 3:29:00","SHIVALIK",43.58,43.65,44.47,44.28,0.699
"4th Sep'26 3:29:00","IRIS",50.82,50.73,50.43,51.52,0.697
"4th Sep'26 3:29:00","HDFCBANK",26.16,25.96,26.39,26.85,0.694
"4th Sep'26 3:29:00","SAREGAMA",17.9,19.9,19.4,18.59,0.689
"4th Sep'26 3:29:00","KCP",50.15,50.52,50.62,50.84,0.688
"4th Sep'26 3:29:00","VIMTALABS",57.93,58.45,58.18,58.61,0.685
"4th Sep'26 3:29:00","HOMEFIRST",15.15,15.62,16.22,15.83,0.684
"4th Sep'26 3:29:00","SKIL",39.84,40.36,40.36,40.52,0.682
"4th Sep'26 3:29:00","RANEHOLDIN",44.13,44.31,44.25,44.81,0.68
"4th Sep'26 3:29:00","SPECTRUM",17.75,17.42,17.14,18.43,0.677
"4th Sep'26 3:29:00","KABRAEXTRU",35.19,35.74,35.82,35.86,0.677
"4th Sep'26 3:29:00","ZFCVINDIA",7.67,7.67,7.73,8.35,0.677
"4th Sep'26 3:29:00","HAVELLS",5.74,5.89,5.89,6.42,0.676
"4th Sep'26 3:29:00","ROTO",30.78,30.57,31.44,31.46,0.674
"4th Sep'26 3:29:00","BALAJEE",33.54,33.87,34,34.21,0.673
"4th Sep'26 3:29:00","NH",17.6,17.71,17.59,18.27,0.671
"4th Sep'26 3:29:00","EMCURE",8.14,8.55,8.8,8.81,0.671
"4th Sep'26 3:29:00","UYFINCORP",27.82,27.86,28.49,28.49,0.671
"4th Sep'26 3:29:00","IKIO",25.21,25.18,25.34,25.88,0.667
"4th Sep'26 3:29:00","KRYSTAL",23.85,24.02,25.03,24.51,0.664
"4th Sep'26 3:29:00","CRISIL",13.31,13.53,13.52,13.97,0.663
"4th Sep'26 3:29:00","VRLLOG",11.49,12.52,11.73,12.15,0.66
"4th Sep'26 3:29:00","PNGJL",10.98,11.34,11.45,11.64,0.658
"4th Sep'26 3:29:00","ALLDIGI",23.26,23.57,23.73,23.92,0.655
"4th Sep'26 3:29:00","SIYSIL",26.61,26.55,26.99,27.26,0.652
"4th Sep'26 3:29:00","AETHER",6.3,7.13,5.86,6.94,0.647
"4th Sep'26 3:29:00","EXPLEOSOL",27.47,28.05,27.94,28.11,0.644
"4th Sep'26 3:29:00","AMBUJACEM",6.6,6.49,6.22,7.24,0.642
"4th Sep'26 3:29:00","FINPIPE",27.57,27.32,26.75,28.21,0.642
"4th Sep'26 3:29:00","PRAKASH",50.69,51.01,51.16,51.32,0.639
"4th Sep'26 3:29:00","DJML",43.48,44.48,43.78,44.12,0.638
"4th Sep'26 3:29:00","GEMAROMA",18,21.19,18.76,18.64,0.638
"4th Sep'26 3:29:00","SADBHIN",26.94,27.18,27.58,27.58,0.637
