"Date","Symbol","% 3 qtrs ago","% 2 qtr ago","% 1 qtr ago","% current qtr","Change in 3 qtrs"
"4th Sep'26 3:29:00","HERITGFOOD",48.74,48.6,49.01,49.1,0.353
"4th Sep'26 3:29:00","GENUSPOWER",38.03,38.17,37.9,38.38,0.351
"4th Sep'26 3:29:00","INSECTICID",13.69,13.84,13.93,14.03,0.349
"4th Sep'26 3:29:00","BLUESTARCO",21.61,21.54,21.38,21.95,0.349
"4th Sep'26 3:29:00","ETERNAL",31.07,31.01,31.28,31.42,0.348
"4th Sep'26 3:29:00","SURYAROSNI",30.39,29.78,29.68,30.74,0.348
"4th Sep'26 3:29:00","ELGIEQUIP",35.83,36.99,36.92,36.18,0.347
"4th Sep'26 3:29:00","RML",27.74,28.14,28.17,28.09,0.346
"4th Sep'26 3:29:00","NILASPACES",36.76,37.06,37.06,37.1,0.344
"4th Sep'26 3:29:00","SJVN",11.28,11.47,11.65,11.62,0.342
"4th Sep'26 3:29:00","MPHASIS",4.27,4.32,4.25,4.61,0.34
"4th Sep'26 3:29:00","VERTOZ",33.2,32.82,33.03,33.54,0.335
"4th Sep'26 3:29:00","JUBLCPL",24.45,24.82,24.82,24.78,0.333
"4th Sep'26 3:29:00","ANUP",39.25,38.85,39.41,39.59,0.332
"4th Sep'26 3:29:00","GODREJAGRO",22.47,20.55,22.44,22.8,0.332
"4th Sep'26 3:29:00","ALMONDZ",47.53,47.79,47.71,47.85,0.324
"4th Sep'26 3:29:00","ENDURANCE",1.92,2.1,2.08,2.24,0.322
"4th Sep'26 3:29:00","AFCONS",9.92,9.51,9.31,10.24,0.322
"4th Sep'26 3:29:00","GRAUWEIL",29.17,29.25,29.4,29.49,0.319
"4th Sep'26 3:29:00","HYBRIDFIN",35.3,35.3,35.39,35.61,0.315
"4th Sep'26 3:29:00","SPCENET",82.52,82.78,82.83,82.83,0.314
"4th Sep'26 3:29:00","VHLTD",15.54,15.74,15.85,15.85,0.312
"4th Sep'26 3:29:00","DLF",5.2,5.27,5.38,5.51,0.312
"4th Sep'26 3:29:00","DCXINDIA",42.91,42.91,43.88,43.22,0.311
"4th Sep'26 3:29:00","GLOSTERLTD",12.47,12.52,12.52,12.78,0.311
"4th Sep'26 3:29:00","MOREPENLAB",54.18,54.43,54.46,54.49,0.31
"4th Sep'26 3:29:00","SADBHAV",73.96,74.13,74.15,74.27,0.308
"4th Sep'26 3:29:00","EMSLIMITED",29.8,30.04,29.84,30.1,0.306
"4th Sep'26 3:29:00","GODREJPROP",13.67,14.19,13.89,13.97,0.305
"4th Sep'26 3:29:00","GRINFRA",2.97,3.03,3.28,3.28,0.304
"4th Sep'26 3:29:00","MALLCOM",25.72,26.29,26.27,26.02,0.303
"4th Sep'26 3:29:00","PEARLPOLY",44.08,44.33,44.38,44.38,0.303
"4th Sep'26 3:29:00","LINDEINDIA",15.49,15.62,15.68,15.79,0.301
"4th Sep'26 3:29:00","AHLUCONT",7.98,7.74,8.57,8.27,0.296
"4th Sep'26 3:29:00","LCCINFOTEC",53.07,52.79,52.96,53.37,0.295
"4th Sep'26 3:29:00","UBL",4.3,4.29,4.22,4.59,0.292
"4th Sep'26 3:29:00","UCOBANK",4.39,4.49,4.57,4.69,0.292
"4th Sep'26 3:29:00","HINDPETRO",8.28,7.99,8.16,8.57,0.291
"4th Sep'26 3:29:00","DALMIASUG",22.08,22.32,22.29,22.37,0.288
"4th Sep'26 3:29:00","BRIGHOTEL",4.99,4.94,5.21,5.28,0.288
"4th Sep'26 3:29:00","NELCAST",24.26,24.49,24.58,24.54,0.287
"4th Sep'26 3:29:00","NCLIND",52.28,52.64,52.1,52.57,0.286
"4th Sep'26 3:29:00","GPIL",27.37,28.01,28.02,27.65,0.285
"4th Sep'26 3:29:00","CIFL",27.08,27.03,27.38,27.36,0.284
"4th Sep'26 3:29:00","SANGAMIND",26.37,26.87,26.76,26.65,0.282
"4th Sep'26 3:29:00","RBZJEWEL",24.69,24.94,24.93,24.97,0.282
"4th Sep'26 3:29:00","UNITEDTEA",39.6,39.6,39.53,39.88,0.277
"4th Sep'26 3:29:00","SATIA",46.25,46.37,46.33,46.53,0.276
"4th Sep'26 3:29:00","BALAJITELE",42.42,42.73,42.65,42.7,0.275
"4th Sep'26 3:29:00","AARTECH",46.87,47.15,47.15,47.14,0.274
"4th Sep'26 3:29:00","KSB",13.89,13.58,13.72,14.16,0.271
"4th Sep'26 3:29:00","HEXATRADEX",7.52,7.66,7.32,7.8,0.271
"4th Sep'26 3:29:00","MIDHANI",15.79,16.82,16.86,16.06,0.268
"4th Sep'26 3:29:00","XTGLOBAL",37.19,37.19,37.45,37.45,0.266
"4th Sep'26 3:29:00","SAMHI",37.32,37.46,38.87,37.58,0.264
"4th Sep'26 3:29:00","LINCOLN",44.8,45.21,43.64,45.06,0.263
"4th Sep'26 3:29:00","AUROPHARMA",6.22,6.4,6.92,6.48,0.261
"4th Sep'26 3:29:00","EVERESTIND",38.8,38.89,38.92,39.06,0.256
"4th Sep'26 3:29:00","CURAA",24.75,24.75,25,25,0.253
"4th Sep'26 3:29:00","GICRE",2.17,2.36,2.14,2.42,0.248
"4th Sep'26 3:29:00","ARSHIYA",83.78,83.78,83.78,84.03,0.247
"4th Sep'26 3:29:00","INDORAMA",17.08,17.24,17.21,17.33,0.246
"4th Sep'26 3:29:00","CALSOFT",37.46,36.74,36.65,37.7,0.246
"4th Sep'26 3:29:00","NRBBEARING",22.13,24.25,23.94,22.38,0.246
"4th Sep'26 3:29:00","PLASTIBLEN",33.83,34.08,34.08,34.07,0.245
"4th Sep'26 3:29:00","SOLARINDS",6.84,7.2,7.34,7.09,0.244
"4th Sep'26 3:29:00","PSB",1.96,1.99,2.1,2.2,0.243
"4th Sep'26 3:29:00","HATSUN",13,12.98,13.12,13.24,0.242
"4th Sep'26 3:29:00","SARVESHWAR",58.64,58.8,58.68,58.88,0.241
"4th Sep'26 3:29:00","TTML",22.7,22.86,22.86,22.94,0.241
"4th Sep'26 3:29:00","PFIZER",15.45,15.36,15.42,15.69,0.239
"4th Sep'26 3:29:00","MEDICO",38.3,38.13,38.59,38.54,0.236
"4th Sep'26 3:29:00","HEADSUP",85.63,85.85,85.86,85.86,0.234
"4th Sep'26 3:29:00","DEEPINDS",33.25,33.68,33.55,33.48,0.233
"4th Sep'26 3:29:00","THOMASCOTT",44.95,45.36,45.17,45.18,0.23
"4th Sep'26 3:29:00","FMGOETZE",23.9,24.02,24.14,24.13,0.229
"4th Sep'26 3:29:00","LGHL",24.69,24.93,24.93,24.92,0.229
"4th Sep'26 3:29:00","MEDICAMEQ",42.05,42.27,42.66,42.28,0.228
"4th Sep'26 3:29:00","NATCAPSUQ",47.55,47.41,47.64,47.77,0.227
"4th Sep'26 3:29:00","BBTC",14.04,13.83,13.8,14.27,0.226
"4th Sep'26 3:29:00","HARDWYN",55.32,55.13,55.13,55.55,0.226
"4th Sep'26 3:29:00","HINDOILEXP",97.23,97.94,97.83,97.46,0.226
"4th Sep'26 3:29:00","TARAPUR",75.75,75.92,78.05,75.98,0.225
"4th Sep'26 3:29:00","DEN",24.36,24.33,24.38,24.58,0.222
"4th Sep'26 3:29:00","IL&FSENGG",28.64,28.57,28.84,28.86,0.219
"4th Sep'26 3:29:00","UNOMINDA",5.59,5.6,5.63,5.8,0.218
"4th Sep'26 3:29:00","NUVOCO",5.06,4.7,4.89,5.27,0.218
"4th Sep'26 3:29:00","CHEMFAB",26.52,26.55,26.7,26.74,0.218
"4th Sep'26 3:29:00","TRF",62.26,62.26,62.28,62.48,0.216
"4th Sep'26 3:29:00","BLAL",37.38,37.54,37.59,37.59,0.213
"4th Sep'26 3:29:00","DOLATALGO",24.87,24.39,24.9,25.09,0.213
"4th Sep'26 3:29:00","TATVA",20.73,20.48,21.17,20.94,0.213
"4th Sep'26 3:29:00","STERTOOLS",29.26,29.09,29.07,29.48,0.212
"4th Sep'26 3:29:00","SAGCEM",30.56,30.63,30.62,30.77,0.211
"4th Sep'26 3:29:00","MOTILALOFS",18.86,18.94,19.32,19.07,0.209
"4th Sep'26 3:29:00","COALINDIA",5.98,5.98,5.63,6.19,0.207
"4th Sep'26 3:29:00","EICHERMOT",8.44,8.38,8.57,8.65,0.206
"4th Sep'26 3:29:00","DPSCLTD",40.03,40.05,40.05,40.24,0.204
"4th Sep'26 3:29:00","HINDZINC",3.99,4,4.11,4.2,0.203
"4th Sep'26 3:29:00","TRU",62.83,62.81,62.81,63.03,0.201
"4th Sep'26 3:29:00","IFBIND",17.94,18.08,17.99,18.13,0.193
"4th Sep'26 3:29:00","THELEELA",4.51,4.5,4.96,4.7,0.192
"4th Sep'26 3:29:00","VIVIMEDLAB",81.06,81.06,81.06,81.25,0.192
"4th Sep'26 3:29:00","SUBEXLTD",99.21,99.06,98.89,99.4,0.191
"4th Sep'26 3:29:00","MMFL",33.44,33.26,33.32,33.62,0.19
"4th Sep'26 3:29:00","PRSMJOHNSN",14.87,14.48,14.64,15.06,0.189
"4th Sep'26 3:29:00","AVTNPL",23.5,23.5,23.73,23.69,0.188
"4th Sep'26 3:29:00","BCONCEPTS",47.39,47.65,47.61,47.58,0.188
"4th Sep'26 3:29:00","ABMINTLLTD",23.98,23.98,23.98,24.17,0.185
"4th Sep'26 3:29:00","AKSHOPTFBR",80.13,80.38,80.38,80.32,0.185
"4th Sep'26 3:29:00","SUNDRMFAST",18.56,18.56,18.79,18.74,0.183
"4th Sep'26 3:29:00","CUBEXTUB",54.69,54.62,54.68,54.87,0.183
"4th Sep'26 3:29:00","CLEAN",18.92,19.26,18.16,19.1,0.183
"4th Sep'26 3:29:00","DIGISPICE",26.8,26.92,26.92,26.98,0.181
"4th Sep'26 3:29:00","UMESLTD",57.5,57.68,57.68,57.68,0.181
"4th Sep'26 3:29:00","HESTERBIO",44.76,44.71,44.86,44.94,0.179
"4th Sep'26 3:29:00","BESTAGRO",41.67,41.8,41.9,41.85,0.178
"4th Sep'26 3:29:00","KITEX",40.95,41.38,41.44,41.13,0.175
"4th Sep'26 3:29:00","NBCC",22.03,20.8,22.5,22.2,0.173
"4th Sep'26 3:29:00","RIIL",51.91,51.86,51.87,52.08,0.171
"4th Sep'26 3:29:00","BANKA",47.7,47.73,47.9,47.87,0.17
"4th Sep'26 3:29:00","NGLFINE",27.26,27.26,27.24,27.43,0.17
"4th Sep'26 3:29:00","SECURKLOUD",56.43,56.43,56.43,56.6,0.17
"4th Sep'26 3:29:00","NAVA",38.2,38.34,37.92,38.37,0.168
"4th Sep'26 3:29:00","SHANTIGEAR",25.47,25.61,25.62,25.64,0.166
"4th Sep'26 3:29:00","FAZE3Q",40.64,40.84,40.65,40.8,0.164
"4th Sep'26 3:29:00","RRKABEL",15.91,15.93,15.91,16.07,0.163
"4th Sep'26 3:29:00","OCCLLTD",41.61,41.89,41.91,41.77,0.161
"4th Sep'26 3:29:00","ONMOBILE",51.7,51.68,51.01,51.85,0.16
"4th Sep'26 3:29:00","PFS",27.74,27.75,27.81,27.9,0.16
"4th Sep'26 3:29:00","PPLPHARMA",19.78,19.73,19.55,19.94,0.159
"4th Sep'26 3:29:00","OPTIEMUS",23.45,23.23,23.51,23.6,0.159
"4th Sep'26 3:29:00","DYNAMATECH",31.36,31.6,31.87,31.51,0.159
"4th Sep'26 3:29:00","TMPV",22.64,23.84,22.75,22.8,0.158
"4th Sep'26 3:29:00","ADVENZYMES",24.45,24.93,25.18,24.61,0.158
"4th Sep'26 3:29:00","JKLAKSHMI",18.5,18.34,18.92,18.66,0.158
"4th Sep'26 3:29:00","RSWM",41.22,41.18,41.24,41.37,0.157
"4th Sep'26 3:29:00","VGUARD",11.32,11.21,11.26,11.47,0.156
"4th Sep'26 3:29:00","ALEMBICLTD",26.35,26.45,26.49,26.5,0.151
"4th Sep'26 3:29:00","MAWANASUG",35.86,36,35.9,36,0.148
"4th Sep'26 3:29:00","KDDL",38.7,38.5,38.67,38.85,0.147
"4th Sep'26 3:29:00","CIEINDIA",8.5,8.3,8.2,8.65,0.144
"4th Sep'26 3:29:00","IRISDOREME",37.95,37.95,38.03,38.09,0.143
"4th Sep'26 3:29:00","SRGHFL",40.82,40.88,40.95,40.96,0.141
"4th Sep'26 3:29:00","JIOFIN",25.48,25.21,25.55,25.62,0.139
"4th Sep'26 3:29:00","NOVAAGRI",39.37,39.35,39.16,39.5,0.137
"4th Sep'26 3:29:00","RELAXO",15.76,15.79,15.89,15.9,0.136
"4th Sep'26 3:29:00","TCI",13.76,13.63,13.65,13.89,0.136
"4th Sep'26 3:29:00","SSDL",24.88,24.99,25,25.01,0.135
"4th Sep'26 3:29:00","SCILAL",28.88,28.87,28.97,29.01,0.134
"4th Sep'26 3:29:00","RATNAMANI",9.79,9.7,9.7,9.93,0.133
"4th Sep'26 3:29:00","JLHL",32.67,32.76,33.18,32.79,0.128
"4th Sep'26 3:29:00","MAXHEALTH",4.4,4.49,4.55,4.53,0.125
"4th Sep'26 3:29:00","VIKASLIFE",85.42,85.5,85.52,85.54,0.124
"4th Sep'26 3:29:00","PENINLAND",30.84,30.87,30.85,30.96,0.123
"4th Sep'26 3:29:00","SAKSOFT",29.8,29.86,29.8,29.93,0.122
"4th Sep'26 3:29:00","APLLTD",9.09,9.03,9.01,9.21,0.121
"4th Sep'26 3:29:00","AVROIND",39.11,39.15,38.74,39.23,0.119
"4th Sep'26 3:29:00","GINNIFILA",29.6,29.5,29.57,29.72,0.119
"4th Sep'26 3:29:00","KSOLVES",40.94,40.91,40.97,41.05,0.113
"4th Sep'26 3:29:00","MFSL",6,6.02,5.87,6.11,0.11
"4th Sep'26 3:29:00","AARVI",26.53,26.46,26.47,26.64,0.109
"4th Sep'26 3:29:00","TTKPRESTIG",6.41,6.19,6.74,6.52,0.109
"4th Sep'26 3:29:00","SHREECEM",2.26,2.32,2.27,2.36,0.106
"4th Sep'26 3:29:00","GVKPIL",45.27,45.27,45.3,45.38,0.104
"4th Sep'26 3:29:00","CENTENKA",54.6,54.53,54.59,54.71,0.105
"4th Sep'26 3:29:00","KIRIINDUS",39.58,42.64,43.07,39.68,0.104
"4th Sep'26 3:29:00","INDIANB",2.87,2.71,2.59,2.97,0.103
"4th Sep'26 3:29:00","RPOWER",58.02,57.72,58.24,58.12,0.102
"4th Sep'26 3:29:00","APOLLOHOSP",6.06,6.32,5.99,6.17,0.101
"4th Sep'26 3:29:00","XCHANGING",24.7,24.69,24.59,24.8,0.101
"4th Sep'26 3:29:00","LFIC",44.05,44.05,44.05,44.15,0.1
"4th Sep'26 3:29:00","AJAXENGG",4.07,4.14,4.19,4.17,0.098
"4th Sep'26 3:29:00","DWARKESH",55.57,55.68,55.53,55.67,0.098
"4th Sep'26 3:29:00","MAHSCOOTER",37.4,37.36,37.44,37.5,0.098
"4th Sep'26 3:29:00","THEMISMED",32.38,32.43,32.38,32.47,0.097
"4th Sep'26 3:29:00","GRSE",20.25,20.9,20.31,20.35,0.096
"4th Sep'26 3:29:00","HLVLTD",58.91,58.89,58.86,59,0.096
"4th Sep'26 3:29:00","MINDACORP",7.87,7.61,7.51,7.97,0.095
"4th Sep'26 3:29:00","VOLTAS",12.76,12.52,11.99,12.86,0.094
"4th Sep'26 3:29:00","BGRENERGY",48.79,48.83,48.78,48.88,0.089
"4th Sep'26 3:29:00","DAMODARIND",28.76,28.76,28.8,28.84,0.089
"4th Sep'26 3:29:00","NDRAUTO",26.56,26.69,26.66,26.65,0.088
"4th Sep'26 3:29:00","MSUMI",11.38,10.92,11.07,11.47,0.087
"4th Sep'26 3:29:00","BFINVEST",24.93,25.07,25.07,25.02,0.086
"4th Sep'26 3:29:00","RITCO",34.48,34.44,34.48,34.56,0.086
"4th Sep'26 3:29:00","SESHAPAPER",28.01,27.91,27.89,28.1,0.086
"4th Sep'26 3:29:00","ZYDUSLIFE",6.57,6.64,6.68,6.66,0.085
"4th Sep'26 3:29:00","MADRASFERT",14.57,14.67,14.66,14.66,0.085
"4th Sep'26 3:29:00","SUNPHARMA",8.35,8.2,8.1,8.44,0.084
"4th Sep'26 3:29:00","DCMNVL",46.43,46.38,46.51,46.51,0.084
"4th Sep'26 3:29:00","KOPRAN",54.97,55.21,55,55.06,0.083
"4th Sep'26 3:29:00","SYNCOMF",48.75,48.89,48.96,48.83,0.083
"4th Sep'26 3:29:00","BORORENEW",30.47,32.67,32.66,30.55,0.082
"4th Sep'26 3:29:00","EKC",30.89,30.61,30.81,30.97,0.082
"4th Sep'26 3:29:00","HTMEDIA",30.34,30.35,30.42,30.43,0.081
"4th Sep'26 3:29:00","RPPINFRA",60.71,60.79,60.67,60.79,0.081
"4th Sep'26 3:29:00","PDMJEPAPER",26,25.95,25.97,26.08,0.08
"4th Sep'26 3:29:00","GRASIM",22.25,22.16,22.13,22.32,0.079
"4th Sep'26 3:29:00","PRECOT",36.82,36.82,36.83,36.89,0.078
"4th Sep'26 3:29:00","ELGIRUBCO",30.23,30.18,30.29,30.3,0.075
"4th Sep'26 3:29:00","CAPLIPOINT",18.02,17.45,17.88,18.09,0.075
"4th Sep'26 3:29:00","MBAPL",24.48,24.94,25.05,24.56,0.074
"4th Sep'26 3:29:00","SHALBY",20.84,21.01,21.07,20.91,0.071
"4th Sep'26 3:29:00","GANDHITUBE",23.07,23.04,23.09,23.14,0.07
"4th Sep'26 3:29:00","EUROPRATIK",20.99,22.89,24.43,21.06,0.068
"4th Sep'26 3:29:00","SURAJEST",27.78,27.6,26.86,27.85,0.067
"4th Sep'26 3:29:00","NILAINFRA",36.56,36.64,36.6,36.63,0.065
"4th Sep'26 3:29:00","HONDAPOWER",13.41,13.39,13.4,13.47,0.065
"4th Sep'26 3:29:00","RAJRILTD",5.72,5.75,5.75,5.78,0.065
"4th Sep'26 3:29:00","SUPRAJIT",30.55,30.6,30.44,30.62,0.065
"4th Sep'26 3:29:00","ABBOTINDIA",15.24,15.26,15.25,15.3,0.062
"4th Sep'26 3:29:00","MAGADSUGAR",37.41,37.41,37.35,37.47,0.062
"4th Sep'26 3:29:00","ESCORTS",14.21,13.8,13.89,14.27,0.062
"4th Sep'26 3:29:00","RUCHIRA",30.32,30.37,30.37,30.38,0.061
"4th Sep'26 3:29:00","BRITANNIA",14.43,14.33,14.31,14.49,0.061
"4th Sep'26 3:29:00","EIHAHOTELS",11,11,11.04,11.06,0.06
"4th Sep'26 3:29:00","GRMOVER",22.34,20.89,21.24,22.4,0.059
"4th Sep'26 3:29:00","UNITEDPOLY",40.23,39.97,40.29,40.29,0.058
"4th Sep'26 3:29:00","E2E",53.15,53.16,53.06,53.2,0.058
"4th Sep'26 3:29:00","SVPGLOB",46.98,47.13,47.14,47.04,0.055
"4th Sep'26 3:29:00","NBIFIN",15.74,15.74,15.77,15.79,0.054
"4th Sep'26 3:29:00","MANORG",32.4,32.4,31,32.45,0.052
"4th Sep'26 3:29:00","RELIANCE",11.84,11.55,11.61,11.89,0.052
"4th Sep'26 3:29:00","VIKASECO",89.3,89.3,89.35,89.35,0.049
"4th Sep'26 3:29:00","RAJSREESUG",54.9,54.94,54.95,54.95,0.048
"4th Sep'26 3:29:00","LICI",2.02,1.96,1.91,2.07,0.047
"4th Sep'26 3:29:00","MARUTI",3.29,3.03,3.17,3.34,0.047
"4th Sep'26 3:29:00","SRPL",91.44,89.52,89.37,91.49,0.047
"4th Sep'26 3:29:00","ASPINWALL",32.05,32.05,32.08,32.1,0.047
"4th Sep'26 3:29:00","SCHAEFFLER",5.07,5.13,5.11,5.12,0.046
"4th Sep'26 3:29:00","HGS",19.93,19.89,19.94,19.98,0.046
"4th Sep'26 3:29:00","VALIANTORG",61.18,61.18,61.13,61.22,0.045
"4th Sep'26 3:29:00","HDFCAMC",8.75,8.73,8.75,8.8,0.045
"4th Sep'26 3:29:00","DVL",22,21.96,22.03,22.04,0.044
"4th Sep'26 3:29:00","HCL-INSYS",36.76,36.77,36.8,36.8,0.043
"4th Sep'26 3:29:00","BIRLAMONEY",26.35,26.47,26.45,26.39,0.042
"4th Sep'26 3:29:00","RELCHEMQ",28.7,28.73,28.73,28.74,0.041
"4th Sep'26 3:29:00","NAHARINDUS",21.32,21.32,21.34,21.36,0.04
