Date,Up 4.5%+ today,Down 4.5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
2026-09-24,53,86,32,3,781,1486,851,1416,1091,1176
2026-09-23,157,10,40,3,1058,1209,1026,1241,1183,1084
2026-09-22,104,21,27,2,861,1406,921,1346,1122,1145
2026-09-21,143,28,18,0,852,1417,935,1334,1130,1139
2026-09-18,168,25,16,5,849,1418,909,1358,1123,1144
2026-09-17,123,22,11,3,605,1663,767,1501,1067,1201
2026-09-16,75,61,15,3,484,1784,709,1559,1039,1229
2026-09-15,43,343,17,7,475,1794,702,1567,1033,1236
2026-09-11,74,36,29,4,790,1478,962,1306,1177,1091
2026-09-10,96,52,32,5,870,1398,1024,1244,1187,1081
2026-09-09,107,57,41,4,914,1356,1064,1206,1206,1064
2026-09-08,114,37,39,1,964,1306,1075,1195,1247,1023
2026-09-07,119,39,30,1,935,1335,1072,1198,1252,1018
2026-09-04,129,25,25,2,1024,1246,1177,1093,1262,1008
2026-09-03,133,14,33,2,958,1312,1114,1156,1248,1022
2026-09-02,79,21,23,3,813,1456,998,1272,1223,1047
2026-09-01,76,53,28,2,879,1390,1079,1190,1251,1018
2026-08-31,93,53,17,2,1012,1255,1180,1087,1260,1007
2026-08-28,124,19,19,3,1111,1158,1258,1011,1306,963
2026-08-27,58,41,22,4,1063,1205,1228,1040,1292,976
2026-08-26,116,15,21,4,1168,1101,1300,969,1330,939
2026-08-25,70,38,21,3,1095,1171,1251,1017,1304,964
2026-08-24,109,38,24,2,1048,1220,1244,1025,1286,983
2026-08-21,99,21,27,3,1094,1175,1266,1003,1288,981
2026-08-20,124,26,34,6,1077,1191,1252,1016,1280,988
2026-08-19,72,41,24,6,940,1329,1140,1129,1243,1026
2026-08-18,109,36,27,7,1023,1246,1224,1045,1268,1001
2026-08-17,130,79,34,10,1085,1184,1233,1036,1283,986
2026-08-14,85,75,29,9,1135,1130,1270,995,1298,967
2026-08-13,116,68,32,6,1191,1075,1316,951,1318,949
2026-08-12,101,91,29,5,1183,1083,1326,941,1316,951
2026-08-11,102,68,30,3,1262,1004,1371,896,1359,908
2026-08-10,120,72,31,3,1333,932,1424,843,1370,897
2026-08-07,84,69,35,3,1384,882,1427,840,1373,894
2026-08-06,100,50,42,3,1446,819,1451,815,1360,906
2026-08-05,127,37,31,3,1467,799,1450,817,1366,901
2026-08-04,114,41,29,3,1347,919,1368,899,1331,937
2026-08-03,205,28,20,6,1386,880,1382,885,1335,933
2026-07-31,124,32,16,6,1069,1195,1213,1052,1247,1019
2026-07-30,40,63,12,8,927,1337,1148,1117,1216,1050
2026-07-29,111,40,11,5,1042,1222,1227,1038,1230,1036
2026-07-28,47,89,10,5,880,1383,1131,1133,1174,1091
2026-07-27,142,30,19,4,1077,1188,1238,1028,1222,1045
2026-07-24,71,33,16,4,759,1505,1093,1172,1197,1069
