Date,Symbol,% from 30w ema
2026-09-24 15:29,CNXPHARMA,7.6846
2026-09-24 15:29,NIFTYMICROCAP250,7.1122
2026-09-24 15:29,NIFTYSMALLCAP50,5.6009
2026-09-24 15:29,NIFTYHEALTHCARE,5.5602
2026-09-24 15:29,CNXSMALLCAP,4.55
2026-09-24 15:29,NIFTYSMALLCAP250,3.7438
2026-09-24 15:29,NIFTYMETAL,3.5614
2026-09-24 15:29,NIFTYMEDIA,2.7364
2026-09-24 15:29,NIFTYINDDEFENCE,2.483
2026-09-24 15:29,CNXREALTY,1.1296
2026-09-24 15:29,NIFTYMIDSMALLCAP400,1.0553
2026-09-24 15:29,NIFTYHOUSING,0
2026-09-24 15:29,NIFTYMIDCAP50,-0.1163
2026-09-24 15:29,NIFTYMIDCAP150,-0.3292
2026-09-24 15:29,NIFTYCHEMICALS,-0.7985
2026-09-24 15:29,NIFTYTOTALMKT,-1.5406
2026-09-24 15:29,NIFTYMIDSELECT,-1.5768
2026-09-24 15:29,NIFTYLARGEMID250,-1.7836
2026-09-24 15:29,NIFTYAUTO,-1.8126
2026-09-24 15:29,NIFTY500,-1.9827
2026-09-24 15:29,NIFTYPSUBANK,-2.0165
2026-09-24 15:29,CNXENERGY,-2.0711
2026-09-24 15:29,NIFTYPVTBANK,-2.1945
2026-09-24 15:29,BANKNIFTY,-2.3481
2026-09-24 15:29,NIFTYCONSUMPTION,-2.3916
2026-09-24 15:29,NIFTYCOMMODITIES,-2.4076
2026-09-24 15:29,NIFTY200,-2.789
2026-09-24 15:29,NIFTYOILANDGAS,-3.1733
2026-09-24 15:29,NIFTY100,-3.3342
2026-09-24 15:29,CNXINFRA,-3.3955
2026-09-24 15:29,NIFTY,-4.1421
2026-09-24 15:29,NIFTYFINSERVICE,-4.4402
2026-09-24 15:29,NIFTYFMCG,-6.1932
2026-09-24 15:29,INDIAVIX,-6.6185
2026-09-24 15:29,CNXIT,-7.0462
