date,time,group,% 3 qtrs ago,% 2 qtr ago,% 1 qtr ago,% current qtr,change in 3 qtrs
2026-09-04,15:29,ARFIN,27.3789,27.3562,28.4844,29.2322,1.8533
2026-09-04,15:29,ARIES,41.3627,42.9734,42.631,42.7471,1.3844
2026-09-04,15:29,ARIHANTCAP,28.4717,30.7309,30.7631,30.8185,2.3468
2026-09-04,15:29,ARIS,49.5389,51.0625,51.9074,57.2741,7.7352
2026-09-04,15:29,ARKADE,27.6372,28.5831,28.5899,28.5893,0.9521
2026-09-04,15:29,ARMANFIN,58.5979,59.2747,60.9749,60.1484,1.5505
2026-09-04,15:29,ARSHIYA,83.7795,83.7795,83.7795,84.0262,0.2467
2026-09-04,15:29,ARSSBL,17.8536,21.7297,24.1047,25.9917,8.1381
2026-09-04,15:29,ARVSMART,34.4572,33.5236,36.8994,36.5013,2.0441
2026-09-04,15:29,ASHOKA,24.0383,23.986,23.5962,27.072,3.0337
2026-09-04,15:29,ASHOKLEY,10.9673,10.7497,11.2528,12.446,1.4787
2026-09-04,15:29,ASIANENE,37.6465,37.3724,37.0349,42.1415,4.495
2026-09-04,15:29,ASMS,23.4269,28.7382,30.6139,32.4655,9.0386
2026-09-04,15:29,ASPINWALL,32.0536,32.0536,32.0772,32.1002,0.0466
2026-09-04,15:29,ASTEC,23.5094,24.7553,24.6107,24.632,1.1226
2026-09-04,15:29,ATALREAL,65.6869,63.6697,66.269,67.3898,1.7029
2026-09-04,15:29,ATHERENERG,11.5702,13.537,12.9969,13.7173,2.1471
2026-09-04,15:29,AUROPHARMA,6.216,6.3956,6.9166,6.4768,0.2608
2026-09-04,15:29,AUTOIND,43.4261,43.3913,53.2782,53.6502,10.2241
2026-09-04,15:29,AVADHSUGAR,36.2013,36.2119,37.1881,37.4709,1.2696
2026-09-04,15:29,AVALON,22.5513,22.5129,22.9294,23.0312,0.4799
2026-09-04,15:29,AVROIND,39.1069,39.1484,38.7365,39.2263,0.1194
2026-09-04,15:29,AVTNPL,23.4979,23.5041,23.7288,23.6861,0.1882
2026-09-04,15:29,AWFIS,14.9763,14.2998,15.4943,15.9502,0.9739
2026-09-04,15:29,AWL,13.1244,12.6368,12.8301,13.5099,0.3855
2026-09-04,15:29,AZAD,18.7841,17.9554,17.5672,20.4036,1.6195
2026-09-04,15:29,BAJAJELEC,12.4602,12.522,12.7148,13.9037,1.4435
2026-09-04,15:29,BAJAJHCARE,36.6984,36.6678,36.8195,37.2981,0.5997
2026-09-04,15:29,BAJAJHFL,9.6561,9.8556,10.9702,11.3846,1.7285
2026-09-04,15:29,BALAJEE,33.5365,33.8734,33.9975,34.2093,0.6728
2026-09-04,15:29,BALAJITELE,42.4215,42.7297,42.647,42.6965,0.275
2026-09-04,15:29,BALAMINES,38.9884,40.1949,40.6088,40.3667,1.3783
2026-09-04,15:29,BALAXI,28.3762,30.1295,29.3353,29.3353,0.9591
2026-09-04,15:29,BALKRISIND,6.0407,6.0125,6.0592,6.5232,0.4825
2026-09-04,15:29,BALRAMCHIN,17.8884,18.6543,18.6007,18.2891,0.4007
2026-09-04,15:29,BALUFORGE,32.8963,32.3373,34.6743,36.6379,3.7416
2026-09-04,15:29,BANCOINDIA,26.5028,26.9751,26.9315,27.0613,0.5585
2026-09-04,15:29,BANKA,47.7005,47.733,47.8975,47.8708,0.1703
2026-09-04,15:29,BANSALWIRE,3.7381,4.2305,4.0764,7.4361,3.698
2026-09-04,15:29,BANSWRAS,36.0189,36.1683,36.6239,36.6181,0.5992
2026-09-04,15:29,BATAINDIA,13.2311,14.028,14.7071,15.9254,2.6943
2026-09-04,15:29,BBL,43.8611,44.6723,43.834,44.4235,0.5624
2026-09-04,15:29,BBTC,14.0448,13.8276,13.8041,14.2712,0.2264
2026-09-04,15:29,BCG,80.0601,79.9789,80.3334,80.5298,0.4697
2026-09-04,15:29,BCONCEPTS,47.3905,47.6489,47.6088,47.5786,0.1881
2026-09-04,15:29,BDL,11.3392,11.8286,12.0869,11.8536,0.5144
2026-09-04,15:29,BECTORFOOD,15.1356,14.5228,15.3533,16.9361,1.8005
2026-09-04,15:29,BESTAGRO,41.6729,41.7973,41.9014,41.8514,0.1785
2026-09-04,15:29,BETA,32.0687,32.0691,32.0687,33.6474,1.5787
2026-09-04,15:29,BFINVEST,24.934,25.0661,25.0667,25.0196,0.0856
2026-09-04,15:29,BGRENERGY,48.789,48.8317,48.7795,48.8779,0.0889
2026-09-04,15:29,BHAGYANGR,28.2243,33.5037,33.8293,33.1192,4.8949
2026-09-04,15:29,BHARATRAS,19.9835,20.1702,20.4711,20.8137,0.8302
2026-09-04,15:29,BIOCON,16.3987,16.0123,17.8033,18.0955,1.6968
2026-09-04,15:29,BIRLAMONEY,26.3495,26.4708,26.4464,26.3918,0.0423
2026-09-04,15:29,BLAL,37.3767,37.5364,37.588,37.5901,0.2134
2026-09-04,15:29,BLISSGVS,42.8945,41.763,46.6125,44.9369,2.0424
2026-09-04,15:29,BLKASHYAP,37.2952,37.7318,37.7413,37.7716,0.4764
2026-09-04,15:29,BLS,19.7006,20.1148,20.2896,22.1722,2.4716
2026-09-04,15:29,BLUEDART,6.6911,7.1144,6.9088,7.0503,0.3592
2026-09-04,15:29,BLUEJET,14.7371,14.4061,14.7951,17.1096,2.3725
2026-09-04,15:29,BLUESTARCO,21.6061,21.5437,21.3763,21.9548,0.3487
2026-09-04,15:29,BLUESTONE,15.8349,16.1094,15.6339,16.5843,0.7494
2026-09-04,15:29,BLUSPRING,26.9152,27.3918,27.335,27.5015,0.5863
2026-09-04,15:29,BODALCHEM,41.1861,41.9845,42.1532,42.2803,1.0942
2026-09-04,15:29,BORANA,21.8963,28.5173,27.0284,30.3241,8.4278
2026-09-04,15:29,BORORENEW,30.4686,32.6747,32.6574,30.551,0.0824
2026-09-04,15:29,BOSCH-HCIL,17.5351,15.2497,15.2023,18.06,0.5249
2026-09-04,15:29,BRIGADE,16.9056,17.1626,17.3771,17.7741,0.8685
2026-09-04,15:29,BRIGHOTEL,4.9887,4.9421,5.2071,5.2764,0.2877
2026-09-04,15:29,BRITANNIA,14.4294,14.3328,14.3084,14.4902,0.0608
2026-09-04,15:29,BRNL,47.2242,47.9127,47.9127,47.6016,0.3774
2026-09-04,15:29,BSL,38.0815,38.9658,38.9933,39.0318,0.9503
2026-09-04,15:29,BVCL,45.8702,45.8702,45.8702,47.2691,1.3989
2026-09-04,15:29,CALSOFT,37.4569,36.7373,36.6537,37.7027,0.2458
2026-09-04,15:29,CAMLINFINE,42.7806,40.6384,41.8851,44.2025,1.4219
2026-09-04,15:29,CAMPUS,10.0492,10.0187,10.2281,10.4908,0.4416
2026-09-04,15:29,CANTABIL,20.886,22.1835,22.3415,23.1703,2.2843
2026-09-04,15:29,CAPACITE,45.8889,45.6826,45.5288,46.4173,0.5284
2026-09-04,15:29,CAPILLARY,0,7.3082,6.83,7.1501,7.1501
2026-09-04,15:29,CAPITALSFB,51.9142,53.3603,53.267,53.5391,1.6249
2026-09-04,15:29,CAPLIPOINT,18.0167,17.4539,17.8777,18.0913,0.0746
2026-09-04,15:29,CARBORUNIV,19.8625,19.6068,20.4328,20.4254,0.5629
2026-09-04,15:29,CARTRADE,21.5381,25.4359,27.7851,29.9905,8.4524
2026-09-04,15:29,CASTROLIND,23.4749,24.4146,25.5482,26.1061,2.6312
2026-09-04,15:29,CDSL,59.2754,57.4834,59.2143,61.5703,2.2949
2026-09-04,15:29,CEATLTD,14.6328,14.4921,14.401,15.83,1.1972
2026-09-04,15:29,CEIGALL,9.7938,9.9668,9.4394,10.4128,0.619
2026-09-04,15:29,CELEBRITY,52.5284,52.5284,53.856,53.856,1.3276
2026-09-04,15:29,CELLO,4.9801,5.7733,6.3014,6.1727,1.1926
2026-09-04,15:29,CENTENKA,54.6033,54.535,54.5891,54.7079,0.1046
2026-09-04,15:29,CENTRALBK,4.9835,5.054,5.1615,6.936,1.9525
2026-09-04,15:29,CEWATER,21.3291,22.2434,23.5147,25.9151,4.586
2026-09-04,15:29,CHAMBLFERT,15.5019,17.1916,16.6287,16.7878,1.2859
2026-09-04,15:29,CHEMFAB,26.5221,26.547,26.6991,26.7397,0.2176
2026-09-04,15:29,CHEMPLASTS,6.2382,6.328,6.9132,9.2803,3.0421
2026-09-04,15:29,CHOICEIN,29.1788,32.9918,33.6903,35.0682,5.8894
2026-09-04,15:29,CIEINDIA,8.5028,8.2999,8.2022,8.6465,0.1437
2026-09-04,15:29,CIFL,27.0784,27.0313,27.3822,27.3624,0.284
2026-09-04,15:29,CLCIND,4.8888,4.9986,9.9985,9.9985,5.1097
2026-09-04,15:29,CLEAN,18.917,19.2642,18.1615,19.0999,0.1829
2026-09-04,15:29,CMICABLES,61.586,67.9351,75.5884,75.5912,14.0052
2026-09-04,15:29,CMSINFO,38.0913,39.1198,38.8541,40.2138,2.1225
2026-09-04,15:29,COALINDIA,5.9839,5.9766,5.6264,6.1911,0.2072
2026-09-04,15:29,COCHINSHIP,21.8939,22.3895,22.8782,22.2968,0.4029
2026-09-04,15:29,COFFEEDAY,85.3717,84.5621,84.1735,86.0715,0.6998
2026-09-04,15:29,COFORGE,10.8344,11.6016,12.9626,11.7044,0.87
2026-09-04,15:29,COHANCE,15.0782,14.8284,15.0279,15.8253,0.7471
2026-09-04,15:29,CONCOR,7.0175,7.4562,7.111,7.4918,0.4743
2026-09-04,15:29,CONCORDBIO,38.333,38.7564,38.9021,39.0338,0.7008
2026-09-04,15:29,CONFIPET,34.619,34.9176,35.1316,41.6168,6.9978
2026-09-04,15:29,CONSOFINVT,18.817,18.7989,20.4113,20.3051,1.4881
2026-09-04,15:29,CONTROLPR,41.8292,41.938,42.1462,42.2862,0.457
2026-09-04,15:29,CRISIL,13.31,13.5311,13.5184,13.9732,0.6632
2026-09-04,15:29,CRIZAC,12.5215,14.098,14.2912,15.2259,2.7044
2026-09-04,15:29,CROMPTON,12.8995,13.3858,13.0562,13.3189,0.4194
2026-09-04,15:29,CROWN,30.4352,30.4352,32.1829,32.1182,1.683
2026-09-04,15:29,CSBBANK,28.9344,29.4771,31.2137,31.5849,2.6505
2026-09-04,15:29,CUBEXTUB,54.6883,54.6168,54.6831,54.8711,0.1828
2026-09-04,15:29,CURAA,24.7483,24.7483,25.0008,25.0008,0.2525
2026-09-04,15:29,CYIENT,20.6446,21.8384,20.3045,23.0521,2.4075
2026-09-04,15:29,CYIENTDLM,16.9441,18.5884,20.4164,18.454,1.5099
2026-09-04,15:29,DALMIASUG,22.0785,22.3208,22.2865,22.367,0.2885
2026-09-04,15:29,DAMCAPITAL,45.9409,46.9794,48.3261,50.5418,4.6009
2026-09-04,15:29,DAMODARIND,28.7559,28.7607,28.7999,28.8448,0.0889
2026-09-04,15:29,DATAMATICS,32.3615,32.4603,32.8324,32.8962,0.5347
2026-09-04,15:29,DBL,27.8178,28.1612,28.7886,28.7525,0.9347
2026-09-04,15:29,DBREALTY,46.8563,47.0923,47.4289,47.6153,0.759
2026-09-04,15:29,DBSTOCKBRO,54.633,54.638,57.3801,57.4016,2.7686
2026-09-04,15:29,DCAL,31.2155,31.7274,31.5776,31.7316,0.5161
2026-09-04,15:29,DCI,35.1137,35.1584,36.6918,36.6462,1.5325
2026-09-04,15:29,DCMNVL,46.428,46.3803,46.5121,46.5116,0.0836
2026-09-04,15:29,DCMSRIND,32.2125,32.1887,32.5133,32.6106,0.3981
2026-09-04,15:29,DCW,45.2035,45.3071,46.8771,47.2892,2.0857
2026-09-04,15:29,DCXINDIA,42.9054,42.9122,43.8782,43.2164,0.311
2026-09-04,15:29,DDEVPLSTIK,21.4199,21.4946,21.8138,21.8031,0.3832
2026-09-04,15:29,DEEDEV,12.3866,14.1681,14.93,16.861,4.4744
2026-09-04,15:29,DEEPINDS,33.2453,33.6833,33.5539,33.4779,0.2326
2026-09-04,15:29,DELPHIFX,22.684,36.5904,37.0877,37.1088,14.4248
2026-09-04,15:29,DELTACORP,60.9124,62.9707,62.983,63.4269,2.5145
2026-09-04,15:29,DEN,24.3572,24.3343,24.3842,24.5793,0.2221
2026-09-04,15:29,DENTA,25.9333,26.4088,27.7595,27.7643,1.831
2026-09-04,15:29,DEVIT,32.6891,32.6859,32.6859,57.7369,25.0478
2026-09-04,15:29,DEVX,52.8563,55.2869,56.8233,59.6256,6.7693
2026-09-04,15:29,DEVYANI,8.3293,9.4735,9.2241,9.9491,1.6198
2026-09-04,15:29,DHANBANK,84.3359,84.2923,84.193,85.4084,1.0725
2026-09-04,15:29,DHARAN,44.6459,56.5855,60.6711,71.6122,26.9663
2026-09-04,15:29,DHRUV,45.5471,44.6163,48.3085,48.3712,2.8241
2026-09-04,15:29,DIAMONDYD,30.3907,32.4973,31.9471,31.0259,0.6352
2026-09-04,15:29,DIGISPICE,26.8004,26.9183,26.9183,26.9819,0.1815
2026-09-04,15:29,DIGITIDE,23.027,23.3196,23.2353,24.1811,1.1541
2026-09-04,15:29,DISHTV,81.7026,82.6844,83.9106,84.182,2.4794
2026-09-04,15:29,DIXON,21.2083,23.2964,24.7318,25.0411,3.8328
2026-09-04,15:29,DJML,43.4846,44.4792,43.785,44.1225,0.6379
2026-09-04,15:29,DLF,5.198,5.2705,5.3786,5.5097,0.3117
2026-09-04,15:29,DOLATALGO,24.8721,24.3937,24.8961,25.085,0.2129
2026-09-04,15:29,DOLLAR,22.5083,22.2161,21.5769,24.2553,1.747
2026-09-04,15:29,DPSCLTD,40.0314,40.0522,40.0534,40.2358,0.2044
2026-09-04,15:29,DRCSYSTEMS,77.3972,78.9708,78.9791,78.94,1.5428
2026-09-04,15:29,DVL,22.0006,21.964,22.0281,22.0447,0.0441
2026-09-04,15:29,DWARKESH,55.5722,55.6756,55.5328,55.6701,0.0979
2026-09-04,15:29,DYCL,29.6911,30.2582,29.654,30.1703,0.4792
2026-09-04,15:29,DYNAMATECH,31.3554,31.6012,31.8691,31.5144,0.159
2026-09-04,15:29,DYNPRO,69.4822,69.3368,69.9011,69.9421,0.4599
2026-09-04,15:29,E2E,53.1473,53.1615,53.0623,53.205,0.0577
2026-09-04,15:29,EASTSILK,5,5,7.7732,9.4559,4.4559
2026-09-04,15:29,ECLERX,9.4595,9.4405,9.6363,10.5619,1.1024
2026-09-04,15:29,ECOSMOBLTY,13.4482,15.7676,17.6269,18.5726,5.1244
2026-09-04,15:29,EICHERMOT,8.4437,8.3781,8.5665,8.6499,0.2062
2026-09-04,15:29,EIDPARRY,29.3264,28.7376,28.6813,29.9294,0.603
2026-09-04,15:29,EIEL,26.8717,28.4359,28.3637,28.454,1.5823
2026-09-04,15:29,EIHAHOTELS,11.0037,11.0037,11.0427,11.064,0.0603
2026-09-04,15:29,EKC,30.8893,30.6094,30.8051,30.9709,0.0816
2026-09-04,15:29,ELECTCAST,33.654,33.5218,33.2414,36.0426,2.3886
2026-09-04,15:29,ELGIEQUIP,35.8315,36.9938,36.9204,36.1786,0.3471
2026-09-04,15:29,ELGIRUBCO,30.2269,30.1788,30.2888,30.3024,0.0755
2026-09-04,15:29,ELIN,60.7087,60.1981,60.9103,63.5719,2.8632
2026-09-04,15:29,EMAMILTD,9.0693,9.2502,9.5092,10.1265,1.0572
2026-09-04,15:29,EMBDL,26.9048,28.4561,29.8239,30.6833,3.7785
2026-09-04,15:29,EMCURE,8.1429,8.5499,8.7977,8.814,0.6711
2026-09-04,15:29,EMSLIMITED,29.7968,30.0412,29.8419,30.1033,0.3065
2026-09-04,15:29,EMUDHRA,24.773,24.7823,28.511,30.5036,5.7306
2026-09-04,15:29,ENDURANCE,1.92,2.0967,2.0781,2.2423,0.3223
2026-09-04,15:29,ENIL,18.2575,18.591,18.7726,19.0846,0.8271
2026-09-04,15:29,ENTERO,23.258,26.0225,26.9293,27.7451,4.4871
2026-09-04,15:29,EPACK,38.5947,39.4039,39.766,41.7621,3.1674
2026-09-04,15:29,EPACKPEB,23.1397,19.1581,20.9234,31.1138,7.9741
2026-09-04,15:29,EPIGRAL,23.2783,23.6277,24.6737,24.5251,1.2468
2026-09-04,15:29,ERIS,9.7481,9.1603,10.6506,10.7134,0.9653
2026-09-04,15:29,ESAFSFB,31.4967,31.5151,32.0462,32.6355,1.1388
2026-09-04,15:29,ESCORTS,14.2088,13.8029,13.895,14.2705,0.0617
2026-09-04,15:29,ESSENTIA,83.9383,83.9614,83.9502,90.2374,6.2991
2026-09-04,15:29,ESTER,27.8411,27.7457,27.7202,28.752,0.9109
2026-09-04,15:29,ETERNAL,31.0714,31.0097,31.2779,31.4196,0.3482
2026-09-04,15:29,EUREKAFORB,15.2243,15.0116,15.5113,15.6187,0.3944
2026-09-04,15:29,EUROPRATIK,20.9936,22.885,24.4266,21.0614,0.0678
2026-09-04,15:29,EVERESTIND,38.8043,38.8863,38.925,39.0602,0.2559
2026-09-04,15:29,EXCELINDUS,37.9197,37.8615,37.947,38.8766,0.9569
2026-09-04,15:29,EXICOM,25.3736,26.0272,26.1206,30.5441,5.1705
2026-09-04,15:29,EXPLEOSOL,27.4712,28.0451,27.9425,28.1148,0.6436
2026-09-04,15:29,FABTECH,17.5224,29.0433,28.6008,28.5817,11.0593
2026-09-04,15:29,FAIRCHEMOR,26.7191,26.9348,26.2984,27.4938,0.7747
2026-09-04,15:29,FAZE3Q,40.6372,40.8379,40.6524,40.8013,0.1641
2026-09-04,15:29,FCL,31.4351,33.1346,33.625,33.4999,2.0648
2026-09-04,15:29,FCONSUMER,83.0042,86.0692,96.51,96.51,13.5058
2026-09-04,15:29,FDC,20.7996,21.4564,21.3555,22.3457,1.5461
2026-09-04,15:29,FEDFINA,18.397,19.8252,19.4343,18.8015,0.4045
2026-09-04,15:29,FILATFASH,75.1599,74.8412,80.4154,94.1024,18.9425
2026-09-04,15:29,FINEORG,8.4127,8.7735,8.9504,9.0026,0.5899
2026-09-04,15:29,FINOPB,18.9763,21.8556,23.2619,24.6808,5.7045
2026-09-04,15:29,FINPIPE,27.5687,27.3238,26.7473,28.2109,0.6422
2026-09-04,15:29,FIRSTCRY,39.8139,40.0992,39.4365,40.4257,0.6118
2026-09-04,15:29,FIVESTAR,12.8587,12.9927,14.4647,14.2115,1.3528
2026-09-04,15:29,FLEXITUFF,59.6996,59.6996,59.6996,60.19,0.4904
2026-09-04,15:29,FLFL,45.5847,45.653,47.7424,52.6341,7.0494
2026-09-04,15:29,FMGOETZE,23.902,24.0235,24.1377,24.1308,0.2288
2026-09-04,15:29,FORCEMOT,26.1835,25.6664,25.2534,26.9717,0.7882
2026-09-04,15:29,GANDHITUBE,23.0742,23.0399,23.0911,23.144,0.0698
2026-09-04,15:29,GANECOS,26.4748,28.9752,29.8075,32.7303,6.2555
2026-09-04,15:29,GANESHBE,50.4457,50.7184,53.4412,52.8155,2.3698
2026-09-04,15:29,GANESHCP,22.2018,25.0875,25.8059,25.0633,2.8615
2026-09-04,15:29,GANGAFORGE,58.5657,64.487,64.4862,64.4862,5.9205
2026-09-04,15:29,GARFIBRES,25.3771,26.5355,26.6435,26.3901,1.013
2026-09-04,15:29,GARUDA,27.3067,28.2282,29.0844,29.3205,2.0138
2026-09-04,15:29,GATECH,92.3539,98.8326,98.8073,98.6821,6.3282
2026-09-04,15:29,GATECHDVR,91.2687,99.7716,99.769,99.769,8.5003
2026-09-04,15:29,GATEWAY,19.8887,22.4565,25.4001,26.6498,6.7611
2026-09-04,15:29,GAYAHWS,35.5286,36.2633,36.9327,37.3462,1.8176
2026-09-04,15:29,GEMAROMA,18.003,21.194,18.7611,18.6406,0.6376
2026-09-04,15:29,GENESYS,62.1678,61.0556,63.4006,65.7136,3.5458
2026-09-04,15:29,GENSOL,35.2507,35.1171,35.3446,57.7633,22.5126
2026-09-04,15:29,GENUSPOWER,38.0293,38.1689,37.8988,38.3804,0.3511
2026-09-04,15:29,GEOJITFSL,44.2836,48.5942,49.5619,49.6779,5.3943
2026-09-04,15:29,GFLLIMITED,29.0927,30.0482,30.4526,30.473,1.3803
2026-09-04,15:29,GHCL,43.4701,44.0536,43.5085,45.1544,1.6843
2026-09-04,15:29,GHCLTEXTIL,58.1495,60.4674,61.2151,65.3249,7.1754
2026-09-04,15:29,GICHSGFIN,49.4778,50.0127,50.7402,53.2098,3.732
2026-09-04,15:29,GICRE,2.1686,2.3597,2.1367,2.4165,0.2479
2026-09-04,15:29,GILLETTE,9.45,9.9524,10.0005,10.516,1.066
2026-09-04,15:29,GINNIFILA,29.6025,29.5,29.5711,29.7218,0.1193
2026-09-04,15:29,GIPCL,26.7377,27.9904,27.7365,33.681,6.9433
2026-09-04,15:29,GKENERGY,9.2183,10.6267,10.5991,11.2166,1.9983
2026-09-04,15:29,GLAND,7.6251,7.6076,7.5166,9.0337,1.4086
2026-09-04,15:29,GLOBECIVIL,27.5265,27.7034,29.6206,29.2914,1.7649
2026-09-04,15:29,GLOSTERLTD,12.4711,12.5168,12.5209,12.7818,0.3107
2026-09-04,15:29,GLOTTIS,18.4709,22.1398,24.0697,24.0822,5.6113
2026-09-04,15:29,GMMPFAUDLR,28.2747,31.2235,30.5367,32.4818,4.2071
2026-09-04,15:29,GNA,19.347,19.6391,19.2949,20.9337,1.5867
2026-09-04,15:29,GOCOLORS,3.602,6.8783,12.9537,15.1692,11.5672
2026-09-04,15:29,GODAVARIB,24.1154,24.6734,25.32,26.4489,2.3335
2026-09-04,15:29,GODFRYPHLP,14.338,13.9985,15.1776,14.9396,0.6016
2026-09-04,15:29,GODREJAGRO,22.4692,20.5538,22.4362,22.801,0.3318
2026-09-04,15:29,GODREJPROP,13.6679,14.186,13.8888,13.9728,0.3049
2026-09-04,15:29,GOKEX,28.6592,27.7867,33.1101,32.6584,3.9992
2026-09-04,15:29,GOLDIAM,35.1976,38.5169,38.7853,37.5827,2.3851
2026-09-04,15:29,GOODYEAR,15.8674,15.933,16.0095,16.2392,0.3718
2026-09-04,15:29,GOPAL,9.9319,10.6377,10.8573,11.4372,1.5053
2026-09-04,15:29,GPIL,27.3682,28.0052,28.0195,27.6532,0.285
2026-09-04,15:29,GPTINFRA,16.0265,16.9521,16.8771,16.6374,0.6109
2026-09-04,15:29,GRASIM,22.2453,22.164,22.1346,22.3245,0.0792
2026-09-04,15:29,GRAUWEIL,29.1703,29.2501,29.3993,29.4892,0.3189
2026-09-04,15:29,GRAVITA,24.5633,23.6189,25.0093,25.7276,1.1643
