date,time,group,% 3 qtrs ago,% 2 qtr ago,% 1 qtr ago,% current qtr,change in 3 qtrs
2026-09-04,15:29,3IINFOLTD,82.1202,84.9198,84.9324,84.7409,2.6207
2026-09-04,15:29,5PAISA,19.959,29.472,29.4102,22.9852,3.0262
2026-09-04,15:29,AAATECH,28.3035,31.5272,30.4264,29.3053,1.0018
2026-09-04,15:29,AAREYDRUGS,54.0684,57.0858,56.493,55.864,1.7956
2026-09-04,15:29,AARTECH,46.8655,47.1477,47.1477,47.1399,0.2744
2026-09-04,15:29,AARTIDRUGS,31.5904,31.5901,32.0725,32.6494,1.059
2026-09-04,15:29,AARTISURF,48.9231,49.4463,49.6165,49.6923,0.7692
2026-09-04,15:29,AARVI,26.5277,26.4629,26.4725,26.6367,0.109
2026-09-04,15:29,AAVAS,10.0669,11.1174,11.3023,11.7495,1.6826
2026-09-04,15:29,ABBOTINDIA,15.2374,15.2585,15.2518,15.2997,0.0623
2026-09-04,15:29,ABFRL,26.6805,27.1166,31.2315,34.8126,8.1321
2026-09-04,15:29,ABMINTLLTD,23.982,23.982,23.982,24.1674,0.1854
2026-09-04,15:29,ACC,14.6495,14.878,14.7118,15.2751,0.6256
2026-09-04,15:29,ACE,21.043,22.3331,22.3599,24.1102,3.0672
2026-09-04,15:29,ACI,9.7933,10.148,9.5595,11.295,1.5017
2026-09-04,15:29,ACL,9.255,9.2469,24.2469,24.2469,14.9919
2026-09-04,15:29,ACMESOLAR,4.2208,4.6215,5.8023,5.1058,0.885
2026-09-04,15:29,ADFFOODS,22.184,22.2482,21.9525,23.8399,1.6559
2026-09-04,15:29,ADOR,31.7908,31.5356,31.2314,32.7251,0.9343
2026-09-04,15:29,ADSL,44.9519,45.3673,45.746,46.0997,1.1478
2026-09-04,15:29,ADVENZYMES,24.4486,24.9342,25.1758,24.607,0.1584
2026-09-04,15:29,AEGISVOPAK,1.9586,2.0621,2.2796,2.4077,0.4491
2026-09-04,15:29,AEQUS,2.6184,10.7441,11.1403,12.9242,10.3058
2026-09-04,15:29,AEROFLEX,28.7422,28.4615,29.2369,29.4521,0.7099
2026-09-04,15:29,AETHER,6.2953,7.1307,5.8634,6.942,0.6467
2026-09-04,15:29,AFCONS,9.9187,9.5071,9.3144,10.2405,0.3218
2026-09-04,15:29,AFFORDABLE,51.5696,55.5858,54.9345,57.4954,5.9258
2026-09-04,15:29,AFIL,55.1618,55.324,57.6445,58.4218,3.26
2026-09-04,15:29,AGARIND,36.6275,37.6195,37.9753,40.2754,3.6479
2026-09-04,15:29,AGARWALEYE,1.4977,1.7317,1.8343,1.934,0.4363
2026-09-04,15:29,AGI,29.4463,29.6461,30.1731,31.6715,2.2252
2026-09-04,15:29,AGSTRA,66.2618,69.3413,69.8605,69.8604,3.5986
2026-09-04,15:29,AHLADA,49.25,50.681,50.681,50.681,1.431
2026-09-04,15:29,AHLUCONT,7.9784,7.7409,8.5737,8.2743,0.2959
2026-09-04,15:29,AJAXENGG,4.0718,4.1361,4.1944,4.1701,0.0983
2026-09-04,15:29,AKI,45.0929,45.8006,46.077,46.077,0.9841
2026-09-04,15:29,AKSHOPTFBR,80.1332,80.3795,80.3795,80.318,0.1848
2026-09-04,15:29,AKUMS,8.5604,9.1883,9.0176,9.3913,0.8309
2026-09-04,15:29,ALEMBICLTD,26.3509,26.4475,26.4913,26.5024,0.1515
2026-09-04,15:29,ALICON,16.2731,16.6521,16.5892,17.6734,1.4003
2026-09-04,15:29,ALLCARGO,25.582,45.8993,47.8927,49.0676,23.4856
2026-09-04,15:29,ALLDIGI,23.262,23.5703,23.7347,23.9172,0.6552
2026-09-04,15:29,ALLTIME,13.2778,15.4948,16.5868,16.4706,3.1928
2026-09-04,15:29,ALMONDZ,47.5258,47.7897,47.7095,47.8499,0.3241
2026-09-04,15:29,ALOKINDS,22.1734,22.1249,22.0576,22.6516,0.4782
2026-09-04,15:29,AMBUJACEM,6.5958,6.4892,6.2202,7.2383,0.6425
2026-09-04,15:29,AMRUTANJAN,36.8419,36.8495,37.1212,37.2457,0.4038
2026-09-04,15:29,ANANTRAJ,23.0131,25.9426,26.5776,26.9208,3.9077
2026-09-04,15:29,ANIKINDS,53.6155,58.0075,60.6253,60.6275,7.012
2026-09-04,15:29,ANSALAPI,49.0551,49.0672,49.7814,49.812,0.7569
2026-09-04,15:29,ANTELOPUS,27.7713,29.2433,29.1477,28.2592,0.4879
2026-09-04,15:29,ANUP,39.2534,38.8512,39.4065,39.5857,0.3323
2026-09-04,15:29,ANURAS,31.8912,32.8672,33.6322,32.7951,0.9039
2026-09-04,15:29,APLLTD,9.0888,9.0258,9.0111,9.2094,0.1206
2026-09-04,15:29,APOLLO,39.2124,41.4711,42.4676,40.5994,1.387
2026-09-04,15:29,APOLLOHOSP,6.0649,6.3211,5.9944,6.1661,0.1012
2026-09-04,15:29,APOLLOPIPE,33.5704,35.8669,33.9993,37.2622,3.6918
2026-09-04,15:29,APOLLOTYRE,11.2296,10.9111,11.3657,11.9628,0.7332
2026-09-04,15:29,APTECHT,48.72,49.7085,49.646,50.4686,1.7486
2026-09-04,15:29,APTUS,14.8967,15.6459,16.3507,16.2728,1.3761
2026-09-04,15:29,AQYLON,1.2715,40.0738,10.1544,18.4159,17.1444
2026-09-04,15:29,ARCHIES,37.5308,37.5308,37.5368,37.9756,0.4448
2026-09-04,15:29,ARE&M,32.5368,32.2058,32.4563,34.0886,1.5518
