date,time,group,% change
2026-09-04,15:29,BOMDYEING,-0.3688
2026-09-04,15:29,BOROLTD,5.78
2026-09-04,15:29,BOROSCI,-0.3994
2026-09-04,15:29,BOSCH-HCIL,6.9631
2026-09-04,15:29,BOSCHLTD,-0.3194
2026-09-04,15:29,BPCL,-0.3
2026-09-04,15:29,BRIGADE,17.2478
2026-09-04,15:29,BSE,2.3349
2026-09-04,15:29,BSHSL,3.1923
2026-09-04,15:29,BUILDPRO,4.3401
2026-09-04,15:29,CAMPUS,2.4413
2026-09-04,15:29,CANFINHOME,-0.8534
2026-09-04,15:29,CANHLIFE,5.5944
2026-09-04,15:29,CANTABIL,2.8565
2026-09-04,15:29,CAPACITE,2.0435
2026-09-04,15:29,CAPITALSFB,-0.2131
2026-09-04,15:29,CAPLIPOINT,11.4512
2026-09-04,15:29,CARBORUNIV,0.7037
2026-09-04,15:29,CARERATING,1.8278
2026-09-04,15:29,CARTRADE,7.2688
2026-09-04,15:29,CARYSIL,-1.2978
2026-09-04,15:29,CASTROLIND,1.4503
2026-09-04,15:29,CDSL,2.786
2026-09-04,15:29,CEIGALL,12.6127
2026-09-04,15:29,CEMPRO,-1.846
2026-09-04,15:29,CENTENKA,6.3395
2026-09-04,15:29,CENTRALBK,-0.6076
2026-09-04,15:29,CENTUM,12.0353
2026-09-04,15:29,CENTURYPLY,-0.2997
2026-09-04,15:29,CERA,0.0086
2026-09-04,15:29,CGCL,23.7182
2026-09-04,15:29,CGPOWER,-0.8678
2026-09-04,15:29,CHALET,6.1619
2026-09-04,15:29,CHEMCON,4.963
2026-09-04,15:29,CHEMFAB,-1.8667
2026-09-04,15:29,CHENNPETRO,5.0492
2026-09-04,15:29,CHEVIOT,-0.1808
2026-09-04,15:29,CLEAN,-0.4583
2026-09-04,15:29,CLEANMAX,8.7104
2026-09-04,15:29,CLSEL,7.2088
2026-09-04,15:29,CMPDI,3.7163
2026-09-04,15:29,CMRGREEN,6.2442
2026-09-04,15:29,COALINDIA,1.6893
2026-09-04,15:29,COCHINSHIP,2.833
2026-09-04,15:29,COFFEEDAY,10.7516
2026-09-04,15:29,COFORGE,9.2359
2026-09-04,15:29,COHANCE,2.6644
2026-09-04,15:29,COMSYN,6.9615
2026-09-04,15:29,CONFIPET,13.6871
2026-09-04,15:29,CONSOFINVT,6.0121
2026-09-04,15:29,CONTROLPR,4.1513
2026-09-04,15:29,CORONA,-0.6152
2026-09-04,15:29,CPPLUS,10.8133
2026-09-04,15:29,CRAFTSMAN,8.7595
2026-09-04,15:29,CRAMC,-0.9648
2026-09-04,15:29,CREST,1.0414
2026-09-04,15:29,CRISIL,6.9893
2026-09-04,15:29,CSBBANK,2.6879
2026-09-04,15:29,CSLFINANCE,14.6755
2026-09-04,15:29,CUB,9.6701
2026-09-04,15:29,CUPID,5.9217
2026-09-04,15:29,CYIENT,26.9355
2026-09-04,15:29,CYIENTDLM,16.2045
2026-09-04,15:29,DAMCAPITAL,-1.0178
2026-09-04,15:29,DATAPATTNS,1.2432
