date,time,group,percentage
2022-11-07,00:00,smallcap,52.9503
2022-11-14,00:00,largecap,67.4267
2022-11-14,00:00,midcap,51.8293
2022-11-14,00:00,smallcap,48.4071
2022-11-21,00:00,largecap,72.0779
2022-11-21,00:00,midcap,56.7976
2022-11-21,00:00,smallcap,50.3101
2022-11-28,00:00,largecap,77.9935
2022-11-28,00:00,midcap,62.0482
2022-11-28,00:00,smallcap,57.0769
2022-12-05,00:00,largecap,74.7573
2022-12-05,00:00,midcap,60.5422
2022-12-05,00:00,smallcap,56.6052
2022-12-12,00:00,largecap,70.2265
2022-12-12,00:00,midcap,57.5301
2022-12-12,00:00,smallcap,57.5248
2022-12-19,00:00,largecap,51.1327
2022-12-19,00:00,midcap,39.1566
2022-12-19,00:00,smallcap,32.6718
2022-12-26,00:00,largecap,63.4304
2022-12-26,00:00,midcap,52.1084
2022-12-26,00:00,smallcap,52.8517
2023-01-02,00:00,largecap,62.1359
2023-01-02,00:00,midcap,51.6517
2023-01-02,00:00,smallcap,53.1915
2023-01-09,00:00,largecap,60.8414
2023-01-09,00:00,midcap,50.8982
2023-01-09,00:00,smallcap,53.1963
2023-01-16,00:00,largecap,60.5178
2023-01-16,00:00,midcap,47.6048
2023-01-16,00:00,smallcap,51.3678
2023-01-23,00:00,largecap,52.4272
2023-01-23,00:00,midcap,41.3174
2023-01-23,00:00,smallcap,39.8633
2023-01-30,00:00,largecap,50.4854
2023-01-30,00:00,midcap,40.2985
2023-01-30,00:00,smallcap,37.386
2023-02-06,00:00,largecap,55.9871
2023-02-06,00:00,midcap,47.7612
2023-02-06,00:00,smallcap,39.9848
2023-02-13,00:00,largecap,53.7217
2023-02-13,00:00,midcap,46.2687
2023-02-13,00:00,smallcap,35.7089
2023-02-20,00:00,largecap,47.8964
2023-02-20,00:00,midcap,38.0952
2023-02-20,00:00,smallcap,26.8182
2023-02-27,00:00,largecap,53.0744
2023-02-27,00:00,midcap,40.4762
2023-02-27,00:00,smallcap,30.8157
2023-03-06,00:00,largecap,51.1327
2023-03-06,00:00,midcap,43.75
2023-03-06,00:00,smallcap,28.6682
2023-03-13,00:00,largecap,43.0421
2023-03-13,00:00,midcap,36.3095
2023-03-13,00:00,smallcap,23.0075
2023-03-20,00:00,largecap,38.835
2023-03-20,00:00,midcap,33.0357
2023-03-20,00:00,smallcap,21.0526
2023-03-27,00:00,largecap,44.9838
2023-03-27,00:00,midcap,37.7976
2023-03-27,00:00,smallcap,21.8633
2023-04-03,00:00,largecap,52.1036
2023-04-03,00:00,midcap,40.4762
2023-04-03,00:00,smallcap,33.9594
2023-04-10,00:00,largecap,58.8997
2023-04-10,00:00,midcap,45.2381
2023-04-10,00:00,smallcap,40.1015
2023-04-17,00:00,largecap,58.5761
2023-04-17,00:00,midcap,46.7262
2023-04-17,00:00,smallcap,42.0785
2023-04-24,00:00,largecap,65.6958
2023-04-24,00:00,midcap,53.7092
2023-04-24,00:00,smallcap,46.896
2023-05-02,00:00,largecap,67.3139
2023-05-02,00:00,midcap,58.1602
2023-05-02,00:00,smallcap,50.484
2023-05-08,00:00,largecap,72.1683
2023-05-08,00:00,midcap,61.7211
2023-05-08,00:00,smallcap,53.0597
2023-05-15,00:00,largecap,70.3226
2023-05-15,00:00,midcap,63.2047
2023-05-15,00:00,smallcap,51.6345
2023-05-22,00:00,largecap,78.0645
2023-05-22,00:00,midcap,65.2819
2023-05-22,00:00,smallcap,52.5223
2023-05-29,00:00,largecap,80.9677
2023-05-29,00:00,midcap,73.2938
2023-05-29,00:00,smallcap,57.3649
2023-06-05,00:00,largecap,81.2903
2023-06-05,00:00,midcap,74.184
2023-06-05,00:00,smallcap,61.6296
2023-06-12,00:00,largecap,86.4952
2023-06-12,00:00,midcap,77.1513
2023-06-12,00:00,smallcap,66.7897
2023-06-19,00:00,largecap,81.9936
2023-06-19,00:00,midcap,76.8546
2023-06-19,00:00,smallcap,62.7753
2023-06-26,00:00,largecap,86.8167
2023-06-26,00:00,midcap,78.9318
2023-06-26,00:00,smallcap,64.978
2023-07-03,00:00,largecap,85.8521
2023-07-03,00:00,midcap,81.8991
2023-07-03,00:00,smallcap,67.7396
2023-07-10,00:00,largecap,87.7814
2023-07-10,00:00,midcap,82.5444
2023-07-10,00:00,smallcap,65.9325
2023-07-17,00:00,largecap,88.7821
2023-07-17,00:00,midcap,83.432
2023-07-17,00:00,smallcap,67.7818
2023-07-24,00:00,largecap,91.0256
2023-07-24,00:00,midcap,86.6864
2023-07-24,00:00,smallcap,67.3707
2023-07-31,00:00,largecap,91.3738
2023-07-31,00:00,midcap,87.8698
2023-07-31,00:00,smallcap,69.4767
2023-08-07,00:00,largecap,91.0543
2023-08-07,00:00,midcap,86.1357
2023-08-07,00:00,smallcap,69.5936
2023-08-14,00:00,largecap,85.623
2023-08-14,00:00,midcap,84.7059
2023-08-14,00:00,smallcap,67.6812
2023-08-21,00:00,largecap,88.1789
2023-08-21,00:00,midcap,87.4269
2023-08-21,00:00,smallcap,71.7077
2023-08-28,00:00,largecap,91.0828
2023-08-28,00:00,midcap,90.6706
2023-08-28,00:00,smallcap,77.3844
2023-09-04,00:00,largecap,94.2675
2023-09-04,00:00,midcap,93.8953
2023-09-04,00:00,smallcap,81.3803
2023-09-11,00:00,largecap,92.9936
2023-09-11,00:00,midcap,93.913
2023-09-11,00:00,smallcap,80.0287
2023-09-18,00:00,largecap,89.5238
2023-09-18,00:00,midcap,90.1449
2023-09-18,00:00,smallcap,77.4032
2023-09-25,00:00,largecap,88.2911
2023-09-25,00:00,midcap,89.5652
2023-09-25,00:00,smallcap,77.0774
2023-10-03,00:00,largecap,88.6792
2023-10-03,00:00,midcap,91.0405
2023-10-03,00:00,smallcap,77.5161
2023-10-09,00:00,largecap,88.0503
2023-10-09,00:00,midcap,91.6185
2023-10-09,00:00,smallcap,79.0896
2023-10-16,00:00,largecap,83.6478
2023-10-16,00:00,midcap,88.1503
2023-10-16,00:00,smallcap,79.1193
