date,time,group,% change,ltp
2026-09-08,15:29,NIFTYMIDCAP50,0.2293,18093
2026-09-08,15:29,NIFTYMIDSELECT,0.1491,14672.5498
2026-09-08,15:29,NIFTYMIDSMALLCAP400,0.1592,21449.0508
2026-09-08,15:29,NIFTYOILANDGAS,-0.6664,11044.75
2026-09-08,15:29,NIFTYPSUBANK,-0.146,8412.3496
2026-09-08,15:29,NIFTYPVTBANK,-0.9769,27474.6992
2026-09-08,15:29,NIFTYSMALLCAP250,0.2329,18527.1992
2026-09-08,15:29,NIFTYSMALLCAP50,0.3137,10058.0996
2026-09-08,15:29,NIFTYTOTALMKT,-0.1825,13073.9004
2026-09-09,15:29,BANKNIFTY,-0.8489,56295.5508
2026-09-09,15:29,CNXENERGY,0.6304,38333.6484
2026-09-09,15:29,CNXINFRA,-0.2685,9119.5
2026-09-09,15:29,CNXIT,-3.2443,28914
2026-09-09,15:29,CNXPHARMA,-0.7031,26691.8008
2026-09-09,15:29,CNXREALTY,-2.2252,872.2
2026-09-09,15:29,CNXSMALLCAP,-0.481,20036.9004
2026-09-09,15:29,INDIAVIX,6.1443,11.92
2026-09-09,15:29,NIFTY,-0.8614,23431.5
2026-09-09,15:29,NIFTY100,-0.7241,24624.3008
2026-09-09,15:29,NIFTY200,-0.681,13710.0996
2026-09-09,15:29,NIFTY500,-0.6377,22958.75
2026-09-09,15:29,NIFTYAUTO,-0.4392,27653.3496
2026-09-09,15:29,NIFTYCHEMICALS,-0.2315,30097.25
2026-09-09,15:29,NIFTYCOMMODITIES,0.6449,9738.5996
2026-09-09,15:29,NIFTYCONSUMPTION,-0.3259,11531.6504
2026-09-09,15:29,NIFTYFINSERVICE,-1.2405,25376.8008
2026-09-09,15:29,NIFTYFMCG,-0.9631,45309.25
2026-09-09,15:29,NIFTYHEALTHCARE,-0.2614,16581.1504
2026-09-09,15:29,NIFTYHOUSING,1.7e+308,11061.2002
2026-09-09,15:29,NIFTYINDDEFENCE,-1.0661,9892.0996
2026-09-09,15:29,NIFTYLARGEMID250,-0.5742,16459.3008
2026-09-09,15:29,NIFTYMEDIA,-0.9185,1526.45
2026-09-09,15:29,NIFTYMETAL,1.7897,13391.4004
2026-09-09,15:29,NIFTYMICROCAP250,-0.1501,26675.3008
2026-09-09,15:29,NIFTYMIDCAP150,-0.4288,22990.9492
2026-09-09,15:29,NIFTYMIDCAP50,-0.5466,17994.0996
2026-09-09,15:29,NIFTYMIDSELECT,-0.4645,14604.4004
2026-09-09,15:29,NIFTYMIDSMALLCAP400,-0.4583,21350.75
2026-09-09,15:29,NIFTYOILANDGAS,-0.1426,11029
2026-09-09,15:29,NIFTYPSUBANK,-0.5129,8369.2002
2026-09-09,15:29,NIFTYPVTBANK,-0.9478,27214.3008
2026-09-09,15:29,NIFTYSMALLCAP250,-0.5141,18431.9492
2026-09-09,15:29,NIFTYSMALLCAP50,-0.3952,10018.3496
2026-09-09,15:29,NIFTYTOTALMKT,-0.615,12993.5
2026-09-10,15:29,BANKNIFTY,0.3133,56471.9492
2026-09-10,15:29,CNXENERGY,-0.2876,38223.3984
2026-09-10,15:29,CNXINFRA,0.153,9133.4502
2026-09-10,15:29,CNXIT,-0.0799,28890.9004
2026-09-10,15:29,CNXPHARMA,-0.5093,26555.8496
2026-09-10,15:29,CNXREALTY,-0.0172,872.05
2026-09-10,15:29,CNXSMALLCAP,-0.0746,20021.9492
2026-09-10,15:29,INDIAVIX,-1.0067,11.8
2026-09-10,15:29,NIFTY,0.1976,23477.8008
2026-09-10,15:29,NIFTY100,0.0761,24643.0508
2026-09-10,15:29,NIFTY200,-0.0164,13707.8496
2026-09-10,15:29,NIFTY500,-0.0279,22952.3496
2026-09-10,15:29,NIFTYAUTO,-0.4065,27540.9492
2026-09-10,15:29,NIFTYCHEMICALS,-0.0297,30088.3008
2026-09-10,15:29,NIFTYCOMMODITIES,-0.2947,9709.9004
2026-09-10,15:29,NIFTYCONSUMPTION,-0.1466,11514.75
2026-09-10,15:29,NIFTYFINSERVICE,0.5655,25520.3008
2026-09-10,15:29,NIFTYFMCG,-0.2729,45185.6016
2026-09-10,15:29,NIFTYHEALTHCARE,-0.3769,16518.6504
2026-09-10,15:29,NIFTYHOUSING,1.7e+308,11061.2002
2026-09-10,15:29,NIFTYINDDEFENCE,-0.9745,9795.7002
2026-09-10,15:29,NIFTYLARGEMID250,-0.1543,16433.9004
2026-09-10,15:29,NIFTYMEDIA,0.547,1534.8
2026-09-10,15:29,NIFTYMETAL,-0.6456,13304.9502
2026-09-10,15:29,NIFTYMICROCAP250,-0.1946,26623.4004
2026-09-10,15:29,NIFTYMIDCAP150,-0.3771,22904.25
2026-09-10,15:29,NIFTYMIDCAP50,-0.3635,17928.6992
2026-09-10,15:29,NIFTYMIDSELECT,-0.5211,14528.2998
2026-09-10,15:29,NIFTYMIDSMALLCAP400,-0.2438,21298.6992
2026-09-10,15:29,NIFTYOILANDGAS,0.0082,11029.9004
2026-09-10,15:29,NIFTYPSUBANK,0.3901,8401.8496
2026-09-10,15:29,NIFTYPVTBANK,0.3366,27305.9004
2026-09-10,15:29,NIFTYSMALLCAP250,0.0079,18433.4004
2026-09-10,15:29,NIFTYSMALLCAP50,-0.1248,10005.8496
2026-09-10,15:29,NIFTYTOTALMKT,-0.0358,12988.8496
2026-09-11,15:29,BANKNIFTY,0.2384,56606.5508
2026-09-11,15:29,CNXENERGY,-0.754,37935.1992
2026-09-11,15:29,CNXINFRA,-0.6164,9077.1504
2026-09-11,15:29,CNXIT,0.1059,28921.5
2026-09-11,15:29,CNXPHARMA,-0.0883,26532.4004
2026-09-11,15:29,CNXREALTY,-2.7005,848.5
2026-09-11,15:29,CNXSMALLCAP,-0.5776,19906.3008
2026-09-11,15:29,INDIAVIX,4.1525,12.29
2026-09-11,15:29,NIFTY,-0.3395,23398.0996
2026-09-11,15:29,NIFTY100,-0.3916,24546.5508
2026-09-11,15:29,NIFTY200,-0.3644,13657.9004
2026-09-11,15:29,NIFTY500,-0.374,22866.5
2026-09-11,15:29,NIFTYAUTO,-0.8585,27304.5
2026-09-11,15:29,NIFTYCHEMICALS,-1.018,29782
2026-09-11,15:29,NIFTYCOMMODITIES,-1.3399,9579.7998
2026-09-11,15:29,NIFTYCONSUMPTION,-0.4703,11460.5996
2026-09-11,15:29,NIFTYFINSERVICE,0.0984,25545.4004
2026-09-11,15:29,NIFTYFMCG,-0.2918,45053.75
2026-09-11,15:29,NIFTYHEALTHCARE,-0.1607,16492.0996
2026-09-11,15:29,NIFTYHOUSING,1.7e+308,11061.2002
2026-09-11,15:29,NIFTYINDDEFENCE,-0.7335,9723.8496
2026-09-11,15:29,NIFTYLARGEMID250,-0.3179,16381.6504
2026-09-11,15:29,NIFTYMEDIA,0.1564,1537.2
2026-09-11,15:29,NIFTYMETAL,-2.2991,12999.0498
2026-09-11,15:29,NIFTYMICROCAP250,0.1025,26650.6992
2026-09-11,15:29,NIFTYMIDCAP150,-0.2462,22847.8496
2026-09-11,15:29,NIFTYMIDCAP50,0.0059,17929.75
2026-09-11,15:29,NIFTYMIDSELECT,0.3882,14584.7002
2026-09-11,15:29,NIFTYMIDSMALLCAP400,-0.3369,21226.9492
2026-09-11,15:29,NIFTYOILANDGAS,-0.8423,10937
2026-09-11,15:29,NIFTYPSUBANK,-0.6183,8349.9004
2026-09-11,15:29,NIFTYPVTBANK,0.4765,27436
2026-09-11,15:29,NIFTYSMALLCAP250,-0.5072,18339.9004
2026-09-11,15:29,NIFTYSMALLCAP50,-0.5762,9948.2002
2026-09-11,15:29,NIFTYTOTALMKT,-0.3515,12943.2002
2026-09-15,15:29,BANKNIFTY,-1.4341,55794.75
2026-09-15,15:29,CNXENERGY,-2.0752,37147.9492
2026-09-15,15:29,CNXINFRA,-1.8332,8910.75
2026-09-15,15:29,CNXIT,2.1915,29555.3008
2026-09-15,15:29,CNXPHARMA,-1.2965,26188.4004
2026-09-15,15:29,CNXREALTY,-4.0365,814.25
2026-09-15,15:29,CNXSMALLCAP,-2.4306,19422.4492
2026-09-15,15:29,INDIAVIX,9.2758,13.43
2026-09-15,15:29,NIFTY,-1.1945,23118.5996
2026-09-15,15:29,NIFTY100,-1.4403,24193
2026-09-15,15:29,NIFTY200,-1.5789,13442.25
2026-09-15,15:29,NIFTY500,-1.7014,22477.4492
2026-09-15,15:29,NIFTYAUTO,-2.0066,26756.5996
2026-09-15,15:29,NIFTYCHEMICALS,-3.4244,28762.1504
2026-09-15,15:29,NIFTYCOMMODITIES,-1.7981,9407.5498
2026-09-15,15:29,NIFTYCONSUMPTION,-1.5514,11282.7998
2026-09-15,15:29,NIFTYFINSERVICE,-1.835,25076.6504
2026-09-15,15:29,NIFTYFMCG,-0.4967,44829.9492
2026-09-15,15:29,NIFTYHEALTHCARE,-1.1709,16299
2026-09-15,15:29,NIFTYHOUSING,1.7e+308,11061.2002
2026-09-15,15:29,NIFTYINDDEFENCE,-5.9616,9144.1504
2026-09-15,15:29,NIFTYLARGEMID250,-1.7959,16087.4502
2026-09-15,15:29,NIFTYMEDIA,-2.1663,1503.9
2026-09-15,15:29,NIFTYMETAL,-2.5379,12669.1504
2026-09-15,15:29,NIFTYMICROCAP250,-3.2659,25780.3008
2026-09-15,15:29,NIFTYMIDCAP150,-2.1405,22358.8008
2026-09-15,15:29,NIFTYMIDCAP50,-2.0826,17556.3496
2026-09-15,15:29,NIFTYMIDSELECT,-2.1828,14266.3496
2026-09-15,15:29,NIFTYMIDSMALLCAP400,-2.2436,20750.6992
2026-09-15,15:29,NIFTYOILANDGAS,-1.2855,10796.4004
2026-09-15,15:29,NIFTYPSUBANK,-2.2922,8158.5
2026-09-15,15:29,NIFTYPVTBANK,-1.3347,27069.8008
2026-09-15,15:29,NIFTYSMALLCAP250,-2.4379,17892.8008
2026-09-15,15:29,NIFTYSMALLCAP50,-2.3572,9713.7002
2026-09-15,15:29,NIFTYTOTALMKT,-1.7747,12713.5
2026-09-21,15:29,BANKNIFTY,0.1986,56470.6484
2026-09-21,15:29,CNXENERGY,0.1191,37818.5508
2026-09-21,15:29,CNXINFRA,-0.1444,9058.2002
2026-09-21,15:29,CNXIT,-0.082,28830.9004
2026-09-21,15:29,CNXPHARMA,1.1645,27021.1504
2026-09-21,15:29,CNXREALTY,1.1431,853.85
2026-09-21,15:29,CNXSMALLCAP,-0.0714,19861.5
2026-09-21,15:29,INDIAVIX,-1.2292,11.25
2026-09-21,15:29,NIFTY,0.2908,23414.3008
2026-09-21,15:29,NIFTY100,0.2514,24560.3496
