date,time,blw 3%
2026-02-25,00:00,160
2026-02-26,00:00,109
2026-02-27,00:00,251
2026-03-02,00:00,940
2026-03-04,00:00,865
2026-03-05,00:00,84
2026-03-06,00:00,184
2026-03-09,00:00,947
2026-03-10,00:00,58
2026-03-11,00:00,181
2026-03-12,00:00,219
2026-03-13,00:00,1038
2026-03-16,00:00,491
2026-03-17,00:00,137
2026-03-18,00:00,47
2026-03-19,00:00,1138
2026-03-20,00:00,113
2026-03-23,00:00,1871
2026-03-24,00:00,104
2026-03-25,00:00,74
2026-03-27,00:00,1329
2026-03-30,00:00,1479
2026-04-01,00:00,27
2026-04-02,00:00,99
2026-04-06,00:00,59
2026-04-07,00:00,66
2026-04-08,00:00,35
2026-04-09,00:00,139
2026-04-10,00:00,28
2026-04-13,00:00,197
2026-04-15,00:00,37
2026-04-16,00:00,58
2026-04-17,00:00,35
2026-04-20,00:00,287
2026-04-21,00:00,97
2026-04-22,00:00,95
2026-04-23,00:00,193
2026-04-24,00:00,457
2026-04-27,00:00,72
2026-04-28,00:00,128
2026-04-29,00:00,155
2026-04-30,00:00,176
2026-05-04,00:00,121
2026-05-05,00:00,137
2026-05-06,00:00,73
2026-05-07,00:00,49
2026-05-08,00:00,154
2026-05-11,00:00,529
2026-05-12,00:00,1235
2026-05-13,00:00,165
2026-05-14,00:00,180
2026-05-15,00:00,280
2026-05-18,00:00,555
2026-05-19,00:00,98
2026-05-20,00:00,117
2026-05-21,00:00,92
2026-05-22,00:00,156
2026-05-25,00:00,117
2026-05-26,00:00,139
2026-05-27,00:00,155
2026-05-29,00:00,426
2026-06-01,00:00,443
2026-06-02,00:00,121
2026-06-03,00:00,172
2026-06-04,00:00,112
2026-06-05,00:00,155
2026-06-08,00:00,607
2026-06-09,00:00,100
2026-06-10,00:00,389
2026-06-11,00:00,334
2026-06-12,00:00,42
2026-06-15,00:00,65
2026-06-16,00:00,95
2026-06-17,00:00,95
2026-06-18,00:00,86
2026-06-19,00:00,125
2026-06-22,00:00,95
2026-06-23,00:00,279
2026-06-24,00:00,140
2026-06-25,00:00,286
2026-06-29,00:00,299
2026-06-30,00:00,110
2026-07-01,00:00,123
2026-07-02,00:00,88
2026-07-03,00:00,128
2026-07-06,00:00,178
2026-07-07,00:00,236
2026-07-08,00:00,686
2026-07-09,00:00,55
2026-07-10,00:00,57
2026-07-13,00:00,105
2026-07-14,00:00,221
2026-07-15,00:00,116
2026-07-16,00:00,120
2026-07-17,00:00,218
2026-07-20,00:00,124
2026-07-21,00:00,91
2026-07-22,00:00,273
2026-07-23,00:00,198
2026-07-24,00:00,118
2026-07-27,00:00,117
2026-07-28,00:00,272
2026-07-29,00:00,106
2026-07-30,00:00,201
2026-07-31,00:00,106
2026-08-03,00:00,101
2026-08-04,00:00,130
2026-08-05,00:00,118
2026-08-06,00:00,156
2026-08-07,00:00,182
2026-08-10,00:00,233
2026-08-11,00:00,191
2026-08-12,00:00,242
2026-08-13,00:00,187
2026-08-14,00:00,208
2026-08-17,00:00,232
2026-08-18,00:00,143
2026-08-19,00:00,200
2026-08-20,00:00,122
2026-08-21,00:00,108
2026-08-24,00:00,196
2026-08-25,00:00,173
2026-08-26,00:00,104
2026-08-27,00:00,204
2026-08-28,00:00,112
2026-08-31,00:00,324
2026-09-01,00:00,275
2026-09-02,00:00,187
2026-09-03,00:00,91
2026-09-04,00:00,120
