date,time,advance,decline
2026-09-04,15:29,54.686,44.2618
2026-09-07,15:29,38.8615,60.0856
2026-09-08,15:29,45.5113,53.4364
2026-09-09,15:29,36.5669,62.3808
2026-09-10,15:29,36.8542,62.0928
