date,time,group,sector,market cap,1 week %,vol > yr avg
2026-09-04,15:29,SHREEJISPG,transportation,midcap,4.2376,2.1675
2026-09-04,15:29,SIGMAADV,aerospace & defence,midcap,-1.8916,0.4187
2026-09-04,15:29,SMLMAH,auto,midcap,21.4403,4.1245
2026-09-04,15:29,SOTL,energy,midcap,6.8595,0.8968
2026-09-04,15:29,SPORTKING,textiles,smallcap,2.8169,0.7235
2026-09-04,15:29,SSWL,auto,midcap,22.4535,1.5943
2026-09-04,15:29,SWANDEF,transportation,midcap,2.6516,0.1332
2026-09-04,15:29,SYNCOMF,healthcare,smallcap,5.7554,6.0491
2026-09-04,15:29,TBZ,consumer discretionary,smallcap,59.3802,2.8069
2026-09-04,15:29,TEJASNET,telecom,midcap,11.6332,4.249
2026-09-04,15:29,TFCILTD,financials,midcap,1.9354,0.8996
2026-09-04,15:29,UEL,power & utilities,smallcap,27.6079,1.4864
2026-09-04,15:29,UFLEX,industrials,smallcap,6.5027,0.8964
2026-09-04,15:29,UNIMECH,aerospace & defence,midcap,-0.0266,1.595
2026-09-04,15:29,UNIPARTS,industrials,smallcap,0.1031,1.5113
2026-09-04,15:29,UNITEDPOLY,textiles,smallcap,7.3711,1.5776
2026-09-04,15:29,VALIANTLAB,healthcare,smallcap,6.3422,0.9169
2026-09-04,15:29,VINDHYATEL,realty,smallcap,5.6933,1.5993
2026-09-04,15:29,WELCORP,industrials,largecap,9.133,1.3249
2026-09-04,15:29,WHEELS,auto,smallcap,11.4493,2.6143
2026-09-04,15:29,ZIMLAB,healthcare,smallcap,0.0319,0.5499
2026-09-07,15:29,ACMESOLAR,realty,largecap,-1.1603,0.8237
2026-09-07,15:29,AEROENTER,metals & mining,smallcap,9.1108,5.9366
2026-09-07,15:29,ANTELOPUS,energy,smallcap,2.941,6.5034
2026-09-07,15:29,APCOTEXIND,chemicals,smallcap,-0.6137,0.8438
2026-09-07,15:29,ASIANENE,energy,smallcap,-1.0919,1.1602
