date,time,group,changeinpercentage
2026-09-04,15:29,CANHLIFE,1.8923
2026-09-04,15:29,CANTABIL,2.2335
2026-09-04,15:29,CAPACITE,3.514
2026-09-04,15:29,CAPILLARY,2.0831
2026-09-04,15:29,CAPTRUST,1.417
2026-09-04,15:29,CARBORUNIV,4.8794
2026-09-04,15:29,CARERATING,1.7443
2026-09-04,15:29,CASTROLIND,2.0652
2026-09-04,15:29,CCAVENUE,1.9481
2026-09-04,15:29,CEIGALL,2.3738
2026-09-04,15:29,CELEBRITY,0.8902
2026-09-04,15:29,CENTRALBK,1.0075
2026-09-04,15:29,CERA,1.8299
2026-09-04,15:29,CEREBRAINT,3.4615
2026-09-04,15:29,CFEL,1.3417
2026-09-04,15:29,CGCL,3.018
2026-09-04,15:29,CHEMPLASTS,1.9517
2026-09-04,15:29,CHENNPETRO,0.8472
2026-09-04,15:29,CHEVIOT,1.426
2026-09-04,15:29,CHOICEGOLD,1.0057
2026-09-04,15:29,CHOLAHLDNG,1.5238
2026-09-04,15:29,CINELINE,6.0114
2026-09-04,15:29,CLCIND,3.2174
2026-09-04,15:29,CLEANMAX,3.7884
2026-09-04,15:29,CMPDI,1.7775
2026-09-04,15:29,COCHINSHIP,0.8341
2026-09-04,15:29,COCKERILL,1.4047
2026-09-04,15:29,COFFEEDAY,4.984
2026-09-04,15:29,COMMOIETF,0.9255
2026-09-04,15:29,COMPEAU,2.764
2026-09-04,15:29,COMPINFO,1.8692
2026-09-04,15:29,COMPUSOFT,1.0085
2026-09-04,15:29,CONSOFINVT,4.9891
2026-09-04,15:29,CORALFINAC,1.609
2026-09-04,15:29,CORDELIA,1.9927
2026-09-04,15:29,CORDSCABLE,4.655
2026-09-04,15:29,CPCAP,8.4784
2026-09-04,15:29,CPEDU,1.1646
2026-09-04,15:29,CRAFTSMAN,1.5865
2026-09-04,15:29,CRAVATEX,0.8416
2026-09-04,15:29,CREATIVEYE,0.9788
2026-09-04,15:29,CRISIL,0.8887
2026-09-04,15:29,CROMPTON,2.6003
2026-09-04,15:29,CROWN,0.9302
2026-09-04,15:29,CRSL,4.5977
2026-09-04,15:29,CSBBANK,1.1079
2026-09-04,15:29,CSLFINANCE,3.2437
2026-09-04,15:29,CTE,1.9254
2026-09-04,15:29,CUB,0.704
2026-09-04,15:29,CUPID,1.1431
2026-09-04,15:29,CURAA,9.4562
2026-09-04,15:29,CYBERMEDIA,10.5528
2026-09-04,15:29,CYBERTECH,0.8241
2026-09-04,15:29,CYIENTDLM,2.4386
2026-09-04,15:29,DBCORP,0.965
2026-09-04,15:29,DBEIL,4.7231
2026-09-04,15:29,DCMFINSERV,2.1611
2026-09-04,15:29,DCMNVL,1.6041
2026-09-04,15:29,DECCANCE,0.8139
2026-09-04,15:29,DEEDEV,1.9121
2026-09-04,15:29,DEEPINDS,5.585
2026-09-04,15:29,DELPHIFX,1.6835
2026-09-04,15:29,DELTAMAGNT,2.0444
2026-09-04,15:29,DENTA,1.8306
2026-09-04,15:29,DEVX,3.6103
2026-09-04,15:29,DEVYANI,0.891
2026-09-04,15:29,DGCONTENT,1.6373
2026-09-04,15:29,DIACABS,2.7563
2026-09-04,15:29,DICIND,5.9247
