date,time,group,column1,std deviation,annual std dev,roc
2026-09-04,15:29,ALKYLAMINE,2844.1163,2.9102,40.2495,-2.5415
2026-09-04,15:29,ALPHAGEO,770.7518,3.9866,53.1354,28.3438
2026-09-04,15:29,AMAGI,1163.7559,3.2892,1.7e+308,1.7e+308
2026-09-04,15:29,AMANTA,582.7772,2.9625,1.7e+308,1.7e+308
2026-09-04,15:29,AMBER,11836.0145,2.5566,40.7001,-4.0996
2026-09-04,15:29,AMBIKCO,2628.9164,2.3064,35.39,11.701
2026-09-04,15:29,ANANDRATHI,4565.7183,1.1523,22.0689,50.6441
2026-09-04,15:29,ANANTRAJ,769.3256,2.7429,46.0135,16.8519
2026-09-04,15:29,ANDHRSUGAR,195.7268,3.0816,38.2717,29.7562
2026-09-04,15:29,ANGELONE,299.4818,2.447,41.9611,30.5294
2026-09-04,15:29,ANTELOPUS,2804.1154,3.7868,67.3228,69.5722
2026-09-04,15:29,ANTHEM,2016.4945,1.6622,31.1718,12.5633
2026-09-04,15:29,AONELIQUID,192.8125,0.012,0.2081,4.9936
2026-09-04,15:29,APARINDS,64423.6411,2.903,45.9675,124.0643
2026-09-04,15:29,APCOTEXIND,1755.0915,3.3872,42.9142,58.9147
2026-09-04,15:29,APEX,694.5945,3.0391,67.0942,71.8349
2026-09-04,15:29,APLAPOLLO,1549.8142,1.6923,26.834,35.1595
2026-09-04,15:29,APLLTD,270.706,1.7669,27.1947,-14.6117
2026-09-04,15:29,APOLLO,1032.5892,3.6762,58.6997,27.6337
2026-09-04,15:29,APOLLOHOSP,11454.6077,1.1042,17.9947,10.8335
2026-09-04,15:29,APOLLOPIPE,2065.1781,2.9004,48.2646,50.0186
2026-09-04,15:29,ARE&M,204.6573,2.5332,31.7815,-15.1331
2026-09-04,15:29,ARIES,1237.5567,2.7088,45.2344,20.8993
2026-09-04,15:29,ARIHANT,5616.9131,217.8116,2177.0286,3645.1866
2026-09-04,15:29,ARMANFIN,2835.4345,2.7563,41.8476,42.7497
