date,time,% below rsi 50,% above rsi 50
2022-06-06,00:00,0.7298,0.2445
2022-06-13,00:00,0.8437,0.1312
2022-06-20,00:00,0.8153,0.1602
2022-06-27,00:00,0.784,0.1925
2022-07-04,00:00,0.7068,0.2718
2022-07-11,00:00,0.68,0.3002
2022-07-18,00:00,0.5366,0.4485
2022-07-25,00:00,0.5238,0.4618
2022-08-01,00:00,0.4773,0.5083
2022-08-08,00:00,0.4576,0.528
2022-08-16,00:00,0.4103,0.5748
2022-08-22,00:00,0.3694,0.6157
2022-08-29,00:00,0.3464,0.6398
2022-09-05,00:00,0.2837,0.7041
2022-09-12,00:00,0.3242,0.6584
2022-09-19,00:00,0.3891,0.5936
2022-09-26,00:00,0.4706,0.5116
2022-10-03,00:00,0.4045,0.5771
2022-10-10,00:00,0.4982,0.4825
2022-10-17,00:00,0.5081,0.4736
2022-10-24,00:00,0.4793,0.5018
2022-10-31,00:00,0.4285,0.5527
2022-11-07,00:00,0.4391,0.5411
2022-11-14,00:00,0.4815,0.5003
2022-11-21,00:00,0.4507,0.5286
2022-11-28,00:00,0.3746,0.6017
2022-12-05,00:00,0.3948,0.5799
2022-12-12,00:00,0.4088,0.5665
2022-12-19,00:00,0.6674,0.308
2022-12-26,00:00,0.4588,0.5156
2023-01-02,00:00,0.4742,0.5018
2023-01-09,00:00,0.4703,0.5046
2023-01-16,00:00,0.4882,0.4857
2023-01-23,00:00,0.6229,0.3531
2023-01-30,00:00,0.6316,0.3444
2023-02-06,00:00,0.5837,0.3929
2023-02-13,00:00,0.6168,0.3607
2023-02-20,00:00,0.7059,0.2737
2023-02-27,00:00,0.6734,0.3087
2023-03-06,00:00,0.6807,0.303
2023-03-13,00:00,0.7444,0.2404
2023-03-20,00:00,0.7698,0.2155
2023-03-27,00:00,0.7511,0.2352
2023-04-03,00:00,0.6356,0.3502
2023-04-10,00:00,0.5436,0.4223
2023-04-17,00:00,0.5307,0.4356
2023-04-24,00:00,0.4545,0.5318
2023-05-02,00:00,0.4179,0.5665
2023-05-08,00:00,0.3911,0.5927
2023-05-15,00:00,0.4068,0.5761
2023-05-22,00:00,0.379,0.6029
2023-05-29,00:00,0.3383,0.6461
2023-06-05,00:00,0.2932,0.6912
2023-06-12,00:00,0.2413,0.7423
2023-06-19,00:00,0.2905,0.6911
2023-06-26,00:00,0.2671,0.716
2023-07-03,00:00,0.2365,0.7457
2023-07-10,00:00,0.2583,0.7232
2023-07-17,00:00,0.2392,0.742
2023-07-24,00:00,0.2499,0.7338
2023-07-31,00:00,0.2198,0.7635
2023-08-07,00:00,0.2347,0.7475
2023-08-14,00:00,0.2639,0.7189
2023-08-21,00:00,0.2274,0.7549
2023-08-28,00:00,0.1658,0.8146
2023-09-04,00:00,0.128,0.851
2023-09-11,00:00,0.1454,0.8321
2023-09-18,00:00,0.1803,0.7992
2023-09-25,00:00,0.1791,0.7981
2023-10-03,00:00,0.1749,0.7999
2023-10-09,00:00,0.173,0.8014
2023-10-16,00:00,0.1893,0.7861
2023-10-23,00:00,0.3351,0.6408
2023-10-30,00:00,0.2865,0.6883
2023-11-06,00:00,0.2301,0.7448
2023-11-13,00:00,0.2186,0.7569
2023-11-20,00:00,0.2031,0.7733
2023-11-28,00:00,0.1843,0.794
2023-12-04,00:00,0.1577,0.8207
2023-12-11,00:00,0.1344,0.8455
2023-12-18,00:00,0.1593,0.8215
2023-12-26,00:00,0.1375,0.8396
2024-01-01,00:00,0.1003,0.8769
2024-01-08,00:00,0.0983,0.8817
2024-01-15,00:00,0.1246,0.8559
2024-01-23,00:00,0.1688,0.8099
2024-01-29,00:00,0.145,0.8333
2024-02-05,00:00,0.1856,0.7917
2024-02-12,00:00,0.2077,0.7715
2024-02-19,00:00,0.2045,0.7702
2024-02-26,00:00,0.2396,0.7351
2024-03-04,00:00,0.321,0.6537
2024-03-11,00:00,0.5313,0.4416
2024-03-18,00:00,0.4755,0.4956
2024-03-26,00:00,0.4933,0.4788
2024-04-01,00:00,0.2562,0.7201
2024-04-08,00:00,0.2937,0.6817
2024-04-15,00:00,0.369,0.6056
2024-04-22,00:00,0.2668,0.7087
2024-04-29,00:00,0.2882,0.6878
2024-05-06,00:00,0.4359,0.5415
2024-05-13,00:00,0.3207,0.6585
2024-05-21,00:00,0.357,0.6255
2024-05-27,00:00,0.4673,0.5161
2024-06-03,00:00,0.371,0.6133
2024-06-10,00:00,0.239,0.7459
2024-06-18,00:00,0.2126,0.7736
2024-06-24,00:00,0.2396,0.7494
2024-07-01,00:00,0.1707,0.8165
2024-07-08,00:00,0.2005,0.7862
2024-07-15,00:00,0.272,0.713
2024-07-22,00:00,0.1912,0.7938
2024-07-29,00:00,0.1865,0.798
2024-08-05,00:00,0.2796,0.7049
2024-08-12,00:00,0.322,0.6603
2024-08-19,00:00,0.2171,0.7648
2024-08-26,00:00,0.2188,0.7622
2024-09-02,00:00,0.2647,0.7151
2024-09-09,00:00,0.2332,0.7444
2024-09-16,00:00,0.2719,0.7017
2024-09-23,00:00,0.2763,0.6987
2024-09-30,00:00,0.3519,0.6223
2024-10-07,00:00,0.353,0.6207
2024-10-14,00:00,0.3776,0.5971
2024-10-21,00:00,0.6245,0.3498
2024-10-28,00:00,0.4408,0.5322
2024-11-04,00:00,0.4812,0.4918
2024-11-11,00:00,0.6606,0.3129
2024-11-18,00:00,0.6392,0.3326
2024-11-25,00:00,0.4927,0.4575
2024-12-02,00:00,0.35,0.6015
2024-12-09,00:00,0.3599,0.593
2024-12-16,00:00,0.5171,0.4379
2024-12-23,00:00,0.538,0.4163
2024-12-30,00:00,0.4851,0.4685
2025-01-06,00:00,0.6624,0.2921
2025-01-13,00:00,0.6723,0.283
2025-01-20,00:00,0.7319,0.2228
2025-01-27,00:00,0.7431,0.2124
2025-02-03,00:00,0.722,0.2446
2025-02-10,00:00,0.8479,0.1226
2025-02-17,00:00,0.8438,0.1288
2025-02-24,00:00,0.8727,0.0987
2025-03-03,00:00,0.8459,0.1327
2025-03-10,00:00,0.8599,0.1183
2025-03-17,00:00,0.7719,0.2055
2025-03-24,00:00,0.7678,0.2105
2025-04-01,00:00,0.7849,0.1934
2025-04-07,00:00,0.7864,0.1936
2025-04-15,00:00,0.6654,0.3146
2025-04-21,00:00,0.6596,0.3217
2025-04-28,00:00,0.6988,0.2829
2025-05-05,00:00,0.7356,0.2466
2025-05-12,00:00,0.4535,0.5315
2025-05-19,00:00,0.4293,0.5557
2025-05-26,00:00,0.4145,0.5714
2025-06-02,00:00,0.3814,0.6033
2025-06-09,00:00,0.3719,0.6125
2025-06-16,00:00,0.4428,0.5399
2025-06-23,00:00,0.3444,0.6388
2025-06-30,00:00,0.3181,0.6675
2025-07-07,00:00,0.3491,0.6325
2025-07-14,00:00,0.3184,0.6616
2025-07-21,00:00,0.4152,0.5649
2025-07-28,00:00,0.5142,0.4647
2025-08-04,00:00,0.5931,0.3834
2025-08-11,00:00,0.565,0.4095
2025-08-18,00:00,0.503,0.4704
2025-08-25,00:00,0.6136,0.3591
2025-09-01,00:00,0.5088,0.4631
2025-09-08,00:00,0.458,0.5136
2025-09-15,00:00,0.3951,0.5761
2025-09-22,00:00,0.5651,0.4058
2025-09-29,00:00,0.501,0.4673
2025-10-06,00:00,0.4959,0.4721
2025-10-13,00:00,0.5317,0.4341
2025-10-20,00:00,0.4969,0.4675
2025-10-27,00:00,0.491,0.4749
