date,time,group,sector,market cap,1 week %,vol > yr avg
2026-09-04,15:29,INDOTECH,industrials,smallcap,-2.5019,0.1973
2026-09-04,15:29,INDSWFTLAB,healthcare,smallcap,-1.9205,0.855
2026-09-04,15:29,INNOVACAP,healthcare,midcap,11.4018,4.7268
2026-09-04,15:29,INOXINDIA,industrials,largecap,5.7191,4.8172
2026-09-04,15:29,IOLCP,healthcare,midcap,2.5648,1.5329
2026-09-04,15:29,IRISDOREME,consumer discretionary,smallcap,8.3135,4.5125
2026-09-04,15:29,IVP,chemicals,smallcap,6.2549,0.6832
2026-09-04,15:29,JGCHEM,chemicals,smallcap,-8.1606,0.9243
2026-09-04,15:29,JINDALSAW,industrials,midcap,-1.0694,0.2054
2026-09-04,15:29,JTLIND,metals & mining,smallcap,2.0029,0.7077
2026-09-04,15:29,KABRAEXTRU,industrials,smallcap,-4.0348,1.3011
2026-09-04,15:29,KAMDHENU,metals & mining,smallcap,8.4877,0.8776
2026-09-04,15:29,KANORICHEM,chemicals,smallcap,-2.3171,0.5
2026-09-04,15:29,KAPSTON,miscellaneous,smallcap,4.4438,1.8178
2026-09-04,15:29,KDDL,consumer discretionary,smallcap,-0.6579,0.8458
2026-09-04,15:29,KENNAMET,industrials,midcap,2.3623,1.1561
2026-09-04,15:29,KMEW,transportation,midcap,-0.6062,0.5564
2026-09-04,15:29,KOPRAN,healthcare,smallcap,15.2557,1.6298
2026-09-04,15:29,KOVAI,healthcare,midcap,0.4973,0.3203
2026-09-04,15:29,KRISHANA,chemicals,smallcap,-4.5513,0.5097
2026-09-04,15:29,KRN,industrials,midcap,-1.9258,0.6449
2026-09-04,15:29,KRONOX,chemicals,smallcap,2.8398,0.3804
2026-09-04,15:29,KTKBANK,bank,midcap,2.9514,0.5209
2026-09-04,15:29,LAURUSLABS,healthcare,largecap,-5.0812,0.509
2026-09-04,15:29,LOKESHMACH,industrials,smallcap,16.6907,0.8123
2026-09-04,15:29,LUMAXTECH,auto,midcap,-1.6923,0.3089
2026-09-04,15:29,MACPOWER,industrials,smallcap,-5.0919,1.193
2026-09-04,15:29,MAHASTEEL,metals & mining,smallcap,-3.5497,0.4924
2026-09-04,15:29,MANAKSTEEL,metals & mining,smallcap,13.1976,2.5726
2026-09-04,15:29,MANINDS,metals & mining,midcap,2.649,0.604
2026-09-04,15:29,MANORAMA,fmcg,midcap,5.5044,2.5143
2026-09-04,15:29,MARALOVER,textiles,smallcap,9.1439,10.908
2026-09-04,15:29,MARINE,industrials,midcap,6.2316,1.2621
2026-09-04,15:29,MARKSANS,healthcare,midcap,-0.8948,0.8616
2026-09-04,15:29,MAWANASUG,fmcg,smallcap,-1.6966,1.3631
2026-09-04,15:29,MBAPL,chemicals,smallcap,1.9516,0.8942
2026-09-04,15:29,MENONBE,auto,smallcap,12.9225,1.9099
2026-09-04,15:29,MMFL,industrials,smallcap,-1.8077,1.014
2026-09-04,15:29,MMP,metals & mining,smallcap,-0.0618,2.8845
2026-09-04,15:29,MODISONLTD,industrials,smallcap,13.8445,3.5318
2026-09-04,15:29,MOREPENLAB,healthcare,midcap,7.1099,2.083
2026-09-04,15:29,MSTCLTD,i.t,midcap,0.6236,0.3078
2026-09-04,15:29,NAHARSPING,textiles,smallcap,0.4854,1.3069
2026-09-04,15:29,NAVINFLUOR,chemicals,largecap,0.4696,0.6059
2026-09-04,15:29,NEOGEN,chemicals,midcap,-3.2537,0.5617
2026-09-04,15:29,NETWEB,i.t,largecap,-2.4404,0.8852
2026-09-04,15:29,NEULANDLAB,healthcare,largecap,-2.3486,0.3641
2026-09-04,15:29,NIACL,financials,largecap,23.382,20.7015
2026-09-04,15:29,NILKAMAL,plastic products,smallcap,2.1526,0.543
2026-09-04,15:29,NITINSPIN,textiles,smallcap,2.0195,0.2234
2026-09-04,15:29,NOVARTIND,healthcare,smallcap,10.7919,0.7449
2026-09-04,15:29,NRBBEARING,industrials,smallcap,-4.8227,0.4298
2026-09-04,15:29,NRL,services,smallcap,1.536,1.4173
2026-09-04,15:29,OAL,chemicals,smallcap,6.5806,5.8401
2026-09-04,15:29,OCCLLTD,chemicals,smallcap,3.5893,0.488
2026-09-04,15:29,OFSS,i.t,largecap,-1.0829,0.7117
2026-09-04,15:29,OMAXE,realty,smallcap,3.5221,3.8155
2026-09-04,15:29,PAISALO,financials,midcap,9.6803,2.9169
2026-09-04,15:29,PANACHE,i.t,smallcap,-0.9808,0.1563
2026-09-04,15:29,PANAMAPET,energy,smallcap,6.5026,0.7008
