date,time,oversold,overbought
2023-07-24,00:00,15,479
2023-07-31,00:00,13,463
2023-08-07,00:00,11,430
2023-08-14,00:00,14,398
2023-08-21,00:00,17,432
2023-08-28,00:00,9,534
2023-09-04,00:00,8,635
2023-09-11,00:00,7,513
2023-09-18,00:00,9,342
2023-09-25,00:00,15,375
2023-10-03,00:00,15,372
2023-10-09,00:00,9,407
2023-10-16,00:00,10,374
2023-10-23,00:00,14,191
2023-10-30,00:00,14,235
2023-11-06,00:00,13,328
2023-11-13,00:00,11,393
2023-11-20,00:00,10,405
2023-11-28,00:00,8,454
2023-12-04,00:00,11,510
2023-12-11,00:00,11,588
2023-12-18,00:00,12,525
2023-12-26,00:00,4,543
2024-01-01,00:00,3,647
2024-01-08,00:00,4,720
2024-01-15,00:00,7,673
2024-01-23,00:00,9,586
2024-01-29,00:00,7,692
2024-02-05,00:00,16,624
2024-02-12,00:00,17,545
2024-02-19,00:00,11,573
2024-02-26,00:00,18,504
2024-03-04,00:00,30,379
2024-03-11,00:00,74,149
2024-03-18,00:00,56,165
2024-03-26,00:00,94,209
2024-04-01,00:00,10,305
2024-04-08,00:00,6,289
2024-04-15,00:00,12,217
2024-04-22,00:00,14,304
2024-04-29,00:00,11,313
2024-05-06,00:00,14,188
2024-05-13,00:00,13,272
2024-05-21,00:00,15,271
2024-05-27,00:00,22,211
2024-06-03,00:00,19,256
2024-06-10,00:00,11,367
2024-06-18,00:00,10,383
2024-06-24,00:00,9,402
2024-07-01,00:00,9,517
2024-07-08,00:00,12,461
2024-07-15,00:00,15,307
2024-07-22,00:00,9,406
2024-07-29,00:00,13,415
2024-08-05,00:00,13,321
2024-08-12,00:00,15,308
2024-08-19,00:00,8,434
2024-08-26,00:00,4,427
2024-09-02,00:00,9,367
2024-09-09,00:00,8,433
2024-09-16,00:00,15,395
2024-09-23,00:00,13,386
2024-09-30,00:00,12,194
2024-10-07,00:00,17,208
2024-10-14,00:00,23,210
2024-10-21,00:00,65,90
2024-10-28,00:00,23,129
2024-11-04,00:00,22,126
2024-11-11,00:00,50,86
2024-11-18,00:00,69,89
2024-11-25,00:00,31,117
2024-12-02,00:00,17,150
2024-12-09,00:00,17,166
2024-12-16,00:00,32,120
2024-12-23,00:00,34,99
2024-12-30,00:00,23,145
2025-01-06,00:00,54,65
2025-01-13,00:00,50,53
2025-01-20,00:00,89,42
2025-01-27,00:00,88,42
2025-02-03,00:00,100,85
2025-02-10,00:00,316,73
2025-02-17,00:00,290,75
2025-02-24,00:00,531,43
2025-03-03,00:00,238,71
2025-03-10,00:00,369,62
2025-03-17,00:00,163,79
2025-03-24,00:00,257,76
2025-04-01,00:00,155,63
2025-04-07,00:00,158,63
2025-04-15,00:00,72,82
2025-04-21,00:00,53,82
2025-04-28,00:00,64,77
2025-05-05,00:00,76,70
2025-05-12,00:00,20,80
2025-05-19,00:00,15,99
2025-05-26,00:00,18,108
2025-06-02,00:00,13,141
2025-06-09,00:00,12,137
2025-06-16,00:00,15,122
2025-06-23,00:00,14,134
2025-06-30,00:00,16,160
2025-07-07,00:00,18,129
2025-07-14,00:00,14,160
2025-07-21,00:00,16,124
2025-07-28,00:00,23,113
2025-08-04,00:00,28,109
2025-08-11,00:00,35,92
2025-08-18,00:00,18,109
2025-08-25,00:00,29,98
2025-09-01,00:00,17,147
2025-09-08,00:00,19,145
2025-09-15,00:00,15,172
2025-09-22,00:00,26,137
2025-09-29,00:00,24,154
2025-10-06,00:00,31,155
2025-10-13,00:00,34,140
2025-10-20,00:00,28,126
2025-10-27,00:00,31,134
2025-11-03,00:00,55,128
2025-11-10,00:00,77,162
2025-11-17,00:00,98,116
2025-11-24,00:00,109,146
2025-12-01,00:00,176,140
2025-12-08,00:00,164,106
2025-12-15,00:00,166,112
2025-12-22,00:00,123,115
2025-12-29,00:00,106,157
2026-01-05,00:00,200,105
2026-01-12,00:00,253,124
2026-01-19,00:00,471,88
2026-01-27,00:00,378,79
2026-02-02,00:00,218,85
2026-02-09,00:00,199,94
2026-02-16,00:00,221,124
2026-02-23,00:00,301,123
2026-03-02,00:00,456,81
2026-03-09,00:00,608,61
2026-03-16,00:00,613,34
2026-03-23,00:00,855,35
2026-03-30,00:00,544,39
2026-04-06,00:00,65,66
2026-04-13,00:00,22,99
2026-04-20,00:00,29,97
2026-04-27,00:00,22,120
2026-05-04,00:00,22,173
2026-05-11,00:00,29,123
2026-05-18,00:00,29,145
2026-05-25,00:00,35,164
2026-06-01,00:00,32,168
2026-06-08,00:00,38,164
2026-06-15,00:00,26,204
2026-06-22,00:00,33,186
2026-06-29,00:00,26,235
2026-07-06,00:00,30,219
2026-07-13,00:00,32,192
2026-07-20,00:00,46,170
2026-07-27,00:00,48,190
2026-08-03,00:00,48,264
2026-08-10,00:00,60,245
2026-08-17,00:00,60,265
2026-08-24,00:00,67,247
2026-08-31,00:00,78,258
