date,time,group,% change
2026-09-09,15:29,NIFTY500,-1.2703
2026-09-09,15:29,NIFTYAUTO,-0.2077
2026-09-09,15:29,NIFTYCHEMICALS,-0.0151
2026-09-09,15:29,NIFTYCOMMODITIES,-0.6656
2026-09-09,15:29,NIFTYCONSUMPTION,-0.5695
2026-09-09,15:29,NIFTYFINSERVICE,-2.588
2026-09-09,15:29,NIFTYFMCG,-1.2714
2026-09-09,15:29,NIFTYHEALTHCARE,1.055
2026-09-09,15:29,NIFTYHOUSING,1.7e+308
2026-09-09,15:29,NIFTYINDDEFENCE,1.8875
2026-09-09,15:29,NIFTYLARGEMID250,-1.1744
2026-09-09,15:29,NIFTYMEDIA,-2.4913
2026-09-09,15:29,NIFTYMETAL,0.5553
2026-09-09,15:29,NIFTYMICROCAP250,0.7901
2026-09-09,15:29,NIFTYMIDCAP150,-0.7657
2026-09-09,15:29,NIFTYMIDCAP50,-0.7373
2026-09-09,15:29,NIFTYMIDSELECT,-0.7425
2026-09-09,15:29,NIFTYMIDSMALLCAP400,-0.5934
2026-09-09,15:29,NIFTYOILANDGAS,-1.4181
2026-09-09,15:29,NIFTYPSUBANK,-1.7105
2026-09-09,15:29,NIFTYPVTBANK,-2.193
2026-09-09,15:29,NIFTYSMALLCAP250,-0.2676
2026-09-09,15:29,NIFTYSMALLCAP50,-0.0115
2026-09-09,15:29,NIFTYTOTALMKT,-1.1758
2026-09-10,15:29,BANKNIFTY,-1.5648
2026-09-10,15:29,CNXENERGY,0.4086
2026-09-10,15:29,CNXINFRA,-0.6996
2026-09-10,15:29,CNXIT,-5.878
2026-09-10,15:29,CNXPHARMA,0.2936
2026-09-10,15:29,CNXREALTY,-3.9487
2026-09-10,15:29,CNXSMALLCAP,-0.3658
2026-09-10,15:29,INDIAVIX,10.4869
2026-09-10,15:29,NIFTY,-1.7571
2026-09-10,15:29,NIFTY100,-1.519
2026-09-10,15:29,NIFTY200,-1.4426
2026-09-10,15:29,NIFTY500,-1.2978
2026-09-10,15:29,NIFTYAUTO,-0.6133
2026-09-10,15:29,NIFTYCHEMICALS,-0.0448
2026-09-10,15:29,NIFTYCOMMODITIES,-0.9583
2026-09-10,15:29,NIFTYCONSUMPTION,-0.7152
2026-09-10,15:29,NIFTYFINSERVICE,-2.0372
2026-09-10,15:29,NIFTYFMCG,-1.5409
2026-09-10,15:29,NIFTYHEALTHCARE,0.6741
2026-09-10,15:29,NIFTYHOUSING,1.7e+308
2026-09-10,15:29,NIFTYINDDEFENCE,0.8946
2026-09-10,15:29,NIFTYLARGEMID250,-1.3269
2026-09-10,15:29,NIFTYMEDIA,-1.9579
2026-09-10,15:29,NIFTYMETAL,-0.0939
2026-09-10,15:29,NIFTYMICROCAP250,0.594
2026-09-10,15:29,NIFTYMIDCAP150,-1.1399
2026-09-10,15:29,NIFTYMIDCAP50,-1.098
2026-09-10,15:29,NIFTYMIDSELECT,-1.2597
2026-09-10,15:29,NIFTYMIDSMALLCAP400,-0.8357
2026-09-10,15:29,NIFTYOILANDGAS,-1.41
2026-09-10,15:29,NIFTYPSUBANK,-1.3271
2026-09-10,15:29,NIFTYPVTBANK,-1.8638
2026-09-10,15:29,NIFTYSMALLCAP250,-0.2597
2026-09-10,15:29,NIFTYSMALLCAP50,-0.1362
2026-09-10,15:29,NIFTYTOTALMKT,-1.2112
2026-09-11,15:29,BANKNIFTY,-1.3301
2026-09-11,15:29,CNXENERGY,-0.3485
2026-09-11,15:29,CNXINFRA,-1.3117
2026-09-11,15:29,CNXIT,-5.7783
2026-09-11,15:29,CNXPHARMA,0.2051
2026-09-11,15:29,CNXREALTY,-6.5426
2026-09-11,15:29,CNXSMALLCAP,-0.9413
2026-09-11,15:29,INDIAVIX,15.0749
2026-09-11,15:29,NIFTY,-2.0906
2026-09-11,15:29,NIFTY100,-1.9046
2026-09-11,15:29,NIFTY200,-1.8018
2026-09-11,15:29,NIFTY500,-1.667
2026-09-11,15:29,NIFTYAUTO,-1.4666
2026-09-11,15:29,NIFTYCHEMICALS,-1.0624
2026-09-11,15:29,NIFTYCOMMODITIES,-2.2853
2026-09-11,15:29,NIFTYCONSUMPTION,-1.1821
2026-09-11,15:29,NIFTYFINSERVICE,-1.9408
2026-09-11,15:29,NIFTYFMCG,-1.8282
2026-09-11,15:29,NIFTYHEALTHCARE,0.5122
2026-09-11,15:29,NIFTYHOUSING,1.7e+308
2026-09-11,15:29,NIFTYINDDEFENCE,0.1545
2026-09-11,15:29,NIFTYLARGEMID250,-1.6407
2026-09-11,15:29,NIFTYMEDIA,-1.8046
2026-09-11,15:29,NIFTYMETAL,-2.3909
2026-09-11,15:29,NIFTYMICROCAP250,0.6971
2026-09-11,15:29,NIFTYMIDCAP150,-1.3834
2026-09-11,15:29,NIFTYMIDCAP50,-1.0922
2026-09-11,15:29,NIFTYMIDSELECT,-0.8764
2026-09-11,15:29,NIFTYMIDSMALLCAP400,-1.1698
2026-09-11,15:29,NIFTYOILANDGAS,-2.2404
2026-09-11,15:29,NIFTYPSUBANK,-1.9372
2026-09-11,15:29,NIFTYPVTBANK,-1.3963
2026-09-11,15:29,NIFTYSMALLCAP250,-0.7656
2026-09-11,15:29,NIFTYSMALLCAP50,-0.7116
2026-09-11,15:29,NIFTYTOTALMKT,-1.5584
