date,time,% above 200 ema,% below 200 ema,60%
2022-01-24,00:00,80,20,60
2022-01-31,00:00,81.9277,18.0723,60
2022-02-07,00:00,79.759,20.241,60
2022-02-14,00:00,77.4038,22.5962,60
2022-02-21,00:00,71.1538,28.8462,60
2022-02-28,00:00,69.2308,30.7692,60
2022-03-07,00:00,72.1154,27.8846,60
2022-03-14,00:00,73.5577,26.4423,60
2022-03-21,00:00,73.3173,26.6827,60
2022-03-28,00:00,75.5396,24.2206,60
2022-04-04,00:00,79.3765,20.6235,60
2022-04-11,00:00,79.1367,20.8633,60
2022-04-18,00:00,78.1775,21.8225,60
2022-04-25,00:00,77.458,22.542,60
2022-05-02,00:00,73.6211,26.3789,60
2022-05-09,00:00,67.8657,32.1343,60
2022-05-16,00:00,70.3349,29.6651,60
2022-05-23,00:00,67.7804,32.2196,60
2022-05-30,00:00,70.6161,29.3839,60
2022-06-06,00:00,68.4834,31.5166,60
2022-06-13,00:00,58.7678,41.2322,60
2022-06-20,00:00,62.3223,37.6777,60
2022-06-27,00:00,64.218,35.782,60
2022-07-04,00:00,68.7204,31.2796,60
2022-07-11,00:00,69.6682,30.3318,60
2022-07-18,00:00,73.4597,26.5403,60
2022-07-25,00:00,74.1706,25.8294,60
2022-08-01,00:00,74.8815,25.1185,60
2022-08-08,00:00,75.3555,24.6445,60
2022-08-16,00:00,76.7773,23.2227,60
2022-08-22,00:00,78.436,21.564,60
2022-08-29,00:00,78.9598,21.0402,60
2022-09-05,00:00,80.8511,19.1489,60
2022-09-12,00:00,78.9598,21.0402,60
2022-09-19,00:00,76.1229,23.8771,60
2022-09-26,00:00,74.4681,25.5319,60
2022-10-03,00:00,76.8322,23.1678,60
2022-10-10,00:00,74.2317,25.7683,60
2022-10-17,00:00,74.9409,25.0591,60
2022-10-24,00:00,76.4151,23.5849,60
2022-10-31,00:00,77.8302,22.1698,60
2022-11-07,00:00,77.5943,22.4057,60
2022-11-14,00:00,77.1226,22.8774,60
2022-11-21,00:00,78.4543,21.3115,60
2022-11-28,00:00,81.5421,18.4579,60
2022-12-05,00:00,80.1402,19.8598,60
2022-12-12,00:00,81.5421,18.4579,60
2022-12-19,00:00,74.7664,25.2336,60
2022-12-26,00:00,77.8037,22.1963,60
2023-01-02,00:00,77.8555,22.1445,60
2023-01-09,00:00,78.5548,21.4452,60
2023-01-16,00:00,77.8555,22.1445,60
2023-01-23,00:00,74.359,25.641,60
2023-01-30,00:00,72.7273,27.2727,60
2023-02-06,00:00,73.8928,26.1072,60
2023-02-13,00:00,72.4942,27.5058,60
2023-02-20,00:00,70.9302,28.8372,60
2023-02-27,00:00,73.7209,26.2791,60
2023-03-06,00:00,72.5581,27.4419,60
2023-03-13,00:00,70,30,60
2023-03-20,00:00,67.2093,32.7907,60
2023-03-27,00:00,67.907,32.093,60
2023-04-03,00:00,70.9302,29.0698,60
2023-04-10,00:00,71.1628,28.8372,60
2023-04-17,00:00,70.4651,29.5349,60
2023-04-24,00:00,74.6512,25.3488,60
2023-05-02,00:00,75.5814,24.4186,60
2023-05-08,00:00,76.9767,23.0233,60
2023-05-15,00:00,76.3341,23.6659,60
2023-05-22,00:00,78.4223,21.5777,60
2023-05-29,00:00,80.9745,19.0255,60
2023-06-05,00:00,80.7425,19.2575,60
2023-06-12,00:00,82.6389,17.3611,60
2023-06-19,00:00,81.25,18.75,60
2023-06-26,00:00,83.7963,16.2037,60
2023-07-03,00:00,85.1852,14.8148,60
2023-07-10,00:00,86.5741,13.4259,60
2023-07-17,00:00,86.3741,13.3949,60
2023-07-24,00:00,87.9908,12.0092,60
2023-07-31,00:00,88.4793,11.5207,60
2023-08-07,00:00,88.7097,11.2903,60
2023-08-14,00:00,88.0184,11.9816,60
2023-08-21,00:00,87.844,12.156,60
2023-08-28,00:00,89.2449,10.7551,60
2023-09-04,00:00,90.6178,9.3822,60
2023-09-11,00:00,90.389,9.611,60
2023-09-18,00:00,89.9314,10.0686,60
2023-09-25,00:00,89.4977,10.5023,60
2023-10-03,00:00,89.5692,10.2041,60
2023-10-09,00:00,89.3424,10.6576,60
2023-10-16,00:00,88.8889,11.1111,60
2023-10-23,00:00,86.8481,13.1519,60
2023-10-30,00:00,87.7273,12.2727,60
2023-11-06,00:00,88.4354,11.5646,60
2023-11-13,00:00,88.4615,11.5385,60
2023-11-20,00:00,88.6878,11.3122,60
2023-11-28,00:00,90.0452,9.9548,60
2023-12-04,00:00,91.2162,8.7838,60
2023-12-11,00:00,92.5676,7.4324,60
2023-12-18,00:00,92.1171,7.8829,60
2023-12-26,00:00,93.0337,6.9663,60
2024-01-01,00:00,94.382,5.618,60
2024-01-08,00:00,93.2584,6.7416,60
2024-01-15,00:00,92.3596,7.6404,60
2024-01-23,00:00,91.704,8.296,60
2024-01-29,00:00,91.9283,8.0717,60
2024-02-05,00:00,91.0314,8.9686,60
2024-02-12,00:00,91.2556,8.7444,60
2024-02-19,00:00,91.7226,8.2774,60
2024-02-26,00:00,91.2752,8.7248,60
2024-03-04,00:00,90.604,9.396,60
2024-03-11,00:00,87.6957,12.3043,60
2024-03-18,00:00,89.038,10.962,60
2024-03-26,00:00,88.5906,11.4094,60
2024-04-01,00:00,91.7226,8.2774,60
2024-04-08,00:00,92.17,7.83,60
2024-04-15,00:00,91.2946,8.7054,60
2024-04-22,00:00,92.1875,7.8125,60
2024-04-29,00:00,91.9822,8.0178,60
2024-05-06,00:00,90.8686,9.1314,60
2024-05-13,00:00,92,7.7778,60
2024-05-21,00:00,90.4867,9.5133,60
2024-05-27,00:00,89.8455,10.1545,60
2024-06-03,00:00,93.3775,6.6225,60
2024-06-10,00:00,94.4812,5.5188,60
2024-06-18,00:00,94.702,5.298,60
2024-06-24,00:00,94.702,5.298,60
2024-07-01,00:00,94.4812,5.5188,60
2024-07-08,00:00,94.9339,5.0661,60
2024-07-15,00:00,94.2857,5.7143,60
2024-07-22,00:00,95.3846,4.6154,60
2024-07-29,00:00,95.1648,4.8352,60
2024-08-05,00:00,93.8462,6.1538,60
2024-08-12,00:00,93.2018,6.7982,60
2024-08-19,00:00,93.6543,6.3457,60
2024-08-26,00:00,94.3107,5.6893,60
2024-09-02,00:00,94.7484,5.2516,60
2024-09-09,00:00,94.9782,5.0218,60
2024-09-16,00:00,94.3355,5.4466,60
2024-09-23,00:00,94.3355,5.6645,60
2024-09-30,00:00,94.1176,5.8824,60
2024-10-07,00:00,93.4641,6.5359,60
2024-10-14,00:00,93.2462,6.7538,60
2024-10-21,00:00,89.5425,10.4575,60
2024-10-28,00:00,91.5401,8.243,60
2024-11-04,00:00,91.1255,8.658,60
2024-11-11,00:00,88.0952,11.9048,60
2024-11-18,00:00,86.2661,13.7339,60
2024-11-25,00:00,90.5579,9.4421,60
2024-12-02,00:00,92.0771,7.9229,60
2024-12-09,00:00,91.0064,8.9936,60
2024-12-16,00:00,88.651,11.349,60
2024-12-23,00:00,88.535,11.465,60
2024-12-30,00:00,89.3843,10.6157,60
2025-01-06,00:00,85.7749,14.2251,60
2025-01-13,00:00,85.3503,14.6497,60
2025-01-20,00:00,83.8641,16.1359,60
2025-01-27,00:00,83.6864,16.3136,60
2025-02-03,00:00,84.778,15.222,60
2025-02-10,00:00,76.1099,23.8901,60
2025-02-17,00:00,75.8985,24.1015,60
2025-02-24,00:00,65.8228,34.1772,60
2025-03-03,00:00,74.0506,25.9494,60
2025-03-10,00:00,70.0422,29.9578,60
2025-03-17,00:00,79.1139,20.8861,60
2025-03-24,00:00,78.0591,21.9409,60
2025-04-01,00:00,75.3165,24.6835,60
2025-04-07,00:00,74.4726,25.5274,60
2025-04-15,00:00,79.3249,20.6751,60
2025-04-21,00:00,79.7468,20.2532,60
2025-04-28,00:00,78.903,21.097,60
2025-05-05,00:00,78.27,21.73,60
2025-05-12,00:00,85.6842,14.3158,60
2025-05-19,00:00,86.3158,13.6842,60
2025-05-26,00:00,87.3684,12.6316,60
2025-06-02,00:00,86.8201,12.7615,60
2025-06-09,00:00,86.6109,13.3891,60
2025-06-16,00:00,85.1464,14.8536,60
2025-06-23,00:00,86.4583,13.3333,60
2025-06-30,00:00,86.875,13.125,60
2025-07-07,00:00,87.3181,12.6819,60
2025-07-14,00:00,87.9668,11.8257,60
2025-07-21,00:00,86.1284,13.6646,60
2025-07-28,00:00,83.0228,16.9772,60
2025-08-04,00:00,81.7805,18.2195,60
2025-08-11,00:00,81.6116,18.3884,60
2025-08-18,00:00,84.1237,15.8763,60
2025-08-25,00:00,81.0309,18.9691,60
2025-09-01,00:00,83.7113,16.2887,60
2025-09-08,00:00,84.9485,15.0515,60
2025-09-15,00:00,85.9794,14.0206,60
2025-09-22,00:00,82.0988,17.9012,60
2025-09-29,00:00,84.1564,15.8436,60
2025-10-06,00:00,83.3676,16.6324,60
2025-10-13,00:00,82.582,17.2131,60
2025-10-20,00:00,82.8571,17.1429,60
2025-10-27,00:00,82.8571,17.1429,60
2025-11-03,00:00,80.8163,19.1837,60
2025-11-10,00:00,80.6911,19.1057,60
2025-11-17,00:00,78.5859,21.4141,60
2025-11-24,00:00,77.1084,22.8916,60
2025-12-01,00:00,76.3052,23.6948,60
2025-12-08,00:00,74.0964,25.9036,60
2025-12-15,00:00,74.1483,25.8517,60
2025-12-22,00:00,76,24,60
2025-12-29,00:00,77.4,22.6,60
2026-01-05,00:00,72.6,27.4,60
2026-01-12,00:00,70.6,29.4,60
2026-01-19,00:00,65.8,34.2,60
2026-01-27,00:00,65.4,34.6,60
2026-02-02,00:00,69,31,60
2026-02-09,00:00,70.6,29.4,60
2026-02-16,00:00,69.2615,30.5389,60
2026-02-23,00:00,67.6647,32.3353,60
2026-03-02,00:00,62.2754,37.7246,60
2026-03-09,00:00,56.487,43.513,60
2026-03-16,00:00,56.8862,43.1138,60
2026-03-23,00:00,54.2914,45.7086,60
2026-03-30,00:00,53.8922,46.1078,60
2026-04-06,00:00,65.0699,34.9301,60
2026-04-13,00:00,69.6607,30.3393,60
2026-04-20,00:00,68.2635,31.7365,60
2026-04-27,00:00,70.2595,29.7405,60
2026-05-04,00:00,73.0539,26.9461,60
2026-05-11,00:00,67.6647,32.3353,60
2026-05-18,00:00,68.2635,31.7365,60
2026-05-25,00:00,69.4611,30.5389,60
2026-06-01,00:00,67.6647,32.3353,60
2026-06-08,00:00,67.6647,32.3353,60
2026-06-15,00:00,71.6567,28.3433,60
2026-06-22,00:00,71.6567,28.3433,60
2026-06-29,00:00,72.6547,27.3453,60
2026-07-06,00:00,73.8523,26.1477,60
2026-07-13,00:00,73.0539,26.9461,60
2026-07-20,00:00,69.6607,30.3393,60
2026-07-27,00:00,71.8563,28.1437,60
2026-08-03,00:00,73.6527,26.3473,60
2026-08-10,00:00,72.4551,27.5449,60
2026-08-17,00:00,72.0559,27.9441,60
2026-08-24,00:00,72.0559,27.9441,60
2026-08-31,00:00,69.6607,30.3393,60
