date,time,% above 200 ema,% below 200 ema,60%
2019-07-01,00:00,50.9485,49.0515,60
2019-07-08,00:00,46.7568,53.2432,60
2019-07-15,00:00,44.0541,55.9459,60
2019-07-22,00:00,42.973,57.027,60
2019-07-29,00:00,39.1892,60.8108,60
2019-08-05,00:00,40.2703,59.7297,60
2019-08-13,00:00,41.5094,58.4906,60
2019-08-19,00:00,38.4409,61.2903,60
2019-08-26,00:00,40.8602,59.1398,60
2019-09-03,00:00,41.3978,58.6022,60
2019-09-09,00:00,45.1613,54.8387,60
2019-09-16,00:00,48.1183,51.8817,60
2019-09-23,00:00,45.3083,54.6917,60
2019-09-30,00:00,44.2359,55.7641,60
2019-10-07,00:00,44.2359,55.7641,60
2019-10-14,00:00,47.861,51.8717,60
2019-10-22,00:00,48,52,60
2019-10-29,00:00,51.2,48.8,60
2019-11-04,00:00,50.4,49.6,60
2019-11-11,00:00,48.8,51.2,60
2019-11-18,00:00,50.5348,49.4652,60
2019-11-25,00:00,52.4064,47.5936,60
2019-12-02,00:00,48.6631,51.3369,60
2019-12-09,00:00,50.2674,49.7326,60
2019-12-16,00:00,50,50,60
2019-12-23,00:00,50.2674,49.7326,60
2019-12-30,00:00,53.4759,46.5241,60
2020-01-06,00:00,55.3476,44.6524,60
2020-01-13,00:00,57.754,42.246,60
2020-01-20,00:00,58.0214,41.9786,60
2020-01-27,00:00,52.1277,47.6064,60
2020-02-03,00:00,55.8511,44.1489,60
2020-02-10,00:00,52.1277,47.8723,60
2020-02-17,00:00,52.3936,47.6064,60
2020-02-24,00:00,45.4787,54.5213,60
2020-03-02,00:00,42.2872,57.7128,60
2020-03-09,00:00,31.565,68.1698,60
2020-03-16,00:00,20.8995,78.836,60
2020-03-23,00:00,18.5185,81.4815,60
2020-03-30,00:00,16.6227,83.1135,60
2020-04-07,00:00,24.8021,75.1979,60
2020-04-13,00:00,24.5383,75.4617,60
2020-04-20,00:00,25.066,74.934,60
2020-04-27,00:00,28.7599,71.2401,60
2020-05-04,00:00,25.066,74.934,60
2020-05-11,00:00,25.8575,74.1425,60
2020-05-18,00:00,24.8021,75.1979,60
2020-05-26,00:00,28.496,71.504,60
2020-06-01,00:00,35.3562,64.6438,60
2020-06-08,00:00,34.0369,65.9631,60
2020-06-15,00:00,36.9393,63.0607,60
2020-06-22,00:00,39.5778,60.4222,60
2020-06-29,00:00,40.1055,59.8945,60
2020-07-06,00:00,40.1055,59.8945,60
2020-07-13,00:00,41.4248,58.5752,60
2020-07-20,00:00,43.5356,56.4644,60
2020-07-27,00:00,43.7995,56.2005,60
2020-08-03,00:00,46.438,53.562,60
2020-08-10,00:00,49.6042,50.3958,60
2020-08-17,00:00,53.0343,46.9657,60
2020-08-24,00:00,56.3158,43.6842,60
2020-08-31,00:00,52.3684,47.6316,60
2020-09-07,00:00,50.2632,49.7368,60
2020-09-14,00:00,52.8947,47.1053,60
2020-09-21,00:00,46.3158,53.6842,60
2020-09-28,00:00,49.2105,50.7895,60
2020-10-05,00:00,49.2147,50.2618,60
2020-10-12,00:00,48.6979,50.7813,60
2020-10-19,00:00,52.6042,47.3958,60
2020-10-26,00:00,49.4792,50.5208,60
2020-11-02,00:00,51.8229,48.1771,60
2020-11-09,00:00,57.2917,42.7083,60
2020-11-17,00:00,59.6354,40.3646,60
2020-11-23,00:00,62.8571,37.1429,60
2020-12-01,00:00,67.013,32.987,60
2020-12-07,00:00,69.6104,30.3896,60
2020-12-14,00:00,70.3896,29.6104,60
2020-12-21,00:00,69.3506,30.6494,60
2020-12-28,00:00,71.1688,28.8312,60
2021-01-04,00:00,77.1429,22.8571,60
2021-01-11,00:00,76.1039,23.8961,60
2021-01-18,00:00,75.0649,24.9351,60
2021-01-25,00:00,72.7273,27.2727,60
2021-02-01,00:00,77.9793,22.0207,60
2021-02-08,00:00,78.2946,21.7054,60
2021-02-15,00:00,79.3282,20.6718,60
2021-02-22,00:00,80.8786,19.1214,60
2021-03-01,00:00,81.9588,18.0412,60
2021-03-08,00:00,82.9897,17.0103,60
2021-03-15,00:00,78.6082,21.3918,60
2021-03-22,00:00,76.0925,23.9075,60
2021-03-30,00:00,78.3163,21.6837,60
2021-04-05,00:00,79.0816,20.9184,60
2021-04-12,00:00,76.2755,23.7245,60
2021-04-19,00:00,76.0814,23.6641,60
2021-04-26,00:00,77.3537,22.6463,60
2021-05-03,00:00,80.1527,19.8473,60
2021-05-10,00:00,81.6794,18.3206,60
2021-05-17,00:00,84.7328,15.2672,60
2021-05-24,00:00,84.7328,15.2672,60
2021-05-31,00:00,86.7684,13.2316,60
2021-06-07,00:00,88.5496,11.4504,60
2021-06-14,00:00,86.2595,13.7405,60
2021-06-21,00:00,88.2952,11.7048,60
2021-06-28,00:00,86.6162,13.1313,60
2021-07-05,00:00,87.6263,12.3737,60
2021-07-12,00:00,88.1313,11.8687,60
2021-07-19,00:00,86.9018,12.8463,60
2021-07-26,00:00,86.4322,13.5678,60
2021-08-02,00:00,86.4322,13.5678,60
2021-08-09,00:00,84.9246,15.0754,60
2021-08-16,00:00,82.2055,17.5439,60
2021-08-23,00:00,81.7955,17.9551,60
2021-08-30,00:00,84.0796,15.9204,60
2021-09-06,00:00,84.8259,15.1741,60
2021-09-13,00:00,85.5721,14.4279,60
2021-09-20,00:00,85.6436,14.3564,60
2021-09-27,00:00,87.8713,12.1287,60
2021-10-04,00:00,89.1089,10.8911,60
2021-10-11,00:00,90.1235,9.6296,60
2021-10-18,00:00,87.4074,12.5926,60
2021-10-25,00:00,87.1605,12.8395,60
2021-11-01,00:00,88.1481,11.8519,60
2021-11-08,00:00,87.4074,12.5926,60
2021-11-15,00:00,84.2752,15.4791,60
2021-11-22,00:00,81.9071,18.0929,60
2021-11-29,00:00,81.2195,18.7805,60
2021-12-06,00:00,84.1463,15.8537,60
2021-12-13,00:00,78.8835,20.8738,60
2021-12-20,00:00,78.4504,21.5496,60
2021-12-27,00:00,81.2048,18.7952,60
2022-01-03,00:00,81.9277,18.0723,60
2022-01-10,00:00,83.6145,16.3855,60
2022-01-17,00:00,81.9277,18.0723,60
