date,time,group,% 3 qtr ago,% 2 qtr ago,% 1 qtr ago,% current qtr,change in 3 qtr
2026-09-04,15:29,AGROPHOS,0,0,0,0,0
2026-09-04,15:29,AHLADA,0,0,0,0,0
2026-09-04,15:29,AHLUCONT,12.8552,13.5324,13.7449,14.0503,1.1951
2026-09-04,15:29,AIAENG,16.6633,16.5762,16.7875,16.867,0.2037
2026-09-04,15:29,AIIL,14.1082,14.445,14.2353,14.2835,0.1753
2026-09-04,15:29,AIRAN,0,0.1256,0.0026,0,0
2026-09-04,15:29,AIROLAM,0,0,0,0,0
2026-09-04,15:29,AJMERA,0.7779,0.5301,0.7706,0.9461,0.1682
2026-09-04,15:29,AJOONI,0,0,0,0,0
2026-09-04,15:29,AKASH,0,0,0,0,0
2026-09-04,15:29,AKG,1.4916,1.4916,1.4916,1.4916,0
2026-09-04,15:29,ALANKIT,0.3706,0.4422,0.5806,0.3849,0.0143
2026-09-04,15:29,ALKALI,0,0,0,0,0
2026-09-04,15:29,ALKEM,9.4762,9.9724,10.156,10.4164,0.9402
2026-09-04,15:29,ALKYLAMINE,3.4338,3.4557,3.4532,3.4945,0.0607
2026-09-04,15:29,ALPA,0.3533,0.357,0.3842,0.3533,0
2026-09-04,15:29,AMBICAAGAR,0,0,0,0,0
2026-09-04,15:29,AMBIKCO,0.4155,0.3844,0.3336,0.4688,0.0533
2026-09-04,15:29,AMNPLST,0,0,0,0,0
2026-09-04,15:29,AMRUTANJAN,2.382,2.2687,2.1743,2.4379,0.0559
2026-09-04,15:29,ANANDRATHI,5.5566,6.6601,5.7768,6.3673,0.8107
2026-09-04,15:29,ANANTRAJ,10.7245,11.1428,10.8802,10.7397,0.0152
2026-09-04,15:29,ANDHRSUGAR,2.5362,2.6894,2.5299,2.8628,0.3266
2026-09-04,15:29,ANGELONE,13.1062,12.4502,12.8013,13.761,0.6548
2026-09-04,15:29,ANKITMETAL,0,0,0,0,0
2026-09-04,15:29,ANMOL,0,0,0,0,0
2026-09-04,15:29,ANSALAPI,0.2436,0.2436,0.247,0.247,0.0034
