Date,Symbol,% from 30w ema
2026-09-15 15:29,NIFTYMICROCAP250,5.2943
2026-09-15 15:29,CNXPHARMA,5.0343
2026-09-15 15:29,NIFTYSMALLCAP50,4.83
2026-09-15 15:29,CNXSMALLCAP,3.643
2026-09-15 15:29,NIFTYHEALTHCARE,3.2016
2026-09-15 15:29,NIFTYSMALLCAP250,2.657
2026-09-15 15:29,NIFTYMETAL,1.0478
2026-09-15 15:29,NIFTYMIDSMALLCAP400,0.4463
2026-09-15 15:29,NIFTYINDDEFENCE,0.4206
2026-09-15 15:29,NIFTYMIDCAP50,0.2145
2026-09-15 15:29,NIFTYMIDSELECT,0.0051
2026-09-15 15:29,NIFTYHOUSING,0
2026-09-15 15:29,NIFTYMEDIA,-0.1912
2026-09-15 15:29,NIFTYMIDCAP150,-0.6902
2026-09-15 15:29,NIFTYPVTBANK,-1.1751
2026-09-15 15:29,NIFTYAUTO,-1.7513
2026-09-15 15:29,NIFTYCHEMICALS,-1.814
2026-09-15 15:29,BANKNIFTY,-1.8167
2026-09-15 15:29,NIFTYTOTALMKT,-1.9632
2026-09-15 15:29,NIFTYLARGEMID250,-2.0822
2026-09-15 15:29,NIFTY500,-2.3435
2026-09-15 15:29,INDIAVIX,-2.5615
2026-09-15 15:29,CNXENERGY,-2.6655
2026-09-15 15:29,NIFTY200,-2.9982
2026-09-15 15:29,NIFTYCONSUMPTION,-3.0632
2026-09-15 15:29,CNXIT,-3.2239
2026-09-15 15:29,NIFTYPSUBANK,-3.3679
2026-09-15 15:29,NIFTY100,-3.5727
2026-09-15 15:29,NIFTYCOMMODITIES,-3.5744
2026-09-15 15:29,CNXINFRA,-3.8813
2026-09-15 15:29,NIFTYOILANDGAS,-3.9537
2026-09-15 15:29,CNXREALTY,-4.1137
2026-09-15 15:29,NIFTY,-4.1267
2026-09-15 15:29,NIFTYFINSERVICE,-4.162
2026-09-15 15:29,NIFTYFMCG,-8.4125
