Date,Up 4.5%+ today,Down 4.5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
2026-09-15,42,343,17,7,473,1782,700,1555,1029,1226
2026-09-11,73,37,30,4,786,1469,959,1296,1175,1080
2026-09-10,96,53,33,5,867,1388,1020,1235,1183,1072
2026-09-09,106,57,43,4,911,1345,1059,1197,1203,1053
2026-09-08,116,36,39,1,955,1301,1069,1187,1243,1013
2026-09-07,121,39,31,1,928,1328,1068,1188,1247,1009
2026-09-04,131,24,26,2,1018,1238,1169,1087,1258,998
2026-09-03,134,13,32,2,952,1304,1105,1151,1243,1013
2026-09-02,79,21,22,3,808,1447,994,1262,1220,1036
2026-09-01,76,52,28,2,873,1383,1075,1181,1248,1008
2026-08-31,93,55,17,3,1006,1248,1174,1080,1257,997
2026-08-28,123,20,18,3,1104,1151,1252,1003,1304,951
2026-08-27,58,41,22,4,1056,1199,1222,1033,1288,967
2026-08-26,116,16,21,4,1160,1095,1292,963,1329,926
2026-08-25,70,39,21,3,1089,1163,1245,1009,1302,952
2026-08-24,110,38,25,2,1043,1211,1239,1016,1282,973
2026-08-21,101,21,27,3,1087,1167,1260,994,1285,969
2026-08-20,124,27,34,6,1067,1187,1245,1009,1278,976
2026-08-19,73,42,24,6,930,1325,1131,1124,1241,1014
2026-08-18,109,37,28,8,1014,1241,1216,1039,1264,991
2026-08-17,129,79,35,11,1073,1182,1224,1031,1279,976
2026-08-14,84,75,30,10,1125,1126,1262,989,1294,957
2026-08-13,116,70,33,7,1183,1069,1307,946,1313,940
2026-08-12,100,92,29,5,1175,1077,1319,934,1313,940
2026-08-11,103,71,30,3,1252,1000,1362,891,1355,898
2026-08-10,120,71,31,3,1322,929,1418,835,1367,886
2026-08-07,83,69,36,3,1371,880,1419,833,1370,882
2026-08-06,102,50,43,3,1441,810,1446,806,1358,894
2026-08-05,126,37,31,3,1461,791,1446,807,1364,889
2026-08-04,113,41,29,3,1341,911,1363,890,1331,923
2026-08-03,209,28,20,6,1385,867,1381,872,1334,920
2026-07-31,123,31,16,6,1066,1184,1210,1041,1246,1006
2026-07-30,39,61,12,7,925,1326,1146,1106,1215,1038
2026-07-29,108,40,11,4,1038,1213,1226,1026,1230,1023
2026-07-28,45,90,10,4,876,1374,1127,1124,1175,1077
2026-07-27,141,30,19,5,1077,1175,1236,1017,1223,1031
2026-07-24,70,33,16,5,759,1492,1092,1160,1199,1054
2026-07-23,61,49,14,5,783,1467,1076,1175,1179,1073
2026-07-22,45,71,14,2,953,1298,1223,1029,1212,1041
2026-07-21,98,22,12,3,1190,1062,1350,902,1283,970
2026-07-20,85,27,11,4,1151,1101,1350,902,1267,986
2026-07-17,30,63,9,3,1086,1166,1304,948,1251,1002
2026-07-16,59,34,14,2,1184,1066,1363,887,1259,992
2026-07-15,80,28,24,1,1244,1004,1390,858,1291,958
2026-07-14,53,38,17,2,1187,1061,1359,890,1271,979
2026-07-13,131,16,14,2,1399,850,1491,759,1302,949
2026-07-10,136,10,12,2,1345,902,1445,802,1279,969
2026-07-09,180,8,10,2,1051,1197,1277,971,1209,1040
2026-07-08,32,166,8,1,754,1492,1117,1129,1140,1107
2026-07-07,36,70,13,1,1262,984,1416,830,1282,965
2026-07-06,101,39,18,3,1400,846,1504,742,1319,928
2026-07-03,81,40,18,2,1447,794,1528,713,1311,931
2026-07-02,135,21,15,1,1476,766,1513,729,1287,956
2026-07-01,109,33,15,2,1325,912,1412,826,1231,1007
2026-06-30,110,21,9,3,1251,986,1363,875,1209,1029
2026-06-29,75,72,12,3,1138,1101,1333,907,1185,1055
2026-06-25,52,67,14,2,1313,924,1443,795,1216,1022
2026-06-24,82,39,16,1,1484,752,1509,728,1267,970
2026-06-23,57,61,25,0,1502,735,1504,734,1238,1000
2026-06-22,175,21,40,0,1693,544,1625,614,1305,934
2026-06-19,137,19,43,0,1607,631,1561,678,1231,1008
2026-06-18,121,17,56,0,1632,603,1554,682,1212,1024
2026-06-17,122,22,27,1,1582,653,1511,725,1194,1042
2026-06-16,114,21,12,0,1548,688,1469,768,1160,1077
2026-06-15,211,10,23,2,1486,745,1404,829,1138,1095
2026-06-12,346,8,11,2,1133,1097,1155,1076,1058,1173
2026-06-11,39,84,10,6,637,1593,850,1382,902,1330
2026-06-10,49,105,17,5,771,1457,962,1268,963,1267
2026-06-09,198,26,21,4,946,1283,1127,1104,1021,1210
2026-06-08,49,167,21,5,711,1518,910,1321,947,1284
2026-06-05,102,48,30,5,1000,1228,1181,1049,1037,1193
2026-06-04,136,27,32,5,1023,1207,1167,1065,1032,1200
2026-06-03,79,55,34,6,921,1307,1160,1070,1007,1223
2026-06-02,142,32,31,5,1000,1227,1208,1021,1026,1203
2026-06-01,93,174,36,4,883,1346,1142,1088,986,1245
2026-05-29,118,144,38,1,1130,1099,1287,943,1041,1189
2026-05-27,153,47,49,1,1378,851,1423,807,1110,1120
2026-05-26,118,44,46,1,1374,854,1416,813,1089,1140
2026-05-25,190,36,46,2,1395,835,1437,793,1079,1151
2026-05-22,83,46,23,2,1104,1124,1265,963,999,1229
2026-05-21,133,26,23,2,1069,1158,1256,971,991,1236
2026-05-20,98,30,17,6,965,1263,1193,1035,953,1275
2026-05-19,141,28,12,6,904,1323,1185,1043,937,1291
2026-05-18,64,154,7,14,716,1513,1071,1158,878,1351
2026-05-15,68,93,7,11,941,1287,1289,939,960,1268
2026-05-14,81,48,5,6,1080,1147,1340,887,997,1230
2026-05-13,141,54,16,2,1029,1197,1343,883,986,1240
2026-05-12,33,504,14,2,908,1319,1304,923,942,1285
2026-05-11,75,141,37,3,1547,682,1655,574,1156,1073
2026-05-08,124,47,67,0,1871,354,1846,379,1253,972
2026-05-07,220,10,40,1,1966,260,1903,323,1247,979
2026-05-06,202,22,29,2,1913,313,1828,398,1167,1059
2026-05-05,110,39,23,3,1657,568,1626,599,1085,1140
2026-05-04,203,37,30,2,1738,490,1663,565,1062,1166
2026-04-30,56,51,13,1,1654,572,1584,642,1014,1212
2026-04-29,86,35,17,1,1766,460,1670,556,1025,1201
2026-04-28,91,31,22,1,1774,452,1663,563,1019,1207
2026-04-27,250,17,21,1,1919,309,1727,501,1022,1206
2026-04-24,42,104,24,4,1697,527,1554,670,921,1303
2026-04-23,99,43,35,3,1943,283,1756,470,1008,1218
2026-04-22,132,26,32,3,2030,194,1864,360,1043,1181
2026-04-21,118,21,46,3,2032,132,1821,343,975,1189
2026-04-20,79,53,50,2,2032,129,1774,387,914,1247
2026-04-17,183,8,78,0,2070,80,1846,304,941,1209
2026-04-16,135,13,59,0,2033,118,1736,415,851,1300
2026-04-15,374,7,124,0,2036,114,1659,491,807,1343
2026-04-13,103,33,87,0,1872,280,1271,881,671,1481
2026-04-10,237,7,121,0,1941,207,1345,803,666,1482
2026-04-09,93,25,100,0,1812,339,1013,1138,573,1578
2026-04-08,892,13,398,0,1892,257,1024,1125,561,1588
2026-04-07,119,10,56,2,1088,1062,530,1620,434,1716
2026-04-06,213,10,23,2,940,1210,462,1688,421,1729
2026-04-02,180,24,15,3,642,1505,376,1771,380,1767
2026-04-01,1138,7,10,3,485,1660,334,1811,385,1760
2026-03-30,30,745,4,35,200,1946,214,1932,314,1832
2026-03-27,33,632,7,10,292,1850,255,1887,363,1779
2026-03-25,215,17,6,6,486,1656,330,1812,395,1747
2026-03-24,298,26,8,7,273,1868,248,1893,351,1790
2026-03-23,7,969,6,3,148,1993,170,1971,299,1842
2026-03-20,98,25,15,3,372,1767,326,1813,399,1740
2026-03-19,17,301,7,2,266,1872,251,1887,378,1760
2026-03-18,327,6,8,2,501,1637,389,1749,448,1690
2026-03-17,92,16,7,7,261,1877,299,1839,404,1734
2026-03-16,41,116,7,5,191,1948,252,1887,380,1759
2026-03-13,20,380,8,7,218,1918,291,1845,384,1752
2026-03-12,61,47,11,6,431,1703,418,1716,450,1684
2026-03-11,80,53,10,5,437,1698,425,1710,467,1668
2026-03-10,279,15,10,5,439,1695,436,1699,477,1658
2026-03-09,26,284,6,12,271,1863,331,1804,412,1723
2026-03-06,64,41,4,6,388,1743,450,1682,498,1634
2026-03-05,106,21,9,1,395,1733,463,1666,506,1623
2026-03-04,49,263,7,3,287,1841,398,1731,464,1665
2026-03-02,60,255,5,4,440,1687,488,1640,560,1568
2026-02-27,40,59,8,1,681,1443,676,1449,664,1461
2026-02-26,68,21,9,5,823,1301,753,1372,698,1427
2026-02-25,52,40,5,3,774,1348,736,1387,692,1431
2026-02-24,21,94,9,2,697,1425,670,1453,682,1441
2026-02-23,63,46,6,2,858,1266,782,1343,713,1412
2026-02-20,48,30,9,3,829,1292,771,1351,703,1419
2026-02-19,37,52,9,4,798,1321,754,1366,702,1418
2026-02-18,72,17,6,4,1088,1029,919,1199,767,1351
2026-02-17,113,19,9,2,1021,1096,858,1260,744,1374
2026-02-16,55,100,12,2,912,1203,768,1348,719,1397
2026-02-13,34,163,21,0,941,1172,780,1334,715,1399
2026-02-12,61,100,26,1,1287,826,1009,1105,781,1332
2026-02-11,91,67,14,2,1470,642,1100,1013,808,1305
2026-02-10,135,37,32,1,1554,556,1137,974,810,1301
2026-02-09,392,19,51,1,1496,618,1056,1059,797,1318
2026-02-06,59,78,29,3,1104,1008,759,1354,678,1435
2026-02-05,54,92,33,6,1145,966,775,1337,685,1427
2026-02-04,237,53,44,18,1332,780,834,1279,720,1393
2026-02-03,524,12,27,18,1130,983,739,1374,700,1413
2026-02-02,77,71,16,19,450,1664,370,1744,529,1585
2026-02-01,56,237,8,4,425,1688,356,1757,490,1623
2026-01-30,167,99,13,6,658,1453,490,1621,597,1514
2026-01-29,137,58,22,5,527,1584,427,1684,566,1545
2026-01-28,351,20,11,6,533,1577,422,1688,552,1558
2026-01-27,96,76,4,12,304,1810,317,1797,480,1634
2026-01-23,57,212,2,7,271,1838,292,1817,474,1635
2026-01-22,182,55,2,5,357,1753,366,1744,540,1570
2026-01-21,56,144,20,2,228,1881,287,1822,484,1625
2026-01-20,29,372,24,1,250,1858,310,1798,516,1592
2026-01-19,42,91,28,1,447,1663,469,1641,620,1490
2026-01-16,70,31,26,2,523,1581,526,1578,669,1435
2026-01-14,79,20,6,1,514,1590,545,1559,682,1422
2026-01-13,69,19,4,2,480,1624,516,1588,666,1438
2026-01-12,63,72,5,4,420,1688,499,1609,663,1445
2026-01-09,16,100,3,4,424,1678,531,1571,679,1423
2026-01-08,14,137,6,4,657,1446,690,1413,763,1340
2026-01-07,68,18,13,3,1045,1058,904,1199,847,1256
2026-01-06,42,28,15,1,1007,1095,867,1235,833,1269
2026-01-05,64,39,14,1,1129,976,930,1175,861,1244
2026-01-02,99,11,11,1,1299,801,947,1153,861,1239
2026-01-01,63,17,9,2,1061,1040,821,1280,807,1294
2025-12-31,85,16,8,2,1035,1064,801,1298,805,1294
2025-12-30,56,31,10,1,763,1333,681,1415,755,1341
2025-12-29,44,45,14,0,746,1354,710,1390,758,1342
2025-12-26,65,19,20,0,919,1179,759,1339,786,1312
2025-12-24,59,14,15,0,1068,1028,796,1300,805,1291
2025-12-23,66,17,10,2,1113,983,799,1297,811,1285
2025-12-22,113,16,9,1,998,1100,741,1357,796,1302
2025-12-19,92,17,10,0,694,1398,633,1459,754,1338
2025-12-18,41,30,12,0,483,1609,528,1564,709,1383
2025-12-17,32,51,12,0,487,1604,558,1533,718,1373
2025-12-16,35,31,14,0,612,1479,607,1484,751,1340
2025-12-15,79,19,16,1,737,1352,665,1424,771,1318
2025-12-12,98,11,9,3,685,1399,642,1443,755,1330
2025-12-11,74,15,6,5,503,1581,555,1529,723,1362
2025-12-10,56,27,9,3,387,1693,473,1607,705,1376
2025-12-09,129,14,2,3,420,1659,507,1572,708,1372
2025-12-08,19,237,4,3,314,1766,455,1625,680,1401
2025-12-05,31,37,4,3,528,1549,608,1469,775,1303
2025-12-04,30,27,3,4,523,1553,628,1448,780,1297
2025-12-03,17,38,1,3,527,1549,628,1448,800,1277
2025-12-02,29,32,5,2,641,1435,699,1377,821,1256
2025-12-01,64,35,6,2,718,1361,731,1349,850,1230
2025-11-28,56,19,3,2,743,1328,751,1321,851,1221
2025-11-27,53,19,3,3,726,1343,738,1332,844,1226
2025-11-26,78,12,4,2,727,1341,740,1329,856,1213
2025-11-25,68,12,5,3,539,1527,625,1443,803,1265
2025-11-24,36,132,6,6,508,1563,611,1461,785,1287
2025-11-21,30,34,5,4,596,1468,680,1386,840,1226
2025-11-20,39,23,9,4,750,1313,805,1259,877,1187
2025-11-19,39,39,7,3,775,1286,811,1251,899,1163
2025-11-18,38,31,12,3,764,1295,822,1238,898,1162
2025-11-17,96,46,11,2,930,1134,899,1166,944,1121
2025-11-14,76,43,12,2,860,1195,863,1193,916,1140
2025-11-13,72,47,13,3,842,1210,856,1197,944,1109
2025-11-12,103,30,9,3,877,1174,891,1161,953,1099
2025-11-11,68,53,8,8,736,1316,799,1254,910,1143
2025-11-10,84,89,11,7,735,1320,802,1254,913,1143
2025-11-07,73,37,12,2,656,1393,792,1257,911,1138
2025-11-06,44,144,13,2,600,1448,794,1254,902,1146
2025-11-04,40,28,16,0,866,1181,953,1094,999,1048
2025-11-03,100,34,19,0,1077,975,1064,988,1044,1008
2025-10-31,44,30,11,0,962,1082,995,1049,1015,1029
2025-10-30,51,24,10,1,1108,936,1073,971,1041,1003
2025-10-29,87,24,11,0,1144,899,1078,965,1055,988
2025-10-28,62,28,12,1,982,1065,976,1071,1012,1035
2025-10-27,78,34,18,1,1007,1046,990,1063,1032,1021
2025-10-24,47,23,16,2,965,1081,952,1094,996,1050
2025-10-23,78,45,18,2,1044,1002,991,1055,1018,1028
2025-10-21,54,1,21,0,1095,948,1006,1037,1025,1018
2025-10-20,93,39,12,2,917,1135,894,1158,984,1068
2025-10-17,42,40,9,1,830,1214,842,1202,949,1095
2025-10-16,74,32,12,2,917,1123,901,1139,981,1059
2025-10-15,86,28,11,2,814,1226,857,1183,947,1093
2025-10-14,39,64,22,3,661,1376,766,1271,910,1127
2025-10-13,58,37,13,4,840,1202,888,1154,973,1069
