Date,Symbol,Close,Yearhigh,Market cap,Market cap category,Industry,Sector,Weekly return,Current vol multiple of yearly avg
2026-09-21 15:29,SPECTRUM,3191.5,3191.5,5193.9059,midcap,electric equipment,industrials,4.9974,0.4604
2026-09-21 15:29,SADHNANIQ,2.88,3.32,833.8535,smallcap,chemicals,chemicals,4.7273,0.4597
2026-09-21 15:29,SIKKO,6.03,6.21,258.5856,smallcap,pesticides / agrochemicals - indian,chemicals,1.8581,0.4429
2026-09-21 15:29,FILATFASH,0.17,0.64,141.6792,smallcap,textiles - products,textiles,0,0.4358
2026-09-21 15:29,GATECH,0.76,1.1,116.6352,smallcap,computers - software - medium / small,i.t,4.1096,0.3824
2026-09-21 15:29,ESSENTIA,1.02,1.92,180.7942,smallcap,trading,services,-0.9709,0.3324
2026-09-21 15:29,SANGINITA,72.48,72.48,428.8186,smallcap,chemicals,chemicals,1.9983,0.1394
2026-09-21 15:29,WELINV,2366.3999,2366.3999,847.8384,smallcap,finance & investments,financials,2,0.063
2026-09-21 15:29,BAFNAPH,323.5,323.5,750.3789,smallcap,pharmaceuticals - indian - formulations,healthcare,1.9861,0.0344
2026-09-21 15:29,MBECL,421.66,421.66,1338.6334,smallcap,engineering - turnkey services,realty,4.9976,0.0049
