Date,Breakouts,Breakdowns,Up close %,Down close %,New 52-wk high,New 52-wk low,Net nh-nl,15% 52wh,15% 52wl,Net 15% h-l,30% 52wh,30% 52 wl,Net 30% h-l
2026-09-21,17.5461,8.5008,49.4033,31.5271,3.1407,1.8007,1.34,24.5812,24.0787,0.5025,52.9732,43.3417,9.6315
2026-09-18,24.0437,6.7255,44.7552,28.125,2.8163,2.0597,0.7566,24.6322,23.6234,1.0088,53.0895,42.707,10.3825
2026-09-17,21.5909,7.5337,37.037,31.2849,1.431,2.1465,-0.7155,22.8535,25.0842,-2.2306,51.7256,44.234,7.4916
2026-09-16,13.3249,23.9596,35.9621,22.9825,0.9668,5.1702,-4.2034,20.8911,26.5237,-5.6326,51.0298,45.2711,5.7587
2026-09-15,14.2438,36.615,19.7059,64.0732,2.2623,4.315,-2.0528,21.2819,26.6024,-5.3205,51.194,45.2032,5.9908
2026-09-11,11.0551,14.4599,40.3042,23.8372,1.8495,3.7831,-1.9336,26.3136,22.6145,3.699,53.2997,41.6141,11.6856
2026-09-10,15.061,10.1388,40.5028,34.8548,2.7345,2.5663,0.1683,27.093,21.7922,5.3008,53.8494,41.3967,12.4527
2026-09-09,13.8235,10.3782,44.6809,37.6518,3.3613,2.437,0.9244,27.563,21.7227,5.8403,53.6975,41.1765,12.521
2026-09-08,14.9874,8.9421,44.8179,35.2113,3.7783,1.3854,2.3929,28.2536,21.7464,6.5071,54.1142,40.3442,13.7699
2026-09-07,17.8691,9.6896,40.3756,39.3939,4.2785,1.594,2.6846,28.6493,20.5537,8.0956,54.5721,40.4782,14.094
2026-09-04,18.5528,7.1098,43.9909,31.9527,3.6601,1.0097,2.6504,28.1868,20.4039,7.7829,54.9011,40.0505,14.8507
2026-09-03,19.7391,5.1347,39.4456,34.4262,3.4512,1.2205,2.2306,27.9882,20.9596,7.0286,54.6717,40.404,14.2677
2026-09-02,12.1787,10.3666,42.2145,20.7317,2.3599,2.4863,-0.1264,26.338,21.7868,4.5512,54.193,40.8344,13.3586
2026-09-01,13.2211,13.5579,32.8025,34.472,3.1158,1.8947,1.2211,26.9053,21.2211,5.6842,54.4842,40.2526,14.2316
2026-08-31,14.96,14.5386,40,36.8116,3.7505,2.6127,1.1378,27.2651,20.649,6.6161,54.5301,39.4859,15.0442
2026-08-28,17.2225,6.1629,44.1176,30.137,3.2925,1.0975,2.195,28.4086,19.3753,9.0333,55.8041,38.9194,16.8848
2026-08-27,11.0689,10.1394,33.9695,40.4167,2.4926,1.0984,1.3942,27.2919,19.7719,7.5201,55.2176,39.079,16.1386
2026-08-26,17.2501,6.1156,43.0318,27.5862,2.7836,0.8435,1.9401,27.7942,18.6419,9.1523,55.8836,38.507,17.3766
2026-08-25,12.5053,9.4635,34.7973,32.5893,2.3659,1.2252,1.1407,27.7144,18.8847,8.8297,55.5133,38.6565,16.8568
2026-08-24,18.9793,9.2788,38.4444,31.8182,3.3741,1.1809,2.1932,27.5411,18.8528,8.6883,55.4197,39.1818,16.2379
2026-08-21,16.2219,6.7344,41.2533,25.7862,2.6684,0.6777,1.9907,27.7425,18.7209,9.0216,55.6544,39.0936,16.5608
2026-08-20,18.5515,6.565,39.4977,34.1935,3.2613,1.1436,2.1177,27.2766,18.8903,8.3863,54.8496,39.0089,15.8407
2026-08-19,14.0863,9.9831,35.7357,37.2881,2.665,1.7766,0.8883,26.6497,18.9509,7.6988,54.4416,40.3553,14.0863
2026-08-18,15.7783,8.6717,41.2869,33.1707,3.511,1.1844,2.3266,26.6074,18.9932,7.6142,54.5262,39.8477,14.6785
2026-08-17,17.5053,14.1226,43.7198,38.3234,2.9175,1.8182,1.0994,26.3848,18.4778,7.907,54.8837,39.3658,15.518
2026-08-14,15.7671,12.3247,32.6146,38.9655,2.7624,1.2325,1.53,25.7119,18.147,7.5648,55.1211,38.7165,16.4046
2026-08-13,18.6916,11.7247,39.7727,38.0435,3.0161,1.1895,1.8267,26.3381,17.4596,8.8785,55.48,38.0204,17.4596
2026-08-12,14.6809,14.2128,39.4203,39.2216,2.8085,1.2766,1.5319,26.0426,17.0638,8.9787,54.8085,38.2128,16.5957
2026-08-11,15.3977,10.7614,42.2652,41.8972,3.5304,1.1059,2.4245,26.7971,16.4611,10.336,55.168,37.7286,17.4394
2026-08-10,18.1818,13.1266,42.0561,42.3948,4.418,0.9771,3.441,26.4656,15.7604,10.7052,55.2676,37.5956,17.672
2026-08-07,14.9489,10.8177,38.1766,42.5197,3.1516,0.8944,2.2572,26.4055,15.1618,11.2436,55.1107,37.862,17.2487
2026-08-06,16.283,9.7613,36.6492,35.3712,3.9216,0.682,3.2396,26.3427,14.5354,11.8073,55.6692,37.6812,17.9881
2026-08-05,17.9302,7.5383,43.2304,30.5085,3.833,0.5111,3.322,26.448,15.0341,11.414,55.0681,37.2232,17.845
2026-08-04,15.0533,8.7846,44.4759,33.4951,3.4542,0.3838,3.0704,25.7143,14.968,10.7463,54.4989,38.2516,16.2473
2026-08-03,28.3709,6.2527,45.2774,34.0136,3.7006,0.3828,3.3177,25.5211,15.185,10.336,54.4024,38.2816,16.1208
2026-07-31,20,7.3077,39.3162,32.7485,2.4359,0.5128,1.9231,23.2906,16.8803,6.4103,52.5641,41.0256,11.5385
2026-07-30,9.923,10.9923,28.8793,39.6887,2.3524,0.6843,1.6681,21.9846,17.408,4.5766,52.0103,41.7451,10.2652
2026-07-29,17.3373,7.1062,42.4691,33.1325,2.0548,0.6421,1.4127,23.0736,16.3527,6.7209,52.3116,40.9675,11.3442
2026-07-28,10.7877,13.4418,27.381,47.1338,2.0976,0.6849,1.4127,22.1318,18.1079,4.024,51.4983,41.8236,9.6747
2026-07-27,23.9437,7.8532,35.4724,34.2391,2.6462,0.7256,1.9206,23.2181,16.816,6.402,51.942,40.8878,11.0542
2026-07-24,11.0017,10.3596,39.2996,22.314,1.3271,1.4983,-0.1712,21.9178,17.8938,4.024,50.6849,42.3373,8.3476
2026-07-23,13.9425,9.7383,26.7692,37.0044,1.3299,1.0296,0.3003,21.8361,18.1896,3.6465,50.4505,42.7284,7.722
2026-07-22,10.0686,13.1105,34.0426,40.5229,1.9709,0.9854,0.9854,22.5793,17.5236,5.0557,50.8569,41.3453,9.5116
2026-07-21,13.576,6.1242,41.9558,32.8671,2.4411,0.8565,1.5846,24.5396,16.3169,8.2227,51.8201,39.7859,12.0343
2026-07-20,13.5216,8.7719,40.5063,30.2439,2.0111,0.9414,1.0697,24.2619,16.3457,7.9161,51.8614,39.5379,12.3235
2026-07-17,7.4582,13.4591,31.6092,33.758,0.9001,1.0287,-0.1286,23.1033,15.688,7.4153,52.0789,39.82,12.2589
2026-07-16,12.5374,7.6166,31.058,34.2697,2.0967,0.5135,1.5832,24.0907,15.2332,8.8575,52.332,38.896,13.436
2026-07-15,15.0386,7.2408,34.7578,30.7692,2.3993,0.6855,1.7138,24.4216,15.0386,9.383,52.7421,38.5604,14.1817
