Date,4% advance,4% decline,Net breadth,3% range,5d range,Volume,+15% in 5d,-10% in 5d,10% + 10ema,10% - 10ema
2026-09-21,8.6683,2.6801,5.9883,41.5829,3.2663,0.4164,1.8425,2.7219,2.1357,0.4188
2026-09-18,10.7608,1.8916,8.8693,36.3178,3.3628,0.6671,1.3871,2.6902,1.5973,0.5464
2026-09-17,7.9966,2.3569,5.6397,40.1094,3.6616,0.2751,1.1785,4.1246,1.3468,0.8838
2026-09-16,4.7919,5.5065,-0.7146,23.6654,3.0265,0.4681,1.3031,6.5153,1.177,0.8827
2026-09-15,2.8069,23.4604,-20.6535,17.2602,4.5245,0.6062,1.5501,6.1165,1.173,1.0054
2026-09-11,4.4557,3.4468,1.0088,42.1185,6.4733,0.4837,2.8583,1.9756,2.3539,0.5464
2026-09-10,6.1001,3.5339,2.5663,43.7947,9.2133,0.4521,3.0711,1.5987,2.4821,0.4628
2026-09-09,6.1765,3.9076,2.2689,44.4538,9.5798,0.5264,3.4454,1.3866,2.563,0.5462
2026-09-08,6.717,3.1486,3.5684,45.508,10.4534,0.498,3.9882,1.0915,3.0227,0.4618
2026-09-07,7.2148,3.8171,3.3977,40.9396,8.7248,0.5476,2.9362,1.3842,3.2299,0.6711
2026-09-04,8.1615,2.2718,5.8898,45.8982,7.3202,0.4608,2.398,1.6407,2.3138,0.5048
2026-09-03,7.7862,1.7677,6.0185,45.9175,6.8182,0.3955,2.399,1.5152,2.1044,0.6313
2026-09-02,5.1412,2.1492,2.992,42.8993,6.3211,0.3353,1.8963,2.2335,1.6435,0.7164
2026-09-01,4.3368,4.6737,-0.3368,38.5684,7.9579,0.4028,2.2316,1.6,1.9368,0.7579
2026-08-31,5.984,5.3519,0.6321,33.1226,8.5124,0.6131,1.9806,1.7699,1.8542,0.6743
2026-08-28,7.5981,1.8573,5.7408,50.0211,12.2415,0.3018,2.3639,1.3086,1.8995,0.4221
2026-08-27,3.76,4.098,-0.338,45.9654,12.3785,0.3179,2.7883,1.3519,1.3942,0.4647
2026-08-26,7.423,1.6871,5.736,47.9544,13.3699,0.3374,3.2898,0.8435,2.3619,0.5061
2026-08-25,4.3515,3.0841,1.2674,47.6975,13.3502,0.3487,2.5771,1.3097,1.9011,0.5492
2026-08-24,7.2965,2.9523,4.3442,39.6035,12.6107,0.5182,3.0789,1.3496,2.868,0.3796
2026-08-21,6.6921,1.7366,4.9555,47.8611,12.2406,0.4315,3.0072,2.0754,1.9483,0.4235
2026-08-20,7.3274,2.2448,5.0826,46.3363,10.8852,0.4232,2.8801,3.0496,2.4142,0.4235
2026-08-19,5.0338,3.7225,1.3113,44.2893,10.1946,0.4057,2.8765,3.2572,1.9882,0.6345
2026-08-18,6.5144,2.8765,3.6379,45.9814,10.2369,0.4428,3.0457,3.9763,2.3689,0.8883
2026-08-17,7.6533,5.4123,2.241,40.7188,9.556,0.5615,3.129,4.3552,3.0867,1.0571
2026-08-14,5.1424,4.8024,0.34,42.9239,8.8823,0.503,2.7199,3.6549,2.4224,0.4675
2026-08-13,7.4342,4.4605,2.9737,41.8437,9.2184,0.6187,2.7613,3.0586,2.294,0.5098
2026-08-12,5.7872,5.5745,0.2128,40.4255,8.9787,0.6934,2.5106,3.4043,2.6809,0.5106
2026-08-11,6.5079,4.5087,1.9991,45.0872,9.8681,0.6729,3.1476,2.7222,3.02,0.4254
2026-08-10,7.6466,5.565,2.0816,38.0204,10.5353,0.877,3.1861,2.4639,2.8462,0.4673
2026-08-07,5.707,4.5997,1.1073,45.6559,10.1789,0.6477,3.7905,1.6184,2.3424,0.4685
