Date,Symbol,% from 30w ema
2026-09-11 15:29,NIFTYMICROCAP250,9.2481
2026-09-11 15:29,NIFTYSMALLCAP50,7.7195
2026-09-11 15:29,NIFTYINDDEFENCE,6.8178
2026-09-11 15:29,CNXPHARMA,6.7847
2026-09-11 15:29,CNXSMALLCAP,6.4925
2026-09-11 15:29,NIFTYSMALLCAP250,5.4154
2026-09-11 15:29,NIFTYHEALTHCARE,4.6554
2026-09-11 15:29,NIFTYMETAL,3.7541
2026-09-11 15:29,NIFTYMIDSMALLCAP400,2.7833
2026-09-11 15:29,NIFTYMIDCAP50,2.361
2026-09-11 15:29,NIFTYMIDSELECT,2.237
2026-09-11 15:29,NIFTYMEDIA,2.0053
2026-09-11 15:29,NIFTYCHEMICALS,1.5404
2026-09-11 15:29,NIFTYMIDCAP150,1.4337
2026-09-11 15:29,NIFTYAUTO,0.1396
2026-09-11 15:29,NIFTYPVTBANK,0.0807
2026-09-11 15:29,NIFTYHOUSING,0
2026-09-11 15:29,NIFTYTOTALMKT,-0.3269
2026-09-11 15:29,CNXREALTY,-0.363
2026-09-11 15:29,NIFTYLARGEMID250,-0.4345
2026-09-11 15:29,BANKNIFTY,-0.5128
2026-09-11 15:29,CNXENERGY,-0.7851
2026-09-11 15:29,NIFTY500,-0.8135
2026-09-11 15:29,NIFTYPSUBANK,-1.3301
2026-09-11 15:29,NIFTY200,-1.6454
2026-09-11 15:29,NIFTYCONSUMPTION,-1.7432
2026-09-11 15:29,NIFTYCOMMODITIES,-2.0503
2026-09-11 15:29,CNXINFRA,-2.3478
2026-09-11 15:29,NIFTY100,-2.404
2026-09-11 15:29,NIFTYFINSERVICE,-2.6499
2026-09-11 15:29,NIFTYOILANDGAS,-2.9675
2026-09-11 15:29,NIFTY,-3.243
2026-09-11 15:29,CNXIT,-5.5093
2026-09-11 15:29,NIFTYFMCG,-8.4862
2026-09-11 15:29,INDIAVIX,-10.9898
