Date,Up 4.5%+ today,Down 4.5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
2026-09-11,70,38,27,6,782,1489,956,1315,1168,1103
2026-09-10,93,53,31,7,861,1410,1017,1254,1176,1095
2026-09-09,104,58,42,6,908,1364,1056,1216,1196,1076
2026-09-08,114,37,37,4,952,1320,1065,1207,1234,1038
2026-09-07,117,40,29,4,927,1345,1064,1208,1237,1035
2026-09-04,130,26,25,4,1017,1255,1165,1107,1251,1021
2026-09-03,134,14,31,4,950,1322,1107,1165,1241,1031
2026-09-02,78,22,21,5,808,1463,993,1279,1218,1054
2026-09-01,77,52,27,3,877,1395,1075,1197,1247,1025
2026-08-31,93,55,17,5,1010,1261,1175,1096,1254,1017
2026-08-28,124,21,18,6,1105,1167,1253,1019,1301,971
2026-08-27,58,40,22,7,1059,1213,1224,1048,1286,986
2026-08-26,117,16,20,7,1166,1106,1295,977,1324,948
2026-08-25,70,42,21,6,1089,1180,1245,1026,1299,972
2026-08-24,111,40,26,5,1042,1229,1235,1037,1276,996
2026-08-21,101,23,28,4,1095,1176,1263,1008,1282,989
2026-08-20,126,28,35,6,1073,1198,1246,1025,1275,996
2026-08-19,73,42,24,5,934,1338,1135,1137,1242,1030
2026-08-18,110,39,28,7,1018,1254,1221,1051,1265,1007
2026-08-17,130,76,34,9,1081,1191,1228,1044,1280,992
2026-08-14,84,75,29,10,1127,1143,1262,1008,1295,975
2026-08-13,116,69,32,7,1186,1085,1309,963,1315,957
2026-08-12,101,92,28,6,1182,1089,1323,949,1312,960
2026-08-11,101,72,30,5,1257,1014,1364,908,1356,916
2026-08-10,121,71,31,5,1327,943,1420,852,1370,902
2026-08-07,83,69,35,4,1376,894,1420,851,1374,897
2026-08-06,102,51,43,5,1443,826,1449,821,1361,909
2026-08-05,125,38,32,5,1466,805,1451,821,1367,905
2026-08-04,113,41,30,4,1344,927,1368,904,1333,940
2026-08-03,208,28,20,7,1386,885,1385,887,1337,936
2026-07-31,124,32,16,7,1071,1198,1218,1052,1250,1021
2026-07-30,40,62,12,8,932,1338,1153,1118,1220,1052
2026-07-29,107,40,11,5,1043,1227,1233,1038,1236,1036
2026-07-28,45,90,10,5,881,1388,1133,1137,1180,1091
2026-07-27,139,30,19,8,1081,1189,1240,1031,1227,1045
2026-07-24,70,34,16,8,768,1503,1102,1170,1203,1070
2026-07-23,60,49,14,7,791,1479,1081,1190,1181,1091
2026-07-22,47,71,14,4,961,1310,1229,1043,1217,1056
2026-07-21,99,24,12,4,1195,1077,1359,913,1289,984
2026-07-20,86,28,11,4,1160,1112,1360,912,1276,997
2026-07-17,30,63,9,3,1099,1173,1314,958,1259,1014
2026-07-16,59,35,14,2,1195,1077,1373,899,1267,1006
2026-07-15,81,28,24,1,1254,1017,1401,870,1300,972
2026-07-14,53,39,17,3,1195,1075,1370,901,1278,994
2026-07-13,133,17,15,2,1413,859,1503,770,1311,963
2026-07-10,136,11,14,2,1357,913,1456,814,1289,982
2026-07-09,184,11,12,2,1062,1209,1287,984,1218,1054
2026-07-08,35,168,11,1,764,1505,1125,1144,1145,1125
2026-07-07,40,71,16,1,1272,997,1426,843,1289,981
2026-07-06,104,40,20,3,1411,858,1514,755,1326,944
2026-07-03,83,40,20,2,1457,807,1537,727,1317,948
2026-07-02,137,21,16,1,1489,776,1523,742,1292,974
2026-07-01,110,34,17,2,1330,930,1417,844,1233,1028
2026-06-30,112,21,10,3,1258,1002,1370,891,1212,1049
2026-06-29,76,75,13,3,1143,1119,1339,924,1188,1075
2026-06-25,53,67,15,2,1322,938,1449,812,1219,1042
2026-06-24,83,38,17,1,1494,765,1520,740,1273,987
2026-06-23,57,62,25,0,1512,748,1513,748,1243,1018
2026-06-22,175,21,40,0,1702,558,1633,629,1310,952
2026-06-19,139,19,43,0,1615,646,1569,693,1234,1028
2026-06-18,121,18,56,0,1643,615,1562,697,1216,1043
2026-06-17,123,22,27,1,1596,662,1522,736,1198,1061
2026-06-16,113,21,12,0,1563,696,1477,783,1163,1097
2026-06-15,217,10,23,2,1500,754,1415,841,1144,1112
2026-06-12,347,8,11,2,1141,1112,1159,1095,1061,1193
2026-06-11,40,87,10,6,641,1612,854,1401,906,1349
2026-06-10,49,104,17,5,777,1474,967,1286,968,1285
2026-06-09,199,26,22,4,953,1299,1131,1123,1026,1228
2026-06-08,50,168,22,5,714,1538,914,1340,952,1302
2026-06-05,103,49,30,5,1009,1242,1189,1064,1044,1209
2026-06-04,138,27,32,5,1029,1224,1173,1082,1039,1216
2026-06-03,79,55,34,6,926,1325,1166,1087,1013,1240
2026-06-02,143,33,32,5,1008,1242,1214,1038,1033,1219
2026-06-01,94,175,37,4,887,1365,1145,1108,990,1264
2026-05-29,120,144,39,1,1133,1119,1293,960,1048,1205
2026-05-27,153,49,51,1,1387,865,1434,819,1119,1134
2026-05-26,118,45,47,1,1384,867,1428,824,1098,1154
2026-05-25,191,36,47,2,1405,848,1448,805,1087,1166
2026-05-22,84,47,23,2,1116,1135,1274,977,1006,1245
2026-05-21,134,28,23,2,1078,1172,1265,985,997,1253
2026-05-20,101,32,17,6,974,1277,1202,1049,960,1291
2026-05-19,143,28,12,6,911,1340,1192,1059,942,1309
2026-05-18,67,155,7,14,716,1536,1076,1176,883,1369
2026-05-15,69,94,7,11,952,1299,1298,953,966,1285
2026-05-14,80,49,5,6,1084,1165,1349,900,1002,1247
2026-05-13,141,54,16,2,1034,1215,1352,897,990,1259
2026-05-12,33,505,14,1,910,1340,1312,938,947,1303
2026-05-11,75,143,37,3,1555,697,1669,583,1164,1088
2026-05-08,124,47,67,0,1887,361,1861,387,1263,985
2026-05-07,220,11,41,1,1984,265,1920,329,1257,992
2026-05-06,204,21,30,2,1934,315,1846,403,1178,1071
2026-05-05,111,39,23,3,1674,574,1644,604,1094,1154
2026-05-04,205,38,30,2,1754,497,1678,573,1070,1181
2026-04-30,57,51,13,1,1672,577,1596,653,1021,1228
2026-04-29,87,35,16,1,1782,467,1683,566,1032,1217
2026-04-28,91,30,21,1,1793,456,1676,573,1026,1223
2026-04-27,251,16,20,1,1938,313,1743,508,1028,1223
2026-04-24,40,105,23,4,1713,534,1564,683,924,1323
2026-04-23,98,43,35,3,1961,288,1772,477,1016,1233
2026-04-22,136,26,32,3,2049,198,1881,366,1051,1196
2026-04-21,118,22,46,3,2045,134,1832,347,977,1202
2026-04-20,79,52,50,2,2047,129,1786,390,917,1259
2026-04-17,185,8,78,0,2085,80,1858,307,944,1221
2026-04-16,135,13,59,0,2047,119,1746,420,853,1313
2026-04-15,378,7,124,0,2051,114,1670,495,809,1356
2026-04-13,102,34,86,0,1884,283,1276,891,671,1496
2026-04-10,236,7,123,0,1955,208,1354,809,668,1495
2026-04-09,93,28,100,0,1825,341,1019,1147,574,1592
2026-04-08,896,13,404,0,1905,259,1033,1131,563,1601
2026-04-07,123,10,58,2,1099,1066,537,1628,436,1729
2026-04-06,216,10,23,2,948,1217,468,1697,424,1741
2026-04-02,183,24,16,3,651,1511,379,1783,382,1780
2026-04-01,1145,7,10,3,489,1671,338,1822,387,1773
2026-03-30,31,749,4,36,203,1958,215,1946,317,1844
2026-03-27,33,639,7,10,294,1863,256,1901,365,1792
2026-03-25,218,17,6,6,492,1665,333,1824,397,1760
2026-03-24,298,27,8,7,276,1880,250,1906,353,1803
2026-03-23,7,973,6,3,149,2007,171,1985,300,1856
2026-03-20,99,25,15,3,375,1779,330,1824,400,1754
2026-03-19,17,301,7,2,268,1885,252,1901,380,1773
2026-03-18,329,6,8,2,504,1649,391,1762,450,1703
2026-03-17,94,16,7,7,262,1891,300,1853,405,1748
2026-03-16,41,120,7,5,191,1963,252,1902,381,1773
2026-03-13,20,382,8,7,217,1934,291,1860,385,1766
2026-03-12,61,47,11,6,430,1719,418,1731,450,1699
2026-03-11,80,53,10,5,438,1712,425,1725,467,1683
2026-03-10,280,15,10,6,442,1707,437,1713,478,1672
2026-03-09,25,288,6,12,272,1877,331,1819,413,1737
2026-03-06,63,41,4,6,392,1754,452,1695,500,1647
2026-03-05,109,21,9,1,402,1741,466,1678,508,1636
2026-03-04,50,266,7,4,290,1853,400,1744,466,1678
2026-03-02,61,258,5,4,443,1699,489,1654,562,1581
2026-02-27,40,60,8,2,688,1451,681,1459,667,1473
2026-02-26,68,22,9,6,829,1310,758,1382,701,1439
2026-02-25,53,41,5,4,781,1356,740,1398,695,1443
2026-02-24,22,96,9,3,703,1434,675,1463,685,1453
2026-02-23,63,47,6,2,865,1274,787,1353,716,1424
2026-02-20,50,29,9,3,835,1301,776,1361,707,1430
2026-02-19,38,54,9,4,805,1329,759,1376,706,1429
2026-02-18,74,18,6,5,1093,1039,923,1210,770,1363
2026-02-17,113,19,9,3,1025,1106,861,1271,746,1386
