Date,4% advance,4% decline,Net breadth,3% range,5d range,Volume,+15% in 5d,-10% in 5d,10% + 10ema,10% - 10ema
2026-09-11,4.4229,3.4962,0.9267,42.2072,6.4869,0.4888,2.8222,2.1061,2.2746,0.7582
2026-09-10,6.0708,3.5835,2.4874,43.887,9.2327,0.4587,3.0354,1.7285,2.3609,0.6745
2026-09-09,6.1474,3.9579,2.1895,44.4632,9.6,0.5371,3.4526,1.4737,2.5263,0.7158
2026-09-08,6.7312,3.1552,3.5759,45.5196,10.4754,0.5054,3.9125,1.22,2.9449,0.631
2026-09-07,7.1879,3.9092,3.2787,40.9836,8.7432,0.5585,2.8583,1.5553,3.1106,0.8827
2026-09-04,8.1366,2.2766,5.86,45.9106,7.3356,0.4655,2.3609,1.7285,2.2766,0.7167
2026-09-03,7.7183,1.7714,5.9469,46.0143,6.8326,0.3966,2.3619,1.5605,2.0666,0.8435
2026-09-02,4.9831,2.2382,2.7449,42.9476,6.3345,0.3388,1.8581,2.2382,1.6047,0.9291
2026-09-01,4.3038,4.7257,-0.4219,38.6498,8.0169,0.4051,2.1941,1.5612,1.8987,0.9283
2026-08-31,5.9519,5.3609,0.591,33.2208,8.569,0.6195,1.9417,1.8151,1.8573,0.8442
2026-08-28,7.5719,1.819,5.753,50.1269,12.3096,0.3058,2.3689,1.3959,1.8613,0.6345
2026-08-27,3.8087,3.978,-0.1693,46.0855,12.4418,0.32,2.7507,1.5235,1.3965,0.6771
2026-08-26,7.3933,1.6899,5.7034,48.0777,13.4347,0.3406,3.2108,1.0562,2.2814,0.676
2026-08-25,4.2319,3.1739,1.058,47.8206,13.4152,0.3506,2.4968,1.4812,1.7351,0.7194
2026-08-24,7.2243,3.0418,4.1825,39.755,12.6743,0.5229,2.9996,1.5209,2.8306,0.507
2026-08-21,6.6186,1.8244,4.7942,47.9847,12.2613,0.4359,3.0123,2.0365,1.9092,0.4243
2026-08-20,7.2974,2.291,5.0064,46.4574,10.9037,0.4255,2.885,2.9275,2.3759,0.3818
2026-08-19,5,3.6441,1.3559,44.3644,10.2119,0.4072,2.8814,3.1356,1.9068,0.5932
2026-08-18,6.4407,2.9661,3.4746,46.1441,10.2966,0.4462,3.0508,3.8559,2.3729,0.8475
2026-08-17,7.6662,5.2944,2.3719,40.7454,9.5722,0.5649,3.1343,4.1931,3.0496,1.0165
2026-08-14,5.138,4.7983,0.3397,42.9299,8.8747,0.5036,2.7176,3.6518,2.4204,0.552
2026-08-13,7.4278,4.4567,2.9711,41.8081,9.2105,0.6215,2.7589,3.056,2.292,0.6791
2026-08-12,5.7823,5.5697,0.2126,40.4337,8.9711,0.6978,2.5085,3.4864,2.6786,0.6803
2026-08-11,6.5023,4.5474,1.955,45.0914,9.8598,0.6753,3.1449,2.8049,3.0174,0.5525
2026-08-10,7.6401,5.5603,2.0798,38.0306,10.5688,0.8846,3.1834,2.5467,2.8438,0.6367
2026-08-07,5.7021,4.6383,1.0638,45.6596,10.1702,0.6529,3.7447,1.7021,2.3404,0.6383
2026-08-06,5.9625,3.4923,2.4702,44.7189,9.4549,0.8258,4.3867,1.3203,2.2998,0.5963
2026-08-05,7.7021,2.3404,5.3617,44.8511,9.0638,0.7883,3.5319,1.6596,2.8085,0.7234
2026-08-04,6.6894,2.9825,3.7069,46.3144,8.5215,0.654,3.0677,1.5339,2.5991,0.6391
2026-08-03,12.8347,2.1249,10.7097,37.9091,8.4998,0.9363,2.0824,1.7,2.2099,0.6375
2026-07-31,7.8565,2.4338,5.4227,44.0649,10.6746,0.5394,1.8787,1.4518,1.4518,0.6405
2026-07-30,2.862,4.3571,-1.4951,46.8603,7.3473,0.3837,1.4524,2.1358,1.1961,0.7262
2026-07-29,7.3536,2.3514,5.0021,47.1997,7.0543,0.4462,1.4109,1.7529,1.3681,0.6841
2026-07-28,2.95,6.3702,-3.4203,42.8816,5.7289,0.3311,1.0261,2.5224,0.9833,0.6841
2026-07-27,8.4825,2.6854,5.7971,39.7698,5.243,0.4607,1.5345,1.9182,1.1083,0.7246
2026-07-24,4.3181,2.3514,1.9667,38.5207,5.3442,0.3062,1.7101,1.8811,1.0688,0.6841
2026-07-23,3.7275,3.599,0.1285,41.431,7.6264,0.3375,1.5853,2.5707,1.2425,0.7284
2026-07-22,3.4232,5.3059,-1.8828,40.2653,8.9431,0.306,1.4549,2.5246,1.4549,0.6846
2026-07-21,5.6886,2.053,3.6356,50.5988,11.2489,0.2823,1.7536,1.882,1.4542,0.4705
2026-07-20,5.4701,2.6496,2.8205,46.3675,10.1709,0.2714,1.2393,2.5641,1.1111,0.6838
2026-07-17,2.3545,4.5377,-2.1832,44.4349,9.3322,0.2432,1.0702,1.3271,0.899,0.5565
2026-07-16,3.8889,2.6068,1.2821,47.1795,9.8291,0.2709,1.7949,1.1111,0.9829,0.4701
2026-07-15,5.2204,2.2679,2.9525,45.6996,8.3012,0.313,2.7386,0.7274,1.2837,0.4707
2026-07-14,2.9122,3.6831,-0.7709,44.6253,5.4818,0.2765,1.4989,1.2848,1.2848,0.3854
2026-07-13,7.4627,1.9616,5.5011,38.1237,4.0938,0.4263,1.8337,1.4499,2.0896,0.4691
2026-07-10,8.1869,1.243,6.9438,44.9207,3.8577,0.3756,1.6288,1.2002,1.7145,0.3429
2026-07-09,10.497,1.2425,9.2545,38.4319,3.0848,0.3117,1.3282,1.6281,1.2853,0.2999
2026-07-08,1.9305,13.0845,-11.154,17.4174,2.9172,0.5517,0.9867,2.574,0.8151,0.4719
2026-07-07,2.8326,4.8498,-2.0172,41.6309,6.6953,0.2795,1.8026,1.4163,1.1159,0.4292
2026-07-06,5.8472,3.201,2.6462,41.656,7.5117,0.3704,2.7315,1.2804,1.8353,0.2988
2026-07-03,5.2767,3.1746,2.1021,43.5006,6.435,0.4601,2.4882,1.5444,1.8876,0.3861
