Date,Symbol,Changeinpercentage
2026-09-11 15:29,ITDC,3.9497
2026-09-11 15:29,PAYTM,3.939
2026-09-11 15:29,FMGOETZE,3.9342
2026-09-11 15:29,RHFL,3.8889
2026-09-11 15:29,CRIZAC,3.8842
2026-09-11 15:29,FIVESTAR,3.8443
2026-09-11 15:29,POLYSPIN,3.7895
2026-09-11 15:29,BODALCHEM,3.7866
2026-09-11 15:29,GSLSU,3.784
2026-09-11 15:29,KPL,3.7504
2026-09-11 15:29,VLEGOV,3.7487
2026-09-11 15:29,SHIPROCKET,3.7315
2026-09-11 15:29,NICCOPAR,3.7241
2026-09-11 15:29,SAKHTISUG,3.6998
2026-09-11 15:29,SAKAR,3.6919
2026-09-11 15:29,TIL,3.6793
2026-09-11 15:29,OSWALAGRO,3.6692
2026-09-11 15:29,WCIL,3.6603
2026-09-11 15:29,AKSHARCHEM,3.6602
2026-09-11 15:29,VENUSPIPES,3.6427
2026-09-11 15:29,CONCORDBIO,3.6412
2026-09-11 15:29,KWIL,3.6359
2026-09-11 15:29,BIRLAPREC,3.5919
2026-09-11 15:29,KSR,3.5915
2026-09-11 15:29,TRANSPEK,3.5813
2026-09-11 15:29,AKUMS,3.5617
2026-09-11 15:29,AXTEL,3.5521
2026-09-11 15:29,HPAL,3.5509
2026-09-11 15:29,ADDIND,3.5414
2026-09-11 15:29,STEL,3.5412
2026-09-11 15:29,AEGISLOG,3.5179
2026-09-11 15:29,INDIAMART,3.4988
2026-09-11 15:29,INDOCO,3.4494
2026-09-11 15:29,ABDL,3.4426
2026-09-11 15:29,BI,3.4398
2026-09-11 15:29,VINEETLAB,3.4367
2026-09-11 15:29,BAJAJINDEF,3.4113
2026-09-11 15:29,EASTSILK,3.4093
2026-09-11 15:29,KOTYARK,3.4051
2026-09-11 15:29,TAALTECH,3.4008
2026-09-11 15:29,SIMPLXREA,3.3962
2026-09-11 15:29,SGLRES,3.3898
2026-09-11 15:29,MANAKCOAT,3.3449
2026-09-11 15:29,AAREYDRUGS,3.3225
2026-09-11 15:29,NAVINIFTY,3.3114
2026-09-11 15:29,RAJPALAYAM,3.3085
2026-09-11 15:29,ARIHANTCAP,3.3085
2026-09-11 15:29,ONESOURCE,3.2622
2026-09-11 15:29,RETAIL,3.253
2026-09-11 15:29,KROSS,3.2521
2026-09-11 15:29,BENARAS,3.2507
2026-09-11 15:29,TURTLEMINT,3.2464
2026-09-11 15:29,HINDCON,3.2134
2026-09-11 15:29,DEVX,3.2131
2026-09-11 15:29,CEINSYS,3.2117
2026-09-11 15:29,HPIL,3.1992
2026-09-11 15:29,TREEHOUSE,3.1933
2026-09-11 15:29,TCC,3.1705
2026-09-11 15:29,SIGNPOST,3.1553
2026-09-11 15:29,EXICOM,3.1404
2026-09-11 15:29,ATAM,3.1285
2026-09-11 15:29,CORDELIA,3.1159
2026-09-11 15:29,FMNL,3.0601
2026-09-11 15:29,WIPL,3.0568
2026-09-11 15:29,CLCIND,3.0539
2026-09-11 15:29,ROLLT,3.0369
2026-09-11 15:29,POKARNA,3.0367
2026-09-11 15:29,SRPL,3.0303
2026-09-11 15:29,WAAREEENER,3.022
2026-09-11 15:29,WABAG,2.9885
2026-09-11 15:29,MUKTAARTS,2.9712
2026-09-11 15:29,RICOAUTO,2.9622
2026-09-11 15:29,TIIL,2.9489
2026-09-11 15:29,PRICOLLTD,2.9475
2026-09-11 15:29,SHANKESH,2.9367
