Date,Symbol,% from 30w ema
2026-09-23 15:29,NIFTYMICROCAP250,8.6131
2026-09-23 15:29,CNXPHARMA,8.1419
2026-09-23 15:29,NIFTYSMALLCAP50,7.2273
2026-09-23 15:29,NIFTYHEALTHCARE,6.2112
2026-09-23 15:29,CNXSMALLCAP,6.0677
2026-09-23 15:29,NIFTYMETAL,5.4884
2026-09-23 15:29,NIFTYSMALLCAP250,5.1069
2026-09-23 15:29,NIFTYMEDIA,3.5136
2026-09-23 15:29,NIFTYINDDEFENCE,3.5005
2026-09-23 15:29,NIFTYMIDSMALLCAP400,2.7745
2026-09-23 15:29,NIFTYMIDCAP50,2.3419
2026-09-23 15:29,CNXREALTY,2.1823
2026-09-23 15:29,NIFTYMIDSELECT,1.907
2026-09-23 15:29,NIFTYMIDCAP150,1.5732
2026-09-23 15:29,NIFTYCHEMICALS,0.3143
2026-09-23 15:29,NIFTYTOTALMKT,0.0132
2026-09-23 15:29,NIFTYHOUSING,0
2026-09-23 15:29,NIFTYLARGEMID250,-0.0912
2026-09-23 15:29,NIFTYPVTBANK,-0.1452
2026-09-23 15:29,NIFTYAUTO,-0.3434
2026-09-23 15:29,NIFTY500,-0.4271
2026-09-23 15:29,BANKNIFTY,-0.5178
2026-09-23 15:29,NIFTYCONSUMPTION,-0.8417
2026-09-23 15:29,NIFTYPSUBANK,-0.9708
2026-09-23 15:29,CNXENERGY,-1.0925
2026-09-23 15:29,NIFTYCOMMODITIES,-1.1507
2026-09-23 15:29,NIFTY200,-1.1767
2026-09-23 15:29,NIFTY100,-1.8534
2026-09-23 15:29,CNXINFRA,-1.876
2026-09-23 15:29,NIFTYOILANDGAS,-2.0438
2026-09-23 15:29,NIFTYFINSERVICE,-2.2491
2026-09-23 15:29,NIFTY,-2.6474
2026-09-23 15:29,NIFTYFMCG,-5.2309
2026-09-23 15:29,CNXIT,-6.6585
2026-09-23 15:29,INDIAVIX,-22.9822
