Date,Up 4.5%+ today,Down 4.5%+ today,Up 20%+ in 5d,Down 20%+ in 5d,Above 20dma,Below 20dma,Above 50dma,Below 50dma,Above 200dma,Below 200dma
2026-09-23,157,10,40,3,1056,1207,1025,1238,1182,1081
2026-09-22,104,21,27,2,859,1404,920,1343,1121,1142
2026-09-21,143,28,18,0,850,1415,934,1331,1128,1137
2026-09-18,168,26,16,5,848,1415,907,1356,1122,1141
2026-09-17,123,22,11,3,604,1660,765,1499,1067,1197
2026-09-16,76,61,15,3,483,1781,707,1557,1040,1224
2026-09-15,43,343,17,7,474,1791,700,1565,1032,1233
2026-09-11,74,36,29,4,788,1476,961,1303,1177,1087
2026-09-10,96,52,32,5,870,1394,1023,1241,1187,1077
2026-09-09,107,58,41,4,914,1352,1063,1203,1206,1060
2026-09-08,114,37,39,1,963,1303,1075,1191,1246,1020
2026-09-07,119,38,30,1,935,1331,1072,1194,1251,1015
2026-09-04,129,25,25,2,1024,1242,1176,1090,1261,1005
2026-09-03,133,14,33,2,957,1309,1113,1153,1247,1019
2026-09-02,79,21,23,3,811,1454,997,1269,1222,1044
2026-09-01,76,53,28,2,876,1389,1077,1188,1250,1015
2026-08-31,93,53,17,2,1011,1252,1179,1084,1260,1003
2026-08-28,123,19,19,3,1109,1156,1257,1008,1306,959
2026-08-27,58,41,22,4,1062,1202,1229,1035,1292,972
2026-08-26,116,16,21,4,1166,1099,1299,966,1330,935
2026-08-25,70,39,22,3,1096,1166,1252,1012,1304,960
2026-08-24,110,38,25,2,1046,1218,1243,1022,1286,979
2026-08-21,99,21,28,3,1094,1171,1266,999,1288,977
2026-08-20,125,26,35,6,1074,1190,1252,1012,1280,984
2026-08-19,73,41,24,6,938,1327,1139,1126,1243,1022
2026-08-18,109,36,27,7,1021,1244,1223,1042,1267,998
2026-08-17,130,78,34,10,1082,1183,1232,1033,1282,983
2026-08-14,85,75,29,9,1131,1130,1269,992,1297,964
2026-08-13,116,68,32,6,1189,1073,1315,948,1317,946
2026-08-12,101,92,29,5,1182,1080,1326,937,1315,948
2026-08-11,102,69,30,3,1259,1003,1369,894,1358,905
2026-08-10,119,72,31,3,1331,930,1423,840,1368,895
2026-08-07,82,69,36,3,1382,880,1424,839,1372,891
2026-08-06,101,50,43,3,1446,815,1450,812,1359,903
2026-08-05,127,37,31,3,1467,795,1450,813,1365,898
2026-08-04,114,41,29,3,1346,916,1368,895,1330,934
2026-08-03,207,28,20,6,1386,876,1382,881,1334,930
2026-07-31,125,32,16,6,1067,1193,1213,1048,1247,1015
2026-07-30,41,64,12,8,925,1335,1147,1114,1215,1047
2026-07-29,110,40,11,5,1040,1220,1227,1034,1229,1033
2026-07-28,46,90,10,5,880,1379,1131,1129,1174,1087
2026-07-27,142,30,19,4,1078,1183,1238,1024,1222,1041
2026-07-24,71,33,16,4,759,1501,1093,1168,1197,1065
2026-07-23,62,48,14,4,786,1473,1074,1186,1177,1084
2026-07-22,48,70,13,1,952,1308,1222,1039,1211,1051
2026-07-21,99,21,10,2,1190,1069,1349,910,1281,979
2026-07-20,86,26,9,4,1150,1109,1347,912,1265,995
2026-07-17,29,62,7,3,1084,1175,1301,958,1248,1012
2026-07-16,56,35,13,2,1182,1075,1360,897,1256,1002
2026-07-15,79,28,23,1,1243,1012,1387,868,1289,967
2026-07-14,53,39,17,2,1185,1068,1359,895,1270,985
2026-07-13,131,16,14,2,1401,855,1491,766,1302,956
2026-07-10,136,9,12,2,1348,906,1447,807,1279,976
2026-07-09,182,7,10,2,1049,1206,1277,978,1208,1048
2026-07-08,32,168,8,1,754,1499,1116,1137,1140,1114
2026-07-07,36,70,13,1,1264,989,1419,834,1282,972
2026-07-06,100,38,18,3,1400,853,1505,748,1318,936
2026-07-03,80,40,18,2,1451,798,1531,718,1312,938
2026-07-02,133,20,15,1,1477,772,1515,734,1287,963
2026-07-01,108,32,15,2,1327,917,1415,830,1232,1013
2026-06-30,110,22,9,3,1255,989,1367,878,1209,1036
2026-06-29,75,72,12,3,1140,1106,1336,911,1186,1061
2026-06-25,53,66,14,2,1319,925,1448,797,1217,1028
2026-06-24,82,36,16,1,1488,756,1515,730,1269,976
2026-06-23,57,59,25,0,1507,737,1509,736,1239,1006
2026-06-22,175,19,40,0,1699,545,1631,615,1308,938
2026-06-19,136,19,43,0,1608,635,1564,680,1231,1013
2026-06-18,122,16,56,0,1633,608,1558,684,1213,1029
2026-06-17,124,20,27,1,1585,658,1518,726,1195,1049
2026-06-16,114,19,12,0,1551,692,1472,772,1161,1083
2026-06-15,212,10,23,2,1489,749,1409,831,1140,1100
2026-06-12,344,8,11,2,1129,1108,1159,1079,1058,1180
2026-06-11,39,84,11,6,637,1600,853,1386,907,1332
2026-06-10,50,104,18,4,774,1462,968,1270,968,1270
2026-06-09,202,23,22,3,950,1283,1133,1103,1024,1212
2026-06-08,48,166,20,4,711,1524,911,1326,949,1288
2026-06-05,103,47,29,4,1001,1234,1185,1052,1037,1200
2026-06-04,135,26,31,4,1023,1213,1169,1069,1031,1207
2026-06-03,79,54,33,5,922,1314,1162,1076,1006,1232
2026-06-02,140,33,31,4,1002,1232,1213,1023,1026,1210
2026-06-01,94,175,36,3,882,1354,1145,1092,986,1252
2026-05-29,116,143,38,0,1133,1103,1292,945,1043,1194
2026-05-27,152,47,51,0,1382,854,1430,807,1114,1123
2026-05-26,120,44,48,0,1379,856,1423,813,1095,1141
2026-05-25,193,35,49,1,1402,835,1445,792,1085,1152
2026-05-22,84,46,23,1,1109,1125,1271,963,1001,1233
2026-05-21,136,27,23,1,1075,1158,1261,972,994,1239
2026-05-20,98,29,17,6,968,1267,1195,1040,955,1280
2026-05-19,143,28,12,6,904,1329,1185,1049,937,1297
2026-05-18,64,155,7,14,714,1522,1072,1164,879,1357
2026-05-15,66,95,7,11,942,1293,1292,943,962,1273
2026-05-14,80,50,5,6,1086,1148,1346,888,1000,1234
2026-05-13,141,54,17,2,1033,1200,1349,884,989,1244
2026-05-12,34,507,15,2,914,1319,1309,924,945,1288
2026-05-11,75,141,37,3,1552,684,1663,573,1159,1077
2026-05-08,124,47,67,0,1879,354,1854,379,1257,976
2026-05-07,223,11,41,1,1975,259,1911,323,1252,982
2026-05-06,203,22,30,2,1922,311,1837,396,1169,1064
2026-05-05,111,40,23,3,1666,566,1634,598,1088,1144
2026-05-04,206,37,31,2,1746,489,1670,565,1065,1170
2026-04-30,58,49,14,1,1660,572,1588,644,1016,1216
2026-04-29,87,35,18,1,1770,463,1673,560,1026,1207
2026-04-28,91,32,23,1,1781,452,1664,569,1021,1212
2026-04-27,251,16,21,1,1927,308,1733,502,1025,1210
2026-04-24,41,104,24,4,1705,527,1557,675,922,1310
2026-04-23,98,43,35,3,1951,282,1761,472,1011,1222
2026-04-22,134,26,32,3,2038,194,1869,363,1045,1187
2026-04-21,117,21,45,3,2040,130,1825,345,973,1197
2026-04-20,79,53,49,2,2039,128,1775,392,913,1254
2026-04-17,183,8,77,0,2077,79,1849,307,939,1217
2026-04-16,136,13,58,0,2041,116,1737,420,850,1307
2026-04-15,376,7,122,0,2043,113,1662,494,807,1349
2026-04-13,103,32,87,0,1877,281,1273,885,671,1487
2026-04-10,236,7,124,0,1948,206,1350,804,666,1488
2026-04-09,92,28,102,0,1818,339,1019,1138,573,1584
2026-04-08,897,13,403,0,1898,257,1029,1126,561,1594
2026-04-07,120,9,60,1,1093,1063,533,1623,433,1723
2026-04-06,217,9,23,1,945,1210,466,1689,420,1735
2026-04-02,183,23,16,2,647,1505,377,1775,379,1773
2026-04-01,1143,7,10,2,486,1664,335,1815,384,1766
2026-03-30,30,749,4,36,202,1949,214,1937,313,1838
2026-03-27,33,635,7,9,292,1855,254,1893,362,1785
2026-03-25,218,16,6,5,487,1660,330,1817,394,1753
2026-03-24,298,25,8,6,273,1873,248,1898,350,1796
2026-03-23,7,975,6,2,148,1998,170,1976,298,1848
2026-03-20,99,25,15,2,373,1771,326,1818,398,1746
2026-03-19,18,300,7,1,267,1876,251,1892,377,1766
2026-03-18,328,5,8,1,499,1644,389,1754,447,1696
2026-03-17,94,15,7,6,260,1883,298,1845,403,1740
2026-03-16,42,119,7,4,191,1953,252,1892,379,1765
2026-03-13,20,381,8,6,218,1923,291,1850,383,1758
2026-03-12,61,47,11,5,432,1707,417,1722,450,1689
2026-03-11,80,52,10,5,439,1701,424,1716,467,1673
2026-03-10,280,15,10,6,440,1699,436,1704,477,1663
2026-03-09,26,284,6,12,273,1866,330,1810,412,1728
2026-03-06,65,41,4,6,388,1748,449,1688,498,1639
2026-03-05,107,21,9,1,397,1736,462,1672,506,1628
2026-03-04,50,264,7,3,288,1845,397,1737,464,1670
2026-03-02,61,256,5,4,441,1691,488,1645,560,1573
2026-02-27,41,58,8,2,680,1449,676,1454,664,1466
2026-02-26,67,21,9,6,821,1308,751,1379,698,1432
2026-02-25,52,41,4,4,775,1352,735,1393,691,1437
2026-02-24,21,98,8,3,696,1431,669,1459,681,1447
2026-02-23,62,46,5,1,858,1271,781,1349,712,1418
2026-02-20,48,29,8,2,829,1297,770,1357,702,1425
2026-02-19,36,53,8,5,800,1324,754,1371,701,1424
2026-02-18,71,18,6,6,1089,1033,918,1205,765,1358
2026-02-17,112,19,9,3,1022,1099,858,1264,743,1379
2026-02-16,55,101,12,4,912,1207,766,1354,718,1402
2026-02-13,35,165,21,1,945,1172,782,1336,714,1404
2026-02-12,61,104,26,1,1293,824,1010,1108,780,1337
2026-02-11,91,67,15,2,1473,643,1102,1015,806,1311
2026-02-10,138,38,34,1,1560,554,1138,977,809,1306
2026-02-09,395,18,53,1,1499,619,1057,1062,796,1323
2026-02-06,60,78,29,3,1105,1011,760,1357,678,1439
2026-02-05,55,92,34,6,1147,968,774,1342,684,1432
2026-02-04,238,53,44,18,1334,782,834,1283,719,1398
2026-02-03,525,12,27,18,1131,986,737,1380,699,1418
2026-02-02,76,73,16,19,450,1668,369,1749,527,1591
2026-02-01,57,236,8,3,427,1690,355,1762,489,1628
2026-01-30,168,97,14,5,658,1457,488,1627,596,1519
2026-01-29,136,59,22,5,527,1588,425,1690,565,1550
2026-01-28,353,19,11,6,533,1581,420,1694,551,1563
2026-01-27,98,76,4,12,302,1816,315,1803,479,1639
2026-01-23,57,211,2,6,269,1844,290,1823,473,1640
2026-01-22,181,56,2,5,356,1758,364,1750,539,1575
2026-01-21,56,143,20,2,227,1886,286,1827,483,1630
2026-01-20,30,375,24,1,249,1863,309,1803,516,1596
2026-01-19,42,91,28,1,446,1668,467,1647,620,1494
2026-01-16,70,31,26,2,521,1587,524,1584,668,1440
2026-01-14,81,20,6,1,513,1595,544,1564,681,1427
2026-01-13,70,19,4,2,479,1629,514,1594,666,1442
