Date,Symbol,% change
2026-09-23 15:29,AHCL,90.7455
2026-09-23 15:29,MBECL,86.8117
2026-09-23 15:29,STLNETWORK,77.4366
2026-09-23 15:29,RAYMOND,67.0513
2026-09-23 15:29,TBZ,65.5589
2026-09-23 15:29,XTRANET,64.0076
2026-09-23 15:29,SPECTRUM,50.8914
2026-09-23 15:29,INDORAMA,49.7679
2026-09-23 15:29,ACSTECH,49.3854
2026-09-23 15:29,FILATEX,48.3017
2026-09-23 15:29,FEDDERSHOL,46.1622
2026-09-23 15:29,OPTIEMUS,45.07
2026-09-23 15:29,WHEELS,45.069
2026-09-23 15:29,HLEGLAS,42.2636
2026-09-23 15:29,INDOMIM,40.9797
2026-09-23 15:29,VALIANTORG,39.7542
2026-09-23 15:29,VENUSPIPES,39.2835
2026-09-23 15:29,BODALCHEM,37.1812
2026-09-23 15:29,MVGJL,36.8014
2026-09-23 15:29,SYSTMTXC,36.3956
2026-09-23 15:29,NRL,36.2787
2026-09-23 15:29,PAISALO,35.884
2026-09-23 15:29,CENTUM,35.7438
2026-09-23 15:29,TEGA,35.0133
2026-09-23 15:29,KROSS,34.2328
2026-09-23 15:29,GMMPFAUDLR,33.8878
2026-09-23 15:29,LALITHAA,33.4973
2026-09-23 15:29,RAYMONDREL,32.6845
2026-09-23 15:29,MANINDS,32.4696
2026-09-23 15:29,SHIVALIK,32.4689
2026-09-23 15:29,ASTEC,32.2941
2026-09-23 15:29,NRAIL,31.9759
2026-09-23 15:29,KABRAEXTRU,30.8777
2026-09-23 15:29,SHAREINDIA,30.5674
2026-09-23 15:29,JINDWORLD,29.8831
2026-09-23 15:29,UNIVPHOTO,29.6742
2026-09-23 15:29,SMSPHARMA,29.4599
2026-09-23 15:29,KILITCH,29.3225
2026-09-23 15:29,ZOTA,28.9981
2026-09-23 15:29,GENESYS,28.0848
2026-09-23 15:29,ROSSTECH,27.8483
2026-09-23 15:29,PROTEAN,27.8409
2026-09-23 15:29,SMLMAH,27.7428
2026-09-23 15:29,KOPRAN,27.6998
2026-09-23 15:29,LOTUSDEV,27.5703
2026-09-23 15:29,BHAGERIA,27.2842
2026-09-23 15:29,MVELECTRO,27.0461
2026-09-23 15:29,QUADFUTURE,26.8795
2026-09-23 15:29,NOVARTIND,26.5938
2026-09-23 15:29,TECHNOCRAF,26.469
2026-09-23 15:29,VALIANTLAB,26.1209
2026-09-23 15:29,SHANTIGEAR,26.0829
2026-09-23 15:29,MILKYMIST,25.8729
2026-09-23 15:29,SUBEXLTD,25.6688
2026-09-23 15:29,JAYKAY,25.5962
2026-09-23 15:29,SAMBHV,25.3923
2026-09-23 15:29,ONEPOINT,25.2701
2026-09-23 15:29,JASH,25.2153
2026-09-23 15:29,RGL,23.7245
2026-09-23 15:29,RUBYMILLS,23.5383
2026-09-23 15:29,PASUPTAC,23.4839
2026-09-23 15:29,FINCABLES,23.4218
