Date,Sector,4w ema,20w ema,30w ema,40w ema,52w ema
2026-09-23 15:29,healthcare,62.1951,71.3415,72.561,73.7805,72.561
2026-09-23 15:29,metals & mining,58.9147,54.2636,55.0388,53.4884,55.0388
2026-09-23 15:29,energy,53.8462,64.1026,61.5385,61.5385,58.9744
2026-09-23 15:29,transportation,53.7037,57.4074,55.5556,55.5556,53.7037
2026-09-23 15:29,services,51.2397,37.1901,36.3636,33.0579,33.0579
2026-09-23 15:29,chemicals,49.6855,56.6038,55.9748,54.0881,52.8302
2026-09-23 15:29,industrials,48.927,57.9399,59.6567,58.3691,59.6567
2026-09-23 15:29,aerospace & defence,47.0588,64.7059,64.7059,73.5294,73.5294
2026-09-23 15:29,bank,46.3415,48.7805,56.0976,58.5366,60.9756
2026-09-23 15:29,auto,45.6311,54.3689,56.3107,59.2233,59.2233
2026-09-23 15:29,textiles,44.9612,43.4109,42.6357,42.6357,38.7597
2026-09-23 15:29,miscellaneous,44.7059,37.6471,37.6471,41.1765,41.1765
2026-09-23 15:29,telecom,44.4444,44.4444,44.4444,44.4444,44.4444
2026-09-23 15:29,consumer discretionary,41.7722,47.4684,48.1013,48.1013,46.8354
2026-09-23 15:29,telecom-service,41.6667,25,16.6667,16.6667,16.6667
2026-09-23 15:29,co-working,40,60,60,60,60
2026-09-23 15:29,realty,39.7906,32.9843,29.8429,27.7487,26.7016
2026-09-23 15:29,building materials,39.5833,36.4583,34.375,32.2917,31.25
2026-09-23 15:29,i.t,39.1061,40.7821,39.6648,38.5475,36.8715
2026-09-23 15:29,media,37.5,33.3333,33.3333,27.0833,25
2026-09-23 15:29,fmcg,36.7742,43.871,43.2258,43.2258,45.1613
2026-09-23 15:29,financials,33.79,40.1826,41.5525,40.1826,39.726
2026-09-23 15:29,plastic products,29.0323,38.7097,35.4839,35.4839,32.2581
2026-09-23 15:29,n/a,28.7037,30.5556,32.4074,34.2593,36.1111
2026-09-23 15:29,power & utilities,28.125,15.625,21.875,25,25
2026-09-23 15:29,indices,20.2797,43.5897,52.4476,56.6434,63.8695
